Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,13.369099,13.848355,13.304721,13.526466,12.283427,5797925
2009-01-27,13.526466,13.655222,13.090129,13.376252,12.147015,6613658
2009-01-28,13.533619,13.855508,13.397711,13.562232,12.315906,7473149
2009-01-29,13.433476,13.483548,13.183119,13.283262,12.062567,4583623
2009-01-30,13.333333,13.454936,12.846924,12.932761,11.744284,4270890
2009-02-02,12.725322,13.040057,12.711016,12.896996,11.711802,5330714
2009-02-03,12.896996,13.090129,12.696710,13.025751,11.828727,4807163
2009-02-04,13.061516,13.555079,13.018598,13.218884,12.004108,3865051
2009-02-05,13.040057,13.848355,12.789700,13.819742,12.549749,8703808
2009-02-06,13.655222,14.084406,13.655222,13.805436,12.536758,4277321
2009-02-09,13.690987,13.884120,13.369099,13.619456,12.367871,4673234
2009-02-10,13.540773,13.648069,12.975680,13.061516,11.861202,5272277
2009-02-11,13.233190,13.268956,12.947067,13.140200,11.932652,4383709
2009-02-12,12.939914,13.326180,12.846924,13.326180,12.101545,6192161
2009-02-13,13.283262,13.583691,13.140200,13.211731,11.997614,4232585
2009-02-17,12.639485,12.861230,12.339056,12.625179,11.464966,7469794
2009-02-18,11.444921,12.317597,11.351931,11.480687,10.425648,14968246
2009-02-19,11.516452,11.580830,11.087268,11.130186,10.107355,7898281
2009-02-20,10.958512,11.051502,10.708155,10.858369,9.860518,7148953
2009-02-23,10.965665,11.044349,10.178827,10.214592,9.275905,6631553
2009-02-24,10.329041,10.758226,10.236052,10.665236,9.685136,5293108
2009-02-25,10.457797,10.672389,10.228898,10.486409,9.522740,6565427
2009-02-26,10.615165,10.701001,10.114449,10.164521,9.230433,6687752
2009-02-27,9.942775,10.193133,9.871245,9.921316,9.009577,5494420
2009-03-02,9.728183,9.799714,9.020029,9.070100,8.236588,5994904
2009-03-03,9.220315,9.341917,8.884120,9.070100,8.236588,7055147
2009-03-04,9.241774,9.699571,9.105866,9.520744,8.645818,5427595
2009-03-05,9.284692,9.463519,8.948498,8.969957,8.145650,9678214
2009-03-06,8.912732,9.363376,8.597997,9.048641,8.217096,6800571
2009-03-09,8.941345,9.284692,8.834049,8.898426,8.080688,6017551
2009-03-10,9.091559,9.635193,9.034335,9.606581,8.723769,6584300
2009-03-11,9.699571,9.985694,9.577969,9.678112,8.788720,5358254
2009-03-12,9.628040,9.935622,9.341917,9.878398,8.970603,5116680
2009-03-13,9.907010,10.114449,9.864092,10.007153,9.087528,3648500
2009-03-16,10.114449,10.193133,9.842632,9.842632,8.938127,3028348
2009-03-17,9.942775,10.314735,9.799714,10.314735,9.366841,3554695
2009-03-18,10.336195,10.686695,10.221745,10.393419,9.438296,5001904
2009-03-19,10.443491,10.679542,10.336195,10.543634,9.574707,3904474
2009-03-20,10.550787,10.693848,10.221745,10.321888,9.373337,5937026
2009-03-23,10.729614,11.366237,10.729614,11.366237,10.321714,6473299
2009-03-24,11.201717,11.487840,11.180258,11.294707,10.256761,3801022
2009-03-25,11.444921,11.752504,11.115880,11.416309,10.367188,4095301
2009-03-26,11.480687,12.288984,11.309013,12.260372,11.133682,8359201
2009-03-27,12.010014,12.131617,11.595136,11.595136,10.529579,4496527
2009-03-30,11.316166,11.344778,10.829757,11.008584,9.996929,5550759
2009-03-31,11.101574,11.230329,10.922747,10.994278,9.983938,6620788
2009-04-01,10.815451,11.537911,10.743920,11.444921,10.393170,5530768
2009-04-02,11.723891,11.995708,11.573677,11.673820,10.601032,5987774
2009-04-03,11.230329,11.874106,11.230329,11.773963,10.691973,4024842
2009-04-06,11.666667,11.673820,11.258941,11.430615,10.380177,4691688
2009-04-07,11.208870,11.258941,11.008584,11.158798,10.133339,4978138
2009-04-08,11.051502,11.695279,11.051502,11.587983,10.523082,4806883
2009-04-09,11.752504,12.253219,11.752504,12.160229,11.042740,4545178
2009-04-13,12.024320,12.138770,11.881259,11.931330,10.834876,4369449
2009-04-14,11.917024,11.995708,11.731044,11.816881,10.730947,3114185
2009-04-15,11.745351,11.909871,11.523605,11.702432,10.627015,3482138
2009-04-16,11.816881,12.153076,11.523605,12.031474,10.925818,8019208
2009-04-17,12.038627,12.296137,11.902718,12.167382,11.049237,4154576
2009-04-20,12.131617,12.167382,11.552217,11.745351,10.665991,6736682
2009-04-21,11.802575,12.038627,11.673820,11.874106,10.782911,4251458
2009-04-22,11.752504,12.324750,11.695279,11.988555,10.886843,3967524
2009-04-23,11.974249,11.974249,11.480687,11.731044,10.652997,5264169
2009-04-24,11.816881,12.210300,11.595136,12.088698,10.977784,3901818
2009-04-27,11.931330,12.310443,11.931330,12.103004,10.990777,4380913
2009-04-28,11.959943,12.374821,11.766810,12.188841,11.068722,4938854
2009-04-29,12.310443,13.011445,12.238913,12.896996,11.711802,5516508
2009-04-30,12.947067,13.547926,12.947067,13.061516,11.861202,4977998
2009-05-01,13.025751,13.590844,13.004292,13.454936,12.218467,4039241
2009-05-04,13.454936,13.891273,13.412017,13.891273,12.614708,3885042
2009-05-05,13.848355,13.876967,13.283262,13.397711,12.166501,4895656
2009-05-06,13.562232,13.798283,13.426323,13.755365,12.491289,4313529
2009-05-07,13.841202,13.848355,13.297568,13.426323,12.192485,3590903
2009-05-08,13.562232,13.884120,13.505007,13.834049,12.562744,3597893
2009-05-11,13.640916,13.712446,13.283262,13.476395,12.237955,2973686
2009-05-12,13.490701,13.712446,13.361946,13.583691,12.335387,3025412
2009-05-13,13.354793,13.505007,12.768240,12.911302,11.724792,4229929
2009-05-14,12.846924,13.211731,12.403433,13.111588,11.906672,4686236
2009-05-15,12.889843,13.025751,12.346209,12.625179,11.464966,7322864
2009-05-18,12.603720,12.782546,12.374821,12.782546,11.607872,3707216
2009-05-19,12.789700,13.261803,12.424893,13.140200,11.932652,4224616
2009-05-20,13.268956,13.590844,13.175966,13.333333,12.108041,3662341
2009-05-21,13.032904,13.154506,12.510730,12.646638,11.484449,4439908
2009-05-22,12.703863,12.804006,12.482117,12.653791,11.490946,3602926
2009-05-26,12.632332,12.939914,12.446352,12.911302,11.724792,3461588
2009-05-27,12.939914,13.090129,12.753934,12.796853,11.620861,3757824
2009-05-28,12.947067,13.018598,12.517883,12.861230,11.679319,3126627
2009-05-29,12.911302,13.040057,12.711016,13.040057,11.841716,2769298
2009-06-01,13.190272,13.741059,13.190272,13.505007,12.263936,5764513
2009-06-02,13.497854,14.163090,13.469242,13.984263,12.699154,5233693
2009-06-03,13.941345,14.020029,13.705293,13.826896,12.556248,5618143
2009-06-04,13.869814,14.463519,13.869814,14.334764,13.017441,4408174
2009-06-05,14.442060,14.549356,14.127325,14.234621,12.926504,3230359
2009-06-08,14.120172,14.256080,13.705293,14.048641,12.757616,3000527
2009-06-09,14.134478,14.198856,13.927039,14.105866,12.809578,4124100
2009-06-10,14.248927,14.284692,13.698140,13.912732,12.634193,3781730
2009-06-11,13.934192,14.377682,13.891273,14.105866,12.809578,4628638
2009-06-12,14.070100,14.070100,13.547926,13.848355,12.575734,3673525
2009-06-15,13.683834,13.705293,13.233190,13.512160,12.270433,3293408
2009-06-16,13.526466,13.669528,13.240343,13.283262,12.062567,4170653
2009-06-17,13.340486,13.404864,13.104435,13.147353,11.939151,4365395
2009-06-18,13.118741,13.519313,12.997139,13.390558,12.160007,3287816
2009-06-19,13.597997,13.662375,13.376252,13.512160,12.270433,6732628
2009-06-22,13.419170,13.490701,13.118741,13.161660,11.952144,4045952
2009-06-23,13.226037,13.369099,13.133047,13.268956,12.049582,3580138
2009-06-24,13.369099,13.648069,13.340486,13.597997,12.348382,5450802
2009-06-25,13.562232,14.356223,13.497854,14.277539,12.965477,7063675
2009-06-26,14.227468,14.628040,14.148784,14.577969,13.238297,4788569
2009-06-29,14.620887,14.663805,14.391989,14.613734,13.270775,3079794
2009-06-30,14.635193,14.706724,14.291845,14.527897,13.192829,5433047
2009-07-01,14.570815,14.985694,14.470672,14.749642,13.394196,4742715
2009-07-02,14.449213,14.449213,13.798283,14.105866,12.809578,6138898
2009-07-06,14.077253,14.077253,13.791130,13.984263,12.699154,3513593
2009-07-07,13.991416,14.084406,13.555079,13.583691,12.335387,3558889
2009-07-08,13.590844,13.705293,13.233190,13.454936,12.218467,4603894
2009-07-09,13.490701,13.605150,13.361946,13.505007,12.263936,4342607
2009-07-10,13.433476,13.648069,13.390558,13.562232,12.315906,3415594
2009-07-13,13.576538,13.876967,13.412017,13.869814,12.595221,3290333
2009-07-14,13.769671,14.020029,13.769671,13.941345,12.660180,2331864
2009-07-15,14.077253,14.799714,13.969957,14.706724,13.355220,4383988
2009-07-16,14.649499,14.957082,14.628040,14.899857,13.530609,4075869
2009-07-17,14.907010,15.028612,14.692418,14.992847,13.615054,2873869
2009-07-20,15.114449,15.522175,15.057225,15.422031,14.004795,3101603
