Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,18.075001,18.594999,18.075001,18.424999,14.976266,5763400
2009-01-27,18.450001,18.830000,18.330000,18.469999,15.012839,6644600
2009-01-28,18.860001,18.900000,18.605000,18.879999,15.346095,4902200
2009-01-29,17.990000,18.920000,17.990000,18.540001,15.069738,3146000
2009-01-30,18.059999,18.905001,18.025000,18.160000,14.760867,3259400
2009-02-02,17.860001,18.650000,17.860001,18.455000,15.000650,3587000
2009-02-03,18.520000,18.855000,18.190001,18.775000,15.260754,6504200
2009-02-04,18.860001,19.150000,18.670000,18.959999,15.411125,3722800
2009-02-05,18.959999,19.395000,18.809999,19.200001,15.606202,3787400
2009-02-06,19.174999,19.545000,19.105000,19.379999,15.752511,3200800
2009-02-09,19.375000,19.379999,19.055000,19.340000,15.719998,2214800
2009-02-10,19.155001,19.355000,18.745001,18.820000,15.297329,4167600
2009-02-11,18.834999,18.959999,18.625000,18.684999,15.187597,3760800
2009-02-12,18.360001,18.940001,18.215000,18.920000,15.419874,3572800
2009-02-13,18.844999,19.030001,18.629999,18.674999,15.220196,2133800
2009-02-17,18.375000,18.375000,17.985001,18.115000,14.763801,3120600
2009-02-18,18.160000,18.215000,17.889999,18.059999,14.718974,2799800
2009-02-19,18.100000,18.160000,17.680000,17.775000,14.486701,4350200
2009-02-20,17.565001,17.975000,17.510000,17.825001,14.527443,4604200
2009-02-23,17.950001,17.980000,17.270000,17.305000,14.103643,3789600
2009-02-24,17.400000,17.605000,17.174999,17.540001,14.295170,4879000
2009-02-25,17.580000,17.615000,17.000000,17.084999,13.924343,3411800
2009-02-26,17.174999,17.275000,16.260000,16.315001,13.296790,6526600
2009-02-27,16.129999,16.285000,15.825000,15.880000,12.942266,7117800
2009-03-02,15.635000,15.860000,15.215000,15.270000,12.445112,4446400
2009-03-03,15.415000,15.670000,15.015000,15.180000,12.371761,5186200
2009-03-04,15.300000,15.725000,15.075000,15.520000,12.648864,4850000
2009-03-05,15.340000,15.605000,15.155000,15.490000,12.624411,5502000
2009-03-06,15.485000,15.790000,15.120000,15.355000,12.514389,5919400
2009-03-09,15.200000,15.330000,14.975000,15.095000,12.302485,3498600
2009-03-10,15.385000,15.610000,15.060000,15.610000,12.722211,5320200
2009-03-11,15.640000,15.640000,14.075000,14.095000,11.487481,12991400
2009-03-12,14.095000,14.780000,13.750000,14.710000,11.988711,10565600
2009-03-13,14.790000,15.635000,14.735000,15.625000,12.734436,6931400
2009-03-16,15.770000,15.855000,15.270000,15.285000,12.457334,3846000
2009-03-17,15.355000,15.695000,15.155000,15.695000,12.791489,2887000
2009-03-18,15.550000,15.825000,15.405000,15.600000,12.714067,4435400
2009-03-19,15.535000,15.770000,15.005000,15.235000,12.416588,5027800
2009-03-20,15.355000,15.400000,15.145000,15.290000,12.461415,5031400
2009-03-23,15.515000,15.925000,15.360000,15.895000,12.954490,4263200
2009-03-24,15.685000,16.125000,15.670000,16.025000,13.060442,4181600
2009-03-25,16.030001,16.370001,15.985000,16.184999,13.190842,2962400
2009-03-26,16.240000,16.370001,16.100000,16.344999,13.321240,2535200
2009-03-27,16.200001,16.254999,15.970000,16.145000,13.158241,3493400
2009-03-30,16.049999,16.155001,15.750000,16.129999,13.146014,3274600
2009-03-31,16.275000,16.725000,16.075001,16.330000,13.309022,4710800
2009-04-01,16.180000,16.420000,15.900000,16.365000,13.337543,3438000
2009-04-02,16.645000,16.940001,16.584999,16.764999,13.663542,3205200
2009-04-03,16.844999,16.844999,16.235001,16.385000,13.353841,3445000
2009-04-06,16.250000,16.610001,16.180000,16.405001,13.370143,2590800
2009-04-07,16.275000,16.504999,16.110001,16.254999,13.247890,1933400
