Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,12.880000,13.250000,12.580000,12.670000,12.670000,272898
2009-01-27,12.750000,13.860000,12.600000,13.740000,13.740000,398700
2009-01-28,13.920000,14.210000,13.530000,14.160000,14.160000,314434
2009-01-29,14.030000,14.080000,13.440000,13.550000,13.550000,326132
2009-01-30,13.720000,14.170000,13.360000,13.490000,13.490000,218177
2009-02-02,13.330000,13.810000,13.120000,13.690000,13.690000,144776
2009-02-03,13.730000,13.730000,12.890000,13.090000,13.090000,274501
2009-02-04,13.090000,13.530000,12.750000,12.790000,12.790000,194759
2009-02-05,11.680000,11.680000,9.580000,9.800000,9.800000,1835211
2009-02-06,9.510000,10.090000,9.000000,9.440000,9.440000,1130288
2009-02-09,9.400000,9.590000,8.890000,9.010000,9.010000,682740
2009-02-10,8.950000,9.060000,8.470000,8.760000,8.760000,806307
2009-02-11,8.720000,9.010000,8.720000,8.880000,8.880000,522880
2009-02-12,8.720000,9.070000,8.590000,8.990000,8.990000,429713
2009-02-13,8.970000,8.998000,8.530000,8.710000,8.710000,250383
2009-02-17,8.410000,8.560000,8.300000,8.310000,8.310000,243121
2009-02-18,8.370000,8.380000,7.980000,8.070000,8.070000,238345
2009-02-19,8.270000,8.400000,7.910000,7.960000,7.960000,288022
2009-02-20,7.870000,7.980000,7.540000,7.620000,7.620000,394449
2009-02-23,7.720000,7.890000,7.110000,7.230000,7.230000,497203
2009-02-24,7.350000,7.520000,7.030000,7.370000,7.370000,321530
2009-02-25,7.340000,7.510000,7.030100,7.150000,7.150000,268679
2009-02-26,7.190000,7.190000,6.780000,6.850000,6.850000,247097
2009-02-27,6.850000,6.970000,6.740000,6.810000,6.810000,338100
2009-03-02,6.690000,6.690000,6.000000,6.010000,6.010000,468090
2009-03-03,6.150000,6.300000,5.950000,5.980000,5.980000,300478
2009-03-04,6.060000,6.230000,5.800000,5.850000,5.850000,614013
2009-03-05,5.790000,6.010000,5.200000,5.230000,5.230000,571536
2009-03-06,5.300000,5.500000,4.670000,4.990000,4.990000,799897
2009-03-09,4.960000,5.200000,4.900000,5.120000,5.120000,446109
2009-03-10,5.240000,5.470000,5.179800,5.440000,5.440000,307743
2009-03-11,5.460000,5.760000,5.320000,5.660000,5.660000,451455
2009-03-12,5.840000,5.900000,5.680000,5.830000,5.830000,657669
2009-03-13,5.890000,5.910000,5.610000,5.740000,5.740000,308543
2009-03-16,5.810000,5.930000,5.440000,5.440000,5.440000,280022
2009-03-17,5.410000,5.530000,5.220000,5.300000,5.300000,368238
2009-03-18,5.320000,5.620000,5.250000,5.500000,5.500000,701014
2009-03-19,5.590000,5.700000,5.290000,5.350000,5.350000,289108
2009-03-20,5.400000,5.550000,4.870000,5.040000,5.040000,434450
2009-03-23,5.180000,5.380000,5.050000,5.240000,5.240000,247956
2009-03-24,5.190000,5.240000,4.920000,4.940000,4.940000,244411
2009-03-25,5.950000,6.080000,5.350000,5.450000,5.450000,637138
2009-03-26,5.510000,5.660000,5.310000,5.500000,5.500000,460288
2009-03-27,5.420000,5.480000,5.310000,5.370000,5.370000,243375
2009-03-30,5.360000,5.490000,5.130000,5.220000,5.220000,189057
2009-03-31,5.260000,5.400000,4.850000,4.900000,4.900000,581515
2009-04-01,4.840000,5.060000,4.780000,4.950000,4.950000,405577
2009-04-02,5.080000,5.410000,4.990000,5.370000,5.370000,385531
2009-04-03,5.190000,5.350000,5.150000,5.250000,5.250000,240442
2009-04-06,5.200000,5.230000,4.980000,5.170000,5.170000,213472
2009-04-07,5.120000,5.320000,5.100000,5.180000,5.180000,278670
2009-04-08,5.200000,5.310000,5.030000,5.230000,5.230000,247398
