Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,8.280000,8.700000,8.220000,8.470000,6.242389,7104600
2009-01-27,8.400000,8.880000,8.400000,8.670000,6.389790,6964700
2009-01-28,8.880000,8.930000,8.580000,8.670000,6.389790,4469800
2009-01-29,8.430000,8.730000,8.320000,8.340000,6.146580,3375700
2009-01-30,8.270000,8.480000,7.850000,7.910000,5.829670,5300100
2009-02-02,7.770000,8.070000,7.470000,7.980000,5.881260,7927900
2009-02-03,8.020000,8.190000,7.890000,8.130000,5.991810,4547500
2009-02-04,8.190000,8.430000,8.100000,8.300000,6.117100,3687400
2009-02-05,8.280000,8.430000,7.900000,8.240000,6.072878,4968500
2009-02-06,8.110000,8.650000,8.100000,8.580000,6.323461,4496200
2009-02-09,8.650000,8.650000,8.200000,8.260000,6.087620,4377700
2009-02-10,8.270000,8.400000,7.900000,8.060000,5.940219,8339300
2009-02-11,8.010000,8.150000,7.750000,7.900000,5.822299,5026900
2009-02-12,7.620000,7.940000,7.500000,7.910000,5.829670,7101500
2009-02-13,7.860000,8.000000,7.670000,7.740000,5.704379,4212500
2009-02-17,7.530000,7.530000,7.000000,7.180000,5.291660,7875100
2009-02-18,7.250000,7.310000,6.950000,7.090000,5.225329,6179500
2009-02-19,7.180000,7.470000,7.070000,7.300000,5.380100,5488900
2009-02-20,7.150000,7.200000,6.550000,6.710000,4.945270,8250000
2009-02-23,6.850000,6.930000,6.330000,6.380000,4.702060,11160600
2009-02-24,6.440000,6.850000,6.330000,6.820000,5.026340,4994600
2009-02-25,6.430000,6.680000,6.320000,6.500000,4.790500,8849200
2009-02-26,6.590000,6.970000,6.510000,6.960000,5.129521,9195700
2009-02-27,6.810000,6.810000,6.000000,6.300000,4.643100,14217300
2009-03-02,6.140000,6.270000,5.550000,5.600000,4.127201,10172200
2009-03-03,5.710000,6.000000,5.300000,5.320000,3.920841,10663200
2009-03-04,5.350000,5.670000,5.350000,5.520000,4.068240,5914300
2009-03-05,5.380000,5.410000,4.800000,5.000000,3.685000,9046900
2009-03-06,4.980000,5.310000,4.890000,5.110000,3.766071,12716200
2009-03-09,5.130000,5.310000,4.850000,4.910000,3.618670,4887300
2009-03-10,5.060000,5.370000,4.910000,5.310000,3.913470,8490400
2009-03-11,5.430000,5.660000,5.350000,5.590000,4.119831,7976100
2009-03-12,5.560000,6.120000,5.440000,6.050000,4.458850,9973200
2009-03-13,6.100000,6.370000,6.060000,6.140000,4.525180,9870600
2009-03-16,6.220000,6.760000,6.220000,6.570000,4.842089,7449900
2009-03-17,6.590000,6.590000,6.290000,6.410000,4.724170,7025200
2009-03-18,6.370000,6.840000,6.250000,6.790000,5.004229,6555100
2009-03-19,6.840000,7.000000,6.570000,6.600000,4.864200,8610900
2009-03-20,6.640000,6.750000,6.290000,6.420000,4.731540,7467800
2009-03-23,6.700000,6.820000,6.540000,6.790000,5.004229,6179400
2009-03-24,6.690000,6.740000,6.380000,6.500000,4.790500,5432400
2009-03-25,6.670000,6.680000,6.020000,6.130000,4.517810,7357300
2009-03-26,6.360000,6.360000,6.060000,6.250000,4.606250,12154400
2009-03-27,6.160000,6.250000,6.000000,6.160000,4.539921,9192400
2009-03-30,6.140000,6.140000,5.580000,5.650000,4.164050,9141300
2009-03-31,5.750000,6.000000,5.700000,5.810000,4.281971,8344400
2009-04-01,5.730000,5.980000,5.620000,5.920000,4.363039,5442400
2009-04-02,6.110000,6.330000,5.950000,6.260000,4.613619,12624600
2009-04-03,6.250000,6.300000,6.080000,6.270000,4.620991,7462500
2009-04-06,6.190000,6.380000,6.110000,6.280000,4.628360,6633000
2009-04-07,6.170000,6.260000,6.000000,6.120000,4.510439,6320100
2009-04-08,6.160000,6.500000,6.050000,6.450000,4.753649,9214000
2009-04-09,6.670000,6.900000,6.490000,6.760000,4.982121,10260600
2009-04-13,6.740000,6.740000,6.440000,6.510000,4.797871,6918900
2009-04-14,6.480000,6.690000,6.420000,6.520000,4.805241,7792600
2009-04-15,6.490000,6.680000,6.480000,6.550000,4.827349,5095000
2009-04-16,6.640000,6.850000,6.520000,6.750000,4.974749,9097400
2009-04-17,6.800000,6.970000,6.700000,6.950000,5.122151,8443300
2009-04-20,6.820000,6.890000,6.510000,6.560000,4.834720,11349600
2009-04-21,6.650000,6.950000,6.650000,6.850000,5.048450,8861500
2009-04-22,6.750000,6.840000,6.660000,6.700000,4.937900,7911200
2009-04-23,6.660000,6.830000,6.660000,6.690000,4.930532,7213800
2009-04-24,6.790000,6.990000,6.700000,6.920000,5.100040,6566600
2009-04-27,6.800000,6.920000,6.510000,6.550000,4.827349,8696800
2009-04-28,6.520000,6.700000,6.330000,6.580000,4.849462,8040500
2009-04-29,6.630000,6.800000,6.570000,6.770000,4.989491,7842200
2009-04-30,6.860000,7.260000,6.800000,7.070000,5.210590,15795200
2009-05-01,7.090000,7.750000,7.020000,7.730000,5.697011,10006800
2009-05-04,7.680000,8.240000,7.680000,8.110000,5.977069,15039400
2009-05-05,8.020000,8.240000,8.010000,8.220000,6.058142,6910400
2009-05-06,8.290000,8.500000,8.190000,8.230000,6.065508,6554400
2009-05-07,8.330000,8.540000,8.050000,8.140000,5.999180,8234700
2009-05-08,8.390000,9.720000,8.270000,9.620000,7.089939,19658900
2009-05-11,9.480000,9.500000,9.010000,9.020000,6.647739,9216300
2009-05-12,9.040000,9.100000,8.770000,8.990000,6.625628,5116700
2009-05-13,8.840000,8.910000,8.340000,8.370000,6.168690,7030600
2009-05-14,8.370000,9.200000,8.350000,9.150000,6.743549,11755100
2009-05-15,9.040000,9.170000,8.430000,8.550000,6.301350,8035700
2009-05-18,8.670000,9.070000,8.660000,9.020000,6.647739,9292700
2009-05-19,9.110000,9.620000,9.010000,9.550000,7.038352,9497300
2009-05-20,9.460000,9.750000,8.810000,8.860000,6.529820,13249500
2009-05-21,8.730000,8.970000,8.540000,8.680000,6.397161,5851100
2009-05-22,8.590000,8.900000,8.510000,8.620000,6.352939,6998100
2009-05-26,8.670000,9.020000,8.530000,8.990000,6.625628,7677400
2009-05-27,9.010000,9.250000,8.840000,8.870000,6.537190,13844400
2009-05-28,8.990000,9.590000,8.910000,9.510000,7.008869,10365100
2009-05-29,9.570000,10.010000,9.360000,9.990000,7.362628,11786800
2009-06-01,10.190000,10.740000,10.160000,10.680000,7.871159,11332200
2009-06-02,10.660000,10.730000,10.450000,10.520000,7.753240,7394400
2009-06-03,10.400000,10.490000,9.900000,10.030000,7.392112,7340700
2009-06-04,10.120000,10.560000,10.060000,10.430000,7.686910,8523700
2009-06-05,10.700000,10.720000,10.260000,10.310000,7.598470,7095100
2009-06-08,10.330000,10.340000,10.100000,10.240000,7.546881,5302400
2009-06-09,10.300000,10.420000,9.940000,10.070000,7.421589,6728900
2009-06-10,10.180000,10.320000,9.900000,10.120000,7.458442,6925000
2009-06-11,10.170000,10.710000,10.160000,10.420000,7.679541,7226000
2009-06-12,10.360000,10.790000,10.210000,10.690000,7.878531,7467700
2009-06-15,10.660000,10.660000,9.880000,10.080000,7.428961,7724700
2009-06-16,10.140000,10.370000,9.860000,9.980000,7.355260,5757400
2009-06-17,9.970000,10.050000,9.640000,9.690000,7.141531,6401800
2009-06-18,9.680000,9.930000,9.550000,9.610000,7.082568,7570200
2009-06-19,9.700000,10.050000,9.690000,9.750000,7.185749,6831800
2009-06-22,9.600000,9.700000,9.030000,9.160000,6.750920,8381500
2009-06-23,9.140000,9.670000,9.140000,9.630000,7.097310,9504500
2009-06-24,10.140000,10.650000,10.100000,10.580000,7.797458,20811300
2009-06-25,10.540000,11.160000,10.370000,11.120000,8.195440,13536000
2009-06-26,11.040000,11.060000,10.610000,10.870000,8.011187,9040900
2009-06-29,10.950000,11.480000,10.800000,11.460000,8.446020,9186500
2009-06-30,11.440000,11.640000,10.980000,11.610000,8.556566,13424900
2009-07-01,11.660000,11.880000,11.660000,11.760000,8.667118,10775700
2009-07-02,11.600000,11.670000,11.290000,11.290000,8.320731,10417200
2009-07-06,11.210000,11.360000,10.930000,11.120000,8.195440,11746300
2009-07-07,11.120000,11.300000,10.860000,10.900000,8.033300,11618100
2009-07-08,10.950000,11.260000,10.670000,11.010000,8.114372,13049700
2009-07-09,11.060000,11.300000,10.800000,11.160000,8.224918,5294700
2009-07-10,11.040000,11.210000,10.840000,11.180000,8.239662,5462700
2009-07-13,11.190000,11.490000,10.870000,11.460000,8.446020,6540800
2009-07-14,11.460000,11.720000,11.300000,11.590000,8.541832,9162600
2009-07-15,11.690000,12.150000,11.630000,12.110000,8.925069,9448800
2009-07-16,12.010000,12.160000,11.690000,12.090000,8.910329,5473000
2009-07-17,12.060000,12.210000,11.820000,11.930000,8.792412,4734400
2009-07-20,12.070000,12.350000,11.980000,12.310000,9.072471,7823200
2009-07-21,12.420000,12.490000,12.060000,12.250000,9.028251,8858200
2009-07-22,12.150000,12.280000,11.980000,12.050000,8.880848,6672000
2009-07-23,11.970000,12.630000,11.880000,12.510000,9.219872,7936900
2009-07-24,12.510000,13.240000,12.420000,13.060000,9.625217,9957100
2009-07-27,12.760000,13.030000,12.560000,12.980000,9.566257,7313400
