Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,9.620000,10.090000,9.510000,9.830000,7.630875,17655300
2009-01-27,9.930000,10.280000,9.860000,10.080000,7.824946,18314000
2009-01-28,10.230000,10.470000,10.160000,10.380000,8.057835,15670800
2009-01-29,10.120000,10.200000,9.470000,9.600000,7.452332,22718500
2009-01-30,9.690000,9.870000,9.310000,9.370000,7.273786,21253500
2009-02-02,9.250000,9.520000,9.070000,9.410000,7.304838,24355400
2009-02-03,9.350000,9.590000,9.130000,9.580000,7.436804,21220400
2009-02-04,9.560000,10.230000,9.460000,9.830000,7.630875,23412900
2009-02-05,9.660000,10.300000,9.660000,10.230000,7.941393,22772300
2009-02-06,10.230000,10.510000,10.140000,10.450000,8.112171,17174400
2009-02-09,10.460000,10.560000,10.120000,10.200000,7.918098,27047400
2009-02-10,10.050000,10.420000,9.680000,9.690000,7.566709,35956700
2009-02-11,9.470000,10.050000,9.460000,9.770000,7.629177,26078000
2009-02-12,9.600000,9.690000,9.070000,9.420000,7.355871,39398000
2009-02-13,9.400000,9.590000,9.260000,9.510000,7.426149,28518300
2009-02-17,9.110000,9.150000,8.580000,8.610000,6.723357,27833800
2009-02-18,8.640000,8.940000,8.410000,8.590000,6.707741,23256200
2009-02-19,8.740000,8.770000,8.250000,8.340000,6.512522,30449500
2009-02-20,8.300000,8.930000,8.190000,8.760000,6.840492,33707700
2009-02-23,8.800000,8.920000,8.330000,8.370000,6.535947,24107800
2009-02-24,8.500000,8.780000,8.410000,8.740000,6.824872,22530800
2009-02-25,8.640000,9.790000,8.540000,9.450000,7.379295,46238400
2009-02-26,9.460000,9.990000,9.350000,9.840000,7.683838,54131800
2009-02-27,9.550000,9.900000,9.210000,9.210000,7.191884,39333000
2009-03-02,9.060000,9.300000,8.780000,8.850000,6.910771,28072200
2009-03-03,8.990000,9.070000,8.700000,8.850000,6.910771,21909600
2009-03-04,8.900000,9.440000,8.890000,9.300000,7.262167,21710000
2009-03-05,9.080000,9.390000,9.010000,9.040000,7.059135,23433200
2009-03-06,9.090000,9.290000,8.450000,8.700000,6.793636,43140600
2009-03-09,8.480000,9.070000,8.460000,8.580000,6.699933,19395500
2009-03-10,8.800000,9.250000,8.570000,9.220000,7.199696,24799600
2009-03-11,9.190000,9.670000,9.180000,9.600000,7.496428,22364100
2009-03-12,9.480000,10.180000,9.440000,10.140000,7.918101,24807100
2009-03-13,10.140000,10.610000,10.010000,10.590000,8.269495,32285000
2009-03-16,10.680000,10.800000,10.350000,10.430000,8.144556,35792600
2009-03-17,10.460000,10.700000,10.220000,10.700000,8.355392,25520900
2009-03-18,10.530000,10.900000,10.450000,10.850000,8.472526,26293300
2009-03-19,10.980000,10.990000,10.550000,10.700000,8.355392,18977500
2009-03-20,10.860000,10.960000,10.080000,10.210000,7.972763,23658600
2009-03-23,10.470000,11.070000,10.440000,11.060000,8.636509,23166500
2009-03-24,10.810000,10.900000,10.550000,10.590000,8.269495,16440800
2009-03-25,10.650000,11.170000,10.610000,10.990000,8.581848,29996900
2009-03-26,11.060000,11.690000,10.900000,11.620000,9.073803,30269800
2009-03-27,11.430000,11.500000,11.200000,11.230000,8.769258,18660600
2009-03-30,10.910000,11.010000,10.470000,10.660000,8.324160,18865700
2009-03-31,10.790000,10.920000,10.580000,10.750000,8.394434,17575200
2009-04-01,10.550000,10.830000,10.450000,10.760000,8.402245,17294600
2009-04-02,11.050000,11.600000,10.980000,11.440000,8.933243,19923100
2009-04-03,11.500000,11.820000,11.390000,11.810000,9.222168,21739300
2009-04-06,11.700000,11.760000,11.250000,11.560000,9.026947,17990000
2009-04-07,11.090000,11.200000,10.400000,10.550000,8.238262,26516200
2009-04-08,10.530000,10.830000,10.480000,10.750000,8.394434,16453500
2009-04-09,10.950000,11.470000,10.900000,11.450000,8.941052,16858800
2009-04-13,11.460000,11.630000,11.210000,11.510000,8.987904,15820500
2009-04-14,11.440000,11.890000,11.230000,11.760000,9.183127,27541500
2009-04-15,11.450000,11.540000,11.140000,11.430000,8.925438,17836400
