Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.891667,5.125000,4.891667,4.978333,4.022553,1806600
2009-01-27,4.990000,5.073333,4.871667,4.928333,3.982152,1301400
2009-01-28,4.990000,5.016667,4.941667,4.988333,4.056697,1452000
2009-01-29,4.913333,4.921667,4.713333,4.745000,3.858810,1299000
2009-01-30,4.723333,4.790000,4.561667,4.580000,3.724626,1270200
2009-02-02,4.566667,4.655000,4.411667,4.575000,3.720560,943200
2009-02-03,4.600000,4.673333,4.521667,4.620000,3.757155,1248000
2009-02-04,4.601667,4.751667,4.548333,4.590000,3.732760,893400
2009-02-05,4.568333,4.721667,4.473333,4.663333,3.792396,1158000
2009-02-06,4.688333,4.881667,4.645000,4.821667,3.921160,1225200
2009-02-09,4.813333,4.825000,4.676667,4.721667,3.839836,896400
2009-02-10,4.703333,4.783333,4.500000,4.525000,3.679898,1317000
2009-02-11,4.536667,4.606667,4.408333,4.480000,3.643303,900000
2009-02-12,4.500000,4.670000,4.426667,4.558333,3.707007,1447200
2009-02-13,4.576667,4.690000,4.560000,4.591667,3.734115,882000
2009-02-17,4.433333,4.495000,4.333333,4.376667,3.559268,1035000
2009-02-18,4.395000,4.453333,4.260000,4.323333,3.515897,1689000
2009-02-19,4.366667,4.415000,4.166667,4.206667,3.421018,2154000
2009-02-20,4.143333,4.250000,4.046667,4.180000,3.399333,1847400
2009-02-23,4.291667,4.491667,4.231667,4.250000,3.456259,2152800
2009-02-24,4.325000,4.543333,4.258333,4.483333,3.646012,1909800
2009-02-25,4.441667,4.513333,4.326667,4.368333,3.552490,1248600
2009-02-26,4.463333,4.505000,4.263333,4.285000,3.484721,1117800
2009-02-27,4.246667,4.375000,4.226667,4.255000,3.460325,1574400
2009-03-02,4.213333,4.215000,3.983333,4.011667,3.262437,1432200
2009-03-03,4.061667,4.118333,3.900000,3.978333,3.235329,2833200
2009-03-04,4.041667,4.106667,3.958333,4.023333,3.271924,1983000
2009-03-05,3.940000,3.996667,3.710000,3.746667,3.046929,1317000
2009-03-06,3.775000,3.898333,3.666667,3.738333,3.040153,1718400
2009-03-09,3.685000,3.756667,3.528333,3.548333,2.885637,2527200
2009-03-10,3.628333,3.723333,3.578333,3.658333,2.975093,2115000
2009-03-11,3.673333,3.698333,3.566667,3.590000,2.919522,1564800
2009-03-12,3.581667,3.711667,3.491667,3.680000,2.992714,1860000
2009-03-13,3.700000,3.773333,3.600000,3.668333,2.983225,1095600
2009-03-16,3.695000,3.743333,3.581667,3.591667,2.920878,1255200
2009-03-17,3.600000,3.861667,3.523333,3.856667,3.136385,3125400
2009-03-18,3.875000,4.121667,3.841667,4.093333,3.328851,3103200
2009-03-19,4.153333,4.153333,3.985000,3.998333,3.251593,1210200
2009-03-20,4.031667,4.033333,3.835000,3.883333,3.158070,1567200
2009-03-23,3.890000,4.241667,3.890000,4.241667,3.449482,2113200
2009-03-24,4.173333,4.236667,4.101667,4.118333,3.349182,1556400
2009-03-25,4.143333,4.266667,4.073333,4.221667,3.433217,2391600
2009-03-26,4.276667,4.383333,4.178333,4.381667,3.563335,2367600
2009-03-27,4.313333,4.333333,4.211667,4.253333,3.458969,1582800
2009-03-30,4.216667,4.216667,4.035000,4.130000,3.358670,1842600
2009-03-31,4.165000,4.276667,4.108333,4.196667,3.412887,1306800
2009-04-01,4.131667,4.211667,4.045000,4.195000,3.411531,1167600
2009-04-02,4.301667,4.500000,4.301667,4.371667,3.555203,1644000
2009-04-03,4.351667,4.406667,4.320000,4.400000,3.578244,812400
2009-04-06,4.333333,4.401667,4.253333,4.396667,3.575534,1256400
2009-04-07,4.316667,4.358333,4.253333,4.305000,3.500986,1165800
2009-04-08,4.318333,4.456667,4.318333,4.456667,3.624327,1189200
2009-04-09,4.550000,4.865000,4.550000,4.846667,3.941491,2256600
2009-04-13,4.786667,4.805000,4.611667,4.745000,3.858810,1629000
2009-04-14,4.650000,4.703333,4.521667,4.671667,3.799174,2361600
2009-04-15,4.633333,4.741667,4.555000,4.721667,3.839836,1410600
2009-04-16,4.763333,5.071667,4.670000,5.021667,4.083807,2147400
2009-04-17,4.416667,4.938333,4.218333,4.905000,3.988929,9042000
2009-04-20,4.786667,4.825000,4.625000,4.660000,3.789686,3490800
2009-04-21,4.658333,4.906667,4.625000,4.903333,3.987573,2866200
2009-04-22,4.801667,5.020000,4.773333,4.895000,3.980797,2300400
2009-04-23,4.910000,5.191667,4.843333,5.133333,4.174619,3546000
2009-04-24,5.141667,5.423333,5.103333,5.231667,4.254588,2895600
2009-04-27,5.081667,5.096667,4.891667,4.991667,4.059410,3377400
2009-04-28,4.943333,5.030000,4.906667,4.968333,4.066228,3349800
2009-04-29,5.065000,5.215000,5.010000,5.160000,4.223095,3068400
2009-04-30,5.225000,5.373333,5.150000,5.181667,4.240829,3465600
