Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,6.235000,6.517500,6.235000,6.440000,5.791050,10818800
2009-01-27,6.500000,6.560000,6.327500,6.517500,5.860742,6184800
2009-01-28,6.632500,7.000000,6.535000,6.925000,6.227177,11748800
2009-01-29,6.840000,6.912500,6.637500,6.665000,5.993376,6398400
2009-01-30,6.655000,6.740000,6.510000,6.537500,5.878725,9701600
2009-02-02,6.372500,6.547500,6.315000,6.477500,5.824771,7002800
2009-02-03,6.535000,6.690000,6.405000,6.642500,5.973143,5256000
2009-02-04,6.662500,7.192500,6.650000,7.127500,6.409272,16811200
2009-02-05,6.990000,7.245000,6.797500,7.140000,6.420510,9708400
2009-02-06,7.210000,7.437500,7.147500,7.427500,6.679039,11043600
2009-02-09,7.412500,7.447500,7.087500,7.162500,6.440744,6742800
2009-02-10,7.040000,7.207500,6.762500,6.880000,6.186712,8586000
2009-02-11,6.887500,7.000000,6.862500,6.947500,6.247408,4624400
2009-02-12,6.940000,7.090000,6.797500,7.077500,6.364310,5712800
2009-02-13,7.077500,7.150000,6.942500,6.965000,6.263146,5276400
2009-02-17,6.355000,6.765000,6.355000,6.610000,5.943920,7678400
2009-02-18,6.655000,6.717500,6.447500,6.602500,5.937175,5888800
2009-02-19,6.660000,6.682500,6.275000,6.295000,5.660659,6051600
2009-02-20,6.185000,6.542500,6.125000,6.452500,5.802289,9768800
2009-02-23,6.505000,6.545000,6.237500,6.250000,5.620195,12439200
2009-02-24,6.215000,6.595000,6.215000,6.562500,5.901206,7079200
2009-02-25,6.460000,6.717500,6.395000,6.567500,5.905701,6517600
2009-02-26,6.670000,6.752500,6.507500,6.540000,5.880974,8282000
2009-02-27,6.340000,6.580000,6.315000,6.355000,5.714615,11193600
2009-03-02,6.205000,6.265000,6.000000,6.015000,5.408874,5794400
2009-03-03,6.102500,6.127500,5.912500,6.000000,5.395387,6140400
2009-03-04,6.045000,6.422500,6.045000,6.325000,5.687638,5234400
2009-03-05,6.150000,6.235000,5.927500,6.012500,5.406628,9849200
2009-03-06,6.017500,6.127500,5.705000,5.927500,5.330194,10293200
2009-03-09,5.822500,5.945000,5.710000,5.740000,5.164855,6731200
2009-03-10,5.822500,6.252500,5.755000,6.235000,5.610255,6548800
2009-03-11,6.292500,6.560000,6.190000,6.495000,5.844203,9950000
2009-03-12,6.375000,6.720000,6.375000,6.720000,6.046659,7636800
2009-03-13,6.740000,6.827500,6.587500,6.717500,6.044410,10092000
2009-03-16,6.885000,6.885000,6.655000,6.690000,6.019666,8074000
2009-03-17,6.685000,6.862500,6.640000,6.862500,6.174881,6729600
2009-03-18,6.812500,7.110000,6.702500,7.057500,6.350341,8296800
2009-03-19,7.070000,7.160000,6.950000,7.082500,6.372837,5738800
2009-03-20,7.112500,7.207500,6.877500,6.982500,6.282856,9060000
2009-03-23,7.187500,7.400000,7.122500,7.400000,6.658524,6858000
2009-03-24,7.372500,7.397500,7.230000,7.272500,6.543799,5073600
2009-03-25,7.370000,7.530000,7.127500,7.342500,6.606785,8079600
2009-03-26,7.405000,7.710000,7.362500,7.635000,6.869977,8424400
2009-03-27,7.527500,7.570000,7.372500,7.392500,6.651775,7809200
2009-03-30,7.227500,7.272500,6.982500,7.060000,6.352592,9376800
2009-03-31,7.120000,7.305000,7.065000,7.122500,6.408829,7220800
2009-04-01,6.995000,7.395000,6.995000,7.357500,6.620282,8278000
2009-04-02,7.430000,8.187500,7.427500,7.967500,7.169160,12519600
2009-04-03,8.025000,8.040000,7.727500,7.815000,7.031942,10093200
2009-04-06,7.735000,7.830000,7.635000,7.797500,7.016195,7536800
2009-04-07,7.635000,7.635000,7.125000,7.225000,6.501059,10740000
2009-04-08,7.005000,7.262500,7.005000,7.205000,6.483063,8938000
2009-04-09,7.417500,7.617500,7.345000,7.580000,6.820490,7298800
2009-04-13,7.475000,7.532500,7.342500,7.465000,6.717012,5574000
2009-04-14,7.402500,7.537500,7.315000,7.477500,6.728258,4696400
2009-04-15,7.387500,7.492500,7.122500,7.195000,6.474065,10845200
2009-04-16,7.332500,7.965000,7.332500,7.872500,7.083680,15886000
2009-04-17,7.787500,7.945000,7.507500,7.625000,6.860979,10395600
2009-04-20,7.567500,7.605000,7.425000,7.560000,6.802493,8876800
2009-04-21,7.612500,7.892500,7.547500,7.860000,7.072433,9121600
2009-04-22,7.760000,8.250000,7.712500,8.037500,7.232148,8310800
2009-04-23,7.987500,8.092500,7.797500,8.040000,7.234396,6098800
2009-04-24,8.080000,8.367500,8.052500,8.332500,7.497588,8668400
2009-04-27,8.205000,8.297500,8.112500,8.215000,7.391862,5544000
2009-04-28,8.062500,8.330000,7.995000,8.247500,7.421105,4461600
2009-04-29,8.277500,8.625000,8.247500,8.492500,7.641555,5515200
2009-04-30,8.730000,8.750000,8.430000,8.460000,7.612317,5986400
2009-05-01,8.445000,8.592500,8.377500,8.530000,7.675298,4024000
2009-05-04,8.562500,8.787500,8.422500,8.787500,7.906999,4914800
2009-05-05,8.765000,8.772500,8.507500,8.567500,7.709040,4955200
2009-05-06,8.602500,8.625000,8.340000,8.475000,7.625811,4944400
2009-05-07,8.572500,8.572500,7.960000,8.072500,7.263639,6692400
2009-05-08,8.125000,8.260000,7.905000,8.112500,7.299633,5794000
2009-05-11,8.000000,8.000000,7.747500,7.767500,6.989200,7852000
2009-05-12,7.805000,7.902500,7.717500,7.825000,7.040940,5946000
2009-05-13,7.725000,7.790000,7.627500,7.662500,6.894721,5865200
2009-05-14,7.700000,7.940000,7.670000,7.887500,7.097178,4608000
2009-05-15,7.890000,8.072500,7.847500,7.950000,7.153413,6502000
2009-05-18,8.005000,8.230000,7.937500,8.222500,7.398610,6714800
2009-05-19,8.175000,8.470000,8.137500,8.360000,7.522332,6411600
2009-05-20,8.412500,8.625000,8.370000,8.385000,7.544827,5322400
2009-05-21,8.325000,8.337500,7.915000,8.002500,7.200654,5872400
2009-05-22,8.025000,8.117500,7.905000,8.022500,7.218650,4110000
2009-05-26,7.972500,8.410000,7.900000,8.370000,7.531331,4296400
2009-05-27,8.370000,8.472500,8.230000,8.235000,7.409859,4213200
2009-05-28,8.402500,8.402500,8.085000,8.287500,7.457098,3563200
2009-05-29,8.290000,8.402500,8.165000,8.347500,7.511086,4091200
2009-06-01,8.490000,8.792500,8.432500,8.767500,7.889002,4258800
2009-06-02,8.790000,8.847500,8.645000,8.755000,7.877758,4354800
2009-06-03,8.610000,8.637500,8.235000,8.340000,7.504333,6550400
2009-06-04,8.367500,8.495000,8.292500,8.432500,7.587566,5326400
2009-06-05,8.530000,8.532500,8.267500,8.352500,7.515582,5654800
2009-06-08,8.292500,8.310000,7.965000,8.072500,7.266902,6426000
2009-06-09,8.132500,8.295000,8.130000,8.227500,7.406433,4804800
2009-06-10,8.305000,8.482500,8.240000,8.472500,7.626983,5822800
2009-06-11,8.555000,8.742500,8.430000,8.615000,7.755261,6093200
2009-06-12,8.502500,8.552500,8.312500,8.490000,7.642737,3194800
2009-06-15,8.307500,8.320000,8.137500,8.250000,7.426687,3619200
2009-06-16,8.315000,8.390000,7.990000,8.012500,7.212892,3630800
2009-06-17,8.025000,8.165000,7.942500,8.030000,7.228643,3967200
2009-06-18,8.052500,8.100000,7.932500,8.060000,7.255650,3550800
2009-06-19,8.100000,8.117500,7.870000,7.912500,7.122871,5198800
2009-06-22,7.752500,7.760000,7.665000,7.702500,6.933826,5532000
2009-06-23,7.737500,7.772500,7.647500,7.720000,6.949580,3588800
2009-06-24,7.790000,7.950000,7.712500,7.772500,6.996839,3859200
2009-06-25,7.687500,7.977500,7.670000,7.920000,7.129622,4153600
2009-06-26,7.885000,8.002500,7.790000,7.975000,7.179132,3298400
2009-06-29,7.945000,8.002500,7.837500,7.867500,7.082360,3452400
2009-06-30,7.902500,7.950000,7.772500,7.910000,7.120619,4603600
2009-07-01,7.962500,8.190000,7.927500,8.087500,7.280406,6575600
2009-07-02,7.922500,8.080000,7.905000,7.905000,7.116119,4970800
2009-07-06,7.885000,8.052500,7.772500,7.935000,7.143123,6390000
2009-07-07,7.907500,7.990000,7.815000,7.822500,7.041850,4907200
2009-07-08,7.822500,7.880000,7.672500,7.737500,6.965334,4123200
2009-07-09,7.755000,7.925000,7.707500,7.885000,7.098115,4841200
2009-07-10,7.830000,7.995000,7.792500,7.860000,7.075610,4085200
2009-07-13,7.912500,8.000000,7.745000,8.000000,7.201637,3102400
2009-07-14,7.980000,8.095000,7.932500,8.050000,7.246648,5166400
2009-07-15,8.195000,8.517500,8.117500,8.487500,7.640488,7572000
2009-07-16,7.967500,8.450000,7.882500,8.397500,7.559469,15158800
2009-07-17,8.395000,8.467500,8.225000,8.247500,7.424439,9498800
2009-07-20,8.352500,8.420000,8.225000,8.277500,7.451444,8318000
2009-07-21,8.407500,8.407500,8.205000,8.355000,7.521210,7292400
2009-07-22,8.360000,8.535000,8.332500,8.482500,7.635986,4357600
2009-07-23,8.437500,8.622500,8.435000,8.550000,7.696753,4558800
2009-07-24,8.440000,8.682500,8.415000,8.672500,7.807025,3864800
2009-07-27,8.637500,8.675000,8.490000,8.592500,7.735006,2992400
2009-07-28,8.507500,8.617500,8.415000,8.532500,7.680998,2358000
2009-07-29,8.457500,8.470000,8.312500,8.347500,7.514459,6138400
2009-07-30,8.450000,8.465000,8.350000,8.362500,7.527962,4783600
2009-07-31,8.350000,8.415000,8.285000,8.337500,7.505458,6859600
2009-08-03,8.402500,8.605000,8.350000,8.592500,7.735006,5502000
2009-08-04,8.555000,8.587500,8.470000,8.515000,7.665242,5708000
2009-08-05,8.517500,8.555000,8.227500,8.335000,7.503206,4788000
2009-08-06,8.350000,8.380000,8.240000,8.272500,7.446943,3478000
2009-08-07,8.360000,8.390000,8.245000,8.332500,7.500956,7925600
2009-08-10,8.312500,8.362500,8.262500,8.320000,7.489703,2911600
2009-08-11,8.260000,8.325000,8.130000,8.187500,7.370426,4787600
2009-08-12,8.200000,8.570000,8.200000,8.475000,7.629235,3874400
2009-08-13,8.520000,8.612500,8.407500,8.505000,7.656243,3696800
2009-08-14,8.542500,8.560000,8.292500,8.360000,7.525710,3688000
2009-08-17,8.252500,8.275000,8.077500,8.102500,7.293910,3962800
2009-08-18,8.135000,8.207500,8.067500,8.085000,7.278153,6112800
2009-08-19,7.967500,8.120000,7.950000,8.075000,7.269152,4551600
2009-08-20,8.065000,8.260000,8.065000,8.240000,7.417688,2841600
2009-08-21,8.295000,8.367500,8.207500,8.337500,7.505458,5024800
2009-08-24,8.367500,8.500000,8.357500,8.400000,7.561720,5198000
2009-08-25,8.480000,8.552500,8.415000,8.437500,7.595479,4190800
2009-08-26,8.410000,8.655000,8.410000,8.647500,7.784523,5262000
2009-08-27,8.715000,8.720000,8.505000,8.710000,7.840783,5272800
2009-08-28,8.750000,8.857500,8.665000,8.830000,7.948808,7013600
2009-08-31,8.797500,8.822500,8.642500,8.740000,7.867789,4525600
2009-09-01,8.690000,8.837500,8.547500,8.570000,7.714754,6818400
2009-09-02,8.577500,8.612500,8.465000,8.567500,7.712502,6415200
2009-09-03,8.607500,8.755000,8.502500,8.750000,7.876790,5342800
2009-09-04,8.750000,8.857500,8.705000,8.850000,7.966810,2826800
2009-09-08,9.377500,9.377500,9.090000,9.310000,8.380909,6526800
2009-09-09,9.297500,9.592500,9.240000,9.437500,8.495679,4861600
2009-09-10,9.440000,9.622500,9.380000,9.622500,8.662215,3413600
2009-09-11,9.580000,9.677500,9.530000,9.605000,8.646469,3040000
2009-09-14,9.515000,9.605000,9.492500,9.597500,8.643087,2751200
2009-09-15,9.635000,9.690000,9.572500,9.672500,8.710634,3664400
2009-09-16,9.737500,9.917500,9.717500,9.907500,8.922261,7113200
2009-09-17,9.855000,10.000000,9.847500,9.937500,8.949279,6276400
2009-09-18,10.017500,10.060000,9.800000,9.842500,8.863728,4660800
2009-09-21,9.852500,9.912500,9.762500,9.812500,8.836710,2855600
2009-09-22,9.827500,9.845000,9.742500,9.782500,8.809690,2789600
2009-09-23,9.817500,9.882500,9.620000,9.625000,8.667853,3620000
2009-09-24,9.670000,9.677500,9.385000,9.450000,8.510257,3967200
2009-09-25,9.392500,9.422500,9.265000,9.317500,8.390933,3239200
2009-09-28,9.357500,9.535000,9.312500,9.380000,8.447218,2995600
2009-09-29,9.350000,9.435000,9.287500,9.362500,8.431461,3145200
2009-09-30,9.345000,9.520000,9.212500,9.420000,8.483242,4380400
2009-10-01,9.417500,9.442500,9.002500,9.007500,8.111762,5802800
2009-10-02,8.937500,8.977500,8.790000,8.867500,7.985684,4858400
2009-10-05,8.902500,9.000000,8.827500,9.000000,8.105005,6210800
2009-10-06,9.067500,9.347500,9.062500,9.250000,8.330144,4651200
2009-10-07,9.250000,9.405000,9.195000,9.387500,8.453971,6418800
2009-10-08,9.467500,9.517500,9.402500,9.470000,8.528267,5581200
2009-10-09,9.470000,9.540000,9.375000,9.527500,8.580051,5935600
2009-10-12,9.600000,9.787500,9.545000,9.715000,8.748905,5871200
2009-10-13,9.675000,9.727500,9.567500,9.590000,8.636334,3513600
2009-10-14,9.922500,10.332500,9.842500,10.322500,9.295993,9774000
2009-10-15,10.245000,10.422500,9.902500,10.252500,9.232950,15384800
2009-10-16,10.192500,10.332500,10.010000,10.202500,9.187928,6349600
2009-10-19,10.190000,10.425000,10.110000,10.342500,9.314004,4866000
2009-10-20,10.410000,10.430000,10.215000,10.265000,9.244210,5484400
2009-10-21,10.242500,10.400000,9.980000,10.000000,9.005565,8982800
2009-10-22,10.002500,10.405000,9.877500,10.387500,9.354527,11575600
