Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,24.350000,24.700001,23.139999,23.840000,17.834373,12202000
2009-01-27,24.340000,24.780001,23.490000,24.690001,18.470245,9913400
2009-01-28,26.200001,28.400000,25.510000,28.059999,20.991285,19229400
2009-01-29,27.059999,27.750000,25.780001,25.900000,19.375414,12181000
2009-01-30,26.350000,27.240000,25.320000,25.740000,19.255730,10957600
2009-02-02,25.110001,27.230000,25.110001,27.180000,20.332975,11073700
2009-02-03,27.570000,27.600000,25.350000,27.150000,20.310528,14297100
2009-02-04,27.389999,28.190001,26.700001,27.490000,20.564878,10872100
2009-02-05,27.080000,28.490000,26.510000,27.490000,20.564878,13940200
2009-02-06,28.049999,29.280001,27.490000,28.410000,21.253124,14959000
2009-02-09,28.650000,28.889999,27.610001,28.260000,21.140909,7397300
2009-02-10,27.709999,28.260000,25.700001,25.959999,19.420309,14569900
2009-02-11,26.270000,27.750000,25.799999,27.650000,20.684570,9779100
2009-02-12,26.420000,26.950001,25.000000,26.930000,20.145954,13182200
2009-02-13,26.010000,26.290001,25.209999,25.260000,18.896648,11041300
2009-02-17,23.520000,24.719999,23.010000,23.129999,17.303228,17416400
2009-02-18,23.740000,24.910000,22.670000,23.680000,17.714678,13533300
2009-02-19,24.139999,24.580000,23.200001,23.340000,17.460321,9855800
2009-02-20,22.340000,23.320000,21.530001,22.830000,17.078802,18664700
2009-02-23,23.120001,23.430000,21.660000,21.680000,16.218502,14042300
2009-02-24,21.830000,24.480000,21.680000,24.370001,18.230852,19256800
2009-02-25,24.070000,24.660000,22.780001,23.790001,17.796957,16331800
2009-02-26,24.530001,25.170000,22.809999,23.290001,17.422918,16398200
2009-02-27,21.889999,23.240000,21.889999,22.170000,16.585068,15383700
2009-03-02,21.559999,22.740000,21.299999,21.389999,16.001562,16790400
2009-03-03,22.719999,23.150000,21.570000,22.209999,16.614990,17868600
2009-03-04,22.900000,23.059999,21.389999,21.969999,16.435442,16677500
2009-03-05,21.150000,21.820000,19.280001,19.650000,14.699889,19043700
2009-03-06,19.969999,20.280001,15.670000,18.250000,13.652570,29965200
2009-03-09,18.000000,18.860001,17.459999,18.020000,13.480509,17491800
2009-03-10,19.000000,20.559999,18.059999,20.559999,15.380641,26104900
2009-03-11,20.860001,23.190001,20.540001,22.530001,16.854382,25355100
2009-03-12,22.760000,24.889999,21.990000,24.660000,18.447802,26535700
2009-03-13,24.510000,24.510000,22.540001,23.670000,17.707197,15813600
2009-03-16,23.850000,24.940001,22.459999,22.660000,16.951624,17162000
2009-03-17,22.680000,24.680000,22.280001,24.549999,18.365507,15887100
2009-03-18,23.990000,28.459999,23.670000,28.129999,21.043650,30514000
2009-03-19,28.480000,28.530001,25.020000,25.139999,18.806879,25081600
2009-03-20,25.510000,25.510000,23.799999,23.799999,17.804441,19547900
2009-03-23,25.049999,28.250000,25.049999,27.730000,20.744423,25285700
2009-03-24,27.379999,28.490000,26.049999,26.299999,19.674662,21336000
2009-03-25,26.639999,27.760000,25.590000,27.700001,20.721983,20006300
2009-03-26,27.940001,28.650000,27.100000,28.160000,21.066095,18805400
2009-03-27,28.120001,29.100000,27.650000,28.030001,20.968847,15286400
2009-03-30,26.879999,27.280001,25.650000,25.920000,19.390381,16420700
2009-03-31,26.940001,28.480000,26.660000,28.250000,21.133436,19863700
2009-04-01,27.500000,28.750000,27.270000,28.389999,21.238159,17939800
2009-04-02,29.799999,29.900000,28.010000,28.410000,21.253124,20969200
2009-04-03,28.389999,29.040001,27.820000,29.000000,21.694490,14929100
2009-04-06,28.350000,28.719999,27.559999,28.160000,21.066095,12984100
2009-04-07,27.389999,27.980000,26.850000,27.309999,20.430223,13569400
2009-04-08,27.469999,27.980000,27.080000,27.670000,20.699541,14043900
2009-04-09,29.160000,30.000000,28.350000,29.650000,22.180746,23827600
2009-04-13,28.950001,32.759998,28.600000,32.430000,24.260420,21819900
2009-04-14,31.540001,31.959999,30.680000,31.200001,23.340288,26284100
2009-04-15,30.990000,32.849998,30.379999,32.560001,24.357679,16643400
2009-04-16,32.830002,32.860001,29.809999,31.209999,23.347759,21394200
2009-04-17,31.490000,31.700001,30.049999,30.219999,22.607161,21933900
2009-04-20,29.870001,30.590000,28.030001,28.030001,20.968847,22743000
2009-04-21,25.420000,28.110001,23.750000,27.980000,20.931442,41474800
2009-04-22,26.790001,28.400000,25.930000,26.250000,19.637255,23824300
2009-04-23,26.230000,27.150000,25.580000,26.850000,20.086103,19303200
2009-04-24,26.950001,27.670000,26.370001,26.879999,20.108551,22837200
2009-04-27,26.200001,26.690001,25.530001,25.809999,19.308094,16109300
2009-04-28,25.270000,25.680000,24.690001,25.020000,18.717110,15313900
2009-04-29,25.379999,26.700001,25.030001,26.650000,20.008457,15971900
2009-04-30,27.110001,27.209999,25.330000,25.480000,19.130043,17144400
2009-05-01,25.340000,26.200001,25.209999,25.900000,19.445368,9410000
2009-05-04,26.379999,28.340000,26.180000,27.840000,20.901897,20704000
2009-05-05,27.350000,28.290001,27.040001,27.410000,20.579060,11636400
2009-05-06,28.290001,30.549999,27.950001,30.459999,22.868959,24726700
2009-05-07,32.099998,33.619999,28.510000,29.510000,22.155706,34582000
2009-05-08,30.129999,32.150002,29.770000,32.150002,24.137791,22773000
2009-05-11,31.200001,31.440001,29.549999,29.549999,22.185741,18686500
2009-05-12,28.860001,29.080000,28.040001,28.430000,21.344868,47860400
2009-05-13,28.070000,28.900000,27.760000,27.950001,20.984482,22854700
2009-05-14,27.959999,28.680000,27.520000,28.440001,21.352369,20634700
2009-05-15,28.100000,28.370001,27.490000,27.680000,20.781769,14885300
2009-05-18,28.080000,28.610001,27.450001,28.469999,21.374889,23429000
2009-05-19,28.389999,28.969999,27.670000,27.709999,20.804293,20459600
2009-05-20,28.350000,28.370001,26.450001,26.660000,20.015970,20585800
2009-05-21,26.410000,27.730000,26.309999,27.200001,20.421394,15598500
2009-05-22,27.299999,27.790001,26.690001,26.910000,20.203663,8732900
2009-05-26,26.809999,28.940001,26.809999,28.840000,21.652683,17675900
2009-05-27,28.559999,28.950001,27.410000,27.430000,20.594078,17555200
2009-05-28,27.870001,28.190001,27.450001,27.820000,20.886883,14139600
2009-05-29,27.950001,27.959999,27.000000,27.780001,20.856853,13512500
2009-06-01,28.110001,28.549999,27.309999,27.450001,20.609097,16548500
2009-06-02,27.290001,28.120001,27.290001,27.840000,20.901897,10583500
2009-06-03,27.719999,28.250000,27.459999,27.860001,20.916918,10860500
2009-06-04,28.049999,29.010000,27.920000,28.870001,21.675201,17407400
2009-06-05,29.260000,29.430000,27.930000,28.219999,21.187201,12607400
2009-06-08,28.240000,28.920000,27.889999,28.540001,21.427450,11295300
2009-06-09,28.610001,28.990000,28.170000,28.790001,21.615147,11218700
2009-06-10,28.930000,29.080000,27.950001,28.459999,21.367386,9774500
2009-06-11,28.480000,29.570000,28.350000,28.959999,21.742777,11314200
2009-06-12,28.940001,29.020000,28.480000,29.020000,21.787827,6086800
2009-06-15,29.010000,29.370001,28.299999,28.459999,21.367386,9299800
2009-06-16,28.790001,28.930000,28.260000,28.379999,21.307323,10231200
2009-06-17,28.219999,28.920000,27.930000,28.240000,21.202217,12543700
2009-06-18,28.230000,28.990000,28.219999,28.900000,21.697731,10315900
2009-06-19,29.209999,29.930000,28.790001,29.600000,22.223286,20258300
2009-06-22,29.240000,29.559999,27.969999,27.969999,20.999500,14818700
2009-06-23,28.190001,28.600000,27.959999,28.340000,21.277292,11538200
2009-06-24,28.660000,29.250000,28.559999,28.910000,21.705240,7827400
2009-06-25,28.680000,29.650000,28.540001,29.610001,22.230795,8483000
2009-06-26,29.330000,29.680000,28.969999,29.360001,22.043097,11680400
2009-06-29,29.360001,29.840000,28.930000,29.709999,22.305872,8032000
2009-06-30,29.530001,29.760000,28.900000,29.309999,22.005560,8141900
2009-07-01,29.100000,29.500000,28.520000,28.690001,21.540068,9706700
2009-07-02,28.590000,28.690001,27.469999,27.570000,20.699188,13322100
2009-07-06,27.440001,28.360001,27.139999,28.360001,21.292307,10582900
2009-07-07,28.330000,28.389999,27.540001,27.610001,20.729219,9766500
2009-07-08,27.930000,28.100000,26.920000,27.549999,20.684172,16018500
2009-07-09,27.969999,28.090000,27.459999,27.570000,20.699188,12168800
2009-07-10,27.330000,27.660000,27.059999,27.260000,20.466444,9430300
2009-07-13,27.900000,28.590000,27.299999,28.530001,21.419939,15663100
2009-07-14,28.879999,28.950001,28.320000,28.760000,21.592623,9017100
2009-07-15,29.080000,29.719999,28.809999,29.370001,22.050604,14830500
2009-07-16,29.070000,29.969999,28.959999,29.660000,22.268326,9744500
2009-07-17,29.629999,29.629999,29.040001,29.389999,22.065617,7932200
2009-07-20,29.629999,29.940001,29.150000,29.520000,22.163225,7332900
