Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,32.830002,34.740002,31.969999,32.509998,17.290022,5648500
2009-01-27,32.549999,33.490002,31.400000,32.770000,17.428303,5196000
2009-01-28,34.349998,36.250000,33.500000,35.509998,18.885532,7602200
2009-01-29,34.709999,35.509998,34.080002,34.480000,18.415535,5226100
2009-01-30,35.470001,35.540001,33.060001,33.320000,17.795980,5049800
2009-02-02,32.700001,33.540001,32.200001,32.750000,17.491558,4531400
2009-02-03,32.959999,33.720001,32.330002,33.279999,17.774618,4279400
2009-02-04,33.590000,35.270000,33.590000,34.380001,18.362123,4130300
2009-02-05,34.090000,35.820000,33.189999,35.610001,19.019062,4650800
2009-02-06,34.919998,36.900002,34.900002,36.439999,19.462353,3876800
2009-02-09,36.529999,37.549999,35.380001,35.930000,19.189966,4585300
2009-02-10,35.990002,36.759998,34.080002,34.529999,18.442236,6537800
2009-02-11,34.990002,35.490002,33.110001,34.270000,18.303375,3820400
2009-02-12,33.720001,34.000000,32.270000,33.230000,17.747921,6444300
2009-02-13,33.320000,34.099998,32.669998,33.259998,17.763937,5644300
2009-02-17,32.240002,32.380001,30.450001,30.639999,16.364618,6015900
2009-02-18,31.370001,31.610001,30.070000,31.200001,16.663708,5404600
2009-02-19,31.969999,32.529999,31.370001,31.540001,16.845303,5739400
2009-02-20,30.760000,31.500000,29.129999,30.150000,16.102907,7315000
2009-02-23,29.870001,30.850000,28.200001,28.309999,15.120176,6392500
2009-02-24,28.590000,30.540001,28.400000,30.360001,16.215067,6616800
2009-02-25,30.200001,30.520000,28.730000,29.129999,15.558134,9317400
2009-02-26,29.510000,30.600000,29.510000,29.570000,15.793141,8808100
2009-02-27,28.690001,30.360001,28.350000,29.309999,15.654267,7648500
2009-03-02,28.500000,29.100000,26.629999,26.799999,14.313692,7141600
2009-03-03,27.379999,28.170000,26.740000,27.059999,14.452563,6279100
2009-03-04,28.360001,29.389999,28.000000,28.580000,15.264383,6713100
2009-03-05,27.760000,28.330000,26.750000,27.030001,14.436543,6283900
2009-03-06,27.370001,27.620001,25.690001,26.580000,14.196192,8261100
2009-03-09,26.129999,28.370001,25.969999,27.170000,14.511309,5811800
2009-03-10,27.700001,29.660000,27.620001,29.260000,15.627568,5729600
2009-03-11,29.120001,29.600000,28.100000,28.709999,15.333818,4304900
2009-03-12,28.690001,29.990000,28.080000,29.820000,15.926657,5274000
2009-03-13,29.440001,29.900000,28.719999,29.330000,15.664956,4711100
2009-03-16,29.459999,31.219999,28.530001,30.110001,16.081543,4935900
2009-03-17,30.240000,31.059999,29.360001,30.790001,16.444729,4876800
2009-03-18,30.480000,32.320000,29.600000,31.780001,16.973492,5412100
2009-03-19,33.000000,34.310001,32.400002,33.259998,17.763937,7088200
2009-03-20,33.259998,33.590000,30.930000,31.030001,16.572916,5856300
2009-03-23,32.000000,34.299999,31.610001,34.299999,18.319395,5543700
2009-03-24,33.639999,34.209999,32.830002,33.470001,17.876101,4541500
2009-03-25,33.330002,33.980000,31.459999,32.730000,17.480873,5766700
2009-03-26,33.090000,34.110001,32.470001,32.779999,17.507578,6877800
2009-03-27,32.070000,32.250000,30.870001,31.309999,16.722456,4916600
2009-03-30,30.360001,30.780001,29.219999,29.590000,15.803822,5102500
2009-03-31,30.219999,30.219999,28.410000,28.549999,15.248362,6212900
2009-04-01,28.049999,28.959999,27.350000,28.730000,15.344497,5385400
2009-04-02,30.260000,31.100000,29.740000,29.930000,15.985406,5656800
2009-04-03,29.850000,31.870001,29.809999,31.500000,16.823933,6272600
2009-04-06,30.820000,31.049999,29.799999,30.370001,16.220413,5116700
2009-04-07,29.740000,29.980000,29.030001,29.219999,15.606202,3296800
2009-04-08,29.260000,29.900000,28.150000,29.750000,15.889276,4554600
2009-04-09,30.750000,30.969999,29.990000,30.969999,16.540867,4256700
2009-04-13,30.260000,31.049999,29.410000,30.750000,16.423363,3768100
2009-04-14,30.440001,31.750000,29.900000,30.780001,16.439390,6073800
2009-04-15,30.610001,31.610001,30.600000,31.309999,16.722456,3487800
2009-04-16,31.570000,33.349998,31.170000,32.970001,17.609055,5137400
2009-04-17,33.110001,33.509998,32.389999,33.240002,17.753258,4194800
2009-04-20,32.220001,32.590000,30.959999,31.090000,16.604959,3605500
2009-04-21,30.709999,32.730000,30.459999,32.720001,17.475531,5037900
2009-04-22,32.349998,34.689999,31.930000,33.520000,17.902811,5402400
2009-04-23,33.660000,34.310001,32.610001,33.580002,17.934849,4537500
2009-04-24,34.369999,35.680000,34.250000,35.459999,18.938936,5032600
2009-04-27,34.580002,35.250000,33.900002,34.490002,18.420877,4222200
2009-04-28,34.099998,34.610001,33.430000,33.939999,18.127121,3289600
2009-04-29,35.000000,37.560001,34.529999,36.950001,19.734741,6930500
2009-04-30,37.060001,37.080002,35.040001,35.580002,19.080502,6216300
2009-05-01,35.959999,37.330002,35.430000,36.910000,19.793734,5041400
2009-05-04,37.250000,38.500000,37.160000,38.380001,20.582048,5309100
2009-05-05,38.549999,39.500000,37.430000,38.250000,20.512333,4858200
2009-05-06,39.700001,40.000000,38.610001,39.360001,21.107601,4200200
2009-05-07,40.299999,40.650002,37.389999,38.119999,20.442617,5107700
2009-05-08,38.630001,39.279999,38.049999,39.200001,21.021790,5681100
2009-05-11,38.639999,38.650002,37.240002,37.610001,20.169127,3218400
2009-05-12,38.290001,38.290001,36.779999,37.700001,20.217382,4173700
2009-05-13,37.090000,37.590000,36.150002,36.419998,19.530960,6022600
2009-05-14,35.790001,36.500000,35.660000,35.950001,19.278906,4443700
2009-05-15,35.720001,36.540001,35.049999,35.320000,18.941065,4385700
2009-05-18,35.950001,37.270000,35.900002,37.200001,19.949247,3858000
2009-05-19,37.130001,37.389999,36.110001,36.889999,19.783012,4559300
2009-05-20,37.410000,38.619999,37.060001,37.209999,19.954613,4454800
2009-05-21,36.279999,36.290001,34.860001,35.459999,19.016142,4041900
2009-05-22,36.099998,36.540001,35.459999,35.860001,19.230650,2688000
2009-05-26,35.439999,37.060001,34.840000,36.880001,19.777645,4080500
2009-05-27,37.130001,37.549999,36.270000,36.320000,19.477325,3211800
2009-05-28,36.889999,37.980000,36.009998,37.540001,20.131586,4656600
2009-05-29,38.090000,39.119999,38.000000,39.060001,20.946705,5520300
2009-06-01,40.119999,41.419998,39.950001,40.930000,21.949539,5601600
2009-06-02,40.950001,41.070000,39.970001,40.660000,21.804743,4878400
2009-06-03,39.820000,40.009998,38.169998,38.939999,20.882362,4022500
2009-06-04,39.509998,40.310001,39.270000,40.070000,21.488342,3534800
2009-06-05,40.610001,40.910000,38.540001,39.130001,20.984255,4165800
2009-06-08,38.700001,38.990002,37.590000,38.669998,20.737560,4280900
2009-06-09,39.919998,40.270000,39.060001,39.639999,21.257755,3971700
2009-06-10,40.439999,40.990002,39.939999,40.650002,21.799385,4694600
2009-06-11,40.880001,43.000000,40.840000,42.330002,22.700317,5000400
2009-06-12,41.750000,41.880001,41.169998,41.720001,22.373194,3882400
2009-06-15,41.110001,41.110001,39.799999,40.340000,21.633142,3159900
2009-06-16,41.189999,41.480000,39.310001,39.590000,21.230938,5287000
2009-06-17,39.250000,39.349998,37.830002,38.150002,20.458706,5726400
2009-06-18,38.250000,38.930000,37.680000,37.919998,20.335367,3684700
2009-06-19,38.509998,38.549999,37.119999,37.689999,20.212023,5547300
2009-06-22,36.750000,36.779999,35.709999,35.740002,19.166298,6602500
2009-06-23,36.169998,36.889999,35.680000,36.400002,19.520237,4551700
2009-06-24,36.820000,36.990002,35.799999,35.959999,19.284281,4863100
2009-06-25,36.180000,36.849998,35.639999,36.560001,19.606041,5603300
2009-06-26,36.180000,37.189999,36.180000,36.880001,19.777645,7746200
2009-06-29,37.540001,37.650002,36.630001,36.779999,19.724022,3747800
2009-06-30,36.779999,37.500000,35.970001,36.439999,19.541677,4426000
2009-07-01,36.970001,37.369999,36.310001,36.450001,19.547050,4927700
2009-07-02,35.660000,35.660000,34.470001,34.720001,18.619305,4038200
2009-07-06,33.799999,34.630001,33.590000,34.570000,18.538857,4910300
2009-07-07,34.500000,34.619999,33.110001,33.410000,17.916792,7065700
2009-07-08,33.459999,34.610001,33.130001,34.509998,18.506687,10239300
2009-07-09,34.830002,35.450001,34.119999,34.799999,18.662201,5615400
2009-07-10,34.209999,34.770000,33.680000,34.529999,18.517405,4018600
2009-07-13,34.549999,35.230000,33.419998,35.169998,18.860624,3708500
2009-07-14,35.529999,36.160000,35.380001,36.060001,19.337902,4085000
2009-07-15,36.709999,37.630001,36.680000,37.439999,20.077961,3665900
2009-07-16,37.209999,38.209999,36.869999,38.060001,20.410446,3056600
2009-07-17,38.090000,38.820000,37.639999,38.549999,20.673216,3945500
2009-07-20,39.099998,39.500000,38.189999,39.430000,21.145136,3661400
2009-07-21,39.900002,40.150002,38.799999,39.520000,21.193396,3928500
2009-07-22,38.919998,39.700001,38.400002,39.000000,20.914537,3504700
2009-07-23,38.750000,40.930000,38.549999,40.860001,21.912003,4691600
2009-07-24,39.959999,41.500000,39.930000,41.459999,22.233759,4159200
2009-07-27,41.470001,41.730000,40.590000,41.150002,22.067513,2929500
2009-07-28,40.619999,40.779999,39.080002,40.070000,21.488342,3723400
2009-07-29,39.419998,39.500000,38.169998,38.930000,20.876995,4442300
2009-07-30,39.700001,40.490002,39.160000,40.009998,21.539162,2848400
2009-07-31,39.700001,40.529999,39.320000,40.500000,21.802956,4725100
2009-08-03,41.360001,42.750000,41.240002,42.270000,22.755831,5944800
2009-08-04,41.959999,42.410000,41.119999,41.970001,22.594324,7097400
2009-08-05,39.869999,40.000000,38.599998,38.680000,20.823162,13075100
2009-08-06,38.380001,38.380001,36.820000,38.049999,20.483995,10045200
2009-08-07,38.459999,38.730000,37.119999,37.369999,20.117931,6951400
2009-08-10,37.480000,37.750000,36.849998,37.209999,20.031797,5797600
2009-08-11,37.209999,37.209999,36.419998,36.750000,19.784161,6348000
2009-08-12,36.680000,37.150002,36.400002,36.810001,19.816460,7637800
2009-08-13,37.180000,37.950001,36.860001,37.900002,20.403255,7449200
2009-08-14,37.990002,37.990002,36.619999,36.970001,19.902601,4848200
2009-08-17,35.990002,36.099998,35.209999,35.480000,19.100468,3212200
2009-08-18,35.590000,36.779999,35.320000,36.610001,19.708788,4145500
2009-08-19,36.250000,37.500000,35.660000,37.099998,19.972580,3823500
2009-08-20,37.150002,37.919998,37.070000,37.610001,20.247135,3846100
2009-08-21,38.099998,38.900002,37.900002,38.709999,20.839314,5037100
2009-08-24,39.040001,39.689999,38.950001,39.180000,21.092344,3372100
2009-08-25,39.520000,39.740002,38.049999,38.299999,20.618591,3794800
2009-08-26,38.060001,38.439999,37.790001,38.340000,20.640133,2565100
2009-08-27,38.070000,38.230000,37.139999,38.090000,20.505535,2614500
2009-08-28,38.410000,38.700001,37.790001,38.090000,20.505535,2194300
2009-08-31,36.279999,36.340000,34.169998,34.450001,18.545965,21832000
2009-09-01,34.720001,35.700001,34.509998,35.430000,19.073542,17636100
2009-09-02,35.169998,35.880001,35.009998,35.009998,18.847439,12017000
2009-09-03,35.439999,35.639999,35.299999,35.630001,19.181211,7875100
2009-09-04,35.490002,35.799999,35.290001,35.619999,19.175831,6905100
2009-09-08,36.369999,36.799999,35.970001,36.119999,19.445009,15009500
2009-09-09,36.419998,36.450001,35.549999,35.759998,19.251190,10547300
2009-09-10,35.840000,36.380001,35.570000,36.340000,19.563448,10128500
2009-09-11,36.509998,37.639999,36.500000,37.580002,20.230982,11793800
2009-09-14,36.950001,38.369999,36.750000,38.299999,20.618591,7586600
2009-09-15,38.279999,38.880001,37.840000,38.759998,20.866226,7789500
2009-09-16,39.000000,40.400002,38.750000,39.869999,21.463800,8250100
2009-09-17,40.060001,41.110001,39.660000,40.779999,21.953684,12303400
2009-09-18,41.450001,44.250000,41.160000,44.009998,23.692543,22821900
2009-09-21,43.150002,44.349998,42.900002,43.099998,23.202633,12914800
2009-09-22,43.869999,44.610001,43.730000,43.939999,23.654860,6029200
2009-09-23,43.889999,44.419998,42.709999,43.360001,23.342621,7816500
