Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,9.820000,9.820000,9.270000,9.430000,7.962750,2268000
2009-01-27,9.485000,9.725000,9.360000,9.720000,8.207631,2028600
2009-01-28,9.940000,10.160000,9.250000,10.040000,8.477840,3252000
2009-01-29,9.935000,9.980000,9.585000,9.625000,8.127410,1540000
2009-01-30,9.580000,9.775000,9.375000,9.565000,8.076745,1913600
2009-02-02,9.455000,9.855000,9.365000,9.830000,8.333185,1819600
2009-02-03,9.775000,9.890000,9.605000,9.785000,8.295040,1555400
2009-02-04,9.655000,9.710000,8.850000,9.060000,7.680432,3355400
2009-02-05,9.030000,9.275000,9.000000,9.200000,7.799115,1532800
2009-02-06,9.265000,9.420000,9.175000,9.380000,7.951707,1811400
2009-02-09,9.480000,9.480000,9.155000,9.400000,7.968659,1021200
2009-02-10,9.315000,9.475000,9.045000,9.095000,7.710104,2408600
2009-02-11,9.155000,9.255000,9.010000,9.210000,7.807592,1603000
2009-02-12,9.025000,9.455000,9.025000,9.395000,7.964424,1710000
2009-02-13,9.370000,9.500000,9.020000,9.305000,7.888127,1956800
2009-02-17,9.370000,9.780000,9.050000,9.240000,7.833025,2987600
2009-02-18,9.770000,10.100000,9.005000,9.150000,7.756731,1355400
2009-02-19,9.145000,9.275000,8.665000,8.725000,7.396444,1785400
2009-02-20,8.625000,8.685000,8.430000,8.545000,7.243853,2979800
2009-02-23,8.630000,8.700000,8.120000,8.225000,6.972580,2662000
2009-02-24,8.230000,8.690000,8.000000,8.670000,7.349818,3695800
2009-02-25,8.580000,8.645000,8.330000,8.425000,7.142127,1782600
2009-02-26,8.530000,8.530000,8.060000,8.260000,7.002250,1875000
2009-02-27,8.110000,8.615000,8.110000,8.435000,7.150602,2719800
2009-03-02,8.270000,8.505000,8.220000,8.240000,6.985296,2281200
2009-03-03,8.345000,8.345000,7.980000,8.055000,6.828464,2105600
2009-03-04,8.130000,8.380000,7.985000,8.235000,6.981056,2027400
2009-03-05,8.070000,8.295000,7.950000,8.015000,6.794557,2694800
2009-03-06,7.995000,8.150000,7.865000,7.985000,6.769124,2815800
2009-03-09,7.940000,8.090000,7.775000,7.825000,6.633486,2066200
