Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,13.852140,13.992218,13.626459,13.750973,8.911689,10549465
2009-01-27,13.813230,13.945525,13.626459,13.898833,9.007519,6275683
2009-01-28,13.821012,13.961089,13.750973,13.906615,9.109471,7113375
2009-01-29,13.922179,13.961089,13.618677,13.719844,8.987123,4737410
2009-01-30,13.844358,13.844358,13.221790,13.307393,8.716949,5471016
2009-02-02,13.268482,13.603113,13.182879,13.556420,8.880072,4242685
2009-02-03,13.556420,13.992218,13.470817,13.906615,9.109471,4396499
2009-02-04,13.945525,13.968872,13.571984,13.634241,8.931048,5092841
2009-02-05,13.634241,13.719844,13.431907,13.587549,8.900464,6656300
2009-02-06,13.564202,13.766537,13.525292,13.603113,8.910660,5457267
2009-02-09,13.548638,13.704280,13.112840,13.190661,8.640483,9687487
2009-02-10,13.143969,13.190661,12.793774,12.824903,8.400897,7516993
2009-02-11,12.894942,13.035019,12.754864,12.840467,8.411092,6990529
2009-02-12,12.848249,12.848249,12.575875,12.840467,8.411092,6845195
2009-02-13,12.832685,12.871595,12.614786,12.622568,8.268358,5046838
2009-02-17,12.739300,12.840467,12.303502,12.653696,8.288750,8300200
2009-02-18,12.731518,12.770428,12.404669,12.505837,8.191892,5378882
2009-02-19,12.607004,12.817121,12.498054,12.638132,8.278555,5170712
2009-02-20,12.544747,12.583658,12.015564,12.186770,7.982890,9097415
2009-02-23,12.280156,12.326848,11.859922,11.891051,7.789184,4698860
2009-02-24,12.077821,12.319066,11.961089,12.249027,8.023672,5156705
2009-02-25,12.233463,12.295720,12.031128,12.093385,7.921719,5253080
2009-02-26,12.147860,12.249027,11.712062,11.712062,7.671937,4915639
2009-02-27,11.673152,11.922179,11.556420,11.735409,7.687230,5295742
2009-03-02,11.634241,11.704280,11.533074,11.626459,7.615861,7314606
2009-03-03,11.750973,11.922179,11.533074,11.642023,7.626057,6265917
2009-03-04,11.727626,12.038911,11.603113,11.875486,7.778986,5662096
2009-03-05,11.821012,11.836576,11.190661,11.276265,7.386468,6458025
2009-03-06,11.377432,11.603113,11.229572,11.447471,7.498616,5394430
2009-03-09,11.392996,11.463035,11.120623,11.159533,7.310001,3645031
2009-03-10,11.260700,11.377432,11.190661,11.346304,7.432347,5496202
2009-03-11,11.416342,11.463035,10.894942,10.910506,7.146877,8972641
2009-03-12,10.918288,11.361868,10.894942,11.361868,7.442541,6064558
2009-03-13,11.408560,11.540856,11.315175,11.525292,7.549591,4151449
2009-03-16,11.610895,11.797665,11.517510,11.595331,7.595469,5619177
2009-03-17,11.618677,11.883268,11.525292,11.883268,7.784086,4795106
2009-03-18,11.735409,11.766537,11.431907,11.587549,7.590375,5644620
2009-03-19,11.642023,11.688716,11.322957,11.346304,7.432347,5073437
2009-03-20,11.346304,11.836576,11.346304,11.727626,7.682127,10111665
2009-03-23,11.891051,12.140078,11.595331,12.140078,7.952303,7917784
2009-03-24,12.101167,12.171206,11.945525,12.000000,7.860547,6096683
2009-03-25,12.070039,12.132296,11.891051,12.108949,7.931914,8411353
2009-03-26,12.404669,13.276265,12.381323,13.221790,8.660875,14325951
2009-03-27,13.175097,13.587549,13.035019,13.190661,8.640483,7719123
2009-03-30,13.011673,13.175097,12.762646,12.933852,8.472264,5378882
2009-03-31,13.019455,13.276265,12.933852,13.128405,8.599706,7270916
2009-04-01,12.996109,13.120623,12.739300,13.019455,8.528335,9233496
2009-04-02,13.159533,13.540856,13.066148,13.346304,8.742438,8344533
2009-04-03,13.322957,13.408560,13.190661,13.307393,8.716949,4279307
2009-04-06,13.167315,13.455253,13.035019,13.322957,8.727145,5077164
2009-04-07,13.291829,13.517510,13.284047,13.377432,8.762830,4273139
2009-04-08,13.392996,13.564202,13.307393,13.548638,8.874975,4513177
2009-04-09,13.579767,13.743191,13.431907,13.735409,8.997323,5426555
2009-04-13,13.626459,13.929961,13.595331,13.774319,9.022811,6161961
2009-04-14,13.673152,13.782101,13.525292,13.750973,9.007514,5889669
2009-04-15,13.758755,13.914397,13.688716,13.875486,9.089077,3785096
2009-04-16,13.906615,14.140078,13.727626,14.093385,9.231811,5780059
2009-04-17,14.132296,14.381323,14.015564,14.217899,9.313372,5272098
2009-04-20,14.108949,14.249027,13.883268,13.883268,9.094174,5696020
2009-04-21,13.789883,14.178988,13.789883,13.984436,9.160444,4590534
2009-04-22,13.976654,14.132296,13.891051,13.992218,9.165539,6872309
