Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,17.120001,17.620001,16.730000,17.160000,12.331214,7013200
2009-01-27,17.309999,17.690001,16.930000,17.320000,12.446192,5681500
2009-01-28,18.660000,20.049999,18.299999,19.980000,14.357675,6740400
2009-01-29,19.650000,19.760000,18.040001,18.120001,13.021079,4472400
2009-01-30,18.150000,18.610001,16.299999,16.660000,11.971910,7843500
2009-02-02,16.420000,16.990000,16.070000,16.809999,12.079706,5114900
2009-02-03,16.830000,17.129999,15.930000,16.639999,11.957542,4250000
2009-02-04,17.040001,17.680000,16.600000,16.790001,12.065331,4197900
2009-02-05,16.610001,17.559999,15.510000,16.969999,12.194678,3915800
2009-02-06,17.299999,19.309999,17.200001,18.950001,13.617509,3745000
2009-02-09,18.770000,19.620001,18.260000,19.059999,13.696560,2672300
2009-02-10,18.719999,19.059999,15.380000,15.660000,11.253310,5075400
2009-02-11,16.070000,16.799999,15.770000,16.590000,11.921611,3332300
2009-02-12,16.100000,16.559999,15.280000,16.459999,11.828193,3812100
2009-02-13,16.309999,16.559999,15.380000,15.490000,11.131150,2954600
2009-02-17,14.870000,14.920000,13.820000,13.890000,9.981385,4524700
2009-02-18,14.310000,14.310000,13.080000,13.680000,9.830482,3887900
2009-02-19,13.890000,14.050000,12.420000,12.480000,8.968159,5233100
2009-02-20,12.160000,14.110000,11.830000,13.570000,9.751433,8785200
2009-02-23,13.760000,14.490000,12.970000,13.600000,9.772992,6198300
2009-02-24,13.770000,15.050000,12.840000,15.000000,10.779037,7642100
2009-02-25,15.190000,16.110001,13.780000,15.210000,10.929938,6615500
2009-02-26,15.890000,17.320000,15.670000,16.510000,11.864125,8677800
2009-02-27,15.540000,16.190001,14.940000,15.010000,10.786222,5784400
2009-03-02,14.880000,15.450000,14.580000,14.590000,10.484406,6430900
2009-03-03,14.890000,15.000000,13.880000,14.200000,10.204152,4759100
2009-03-04,14.490000,14.830000,13.320000,13.910000,9.995756,4742700
2009-03-05,13.170000,13.460000,11.720000,12.360000,8.881923,5082100
2009-03-06,12.550000,13.450000,12.000000,12.840000,9.226854,6694600
2009-03-09,11.910000,14.000000,11.910000,13.480000,9.686758,4424900
2009-03-10,14.450000,15.410000,13.800000,15.260000,10.965870,6461100
2009-03-11,15.990000,17.150000,15.610000,16.530001,11.917544,6261600
2009-03-12,16.530001,18.600000,16.000000,18.320000,13.208073,7496000
2009-03-13,18.110001,18.799999,16.820000,17.820000,12.847595,5696100
2009-03-16,18.129999,19.129999,17.490000,17.570000,12.667345,6616000
2009-03-17,17.660000,18.520000,17.330000,18.510000,13.345055,6841700
2009-03-18,18.260000,20.969999,17.850000,20.670000,14.902336,8270600
2009-03-19,20.639999,21.200001,18.580000,18.770000,13.532506,5621100
2009-03-20,18.600000,18.770000,17.600000,17.860001,12.876429,5938000
2009-03-23,19.080000,20.660000,18.549999,20.629999,14.873497,6494000
2009-03-24,19.969999,20.700001,19.080000,19.150000,13.806471,4643800
2009-03-25,19.809999,20.750000,18.540001,20.180000,14.549070,3983400
2009-03-26,20.309999,20.400000,19.350000,19.889999,14.339976,4646300
2009-03-27,19.240000,20.680000,19.110001,19.600000,14.130907,2955900
2009-03-30,19.059999,19.059999,17.240000,17.490000,12.609666,4107400
2009-03-31,18.240000,18.950001,17.430000,18.309999,13.200859,4546200
2009-04-01,17.770000,19.330000,17.490000,19.190001,13.835310,4235700
2009-04-02,19.840000,20.410000,18.280001,18.930000,13.647859,4576300
2009-04-03,19.389999,19.559999,18.080000,19.540001,14.087650,3446100
2009-04-06,18.879999,19.150000,18.290001,18.719999,13.496460,3073900
2009-04-07,18.520000,18.639999,17.750000,17.990000,12.970152,2318600
2009-04-08,18.139999,18.139999,16.030001,16.420000,11.838240,5828100
2009-04-09,18.209999,19.730000,17.000000,19.570000,14.109275,6758700
2009-04-13,19.320000,21.780001,18.879999,21.410000,15.435852,5263300
2009-04-14,21.020000,22.160000,19.330000,19.510000,14.066023,5888700
2009-04-15,19.250000,19.500000,18.240000,19.000000,13.698319,5204900
2009-04-16,19.160000,20.920000,18.139999,20.320000,14.650006,6883800
2009-04-17,20.340000,22.559999,19.790001,21.750000,15.680980,7390300
2009-04-20,21.379999,21.379999,18.510000,18.670000,13.460405,6933800
2009-04-21,18.030001,21.980000,17.760000,21.639999,15.601676,8595800
2009-04-22,20.500000,23.760000,20.080000,21.350000,15.392590,8625100
2009-04-23,21.500000,22.070000,20.180000,21.059999,15.183517,5630500
2009-04-24,21.190001,22.760000,20.320000,22.080000,15.918895,5094200
2009-04-27,21.450001,22.070000,20.049999,20.290001,14.628372,3930200
2009-04-28,19.809999,20.680000,19.430000,20.180000,14.549070,3238200
2009-04-29,20.549999,22.049999,20.459999,21.799999,15.717031,3927200
2009-04-30,22.400000,22.799999,20.980000,20.980000,15.125839,2865300
