Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,7.485000,7.750000,7.375000,7.525000,5.763026,33289400
2009-01-27,7.535000,7.680000,7.400000,7.460000,5.713244,34616800
2009-01-28,7.575000,7.990000,7.575000,7.980000,6.111487,45051000
2009-01-29,7.860000,8.055000,7.635000,7.665000,5.870245,40650400
2009-01-30,7.675000,7.815000,7.285000,7.325000,5.609855,40911600
2009-02-02,7.275000,7.425000,7.205000,7.350000,5.629003,28948000
2009-02-03,7.350000,7.410000,7.155000,7.340000,5.621344,41022000
2009-02-04,6.920000,7.445000,6.795000,7.080000,5.422223,61011200
2009-02-05,7.000000,7.080000,6.785000,6.915000,5.295857,71813800
2009-02-06,6.885000,7.250000,6.870000,7.085000,5.426053,51664600
2009-02-09,7.170000,7.250000,6.940000,7.205000,5.517951,45446600
2009-02-10,7.100000,7.285000,6.715000,6.770000,5.184809,61985200
2009-02-11,6.830000,6.935000,6.645000,6.785000,5.196295,32913800
2009-02-12,6.675000,6.915000,6.590000,6.890000,5.276711,48229000
2009-02-13,6.890000,6.975000,6.675000,6.830000,5.230758,37916000
2009-02-17,6.475000,6.590000,6.290000,6.445000,4.935909,60552400
2009-02-18,6.490000,6.495000,5.975000,6.180000,4.732957,88902800
2009-02-19,6.340000,6.695000,6.290000,6.495000,4.974199,80461400
2009-02-20,6.465000,6.575000,6.290000,6.420000,4.916760,60677000
2009-02-23,6.435000,6.700000,6.320000,6.345000,4.859322,51067600
2009-02-24,6.325000,6.965000,6.310000,6.940000,5.315004,57832600
2009-02-25,6.875000,7.215000,6.780000,7.025000,5.380099,67857200
2009-02-26,7.015000,7.100000,6.670000,6.670000,5.108224,91900000
2009-02-27,6.645000,6.775000,6.495000,6.530000,5.001003,51406400
2009-03-02,6.405000,6.435000,6.160000,6.295000,4.821029,57219600
2009-03-03,6.400000,6.560000,6.195000,6.250000,4.786567,62024200
2009-03-04,6.310000,6.470000,6.185000,6.370000,4.878468,57268800
2009-03-05,6.205000,6.280000,5.950000,6.000000,4.595105,52003200
2009-03-06,5.955000,6.155000,5.635000,5.815000,4.453423,69040200
2009-03-09,5.735000,5.980000,5.550000,5.610000,4.296424,45101200
2009-03-10,5.750000,6.125000,5.670000,6.105000,4.675517,56960600
2009-03-11,6.115000,6.340000,6.105000,6.185000,4.736786,34690400
2009-03-12,6.110000,6.490000,6.060000,6.460000,4.947396,29570400
2009-03-13,6.620000,6.705000,6.300000,6.515000,4.989516,40304200
2009-03-16,6.565000,6.750000,6.270000,6.285000,4.813369,41116400
2009-03-17,6.340000,6.650000,6.290000,6.635000,5.081419,34527400
2009-03-18,6.565000,6.925000,6.530000,6.785000,5.196295,39044600
2009-03-19,6.815000,6.825000,6.440000,6.525000,4.997174,44926600
2009-03-20,6.595000,6.675000,6.245000,6.360000,4.870811,66275800
2009-03-23,6.575000,7.060000,6.500000,7.040000,5.391587,44886600
2009-03-24,6.955000,7.235000,6.890000,6.995000,5.357125,42720000
2009-03-25,6.965000,7.190000,6.765000,6.970000,5.337980,47405800
2009-03-26,7.000000,7.295000,6.970000,7.275000,5.571563,49054800
2009-03-27,7.175000,7.315000,7.045000,7.270000,5.567734,54313600
2009-03-30,7.135000,7.165000,6.765000,6.825000,5.226930,46203000
2009-03-31,6.905000,6.930000,6.755000,6.820000,5.223101,59283600
2009-04-01,6.715000,6.990000,6.635000,6.960000,5.330321,50577000
2009-04-02,7.065000,7.370000,7.015000,7.285000,5.579221,60191000
2009-04-03,7.325000,7.375000,7.100000,7.250000,5.552417,47139200
2009-04-06,7.165000,7.235000,7.090000,7.180000,5.524714,37413200
2009-04-07,7.050000,7.125000,6.995000,7.020000,5.401603,50601400
