Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,3.083750,3.126250,3.056250,3.093750,3.093750,5550400
2009-01-27,3.117500,3.160000,3.095000,3.122500,3.122500,4691200
2009-01-28,3.165000,3.270000,3.142500,3.210000,3.210000,3835200
2009-01-29,3.192500,3.225000,3.145000,3.156250,3.156250,3231200
2009-01-30,3.135000,3.166250,2.992500,3.011250,3.011250,9970400
2009-02-02,2.971250,3.095000,2.935000,3.075000,3.075000,8091200
2009-02-03,3.100000,3.117500,3.036250,3.062500,3.062500,8016000
2009-02-04,3.072500,3.128750,3.011250,3.088750,3.088750,5999200
2009-02-05,3.078750,3.218750,3.041250,3.203750,3.203750,6983200
2009-02-06,3.203750,3.340000,3.172500,3.330000,3.330000,10217600
2009-02-09,3.367500,3.373750,3.286250,3.361250,3.361250,5737600
2009-02-10,3.348750,3.361250,3.261250,3.275000,3.275000,6894400
2009-02-11,3.275000,3.333750,3.248750,3.266250,3.266250,4682400
2009-02-12,3.238750,3.278750,3.165000,3.266250,3.266250,5576000
2009-02-13,3.258750,3.317500,3.258750,3.293750,3.293750,3471200
2009-02-17,3.223750,3.262500,3.152500,3.170000,3.170000,6926400
2009-02-18,3.375000,3.382500,3.240000,3.255000,3.255000,9772000
2009-02-19,3.267500,3.508750,3.253750,3.462500,3.462500,16995200
2009-02-20,3.432500,3.473750,3.380000,3.396250,3.396250,8864000
2009-02-23,3.423750,3.458750,3.308750,3.315000,3.315000,5420000
2009-02-24,3.345000,3.413750,3.282500,3.401250,3.401250,6852800
2009-02-25,3.406250,3.472500,3.281250,3.366250,3.366250,7519200
2009-02-26,3.398750,3.431250,3.333750,3.343750,3.343750,6663200
2009-02-27,3.291250,3.432500,3.281250,3.377500,3.377500,6259200
2009-03-02,3.288750,3.416250,3.236250,3.238750,3.238750,8594400
2009-03-03,3.303750,3.341250,3.213750,3.222500,3.222500,9795200
2009-03-04,3.250000,3.278750,3.123750,3.156250,3.156250,20806400
2009-03-05,3.150000,3.442500,3.093750,3.300000,3.300000,25620800
2009-03-06,3.295000,3.397500,3.260000,3.372500,3.372500,13768000
2009-03-09,3.347500,3.413750,3.276250,3.290000,3.290000,7413600
2009-03-10,3.308750,3.463750,3.270000,3.463750,3.463750,7239200
2009-03-11,3.497500,3.568750,3.470000,3.523750,3.523750,8464800
2009-03-12,3.511250,3.701250,3.472500,3.688750,3.688750,8431200
2009-03-13,3.708750,3.781250,3.640000,3.688750,3.688750,14029600
2009-03-16,3.735000,3.735000,3.541250,3.551250,3.551250,13987200
2009-03-17,3.572500,3.585000,3.506250,3.562500,3.562500,9950400
2009-03-18,3.532500,3.703750,3.532500,3.671250,3.671250,8710400
2009-03-19,3.706250,3.775000,3.663750,3.750000,3.750000,12391200
2009-03-20,3.750000,3.768750,3.643750,3.691250,3.691250,8212000
2009-03-23,3.726250,3.842500,3.680000,3.842500,3.842500,7086400
2009-03-24,3.816250,3.876250,3.782500,3.837500,3.837500,7013600
2009-03-25,3.842500,3.906250,3.778750,3.865000,3.865000,12462400
2009-03-26,3.903750,4.005000,3.861250,4.003750,4.003750,8089600
2009-03-27,3.977500,4.002500,3.875000,3.893750,3.893750,4283200
2009-03-30,3.840000,3.877500,3.718750,3.735000,3.735000,6935200
2009-03-31,3.771250,3.808750,3.676250,3.707500,3.707500,6226400
2009-04-01,3.681250,3.717500,3.582500,3.661250,3.661250,6640800
2009-04-02,3.700000,3.878750,3.692500,3.838750,3.838750,8044800
2009-04-03,3.826250,3.860000,3.710000,3.752500,3.752500,4352000
2009-04-06,3.720000,3.761250,3.652500,3.695000,3.695000,5373600
2009-04-07,3.670000,3.711250,3.630000,3.668750,3.668750,3776800
2009-04-08,3.686250,3.737500,3.653750,3.693750,3.693750,4683200
2009-04-09,3.736250,3.768750,3.687500,3.761250,3.761250,5563200
2009-04-13,3.747500,3.797500,3.738750,3.791250,3.791250,3528000
2009-04-14,3.747500,3.803750,3.696250,3.776250,3.776250,2855200
2009-04-15,3.823750,3.825000,3.723750,3.772500,3.772500,2890400
2009-04-16,3.790000,3.936250,3.765000,3.917500,3.917500,3631200
2009-04-17,3.927500,3.943750,3.867500,3.923750,3.923750,2680800
2009-04-20,3.865000,3.932500,3.835000,3.882500,3.882500,5203200
2009-04-21,3.855000,3.943750,3.807500,3.926250,3.926250,3584800
2009-04-22,3.867500,4.097500,3.860000,3.958750,3.958750,4721600
2009-04-23,3.956250,3.956250,3.820000,3.872500,3.872500,2666400
2009-04-24,3.902500,3.947500,3.868750,3.877500,3.877500,3540000
2009-04-27,3.817500,3.901250,3.795000,3.871250,3.871250,3172800
2009-04-28,3.857500,3.935000,3.813750,3.871250,3.871250,2048000
2009-04-29,3.905000,3.992500,3.861250,3.943750,3.943750,2344800
2009-04-30,3.967500,4.013750,3.897500,3.923750,3.923750,2399200
2009-05-01,3.893750,3.958750,3.855000,3.928750,3.928750,3539200
2009-05-04,3.947500,3.981250,3.906250,3.933750,3.933750,2811200
2009-05-05,3.935000,3.983750,3.875000,3.906250,3.906250,3465600
2009-05-06,3.953750,3.955000,3.828750,3.906250,3.906250,2944800
2009-05-07,3.950000,3.958750,3.828750,3.863750,3.863750,3368000
