Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,3.205556,3.298889,3.067778,3.154444,2.427866,52101900
2009-01-27,3.183333,3.324444,3.127778,3.295556,2.536474,65658600
2009-01-28,3.356667,3.466667,3.334444,3.445556,2.651925,59529600
2009-01-29,3.416667,3.416667,3.281111,3.301111,2.540750,43363800
2009-01-30,3.283333,3.316667,3.187778,3.217778,2.476612,51078600
2009-02-02,3.138889,3.228889,3.111111,3.203333,2.465494,50223600
2009-02-03,3.230000,3.367778,3.195556,3.346667,2.575812,49339800
2009-02-04,3.320000,3.464444,3.318889,3.371111,2.594626,45355500
2009-02-05,3.340000,3.455556,3.252222,3.437778,2.645937,48156300
2009-02-06,3.466667,3.715556,3.427778,3.642222,2.803291,72138600
2009-02-09,3.633333,3.721111,3.557778,3.642222,2.803291,35355600
2009-02-10,3.601111,3.642222,3.366667,3.412222,2.626268,47494800
2009-02-11,3.437778,3.500000,3.292222,3.356667,2.583509,33366600
2009-02-12,3.303333,3.303333,3.122222,3.257778,2.507398,52955100
2009-02-13,3.252222,3.312222,3.201111,3.246667,2.498847,38064600
2009-02-17,3.182222,3.182222,3.013333,3.053333,2.350044,56911500
2009-02-18,3.072222,3.143333,3.016667,3.094444,2.381686,48114900
2009-02-19,3.012222,3.083333,2.893333,2.922222,2.249133,98404200
2009-02-20,2.853333,3.017778,2.834444,2.956667,2.275643,70166700
2009-02-23,2.995556,3.018889,2.754444,2.774444,2.135394,58780800
2009-02-24,2.771111,3.011111,2.763333,2.970000,2.285905,65912400
2009-02-25,2.890000,2.936667,2.781111,2.820000,2.188468,85041000
2009-02-26,2.848889,2.898889,2.770000,2.775556,2.153977,63580500
2009-02-27,2.711111,2.833333,2.672222,2.742222,2.128107,73389600
2009-03-02,2.684444,2.691111,2.512222,2.540000,1.971174,68447700
2009-03-03,2.572222,2.633333,2.503333,2.536667,1.968585,64260000
2009-03-04,2.574444,2.657778,2.545556,2.613333,2.028083,63102600
2009-03-05,2.557778,2.557778,2.370000,2.493333,1.934957,106727400
2009-03-06,2.514444,2.561111,2.346667,2.398889,1.861663,82831500
2009-03-09,2.366667,2.416667,2.300000,2.322222,1.802166,72299700
2009-03-10,2.412222,2.481111,2.362222,2.474444,1.920298,76370400
2009-03-11,2.498889,2.544444,2.448889,2.500000,1.940130,43548300
2009-03-12,2.500000,2.603333,2.424444,2.592222,2.011700,49075200
2009-03-13,2.628889,2.664444,2.541111,2.578889,2.001353,59090400
2009-03-16,2.633333,2.875556,2.613333,2.737778,2.124659,89255700
2009-03-17,2.735556,2.786667,2.643333,2.786667,2.162599,67560300
2009-03-18,2.762222,2.828889,2.673333,2.791111,2.166048,65015100
2009-03-19,2.820000,2.905556,2.760000,2.793333,2.167773,53679600
2009-03-20,2.797778,2.827778,2.668889,2.693333,2.090167,56151900
2009-03-23,2.762222,3.024444,2.755556,3.020000,2.343678,82099800
2009-03-24,2.986667,3.078889,2.900000,2.992222,2.322121,72500400
2009-03-25,3.034444,3.047778,2.760000,2.866667,2.224684,65120400
2009-03-26,2.890000,3.113333,2.890000,3.105556,2.410074,70616700
2009-03-27,3.133333,3.133333,3.010000,3.045556,2.363511,52347600
2009-03-30,2.982222,2.982222,2.805556,2.847778,2.210025,67520700
2009-03-31,2.882222,2.933333,2.816667,2.872222,2.228995,56383200
2009-04-01,2.824444,2.993333,2.787778,2.950000,2.289354,62706600
2009-04-02,3.023333,3.276667,3.003333,3.238889,2.513547,108333000
2009-04-03,3.233333,3.288889,3.183333,3.272222,2.539416,62630100
2009-04-06,3.236667,3.236667,3.102222,3.188889,2.474745,50134500
2009-04-07,3.140000,3.205556,3.055556,3.090000,2.398003,45909000
2009-04-08,3.098889,3.194444,3.088889,3.176667,2.465259,60629400
2009-04-09,3.262222,3.370000,3.248889,3.305556,2.565284,61699500
2009-04-13,3.280000,3.280000,3.168889,3.210000,2.491128,58216500
2009-04-14,3.202222,3.235556,3.111111,3.154444,2.448014,68209200
2009-04-15,3.338889,3.520000,3.284444,3.398889,2.637716,119020500
2009-04-16,3.444444,3.503333,3.366667,3.438889,2.668758,70680600
2009-04-17,3.445556,3.568889,3.382222,3.486667,2.705836,72092700
2009-04-20,3.432222,3.438889,3.183333,3.216667,2.496301,78802200
2009-04-21,3.191111,3.313333,3.144444,3.246667,2.519583,131588100
