Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,6.737500,7.087500,6.622500,6.922500,5.530272,13710800
2009-01-27,6.792500,7.045000,6.672500,6.925000,5.532269,11691200
2009-01-28,7.015000,7.335000,6.937500,7.222500,5.769936,14641600
2009-01-29,7.037500,7.350000,6.945000,7.137500,5.702030,13562800
2009-01-30,7.290000,7.365000,6.782500,6.872500,5.490325,16181600
2009-02-02,6.745000,6.765000,6.477500,6.620000,5.288609,12471600
2009-02-03,6.690000,6.765000,6.522500,6.732500,5.384582,13149600
2009-02-04,6.800000,7.147500,6.732500,6.852500,5.480557,12854800
2009-02-05,6.737500,7.207500,6.730000,7.155000,5.722495,10032000
2009-02-06,7.047500,7.500000,7.000000,7.412500,5.928440,8737600
2009-02-09,7.457500,7.760000,7.457500,7.690000,6.150381,12142000
2009-02-10,7.742500,7.965000,7.312500,7.402500,5.920442,15921200
2009-02-11,7.510000,7.617500,6.867500,7.100000,5.678506,10598800
2009-02-12,6.907500,7.152500,6.802500,7.130000,5.702499,10491200
2009-02-13,6.770000,6.812500,6.125000,6.495000,5.194632,31588800
2009-02-17,6.180000,6.237500,5.930000,5.957500,4.764744,12815200
2009-02-18,6.017500,6.017500,5.517500,5.577500,4.460825,17378800
2009-02-19,5.655000,5.782500,5.530000,5.552500,4.440833,9294000
2009-02-20,5.425000,5.515000,5.212500,5.360000,4.286873,9323600
2009-02-23,5.507500,5.507500,5.050000,5.062500,4.048934,7470400
2009-02-24,5.097500,5.280000,4.937500,5.242500,4.192897,11334800
2009-02-25,5.162500,5.310000,5.025000,5.170000,4.134912,10892000
2009-02-26,5.290000,5.395000,5.112500,5.125000,4.098922,10566000
2009-02-27,4.977500,5.317500,4.867500,5.092500,4.072928,9717600
2009-03-02,4.945000,4.987500,4.460000,4.535000,3.627044,9246800
2009-03-03,4.605000,5.045000,4.475000,4.892500,3.912968,19341200
2009-03-04,4.770000,5.320000,4.770000,5.190000,4.150908,13007600
2009-03-05,5.047500,5.342500,5.012500,5.082500,4.064929,9973200
2009-03-06,5.265000,5.352500,4.960000,5.160000,4.126914,10540000
2009-03-09,5.020000,5.405000,5.020000,5.205000,4.162905,10105600
2009-03-10,5.350000,5.560000,5.275000,5.492500,4.392844,11370000
2009-03-11,5.537500,5.707500,5.272500,5.405000,4.322863,7186800
2009-03-12,5.402500,5.820000,5.362500,5.782500,4.624784,7370400
2009-03-13,5.790000,5.865000,5.587500,5.642500,4.512813,7334800
2009-03-16,5.692500,5.905000,5.530000,5.722500,4.576796,6009200
