Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,31.240000,32.779999,30.799999,32.360001,18.343174,1467300
2009-01-27,32.360001,32.990002,31.750000,32.549999,18.450867,1153600
2009-01-28,33.509998,35.299999,32.639999,35.099998,19.896330,2029900
2009-01-29,34.279999,35.310001,33.470001,33.619999,19.057404,2526600
2009-01-30,34.040001,34.869999,31.150000,31.900000,18.082426,2770400
2009-02-02,30.990000,33.220001,30.440001,33.009998,18.711620,1247100
2009-02-03,33.160000,34.070000,32.599998,33.779999,19.148092,1739400
2009-02-04,33.599998,34.970001,33.000000,33.160000,18.796650,1819700
2009-02-05,33.000000,33.910000,31.540001,33.070000,18.745628,1607200
2009-02-06,33.150002,35.200001,33.009998,35.070000,19.879330,1779900
2009-02-09,35.119999,35.700001,34.450001,35.389999,20.060717,1599600
2009-02-10,33.959999,34.689999,32.790001,32.869999,18.632269,3324000
2009-02-11,33.430000,33.650002,31.940001,33.240002,18.841999,2732100
2009-02-12,32.310001,33.009998,30.709999,32.610001,18.484890,2046300
2009-02-13,32.279999,32.599998,30.799999,30.950001,17.543919,1774600
2009-02-17,30.010000,30.940001,28.320000,28.490000,16.149479,2691100
2009-02-18,28.549999,29.379999,27.400000,28.549999,16.183489,2486400
2009-02-19,29.100000,29.139999,26.570000,26.900000,15.248186,1989400
2009-02-20,26.440001,30.070000,25.770000,29.950001,16.977070,3491900
2009-02-23,30.440001,30.440001,27.219999,27.440001,15.554284,2226800
2009-02-24,27.420000,29.150000,27.180000,29.020000,16.449907,2787600
2009-02-25,28.600000,29.950001,27.469999,28.930000,16.398895,1887200
2009-02-26,30.120001,30.990000,28.540001,28.719999,16.279846,2369300
2009-02-27,29.799999,30.559999,28.610001,29.889999,16.943064,2253700
2009-03-02,29.400000,29.590000,26.559999,26.959999,15.282198,2234800
2009-03-03,27.740000,28.350000,26.820000,27.900000,15.815037,1907500
2009-03-04,28.700001,29.770000,27.150000,27.969999,15.854710,1874500
2009-03-05,27.670000,27.770000,26.320000,26.629999,15.095140,2576500
2009-03-06,27.450001,27.450001,24.959999,26.330000,14.925087,2760400
2009-03-09,26.059999,27.750000,25.420000,27.680000,15.690329,1937100
2009-03-10,28.580000,31.480000,28.000000,31.240000,17.708302,3263500
2009-03-11,31.469999,32.599998,30.889999,31.440001,17.821682,3084200
2009-03-12,31.260000,32.900002,29.959999,32.610001,18.680965,2814400
2009-03-13,33.060001,33.099998,31.469999,32.470001,18.600767,1287500
2009-03-16,32.700001,32.750000,29.440001,29.620001,16.968113,1766900
2009-03-17,29.600000,31.650000,29.240000,31.620001,18.113832,1991900
2009-03-18,30.920000,33.410000,30.290001,32.919998,18.858547,2358900
2009-03-19,33.220001,33.500000,32.060001,32.340000,18.526287,2163900
2009-03-20,32.189999,32.349998,30.100000,30.170000,17.283184,1953000
2009-03-23,30.799999,34.849998,30.799999,34.599998,19.820950,3105800
2009-03-24,33.939999,34.540001,31.459999,31.629999,18.119560,2689200
2009-03-25,32.669998,32.980000,30.309999,32.619999,18.686693,1849900
2009-03-26,33.610001,34.060001,31.469999,33.860001,19.397039,2255100
2009-03-27,32.750000,33.880001,32.169998,33.180000,19.007494,2016800
2009-03-30,32.209999,32.660000,31.660000,31.740000,18.182575,1978200
2009-03-31,32.090000,33.509998,31.490000,33.180000,19.007494,2491500
2009-04-01,32.299999,33.830002,32.139999,33.240002,19.041868,1647800
2009-04-02,33.950001,35.830002,33.290001,35.360001,20.256332,2897700
2009-04-03,35.360001,38.730000,34.849998,38.599998,22.112396,3084700
2009-04-06,38.580002,38.580002,35.910000,37.000000,21.195826,2828700
2009-04-07,35.860001,36.389999,33.820000,33.849998,19.391315,1889900
2009-04-08,34.419998,35.200001,34.000000,34.650002,19.849600,2170200
2009-04-09,35.090000,38.950001,35.090000,38.820000,22.238420,2751000
2009-04-13,37.930000,39.840000,37.040001,39.299999,22.513405,1793600
2009-04-14,38.070000,38.139999,35.529999,35.830002,20.525572,3930600
2009-04-15,35.299999,37.180000,34.529999,36.880001,21.127069,5332400
2009-04-16,36.830002,38.250000,35.180000,36.799999,21.081247,3620800
2009-04-17,36.450001,37.810001,35.720001,36.480000,20.897934,2566900
2009-04-20,35.040001,36.029999,33.799999,34.060001,19.511608,3627600
2009-04-21,33.200001,36.470001,32.500000,35.910000,20.571404,3602400
2009-04-22,34.689999,37.549999,34.369999,35.080002,20.095928,3219300
2009-04-23,35.939999,37.349998,34.189999,37.290001,21.361956,2286700
2009-04-24,37.310001,39.310001,36.230000,38.389999,21.992086,3167100
2009-04-27,36.950001,37.900002,36.520000,37.240002,21.333311,3113700
2009-04-28,36.590000,37.959999,36.040001,36.599998,20.966679,2037900
2009-04-29,38.360001,38.360001,35.950001,37.410000,21.430691,2902000
2009-04-30,37.389999,37.680000,35.250000,36.009998,20.628689,3520000
2009-05-01,35.610001,36.000000,34.529999,34.919998,20.004267,2171900
2009-05-04,35.490002,37.880001,35.369999,37.680000,21.585367,3258100
2009-05-05,37.070000,38.610001,37.070000,37.849998,21.682755,1917800
2009-05-06,39.060001,39.119999,36.889999,38.380001,21.986366,2235900
2009-05-07,39.619999,39.619999,34.880001,35.360001,20.256332,2482800
2009-05-08,36.490002,36.959999,35.599998,36.400002,20.852106,3590000
2009-05-11,34.880001,35.669998,34.419998,34.549999,19.792303,2470100
2009-05-12,34.950001,36.500000,34.169998,35.889999,20.559940,2420100
2009-05-13,34.660000,35.180000,34.009998,34.169998,19.574623,2308900
2009-05-14,34.200001,35.240002,33.599998,34.900002,19.992813,2774100
2009-05-15,34.160000,34.840000,33.259998,33.730000,19.322563,2034300
2009-05-18,34.419998,37.009998,33.970001,36.740002,21.046875,4371400
2009-05-19,36.160000,36.250000,34.669998,35.160000,20.141758,2096500
2009-05-20,35.869999,36.259998,35.080002,35.259998,20.199043,1985100
2009-05-21,34.650002,35.750000,34.380001,35.099998,20.107384,1767200
2009-05-22,35.230000,35.599998,34.310001,34.410000,19.712111,1262200
2009-05-26,34.549999,36.599998,34.060001,36.369999,20.834923,1951700
2009-05-27,35.680000,36.139999,34.029999,34.360001,19.683477,2324800
2009-05-28,36.490002,36.490002,33.360001,34.689999,19.872513,2232900
2009-05-29,34.790001,36.080002,34.270000,35.770000,20.491209,2939800
2009-06-01,35.799999,38.020000,35.799999,37.290001,21.361956,2514000
2009-06-02,37.450001,37.529999,36.730000,36.970001,21.178640,1977700
2009-06-03,36.650002,37.000000,35.750000,36.349998,20.823460,1698200
2009-06-04,36.830002,38.080002,36.270000,37.619999,21.550989,2220700
2009-06-05,38.000000,38.000000,36.639999,36.889999,21.132811,1529400
2009-06-08,36.349998,37.029999,36.259998,36.619999,20.978132,1417300
2009-06-09,36.590000,37.209999,36.070000,37.000000,21.195826,1111500
2009-06-10,37.320000,37.419998,36.000000,36.570000,20.949492,1385800
2009-06-11,36.369999,36.580002,35.419998,35.590000,20.573744,834800
2009-06-12,35.610001,37.049999,35.369999,36.910000,21.336800,870400
2009-06-15,36.150002,36.410000,35.029999,35.180000,20.336731,1816800
2009-06-16,35.610001,35.970001,34.180000,34.689999,20.053467,1023000
2009-06-17,34.450001,34.669998,33.259998,33.369999,19.290413,1278200
2009-06-18,33.299999,34.169998,33.080002,33.700001,19.481176,1422700
2009-06-19,33.900002,34.730000,33.880001,34.680000,20.047693,1561900
2009-06-22,34.119999,34.389999,32.790001,32.889999,19.012936,1345500
2009-06-23,33.360001,33.709999,32.830002,33.119999,19.145891,988200
2009-06-24,33.950001,33.950001,32.790001,33.770000,19.521646,1127600
2009-06-25,33.520000,34.490002,33.400002,34.459999,19.920509,1055000
2009-06-26,34.439999,34.500000,33.720001,34.049999,19.683508,1433600
2009-06-29,34.080002,34.820000,33.790001,34.720001,20.070820,1530900
2009-06-30,34.980000,36.250000,34.869999,35.849998,20.724035,1550900
2009-07-01,36.180000,36.180000,35.779999,36.049999,20.839659,1265200
