Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,10.410000,10.960000,10.090000,10.640000,6.072003,3538146
2009-01-27,10.950000,11.200000,10.360000,10.910000,6.226084,2867288
2009-01-28,11.230000,12.260000,11.120000,12.110000,6.910897,5989052
2009-01-29,10.990000,11.170000,9.830000,9.960000,5.683940,6532347
2009-01-30,10.040000,10.390000,9.010000,9.210000,5.255934,6038505
2009-02-02,9.150000,9.660000,8.750000,9.640000,5.501326,4292846
2009-02-03,9.650000,9.730000,9.200000,9.610000,5.484205,3139350
2009-02-04,9.750000,9.890000,9.120000,9.230000,5.267348,3337836
2009-02-05,9.160000,9.570000,8.620000,9.170000,5.233108,3160970
2009-02-06,9.230000,10.380000,9.200000,10.280000,5.866558,4323865
2009-02-09,10.260000,10.630000,9.980000,10.520000,6.003520,2966702
2009-02-10,10.280000,10.450000,9.170000,9.300000,5.307294,4707876
2009-02-11,9.230000,9.300000,8.640000,9.150000,5.365940,4406104
2009-02-12,9.130000,9.280000,8.120000,8.940000,5.242785,4906798
2009-02-13,8.720000,9.200000,8.260000,8.270000,4.849869,3799199
2009-02-17,8.100000,8.100000,7.300000,7.420000,4.351397,4813028
2009-02-18,7.450000,7.590000,6.950000,7.390000,4.333802,3186691
2009-02-19,7.590000,7.670000,6.820000,6.910000,4.052310,3032517
2009-02-20,6.680000,7.650000,6.410000,7.480000,4.386581,5710283
2009-02-23,7.630000,7.690000,6.650000,6.690000,3.923292,5045139
2009-02-24,6.760000,7.520000,6.500000,7.490000,4.392445,5863944
2009-02-25,7.350000,7.660000,6.700000,7.190000,4.216515,4536513
2009-02-26,7.340000,7.790000,7.000000,7.150000,4.193056,5243971
2009-02-27,6.950000,7.330000,6.750000,6.900000,4.046446,3978476
2009-03-02,6.880000,6.880000,5.750000,5.940000,3.483461,6446616
2009-03-03,6.020000,6.220000,5.610000,5.970000,3.501055,4620265
2009-03-04,6.370000,6.600000,5.990000,6.390000,3.747361,4199321
2009-03-05,6.090000,6.400000,5.360000,5.520000,3.237156,5873741
2009-03-06,5.650000,5.820000,4.170000,4.480000,2.627258,9783661
2009-03-09,4.380000,4.520000,4.070000,4.390000,2.574478,5368155
2009-03-10,4.490000,5.540000,4.450000,5.350000,3.137462,9742120
2009-03-11,5.390000,5.900000,5.170000,5.490000,3.219563,7416420
