Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,8.085000,8.330000,8.040000,8.150000,5.743539,8129600
2009-01-27,8.135000,8.690000,8.125000,8.645000,6.092382,12533600
2009-01-28,8.597500,9.037500,8.595000,8.942500,6.302040,9822400
2009-01-29,8.865000,9.012500,8.617500,8.690000,6.124092,7585200
2009-01-30,8.712500,8.825000,8.395000,8.545000,6.021907,9248400
2009-02-02,8.427500,8.672500,8.380000,8.582500,6.048337,5283600
2009-02-03,8.547500,8.905000,8.412500,8.870000,6.250947,6530000
2009-02-04,8.657500,8.670000,8.385000,8.557500,6.030717,16829600
2009-02-05,8.397500,8.710000,8.305000,8.662500,6.104715,9515600
2009-02-06,8.690000,9.282500,8.660000,9.282500,6.541645,9725600
2009-02-09,9.182500,9.430000,9.050000,9.382500,6.612115,4778800
2009-02-10,9.375000,9.465000,8.890000,9.000000,6.342560,5879600
2009-02-11,9.075000,9.087500,8.557500,8.642500,6.150415,8179200
2009-02-12,8.560000,8.872500,8.460000,8.840000,6.290968,5400400
2009-02-13,8.845000,8.962500,8.622500,8.622500,6.136182,4286000
2009-02-17,8.470000,8.470000,8.082500,8.217500,5.847964,6661600
2009-02-18,8.280000,8.597500,8.240000,8.520000,6.063237,9007200
2009-02-19,8.545000,8.732500,8.097500,8.097500,5.762566,8959600
2009-02-20,8.160000,8.175000,7.937500,8.047500,5.726984,9942400
2009-02-23,8.062500,8.107500,7.395000,7.420000,5.280427,12117200
2009-02-24,7.492500,7.815000,7.467500,7.800000,5.550852,12372800
2009-02-25,7.780000,7.867500,7.595000,7.627500,5.428093,13683600
2009-02-26,7.787500,7.835000,7.512500,7.522500,5.353369,6858800
2009-02-27,7.475000,7.620000,7.352500,7.530000,5.358706,9101200
2009-03-02,7.412500,7.495000,7.077500,7.132500,5.075827,10135200
2009-03-03,7.145000,7.420000,7.142500,7.287500,5.186131,13985200
2009-03-04,7.395000,7.407500,6.840000,7.102500,5.054478,13709600
2009-03-05,7.025000,7.060000,6.697500,6.740000,4.796504,11718400
2009-03-06,6.702500,6.825000,6.467500,6.595000,4.693317,10049600
2009-03-09,6.542500,6.825000,6.505000,6.540000,4.654175,7407200
2009-03-10,6.605000,7.037500,6.535000,7.037500,5.008221,9061600
2009-03-11,7.130000,7.245000,7.010000,7.157500,5.093618,7852800
2009-03-12,7.152500,7.490000,7.002500,7.485000,5.326683,7977200
2009-03-13,7.530000,7.582500,7.217500,7.360000,5.237727,9866000
2009-03-16,7.335000,7.432500,6.882500,6.950000,4.945951,15050400
2009-03-17,7.010000,7.202500,6.850000,7.167500,5.100733,9858400
2009-03-18,7.152500,7.445000,6.990000,7.340000,5.223493,6622000
2009-03-19,7.340000,7.415000,7.215000,7.355000,5.234168,7444400
2009-03-20,7.315000,7.575000,7.290000,7.297500,5.193249,10405600
2009-03-23,7.447500,7.970000,7.332500,7.960000,5.664717,9433200
2009-03-24,7.885000,8.322500,7.875000,8.097500,5.762566,11818400
2009-03-25,8.070000,8.527500,7.835000,8.067500,5.741216,11301600
2009-03-26,8.125000,8.422500,8.042500,8.355000,5.945815,8622000
2009-03-27,8.265000,8.347500,8.085000,8.200000,5.835512,7931200
2009-03-30,8.187500,8.237500,7.762500,7.967500,5.670053,7598000
2009-03-31,8.025000,8.190000,7.772500,8.037500,5.719868,8843600
2009-04-01,7.972500,8.257500,7.750000,8.232500,5.858639,12691600
2009-04-02,8.397500,8.997500,8.372500,8.905000,6.337220,10638400
2009-04-03,8.830000,9.250000,8.815000,9.250000,6.582741,9936000
2009-04-06,9.125000,9.332500,9.047500,9.322500,6.634335,8149600
2009-04-07,9.250000,9.322500,8.872500,8.962500,6.378140,8873200
