Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,25.920000,26.480000,25.459999,25.940001,17.238848,1128400
2009-01-27,25.959999,26.309999,25.700001,26.059999,17.318598,1101200
2009-01-28,26.209999,26.670000,26.059999,26.620001,17.690756,1332700
2009-01-29,26.129999,26.530001,25.290001,25.500000,16.946444,1665800
2009-01-30,25.520000,25.520000,24.030001,24.129999,16.162752,2414300
2009-02-02,22.469999,22.549999,21.680000,21.930000,14.689147,6743000
2009-02-03,22.010000,22.680000,21.700001,22.540001,15.097737,2746700
2009-02-04,22.410000,22.719999,21.900000,22.590000,15.131227,1881100
2009-02-05,22.540001,23.570000,22.389999,23.320000,15.620197,4561000
2009-02-06,23.200001,23.770000,23.010000,23.540001,15.767561,2859600
2009-02-09,23.570000,25.490000,23.570000,25.070000,16.792385,5320800
2009-02-10,24.790001,25.120001,24.160000,24.230000,16.229733,3590100
2009-02-11,24.180000,24.309999,23.920000,24.170000,16.189543,2872400
2009-02-12,23.840000,24.150000,23.180000,24.010000,16.082365,3410700
2009-02-13,24.049999,24.360001,23.740000,23.799999,15.941712,2154700
2009-02-17,23.469999,23.850000,21.680000,23.510000,15.747466,3163800
2009-02-18,23.700001,23.700001,23.020000,23.330000,15.626898,2935600
2009-02-19,23.459999,24.030001,23.010000,23.129999,15.492934,3623700
2009-02-20,23.000000,23.549999,22.799999,23.200001,15.539818,5298400
2009-02-23,23.200001,23.350000,22.410000,22.500000,15.070945,3189800
2009-02-24,22.709999,23.040001,22.360001,22.870001,15.318781,3616300
2009-02-25,22.730000,23.450001,22.170000,22.990000,15.399160,4359600
2009-02-26,23.129999,23.469999,22.469999,22.580000,15.124532,2849000
2009-02-27,22.320000,23.530001,22.120001,22.889999,15.332172,3298900
2009-03-02,22.740000,23.000000,22.330000,22.510000,15.077646,3455900
2009-03-03,22.799999,22.969999,22.120001,22.240000,14.896798,5406600
2009-03-04,22.580000,22.809999,21.600000,22.420000,15.017362,4462200
2009-03-05,21.980000,22.570000,21.790001,22.000000,14.736037,5132600
2009-03-06,21.940001,22.360001,21.430000,22.070000,14.782928,3479300
2009-03-09,21.920000,22.120001,21.139999,21.320000,14.280557,2772900
2009-03-10,21.590000,22.440001,21.320000,22.350000,14.970470,2676500
2009-03-11,22.320000,22.629999,21.900000,22.059999,14.776230,2506300
2009-03-12,21.980000,23.180000,21.840000,23.080000,15.459439,2145100
2009-03-13,23.209999,23.400000,22.879999,23.250000,15.573312,1957300
2009-03-16,23.410000,23.459999,22.700001,22.780001,15.258495,2430100
2009-03-17,22.719999,23.190001,22.490000,23.190001,15.533121,1939000
2009-03-18,23.330000,23.940001,22.870001,23.700001,15.874729,2748500
2009-03-19,23.860001,23.860001,23.270000,23.700001,15.874729,1619800
2009-03-20,23.709999,23.950001,23.190001,23.299999,15.606804,1973200
2009-03-23,23.410000,23.809999,23.170000,23.790001,15.935013,2306400
2009-03-24,23.459999,23.700001,22.870001,22.920000,15.352269,2727400
2009-03-25,23.090000,24.330000,23.090000,24.059999,16.115860,2839300
2009-03-26,24.250000,25.559999,24.139999,25.260000,16.919645,3335700
2009-03-27,25.129999,25.750000,25.129999,25.459999,17.053617,2385800
2009-03-30,24.870001,25.330000,24.290001,24.930000,16.698610,3388600
2009-03-31,25.480000,25.570000,24.750000,25.070000,16.792385,2333100
2009-04-01,24.930000,25.350000,24.760000,25.240000,16.906250,2185200
2009-04-02,25.450001,26.889999,25.450001,26.370001,17.663153,2393500
2009-04-03,26.490000,26.740000,26.090000,26.740000,17.910982,1817200
2009-04-06,26.620001,26.950001,26.250000,26.830000,17.971262,1650800
2009-04-07,26.520000,26.700001,25.610001,25.690001,17.207678,1380300
2009-04-08,25.660000,26.299999,25.660000,26.110001,17.488998,1986900
2009-04-09,26.549999,26.860001,26.270000,26.860001,17.991362,1257900
