Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,2.387500,2.485000,2.320000,2.350000,1.751737,4922800
2009-01-27,2.350000,2.415000,2.290000,2.312500,1.723784,2661600
2009-01-28,2.347500,2.542500,2.315000,2.445000,1.822552,5854800
2009-01-29,2.657500,2.675000,2.327500,2.442500,1.820688,13050800
2009-01-30,2.422500,2.452500,2.175000,2.247500,1.675331,10240800
2009-02-02,2.197500,2.257500,2.105000,2.170000,1.617561,6919200
2009-02-03,2.180000,2.217500,2.137500,2.182500,1.626879,5493200
2009-02-04,2.190000,2.205000,2.050000,2.100000,1.565382,4829600
2009-02-05,2.072500,2.130000,1.957500,2.012500,1.500158,9488800
2009-02-06,2.037500,2.195000,2.015000,2.150000,1.602653,11251200
2009-02-09,2.155000,2.155000,2.040000,2.080000,1.550474,4274400
2009-02-10,2.057500,2.112500,1.960000,1.990000,1.483386,5690000
2009-02-11,1.992500,2.067500,1.985000,2.017500,1.503885,3907200
2009-02-12,1.932500,1.980000,1.837500,1.872500,1.395799,9935600
2009-02-13,1.880000,2.005000,1.862500,1.900000,1.416298,6858000
2009-02-17,1.832500,1.870000,1.810000,1.830000,1.364119,5352000
2009-02-18,1.842500,1.842500,1.717500,1.740000,1.297031,3446800
2009-02-19,1.760000,1.827500,1.745000,1.762500,1.313803,3807200
2009-02-20,1.725000,1.742500,1.577500,1.662500,1.239261,3817600
2009-02-23,1.635000,1.695000,1.590000,1.617500,1.205717,6681600
2009-02-24,1.630000,1.630000,1.285000,1.500000,1.118130,19121200
2009-02-25,1.472500,1.540000,1.370000,1.445000,1.077132,10788400
2009-02-26,1.467500,1.745000,1.455000,1.712500,1.276532,11680800
2009-02-27,1.677500,1.812500,1.622500,1.750000,1.304485,9276000
2009-03-02,1.705000,1.750000,1.577500,1.592500,1.187081,9296400
2009-03-03,1.620000,1.632500,1.465000,1.505000,1.121857,9473600
2009-03-04,1.532500,1.697500,1.505000,1.637500,1.220626,9172400
2009-03-05,1.607500,1.632500,1.520000,1.550000,1.155401,6880800
2009-03-06,1.537500,1.575000,1.480000,1.535000,1.144220,6846400
