Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,57.570000,62.180000,57.570000,60.000000,49.620342,7354200
2009-01-27,59.889999,60.549999,58.830002,59.180000,48.942207,6326400
2009-01-28,60.009998,61.919998,56.439999,60.860001,50.331566,7493800
2009-01-29,59.820000,60.200001,56.740002,56.950001,47.097980,4377400
2009-01-30,58.200001,58.980000,55.299999,55.610001,45.989784,5124000
2009-02-02,54.150002,55.000000,53.230000,53.720001,44.426750,4362800
2009-02-03,53.669998,55.700001,53.470001,55.419998,45.832649,4434200
2009-02-04,55.799999,57.720001,55.200001,56.430000,46.667942,3868000
2009-02-05,56.099998,58.660000,54.919998,58.360001,48.264069,4550100
2009-02-06,57.430000,60.900002,56.790001,60.450001,49.992508,3354800
2009-02-09,61.490002,63.389999,60.200001,60.720001,50.215794,4742400
2009-02-10,60.820000,62.459999,56.439999,57.070000,47.197224,3552500
2009-02-11,57.810001,58.480000,55.869999,57.169998,47.279922,2653000
2009-02-12,56.540001,56.709999,54.259998,56.360001,46.610046,3482700
2009-02-13,56.779999,59.529999,56.540001,58.410000,48.305408,3440000
2009-02-17,57.189999,57.189999,52.430000,52.590000,43.492222,4186700
2009-02-18,53.290001,53.730000,50.900002,51.779999,42.822353,4501500
2009-02-19,54.380001,54.860001,51.770000,52.169998,43.144894,5706100
2009-02-20,50.340000,52.650002,50.060001,51.590000,42.665234,4280100
2009-02-23,52.360001,53.450001,49.580002,49.990002,41.342022,4127100
2009-02-24,50.790001,52.580002,49.709999,52.349998,43.293739,5390400
2009-02-25,52.000000,53.770000,50.080002,52.169998,43.144894,4630000
2009-02-26,53.160000,55.630001,52.660000,53.830002,44.517731,4114900
2009-02-27,51.619999,56.500000,51.369999,54.689999,45.228943,5485500
2009-03-02,52.619999,54.639999,51.709999,51.840000,42.871994,7156700
2009-03-03,52.730000,53.900002,51.150002,51.599998,42.673489,6021800
2009-03-04,54.000000,56.459999,53.110001,55.150002,45.609371,6965700
2009-03-05,53.990002,55.930000,52.060001,52.709999,43.591469,6624200
2009-03-06,53.639999,55.900002,52.610001,54.740002,45.270306,7282300
2009-03-09,54.639999,56.799999,53.279999,53.959999,44.625221,6980200
2009-03-10,55.599998,58.720001,54.959999,58.369999,48.272331,7977100
2009-03-11,58.200001,58.880001,55.599998,57.169998,47.279922,5651900
2009-03-12,57.430000,59.480000,56.830002,59.020000,48.895401,5267700
2009-03-13,59.330002,61.270000,57.799999,58.650002,48.588875,7544100
2009-03-16,58.099998,60.869999,57.070000,58.869999,48.771137,4479700
2009-03-17,59.060001,61.970001,58.189999,61.970001,51.339359,4892800
2009-03-18,61.090000,61.099998,57.880001,60.230000,49.897839,7179600
2009-03-19,62.470001,65.980003,62.029999,64.820000,53.700447,7273300
2009-03-20,65.279999,65.400002,61.000000,61.799999,51.198517,5337100
2009-03-23,63.980000,66.839996,63.570000,66.300003,54.926571,6248400
2009-03-24,65.010002,65.980003,63.270000,65.019997,53.866131,3891600
2009-03-25,64.269997,64.989998,62.430000,64.349998,53.311073,5264900
2009-03-26,64.940002,65.120003,62.849998,63.590000,52.681442,5006800
2009-03-27,61.889999,62.299999,57.770000,58.230000,48.240932,6358900
2009-03-30,56.189999,57.169998,54.130001,55.180000,45.714146,4767700
2009-03-31,56.630001,56.630001,54.060001,54.200001,44.902252,5076700
2009-04-01,53.060001,55.990002,52.430000,55.480000,45.962685,4910800
2009-04-02,57.750000,60.119999,57.509998,58.470001,48.439774,4498300
2009-04-03,58.200001,60.310001,57.750000,59.759998,49.508465,3998100
2009-04-06,58.439999,58.439999,56.419998,57.799999,47.884693,3434500
2009-04-07,56.509998,57.230000,55.610001,56.279999,46.625454,3317200
2009-04-08,55.700001,57.709999,54.380001,57.650002,47.760422,3804500
2009-04-09,59.950001,60.340000,57.130001,58.439999,48.414906,3749800
2009-04-13,56.580002,58.360001,55.310001,57.830002,47.909550,3881500
2009-04-14,57.040001,58.820000,56.639999,57.099998,47.304771,3484200
2009-04-15,56.759998,58.240002,55.080002,55.849998,46.269203,4078100
2009-04-16,56.509998,56.590000,54.560001,55.799999,46.227795,3647900
2009-04-17,55.910000,56.689999,54.889999,55.090000,45.639572,5170600
2009-04-20,53.990002,54.000000,50.369999,50.639999,41.952961,5472900
2009-04-21,50.369999,51.500000,49.869999,50.490002,41.828682,6254700
2009-04-22,49.959999,51.410000,49.720001,50.410000,41.762390,6398300
2009-04-23,51.000000,52.669998,50.810001,52.570000,43.551884,5507800
2009-04-24,54.020000,57.180000,54.009998,56.169998,46.534317,6685500
2009-04-27,53.830002,56.849998,53.669998,54.959999,45.531879,6506800
2009-04-28,54.919998,55.709999,53.900002,54.889999,45.473881,3615400
2009-04-29,56.720001,58.700001,54.930000,56.840000,47.089367,6194100
2009-04-30,57.209999,57.590000,54.150002,54.790001,45.391037,5040000
2009-05-01,54.840000,56.299999,54.840000,56.189999,46.550888,4843000
2009-05-04,56.799999,60.000000,56.189999,60.000000,49.707291,3999700
2009-05-05,59.279999,60.000000,57.790001,59.439999,49.243374,2873700
2009-05-06,60.500000,62.099998,60.459999,61.639999,51.065968,4494600
2009-05-07,63.400002,64.099998,59.910000,60.869999,50.428036,5957200
2009-05-08,61.119999,63.700001,61.119999,63.360001,52.490913,5241600
2009-05-11,62.529999,64.639999,61.270000,63.700001,52.772575,4679800
2009-05-12,65.379997,66.199997,62.669998,63.910000,52.946556,3905600
2009-05-13,62.900002,63.430000,59.290001,59.910000,49.632748,5287700
2009-05-14,59.349998,60.590000,58.049999,59.889999,49.616161,3283800
2009-05-15,59.189999,60.139999,57.529999,58.180000,48.199501,4062400
2009-05-18,59.360001,61.090000,59.189999,60.750000,50.328644,3211200
2009-05-19,61.209999,62.779999,60.060001,61.910000,51.289631,3607900
2009-05-20,63.049999,65.430000,62.720001,62.950001,52.151234,4957600
2009-05-21,61.630001,61.930000,60.099998,60.810001,50.378334,3865200
2009-05-22,61.369999,61.840000,60.000000,60.020000,49.723869,2845600
2009-05-26,59.259998,61.240002,58.209999,61.160000,50.668297,6038100
2009-05-27,61.910000,62.820000,61.080002,61.380001,50.850563,3661900
2009-05-28,62.119999,66.050003,61.049999,65.650002,54.388077,6031600
2009-05-29,66.610001,67.500000,65.720001,66.589996,55.166824,5386700
2009-06-01,67.930000,69.739998,67.650002,68.040001,56.368050,6637200
2009-06-02,67.599998,67.980003,59.389999,60.299999,49.955830,25610800
2009-06-03,60.779999,60.930000,56.480000,57.330002,47.495327,14734200
2009-06-04,58.900002,60.599998,58.419998,59.660000,49.425613,9410400
2009-06-05,60.240002,60.610001,57.939999,59.169998,49.019676,5559400
2009-06-08,58.389999,58.480000,56.580002,57.770000,47.859863,4264300
2009-06-09,58.889999,59.590000,57.770000,58.930000,48.820850,3958800
2009-06-10,60.160000,60.630001,58.660000,59.980000,49.690716,4634700
2009-06-11,60.189999,61.500000,59.599998,60.570000,50.179512,4487800
2009-06-12,59.419998,59.869999,58.599998,59.580002,49.440979,3647900
2009-06-15,58.160000,58.889999,57.220001,57.709999,47.889191,5255900
2009-06-16,58.689999,59.340000,57.049999,57.709999,47.889191,4940400
2009-06-17,56.880001,57.070000,52.680000,53.130001,44.088604,14364400
2009-06-18,54.430000,54.900002,53.520000,54.000000,44.810547,9078200
2009-06-19,54.430000,54.430000,52.459999,53.209999,44.154980,8422400
2009-06-22,52.060001,52.279999,50.169998,50.459999,41.872963,5964800
2009-06-23,51.650002,52.470001,50.919998,52.299999,43.399853,5604600
2009-06-24,52.580002,53.660000,52.000000,53.119999,44.080292,6436700
2009-06-25,53.419998,54.810001,52.959999,54.630001,45.333336,5444300
2009-06-26,54.160000,54.799999,53.980000,54.279999,45.042896,8691000
2009-06-29,54.900002,55.669998,54.110001,54.439999,45.175663,5263800
2009-06-30,53.990002,54.849998,52.500000,53.750000,44.603104,6069400
2009-07-01,54.500000,54.750000,52.279999,53.110001,44.071995,7387200
2009-07-02,51.660000,53.110001,49.290001,49.650002,41.200798,9267100
2009-07-06,48.080002,48.680000,46.910000,48.619999,40.346092,6573600
2009-07-07,49.330002,49.590000,48.060001,48.740002,40.445675,10137400
2009-07-08,48.689999,49.380001,46.849998,48.000000,39.831596,9498100
2009-07-09,48.660000,49.029999,47.910000,48.570000,40.304600,5774700
2009-07-10,47.320000,47.599998,46.330002,47.500000,39.416683,6291600
2009-07-13,48.000000,48.630001,46.730000,48.610001,40.337791,5175200
2009-07-14,49.279999,49.980000,48.639999,49.349998,40.951859,4069800
2009-07-15,50.150002,51.230000,50.110001,50.849998,42.196590,4972600
2009-07-16,50.520000,51.180000,49.849998,50.919998,42.254681,4607600
2009-07-17,50.950001,50.990002,49.849998,50.279999,41.723606,5545200
2009-07-20,51.060001,52.090000,50.810001,51.980000,43.134296,4462700
2009-07-21,52.779999,53.040001,51.619999,52.599998,43.648777,4338800
2009-07-22,52.090000,52.439999,51.419998,51.689999,42.893654,4113900
2009-07-23,51.599998,53.490002,51.529999,53.180000,44.130093,5088500
2009-07-24,52.740002,53.750000,52.310001,53.630001,44.503529,3588100
2009-07-27,53.900002,54.200001,52.840000,53.480000,44.379032,3445200
2009-07-28,52.680000,53.700001,52.169998,53.570000,44.453709,4855600
2009-07-29,54.139999,55.000000,50.930000,51.720001,42.918549,7338900
2009-07-30,52.560001,54.700001,52.110001,54.099998,44.893524,4954600
2009-07-31,53.619999,55.639999,53.590000,55.200001,45.806335,4520600
2009-08-03,56.950001,57.830002,56.400002,57.290001,47.540672,4645800
2009-08-04,56.880001,56.889999,55.230000,55.720001,46.237858,3961400
2009-08-05,55.869999,55.889999,55.000000,55.490002,46.046986,3352800
2009-08-06,55.610001,56.020000,55.110001,56.009998,46.478493,3828200
2009-08-07,56.869999,56.869999,54.700001,54.730000,45.416325,4786200
2009-08-10,54.540001,55.070000,54.369999,54.759998,45.441223,2898300
2009-08-11,54.389999,54.990002,53.349998,53.470001,44.370758,5174800
2009-08-12,53.570000,54.169998,53.049999,53.090000,44.055412,5667300
2009-08-13,53.490002,53.730000,52.200001,52.419998,43.499432,6291400
2009-08-14,52.450001,52.650002,50.619999,51.150002,42.445534,4434600
2009-08-17,49.689999,50.020000,48.480000,49.349998,40.951859,5279800
2009-08-18,49.349998,50.840000,49.259998,50.619999,42.005733,3906700
2009-08-19,49.599998,51.750000,49.470001,50.849998,42.196590,5732300
2009-08-20,50.599998,51.340000,50.380001,50.599998,41.989143,3869800
2009-08-21,51.439999,53.110001,50.599998,52.930000,43.922630,6607300
2009-08-24,53.209999,53.660000,52.459999,52.599998,43.648777,3873400
2009-08-25,52.799999,53.150002,51.139999,51.480000,42.719379,3460900
2009-08-26,51.060001,52.790001,50.709999,52.790001,43.806461,4216700
2009-08-27,52.080002,52.790001,50.939999,52.099998,43.233871,4096300
2009-08-28,52.529999,52.759998,51.570000,51.799999,42.984921,2211700
2009-08-31,51.049999,51.049999,50.130001,50.590000,41.980843,3145700
2009-09-01,50.290001,51.189999,49.540001,49.599998,41.159317,4216900
2009-09-02,49.380001,49.900002,49.080002,49.330002,40.935261,3480800
2009-09-03,49.740002,50.180000,49.500000,49.849998,41.366760,2121700
2009-09-04,49.790001,51.570000,49.509998,51.439999,42.686199,4982100
2009-09-08,52.380001,53.830002,52.380001,53.220001,44.163288,5228500
2009-09-09,53.320000,53.700001,52.270000,52.810001,43.823055,4228100
2009-09-10,53.060001,54.000000,52.500000,53.619999,44.495205,4596300
2009-09-11,54.160000,54.650002,52.709999,53.090000,44.055412,4817500
2009-09-14,52.480000,53.619999,52.369999,53.419998,44.329254,3185300
2009-09-15,53.680000,54.560001,52.939999,54.410000,45.150772,3972900
2009-09-16,54.700001,56.590000,54.610001,56.439999,46.921558,7079700
2009-09-17,56.250000,57.299999,55.750000,56.380001,46.871670,4381600
2009-09-18,56.680000,56.750000,55.009998,55.810001,46.397808,4237600
2009-09-21,54.599998,55.259998,54.130001,55.040001,45.757648,2245700
2009-09-22,55.770000,56.919998,55.639999,56.360001,46.855053,3713800
2009-09-23,56.520000,56.820000,54.700001,55.070000,45.782604,4011400
2009-09-24,54.720001,54.930000,53.279999,53.459999,44.444122,4379800
2009-09-25,53.250000,54.150002,52.619999,53.080002,44.128208,4144900
2009-09-28,53.180000,54.869999,53.180000,54.689999,45.466690,2817200
2009-09-29,54.740002,54.950001,53.509998,53.700001,44.643642,3705300
2009-09-30,54.200001,54.290001,52.599998,53.459999,44.444122,4725300
2009-10-01,53.500000,53.790001,51.959999,52.400002,43.562878,4106800
2009-10-02,51.459999,52.270000,51.410000,51.790001,43.055763,4331200
