Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,7.647500,7.785000,7.592500,7.665000,5.875043,1667200
2009-01-27,7.630000,7.755000,7.592500,7.737500,5.930613,1608000
2009-01-28,7.797500,7.847500,7.687500,7.780000,5.963188,1342800
2009-01-29,7.690000,7.782500,7.620000,7.717500,5.915282,1119200
2009-01-30,7.715000,7.770000,7.392500,7.457500,5.716000,2542400
2009-02-02,7.420000,7.615000,7.312500,7.597500,5.823306,2082800
2009-02-03,7.592500,7.767500,7.515000,7.720000,5.917199,1492800
2009-02-04,7.715000,7.747500,7.575000,7.627500,5.846300,1840000
2009-02-05,7.620000,7.725000,7.600000,7.687500,5.892292,1640400
2009-02-06,7.677500,7.872500,7.660000,7.852500,6.018759,1762400
2009-02-09,7.855000,7.877500,7.765000,7.825000,5.997680,1169600
2009-02-10,7.795000,7.847500,7.617500,7.652500,5.865463,1258400
2009-02-11,7.695000,7.780000,7.680000,7.740000,5.932529,1355600
2009-02-12,7.640000,7.830000,7.640000,7.820000,5.993847,1407600
2009-02-13,7.845000,7.882500,7.732500,7.757500,5.945944,1045600
2009-02-17,7.642500,7.797500,7.570000,7.697500,5.899953,1596400
2009-02-18,7.667500,7.752500,7.510000,7.605000,5.829054,2266400
2009-02-19,7.875000,8.262500,7.752500,8.202500,6.287023,4812000
2009-02-20,8.092500,8.242500,7.920000,7.995000,6.127982,2614400
2009-02-23,8.025000,8.077500,7.842500,7.890000,6.047500,1714000
2009-02-24,7.900000,8.020000,7.870000,7.987500,6.122233,1487200
2009-02-25,8.227500,8.357500,8.160000,8.200000,6.285107,6424000
2009-02-26,8.292500,8.292500,7.917500,7.930000,6.078160,4492800
2009-02-27,7.807500,8.100000,7.807500,7.957500,6.099238,4155200
2009-03-02,7.875000,7.955000,7.830000,7.857500,6.022589,2316000
2009-03-03,7.945000,8.007500,7.660000,7.700000,5.901870,48811200
2009-03-04,7.752500,7.767500,7.505000,7.610000,5.832887,6680400
2009-03-05,7.527500,7.535000,7.315000,7.350000,5.633602,4253200
2009-03-06,7.500000,7.670000,7.465000,7.590000,5.817556,6258000
2009-03-09,7.560000,7.722500,7.502500,7.545000,5.783066,4194400
2009-03-10,7.615000,7.712500,7.592500,7.662500,5.873127,3062400
2009-03-11,7.707500,7.707500,7.537500,7.542500,5.781150,1952000
2009-03-12,7.525000,7.647500,7.482500,7.622500,5.842467,3228400
2009-03-13,7.667500,7.690000,7.525000,7.622500,5.842467,2903200
2009-03-16,7.712500,7.765000,7.572500,7.590000,5.817556,3511600
2009-03-17,7.642500,7.765000,7.592500,7.752500,5.942109,2172400
2009-03-18,7.670000,7.810000,7.637500,7.725000,5.921032,2306000
2009-03-19,7.745000,7.762500,7.595000,7.700000,5.901870,2504000
2009-03-20,7.695000,7.847500,7.662500,7.755000,5.944026,3603200
2009-03-23,7.770000,7.917500,7.750000,7.917500,6.068579,1840400
2009-03-24,7.862500,7.910000,7.770000,7.825000,5.997680,2410400
2009-03-25,7.837500,7.925000,7.757500,7.875000,6.036004,1820000
2009-03-26,7.917500,7.987500,7.835000,7.977500,6.114566,2330400
2009-03-27,7.897500,7.952500,7.777500,7.872500,6.034088,1791200
2009-03-30,7.775000,7.867500,7.747500,7.862500,6.026422,1978800
2009-03-31,7.865000,8.002500,7.782500,7.927500,6.076244,2610800
2009-04-01,7.807500,8.010000,7.767500,7.972500,6.110734,2332000
