Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,5.511503,5.971610,5.511503,5.834557,4.075377,13660213
2009-01-27,5.952031,6.118453,5.658346,5.756241,4.020674,12162081
2009-01-28,5.766030,6.216349,5.609398,6.108664,4.266835,21013481
2009-01-29,5.824767,6.059716,5.619187,5.638767,3.938617,15559079
2009-01-30,5.717083,5.805188,5.119922,5.266765,3.678780,17234748
2009-02-02,5.090553,5.413607,5.012237,5.354870,3.740319,15616692
2009-02-03,5.442976,5.442976,5.208027,5.345081,3.733482,13729369
2009-02-04,5.394028,5.599608,5.012237,5.031816,3.514669,14145119
2009-02-05,4.982868,5.168869,4.767499,4.982868,3.480481,14160748
2009-02-06,5.080764,5.413607,5.051395,5.374449,3.753995,16076061
2009-02-09,5.227606,5.472345,5.139501,5.452766,3.808700,11998845
2009-02-10,5.374449,5.452766,4.708762,4.728341,3.302696,20797127
2009-02-11,4.767499,4.914342,4.278023,4.591287,3.206965,23979100
2009-02-12,4.150759,4.630445,4.150759,4.630445,3.234317,19432812
2009-02-13,4.503182,4.659814,4.160548,4.287812,2.994991,18704584
2009-02-17,4.150759,4.346549,4.023495,4.111601,2.871909,21792885
2009-02-18,4.062653,4.346549,3.847283,4.023495,2.810369,17295323
2009-02-19,4.787078,4.787078,3.680861,3.778757,2.639421,20118953
2009-02-20,3.641703,4.111601,3.396965,4.062653,2.837720,18263296
2009-02-23,4.160548,4.199706,3.729809,3.749388,2.618907,19276318
2009-02-24,3.788546,4.238864,3.641703,4.189917,2.926613,19979825
2009-02-25,4.238864,4.258443,3.817915,4.033284,2.817206,14855368
2009-02-26,4.033284,4.170338,3.661282,3.749388,2.618907,13306059
2009-02-27,3.602545,3.857073,3.582966,3.622124,2.530015,14626756
2009-03-02,3.475281,3.700441,3.269701,3.338228,2.331716,20826138
2009-03-03,3.396965,3.720020,3.250122,3.426334,2.393259,15613832
2009-03-04,3.485071,3.690651,3.348018,3.573177,2.495827,16716439
2009-03-05,3.416544,3.573177,3.240333,3.328439,2.324880,24707633
2009-03-06,3.426334,3.534019,3.015174,3.465492,2.420609,24804676
2009-03-09,3.514440,3.641703,3.142438,3.504650,2.447960,15520365
2009-03-10,3.553598,4.189917,3.534019,4.170338,2.912936,30948590
2009-03-11,4.219285,4.395497,4.043074,4.111601,2.871909,22509978
2009-03-12,4.082232,4.806657,4.023495,4.718551,3.295858,23664375
2009-03-13,4.767499,4.796867,4.189917,4.552129,3.179613,12822379
2009-03-16,4.620656,4.738130,3.984337,3.984337,2.783018,19290619
2009-03-17,4.092022,4.591287,3.935389,4.591287,3.206965,18161657
2009-03-18,4.395497,5.002447,4.229075,4.884973,3.412101,23562430
2009-03-19,5.012237,5.022026,4.278023,4.278023,2.988154,24046621
2009-03-20,4.375918,4.375918,3.700441,3.700441,2.584718,21072421
2009-03-23,4.033284,4.757709,4.013705,4.698972,3.282181,30518130
2009-03-24,4.581498,4.698972,4.062653,4.287812,2.994991,23916890
2009-03-25,4.317181,4.669604,3.954968,4.630445,3.234317,20091884
2009-03-26,4.650024,4.796867,4.307391,4.708762,3.289021,19435468
2009-03-27,4.424865,4.532550,4.140969,4.160548,2.906099,16105378
2009-03-30,4.189917,4.189917,3.622124,3.641703,2.543691,23365280
2009-03-31,3.768967,3.935389,3.690651,3.837494,2.680448,29210405
2009-04-01,4.062653,4.111601,3.651493,3.827704,2.673611,16459430
2009-04-02,4.101811,4.385707,3.984337,4.336760,3.029181,32489114
2009-04-03,4.326970,5.051395,4.238864,4.904552,3.425777,24586484
2009-04-06,4.787078,5.217817,4.747920,5.012237,3.500993,16823901
2009-04-07,4.894763,4.973079,4.366128,4.395497,3.070208,16107012
2009-04-08,4.444444,4.571708,4.229075,4.552129,3.179613,14872734
2009-04-09,4.679393,5.423397,4.601077,5.384239,3.760834,26215163
2009-04-13,5.149290,5.619187,5.090553,5.482134,3.829213,16873137
2009-04-14,5.364660,5.560450,5.217817,5.364660,3.747158,31112030
2009-04-15,5.296133,5.775820,5.090553,5.736662,4.006999,22204754
2009-04-16,5.824767,6.725404,5.540871,6.363191,4.444621,27005702
2009-04-17,6.353402,6.774351,6.128243,6.324033,4.417269,32275212
2009-04-20,6.040137,6.196769,5.384239,5.433186,3.795022,27298975
2009-04-21,5.237396,6.441508,5.227606,6.265296,4.376242,29330840
2009-04-22,6.010768,6.372981,5.873715,5.952031,4.157431,28689849
2009-04-23,6.000979,7.714146,6.000979,6.950563,4.854895,38576845
2009-04-24,7.351933,7.929515,6.970142,7.635830,5.333546,70603628
2009-04-27,7.156143,7.273617,5.991189,6.500245,4.540351,37934628
2009-04-28,6.304454,7.322565,6.186980,6.960352,4.861730,30784741
2009-04-29,7.087616,7.763093,6.774351,7.381302,5.155762,35115697
2009-04-30,7.674988,8.242780,7.205091,7.528145,5.258329,34914359
2009-05-01,7.498776,7.714146,7.263828,7.381302,5.155762,22333667
2009-05-04,7.567303,8.272149,7.361723,8.203622,5.730141,30672376
2009-05-05,8.164464,8.751836,8.164464,8.546256,5.969469,28908041
2009-05-06,8.790994,9.241312,8.477729,9.241312,6.454958,30692295
2009-05-07,9.300049,9.642682,8.144885,8.291728,5.791683,29540248
2009-05-08,8.448360,9.505629,8.379834,9.358786,6.537013,26415581
2009-05-11,8.976995,8.976995,8.556045,8.644151,6.037848,19981357
2009-05-12,8.673519,8.947626,7.919726,8.272149,5.778008,16689369
2009-05-13,8.046990,8.223201,7.430250,7.488987,5.230978,18703971
2009-05-14,7.342144,8.164464,7.273617,8.017621,5.600223,18536343
2009-05-15,7.498776,8.232991,7.302986,7.508566,5.244653,16723692
2009-05-18,7.919726,8.526676,7.645619,8.438571,5.894252,20830428
2009-05-19,8.487518,8.624572,8.066569,8.223201,5.743818,15621595
2009-05-20,8.418992,8.742046,8.115516,8.184043,5.716468,15741826
2009-05-21,8.095937,8.350465,7.792462,8.232991,5.750656,16319484
2009-05-22,8.262359,8.536466,8.007832,8.027411,5.607061,12905120
2009-05-26,8.095937,8.967205,7.890357,8.820362,6.160927,23206028
2009-05-27,8.820362,9.143417,8.340675,8.428781,5.887413,19839982
2009-05-28,8.516887,8.820362,8.252570,8.781204,6.133578,14499886
2009-05-29,8.761625,9.270680,8.614782,9.182575,6.413931,15572972
2009-06-01,9.290259,9.711209,8.957416,9.407734,6.571202,20994787
2009-06-02,9.378365,9.544787,9.182575,9.378365,6.550687,12130925
2009-06-03,9.300049,9.378365,8.967205,9.162996,6.400255,8600519
2009-06-04,9.251101,9.603524,8.967205,9.486050,6.625904,14796530
2009-06-05,9.711209,9.711209,9.192364,9.358786,6.537013,11473897
2009-06-08,9.153206,9.505629,8.996574,9.319628,6.509661,9595869
2009-06-09,9.515419,9.544787,9.241312,9.495839,6.632743,8391623
2009-06-10,9.583945,9.642682,8.693098,8.928047,6.236146,15211872
2009-06-11,8.996574,9.074890,8.673519,8.742046,6.106225,10576202
2009-06-12,8.830152,8.996574,8.614782,8.986784,6.277173,10038893
2009-06-15,8.879099,8.879099,8.105727,8.213412,5.736981,16602337
2009-06-16,8.272149,8.644151,8.086148,8.321096,5.812199,11089098
2009-06-17,8.281938,8.321096,7.606461,7.900147,5.518168,16799793
2009-06-18,8.007832,8.017621,7.596672,7.704356,5.381412,12641063
2009-06-19,7.812041,7.851199,7.420460,7.498776,5.237814,15411371
2009-06-22,7.371512,7.626040,7.058248,7.087616,4.950626,14824621
2009-06-23,7.136564,7.400881,7.048458,7.302986,5.101058,12649950
2009-06-24,7.342144,7.684777,7.302986,7.528145,5.258329,12844443
2009-06-25,7.234459,7.821831,7.234459,7.821831,5.463464,10477321
2009-06-26,7.753304,7.978463,7.635830,7.919726,5.531845,8260360
2009-06-29,7.929515,8.105727,7.792462,8.046990,5.620738,8413278
2009-06-30,7.949094,8.262359,7.880568,8.213412,5.736981,11377978
2009-07-01,8.262359,8.340675,7.988253,8.007832,5.593386,7644600
2009-07-02,7.831620,8.007832,7.430250,7.430250,5.189949,11609450
2009-07-06,7.557513,7.900147,7.469408,7.880568,5.504493,15127904
2009-07-07,7.763093,7.812041,7.518355,7.547724,5.272005,14184140
2009-07-08,7.596672,7.684777,6.921194,7.146353,4.991653,17164877
2009-07-09,7.430250,7.557513,7.224670,7.312775,5.107896,10622374
2009-07-10,7.244249,7.400881,6.960352,7.283407,5.087383,7682702
2009-07-13,7.449829,7.449829,7.175722,7.440039,5.196788,21101228
2009-07-14,7.430250,7.831620,7.351933,7.772883,5.429275,15045061
2009-07-15,8.007832,8.418992,7.900147,8.311307,5.805359,18205377
2009-07-16,8.017621,8.232991,7.792462,8.154674,5.695952,14677321
2009-07-17,8.174254,8.272149,7.802252,7.860989,5.490816,16700401
2009-07-20,8.037200,8.438571,7.988253,8.389623,5.860062,11779529
2009-07-21,8.409202,8.409202,7.978463,8.184043,5.716468,10464655
2009-07-22,8.076358,8.193833,7.821831,7.880568,5.504493,14102931
2009-07-23,7.949094,8.653940,7.851199,8.497308,5.935279,16261463
2009-07-24,8.448360,8.536466,8.193833,8.418992,5.880576,9329564
2009-07-27,8.448360,8.849731,8.311307,8.810573,6.154092,9053248
2009-07-28,8.634361,8.908468,8.448360,8.575624,5.989982,9935313
2009-07-29,8.585414,8.742046,8.418992,8.467939,5.914765,7609869
2009-07-30,8.614782,8.947626,8.556045,8.839941,6.174604,17960115
2009-07-31,8.732256,9.006363,8.712677,8.888889,6.208793,8863862
2009-08-03,9.035732,9.104258,8.722467,8.957416,6.256660,9452859
2009-08-04,8.879099,9.926579,8.839941,9.711209,6.783174,17816186
2009-08-05,9.711209,10.239843,9.515419,10.132159,7.077205,17176727
2009-08-06,10.279001,10.562898,9.662261,9.730788,6.796854,19254254
2009-08-07,9.848262,10.856583,9.848262,10.631424,7.425933,16471075
2009-08-10,10.611845,10.690162,10.181106,10.279001,7.179774,8584277
2009-08-11,10.288791,10.288791,9.740578,9.887420,6.906259,12158199
2009-08-12,9.936368,10.396476,9.858052,10.210475,7.131907,9129861
2009-08-13,10.445423,10.445423,9.985316,10.200685,7.125071,8490197
2009-08-14,10.122369,10.230054,9.799315,10.171317,7.104557,7860238
2009-08-17,9.858052,9.897210,9.329418,9.358786,6.537013,14503972
2009-08-18,9.417523,9.887420,9.388155,9.769946,6.824203,7638675
2009-08-19,9.593735,9.652472,9.388155,9.466471,6.612228,9186962
2009-08-20,9.486050,10.024474,9.397944,10.014684,6.995152,10866206
2009-08-21,10.132159,10.572687,10.063632,10.357318,7.234479,11620686
2009-08-24,10.494371,10.562898,10.132159,10.200685,7.125071,10731879
2009-08-25,10.181106,10.425844,10.112580,10.181106,7.111395,9679632
2009-08-26,10.141948,10.210475,9.799315,9.867841,6.892580,12287521
2009-08-27,9.818894,9.965737,9.525208,9.907000,6.919934,8700116
2009-08-28,9.995105,10.073421,9.828683,9.995105,6.981474,9915088
2009-08-31,9.730788,9.936368,9.681840,9.760157,6.817365,10650568
2009-09-01,9.691630,9.858052,9.143417,9.172785,6.407093,16918287
2009-09-02,9.202154,9.202154,8.849731,8.879099,6.201956,12128985
2009-09-03,9.006363,9.133627,8.859520,9.133627,6.379741,10774884
2009-09-04,9.153206,9.329418,8.918257,9.329418,6.516498,6935372
2009-09-08,9.652472,9.848262,9.554577,9.789525,6.837879,13878508
2009-09-09,9.740578,10.004895,9.701419,9.965737,6.960962,13002367
2009-09-10,9.985316,10.200685,9.809104,10.161527,7.097717,10219903
2009-09-11,10.220264,10.416055,10.141948,10.327949,7.213961,11118415
2009-09-14,10.210475,10.680372,10.024474,10.680372,7.460126,9820803
2009-09-15,10.699951,11.062163,10.523740,10.817425,7.555855,13574509
