Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,34.990002,35.349998,34.900002,35.099998,25.184879,2181300
2009-01-27,36.000000,37.650002,35.980000,37.480000,26.892576,3282800
2009-01-28,37.669998,37.990002,37.169998,37.349998,26.799303,2475000
2009-01-29,37.250000,38.150002,37.220001,37.840000,27.150877,1830200
2009-01-30,37.669998,38.230000,36.930000,37.279999,26.749075,2745900
2009-02-02,37.000000,37.000000,36.040001,36.490002,26.182238,1673900
2009-02-03,36.470001,37.320000,36.180000,37.000000,26.548162,3760600
2009-02-04,37.009998,37.200001,36.119999,36.459999,26.160707,1761000
2009-02-05,36.320000,36.650002,36.090000,36.470001,26.167881,1793400
2009-02-06,36.419998,37.580002,36.270000,37.480000,26.892576,2918400
2009-02-09,37.430000,37.599998,36.389999,36.700001,26.332907,2058500
2009-02-10,36.520000,36.700001,35.650002,35.799999,25.687149,1395300
2009-02-11,35.000000,36.110001,35.000000,35.959999,25.801949,1116000
2009-02-12,35.580002,36.540001,35.060001,36.540001,26.218111,1801200
2009-02-13,36.639999,37.160000,36.320000,36.869999,26.454885,3059000
2009-02-17,35.900002,35.900002,34.750000,34.889999,25.034203,2343000
2009-02-18,35.209999,35.209999,34.480000,34.790001,24.962458,1582800
2009-02-19,35.090000,35.689999,34.209999,35.029999,25.134653,1182900
2009-02-20,34.500000,35.349998,34.299999,34.639999,24.854828,1611000
2009-02-23,34.849998,34.849998,33.610001,33.720001,24.404655,1560600
2009-02-24,33.880001,34.240002,33.590000,34.130001,24.701387,1798500
2009-02-25,33.959999,34.619999,33.770000,34.139999,24.708626,3505100
2009-02-26,34.439999,34.560001,33.380001,33.400002,24.173059,2450100
2009-02-27,33.000000,34.150002,33.000000,33.689999,24.382944,2180500
2009-03-02,33.250000,34.049999,33.000000,33.520000,24.259903,2021700
2009-03-03,33.669998,34.000000,32.919998,33.090000,23.948696,1761300
2009-03-04,33.430000,33.770000,32.799999,33.419998,24.187525,1424900
2009-03-05,33.290001,33.290001,31.180000,31.490000,22.790701,2923300
2009-03-06,31.660000,32.090000,31.379999,31.990000,23.152580,2306500
2009-03-09,31.500000,32.299999,30.860001,30.900000,22.363695,3525700
2009-03-10,31.370001,31.549999,30.270000,30.750000,22.255136,3649200
2009-03-11,31.450001,31.549999,30.900000,30.940001,22.392647,2334400
2009-03-12,30.940001,32.259998,30.940001,32.200001,23.304564,1690700
2009-03-13,32.380001,33.290001,32.160000,33.209999,24.035545,1966000
2009-03-16,33.459999,33.709999,33.040001,33.290001,24.093451,1785600
2009-03-17,33.240002,35.119999,32.950001,35.040001,25.359997,3435300
2009-03-18,34.939999,35.689999,34.410000,35.200001,25.475798,2207200
2009-03-19,35.160000,35.439999,34.500000,34.939999,25.287628,1515600
2009-03-20,34.950001,35.549999,34.910000,34.930000,25.280390,1948800
2009-03-23,35.080002,36.220001,35.000000,36.220001,26.214024,1793600
2009-03-24,36.220001,36.270000,35.250000,35.410000,25.627787,1467600
2009-03-25,34.750000,35.029999,34.090000,34.970001,25.309332,2734000
2009-03-26,35.020000,35.180000,34.250000,35.099998,25.403416,1776300
2009-03-27,34.680000,35.299999,34.500000,34.950001,25.294865,1461700
2009-03-30,34.360001,34.860001,34.310001,34.740002,25.142876,1269400
2009-03-31,35.040001,35.130001,34.099998,34.750000,25.150116,1436200
2009-04-01,34.459999,35.419998,34.200001,35.330002,25.569881,1155700
2009-04-02,35.810001,36.000000,35.430000,35.619999,25.779764,1106400
2009-04-03,35.570000,36.160000,35.279999,36.139999,26.156120,1370900
2009-04-06,35.950001,36.240002,35.650002,35.950001,26.018600,1101500
2009-04-07,35.509998,35.759998,35.080002,35.259998,25.519226,1014600
2009-04-08,35.500000,36.270000,34.790001,36.169998,26.177834,1312900
2009-04-09,36.400002,36.639999,36.130001,36.580002,26.474569,1226500
2009-04-13,36.419998,36.560001,35.880001,36.090000,26.119934,896600
2009-04-14,35.669998,35.720001,35.139999,35.560001,25.736351,742200
2009-04-15,35.360001,36.000000,35.200001,35.889999,25.975183,773100
2009-04-16,36.000000,36.160000,35.290001,35.990002,26.047562,1186700
2009-04-17,36.139999,36.279999,35.680000,35.840000,25.938995,2169900
2009-04-20,35.380001,36.139999,35.380001,35.840000,25.938995,2458200
2009-04-21,35.720001,36.139999,35.410000,35.599998,25.765295,2331800
2009-04-22,35.549999,36.610001,35.450001,36.060001,26.098219,2326500
2009-04-23,37.500000,37.830002,36.680000,37.450001,27.104218,3075600
2009-04-24,37.630001,37.630001,36.060001,36.180000,26.185068,1490100
2009-04-27,35.910000,36.650002,35.750000,35.860001,25.953466,1571400
2009-04-28,35.480000,36.709999,35.480000,35.959999,26.025846,2439200
2009-04-29,36.110001,36.570000,35.970001,36.220001,26.214024,1197100
2009-04-30,36.230000,36.599998,35.889999,36.139999,26.156120,2206600
2009-05-01,36.230000,36.270000,35.619999,35.709999,25.844906,1349400
2009-05-04,35.980000,36.230000,35.509998,36.230000,26.221256,1313000
2009-05-05,36.099998,36.490002,35.779999,35.830002,25.931751,1187600
2009-05-06,36.049999,36.049999,35.200001,35.360001,25.591593,1296900
2009-05-07,35.520000,35.540001,34.959999,35.130001,25.425137,1254400
2009-05-08,35.360001,35.500000,34.959999,35.220001,25.490276,1070500
2009-05-11,34.810001,35.520000,34.810001,35.380001,25.606070,1419100
2009-05-12,35.389999,35.820000,35.330002,35.709999,25.844906,1113900
2009-05-13,35.500000,35.639999,35.150002,35.220001,25.490276,919500
2009-05-14,35.480000,35.590000,34.939999,35.200001,25.475798,1057800
2009-05-15,35.070000,35.310001,34.849998,35.279999,25.533699,1170400
2009-05-18,35.369999,35.500000,35.130001,35.490002,25.685680,1102700
2009-05-19,35.380001,35.849998,35.180000,35.740002,25.866619,1391300
2009-05-20,35.610001,35.759998,35.090000,35.110001,25.624321,2319400
2009-05-21,35.029999,35.119999,34.520000,34.869999,25.449156,1104600
2009-05-22,34.860001,35.160000,34.740002,34.880001,25.456453,1309900
2009-05-26,34.840000,35.380001,34.400002,35.290001,25.755686,1385200
2009-05-27,35.230000,35.320000,34.650002,34.750000,25.361576,1119500
2009-05-28,34.980000,35.020000,34.480000,34.950001,25.507542,919200
2009-05-29,34.980000,35.220001,34.639999,35.220001,25.704597,1211800
