Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,10.207474,10.683761,9.805899,10.020695,6.034957,4931496
2009-01-27,10.104746,10.487643,9.955322,10.422270,6.276808,5664340
2009-01-28,10.581032,11.178725,10.534337,10.851862,6.535528,9683100
2009-01-29,10.861201,10.861201,9.815238,9.824577,5.916846,7945860
2009-01-30,9.563086,9.656476,8.461090,8.517124,5.129433,13557196
2009-02-02,8.246294,8.246294,7.162976,7.555212,4.550120,23161165
2009-02-03,7.975465,7.975465,7.471161,7.601907,4.578242,11224065
2009-02-04,7.760669,7.779347,7.284382,7.377772,4.443257,8799917
2009-02-05,7.433806,7.555212,7.097603,7.284382,4.387014,10647876
2009-02-06,7.433806,7.667279,7.424467,7.471161,4.499501,10875739
2009-02-09,7.564551,7.723313,7.480500,7.583229,4.566995,9333275
2009-02-10,7.601907,7.601907,7.060247,7.228349,4.353270,18754032
2009-02-11,7.153637,7.190993,6.098335,6.714706,4.178905,11167849
2009-02-12,6.518588,6.836113,6.462555,6.808096,4.237027,11450107
2009-02-13,6.621317,6.789418,6.434538,6.434538,4.004542,10635776
2009-02-17,6.313131,6.313131,6.032963,6.088996,3.789494,11875316
2009-02-18,6.098335,6.294453,5.855523,6.042302,3.760434,11666299
2009-02-19,6.173047,6.266437,5.780811,5.818167,3.620943,5885564
2009-02-20,5.743455,5.846184,5.407253,5.715438,3.557010,9762124
2009-02-23,5.790150,5.790150,5.351219,5.369897,3.341962,6612734
2009-02-24,5.416592,6.098335,5.052373,6.042302,3.760434,13393902
2009-02-25,6.014285,6.032963,5.547337,5.622049,3.498888,10222989
2009-02-26,5.864862,5.930234,5.379236,5.444609,3.388459,9597544
2009-02-27,5.313863,5.678083,5.192457,5.313863,3.307090,11641242
2009-03-02,5.127084,5.351219,4.716171,4.781543,2.975800,11564360
2009-03-03,4.893611,4.921628,4.370629,4.426663,2.754939,21778676
2009-03-04,4.529392,4.529392,4.211867,4.323935,2.691007,14796522
2009-03-05,4.277240,4.277240,3.847648,3.894343,2.423649,9323209
2009-03-06,3.997071,4.118478,3.670208,3.819631,2.377152,7050149
2009-03-09,3.772936,4.155833,3.735581,4.109139,2.557328,10584057
2009-03-10,4.221206,4.622781,4.202528,4.594764,2.859557,10360478
2009-03-11,5.071051,5.183118,4.818899,5.108407,3.179223,11880134
2009-03-12,5.201796,5.519320,5.071051,5.472626,3.405896,9260783
2009-03-13,5.603371,5.920895,5.547337,5.762133,3.586070,8042659
2009-03-16,5.827506,6.527927,5.827506,5.911556,3.679063,13236389
2009-03-17,6.042302,6.901485,5.920895,6.780079,4.219590,20542563
2009-03-18,6.836113,7.303060,6.527927,7.256365,4.516007,13552056
2009-03-19,7.415128,7.461822,6.854791,6.929502,4.312584,10438859
2009-03-20,6.892146,7.069586,6.359826,6.611978,4.114973,10675181
2009-03-23,6.817435,7.639262,6.686689,7.629923,4.748492,11387681
2009-03-24,7.293721,8.778615,7.265704,8.591836,5.347138,19712598
2009-03-25,8.722581,8.815970,7.209671,7.648601,4.760116,15760227
2009-03-26,7.900753,8.274311,7.685957,7.816703,4.864733,15401836
2009-03-27,7.601907,7.770008,7.265704,7.536534,4.690371,8455125
2009-03-30,7.237688,7.237688,6.798757,6.901485,4.295148,7703970
2009-03-31,6.966858,7.153637,6.527927,6.574622,4.091723,10276742
2009-04-01,6.537266,7.050908,6.350487,6.994875,4.353270,8323204
2009-04-02,7.396450,7.611246,7.284382,7.499178,4.667122,11105636
2009-04-03,7.611246,7.611246,7.097603,7.433806,4.626439,7389373
2009-04-06,7.060247,7.237688,6.565283,6.938841,4.318396,9964823
2009-04-07,6.742723,6.742723,6.378504,6.406521,3.987106,7287113
2009-04-08,6.602639,6.817435,6.518588,6.696028,4.167281,7591323
2009-04-09,7.050908,7.321738,6.892146,7.303060,4.545069,6795945
2009-04-13,7.228349,7.452483,7.004214,7.359094,4.579940,5184950
2009-04-14,7.312399,7.312399,6.696028,6.742723,4.196343,7756117
2009-04-15,7.237688,8.526463,7.097603,8.218277,5.114654,25910831
2009-04-16,8.489107,8.526463,7.844719,8.171583,5.085595,14011744
2009-04-17,8.218277,8.405056,7.844719,8.236955,5.126278,11477734
2009-04-20,7.938109,7.938109,7.209671,7.247026,4.510196,8865449
2009-04-21,7.527195,8.302328,7.443144,8.199600,5.103031,10172020
2009-04-22,8.311667,9.432341,8.311667,8.815970,5.486629,14288970
2009-04-23,9.198867,9.198867,8.638530,8.984071,5.591247,8804414
2009-04-24,9.002749,10.319542,9.002749,10.142101,6.311949,14108115
2009-04-27,9.861933,10.011356,9.357630,9.796560,6.096899,13377947
2009-04-28,9.507053,9.974000,9.507053,9.721849,6.050403,7655249
2009-04-29,9.945984,10.506321,9.917967,10.179457,6.335196,10483511
2009-04-30,11.318809,12.131298,11.010624,11.823113,7.358128,17167023
2009-05-01,11.991214,12.355433,11.879146,12.177993,7.578988,12214647
2009-05-04,12.411467,13.522802,12.327416,13.214617,8.224133,19355813
2009-05-05,13.186600,13.205278,12.402128,12.672957,7.887027,13918800
2009-05-06,12.981143,13.317345,12.700974,13.065193,8.131137,9294405
2009-05-07,13.270650,13.476107,12.093942,12.318077,7.666168,10086357
2009-05-08,12.430145,13.410735,12.430145,13.410735,8.346185,7789311
2009-05-11,13.728259,13.728259,12.728991,13.074532,8.136950,8572697
2009-05-12,12.794364,12.831720,11.916502,12.626263,7.857971,12332219
2009-05-13,12.028570,12.075264,10.637066,11.262776,7.009401,10558573
2009-05-14,11.160047,11.888485,10.870540,11.673690,7.280226,8226512
2009-05-15,11.757740,12.234027,11.393521,11.664351,7.274401,7920375
2009-05-18,11.869808,12.747669,11.813774,12.710313,7.926709,6983653
2009-05-19,12.794364,13.578836,12.486178,13.364040,8.334404,10092568
2009-05-20,13.494785,14.381986,13.055854,13.139905,8.194623,10720689
2009-05-21,12.869075,13.242633,12.579568,13.027838,8.124730,7808906
2009-05-22,13.102549,13.690903,13.027838,13.364040,8.334404,5015873
2009-05-26,13.093210,14.073800,13.083871,13.971072,8.712976,8363466
2009-05-27,14.139173,14.195207,12.794364,12.869075,8.025719,9723040
2009-05-28,13.167922,13.448090,12.738330,13.326684,8.311108,6760609
2009-05-29,13.485446,13.532141,13.055854,13.420074,8.369348,6083981
2009-06-01,13.644208,13.971072,13.550819,13.644208,8.509128,8283050
2009-06-02,13.672225,13.802971,13.448090,13.504124,8.421765,7606421
2009-06-03,13.308006,13.504124,12.859736,13.102549,8.171324,6692293
2009-06-04,13.167922,13.728259,12.869075,13.662886,8.520780,5764673
2009-06-05,13.868343,13.961733,13.074532,13.522802,8.433414,6792840
2009-06-08,13.261311,13.943055,13.027838,13.746937,8.573195,7759972
2009-06-09,13.849665,14.036444,13.130566,13.644208,8.509128,10122014
2009-06-10,13.821648,14.802238,13.821648,14.699510,9.167261,11602159
2009-06-11,14.746205,14.904967,14.410002,14.512731,9.050778,8316137
2009-06-12,14.391324,14.802238,14.017766,14.764883,9.208031,6103469
2009-06-15,14.475375,14.550087,14.083139,14.167190,8.835281,7155086
2009-06-16,14.288596,14.400663,13.364040,13.774954,8.590665,9656544
2009-06-17,13.102549,13.233294,12.476839,12.925109,8.060665,12512968
2009-06-18,12.934448,13.429412,12.841059,13.214617,8.241216,7453727
2009-06-19,13.522802,13.634869,12.766347,12.841059,8.008245,11351167
2009-06-22,12.560890,12.560890,11.673690,11.701706,7.297699,9940730
2009-06-23,11.533605,12.467500,11.449555,12.215349,7.618026,17599192
2009-06-24,12.346094,13.410735,12.318077,13.037176,8.130554,12621973
2009-06-25,12.925109,13.513463,12.841059,13.476107,8.404291,7300927
2009-06-26,13.270650,13.429412,12.850397,13.037176,8.130554,7120928
2009-06-29,13.065193,13.644208,12.953126,13.466768,8.398468,9093740
2009-06-30,13.625530,14.475375,13.616192,14.129834,8.811984,12307591
2009-07-01,14.213884,14.848933,14.213884,14.288596,8.910996,6819395
2009-07-02,14.008427,14.419341,13.774954,13.859004,8.643085,6821965
2009-07-06,13.625530,13.999089,13.476107,13.774954,8.590665,4982572
2009-07-07,13.700242,13.774954,13.037176,13.065193,8.148027,6725594
2009-07-08,13.130566,13.485446,12.906431,13.298667,8.293633,7730846
2009-07-09,13.476107,13.737598,13.149244,13.550819,8.450885,6104968
2009-07-10,13.308006,13.765615,13.074532,13.718920,8.555720,5251874
2009-07-13,13.700242,13.905699,13.205278,13.849665,8.637258,6120494
2009-07-14,13.915038,14.223223,13.662886,14.223223,8.870228,5662948
2009-07-15,14.475375,15.035712,14.475375,14.970339,9.336161,7800233
2009-07-16,14.942323,15.231830,14.746205,15.073068,9.400226,6613376
2009-07-17,15.054390,15.502660,14.970339,15.175796,9.464294,7107971
2009-07-20,15.390592,15.726795,15.222491,15.399931,9.604074,9342162
2009-07-21,16.212420,16.791435,15.988285,16.389860,10.221435,14600140
2009-07-22,16.091015,16.772757,16.091015,16.520605,10.302977,7814475
2009-07-23,16.810114,17.361111,16.492590,16.959536,10.576713,9459306
2009-07-24,16.819452,17.510534,16.819452,17.482517,10.902868,7957638
2009-07-27,17.501196,17.631941,16.996893,17.277061,10.774737,9735889
2009-07-28,17.174332,17.585245,16.698046,17.193010,10.722316,7589931
2009-07-29,17.127638,17.435823,16.595318,17.174332,10.710670,9589406
2009-07-30,17.753347,18.276327,17.379789,17.501196,10.914513,11791795
2009-07-31,17.407806,17.986820,17.407806,17.566568,10.955286,9011504
2009-08-03,17.874754,18.164261,17.715990,17.818720,11.112535,9077357
2009-08-04,17.697313,18.528481,17.687975,18.509802,11.543526,10614575
2009-08-05,18.547157,18.631208,18.117565,18.407074,11.479458,7113111
2009-08-06,18.547157,18.640547,17.856075,18.136244,11.310559,8123075
2009-08-07,18.556498,19.088818,18.210957,18.846004,11.753198,8737276
2009-08-10,18.407074,18.491123,18.052195,18.285667,11.403747,8188499
2009-08-11,18.220295,18.313684,17.753347,18.070871,11.269792,6414746
2009-08-12,18.500463,19.088818,18.379057,18.817987,11.735725,10096636
2009-08-13,19.004766,19.527748,18.780632,19.434359,12.135172,10460810
2009-08-14,19.518410,19.611797,17.631941,18.668564,11.656997,8740703
2009-08-17,18.014837,18.369719,17.622602,18.089548,11.295452,9255107
2009-08-18,18.192278,18.584515,17.958803,18.463106,11.528708,7643685
2009-08-19,17.977482,18.836664,17.631941,18.808649,11.744471,8125537
2009-08-20,18.817987,19.144852,18.631208,18.864681,11.779459,5593347
2009-08-21,19.107494,19.929323,19.107494,19.779900,12.350938,8573767
2009-08-24,19.985357,20.246847,19.378325,19.499731,12.175996,10056589
2009-08-25,19.658493,20.209492,19.574444,20.050730,12.520045,8853885
2009-08-26,19.966679,20.536354,19.611797,20.041389,12.514218,8879583
2009-08-27,20.190813,20.937929,19.966679,20.825863,13.004055,9070718
2009-08-28,21.012642,21.339504,20.779167,20.900574,13.050706,6992434
2009-08-31,20.629744,21.470249,20.172136,21.432894,13.383101,11244731
2009-09-01,21.348843,21.890503,20.284203,20.358915,12.712485,10890837
2009-09-02,20.349577,20.676439,19.817255,20.452305,12.770798,6499338
