Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,3.520000,3.560000,3.330000,3.370000,2.329335,6516700
2009-01-27,3.370000,3.610000,3.370000,3.390000,2.343160,6233800
2009-01-28,3.440000,3.860000,3.410000,3.790000,2.619638,9093500
2009-01-29,3.750000,3.810000,3.550000,3.580000,2.474487,6770500
2009-01-30,3.650000,3.690000,3.310000,3.330000,2.301688,8345300
2009-02-02,3.260000,3.400000,3.100000,3.290000,2.274039,8253300
2009-02-03,3.190000,3.440000,3.080000,3.200000,2.211832,10073200
2009-02-04,3.220000,3.520000,3.190000,3.310000,2.287863,13330200
2009-02-05,3.290000,3.550000,3.200000,3.410000,2.356983,8033600
2009-02-06,3.410000,3.610000,3.330000,3.590000,2.481399,6345700
2009-02-09,3.550000,3.790000,3.270000,3.580000,2.474487,6852700
2009-02-10,3.530000,3.710000,3.310000,3.320000,2.294776,7035400
2009-02-11,3.330000,3.700000,3.330000,3.660000,2.529783,9403600
2009-02-12,3.610000,3.820000,3.510000,3.780000,2.612726,7201700
2009-02-13,3.780000,3.800000,3.580000,3.680000,2.543607,6227200
2009-02-17,3.430000,3.580000,3.410000,3.510000,2.426103,6266900
2009-02-18,3.540000,3.580000,3.330000,3.390000,2.343160,4620900
2009-02-19,3.360000,3.470000,3.320000,3.360000,2.322424,5321800
2009-02-20,3.350000,3.380000,3.150000,3.230000,2.232568,10210900
2009-02-23,3.260000,3.280000,3.130000,3.230000,2.232568,6411600
2009-02-24,3.270000,3.560000,3.230000,3.510000,2.426103,7828600
2009-02-25,3.430000,3.530000,3.300000,3.400000,2.350071,5614700
2009-02-26,3.430000,3.900000,3.350000,3.560000,2.460663,10561500
2009-02-27,3.750000,4.020000,3.620000,3.810000,2.633462,13806500
2009-03-02,3.670000,4.010000,3.570000,3.620000,2.502135,10289900
2009-03-03,3.680000,3.930000,3.620000,3.750000,2.591990,8823600
2009-03-04,3.780000,4.180000,3.780000,4.060000,2.806261,10187400
2009-03-05,4.050000,4.080000,3.710000,3.790000,2.619638,7650600
2009-03-06,3.770000,3.990000,3.600000,3.770000,2.605814,8503200
2009-03-09,3.780000,3.950000,3.640000,3.750000,2.591990,5057600
2009-03-10,3.850000,3.960000,3.740000,3.950000,2.730231,8015600
2009-03-11,4.100000,4.100000,3.840000,3.930000,2.716406,5802000
