Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,44.230000,45.220001,44.230000,44.709999,28.483847,2101700
2009-01-27,45.000000,45.470001,44.799999,45.240002,28.821501,1602300
2009-01-28,45.599998,45.650002,44.880001,45.189999,28.789631,1988800
2009-01-29,45.029999,45.939999,44.820000,45.119999,28.745043,1580500
2009-01-30,45.029999,45.029999,43.400002,43.689999,27.834026,2129800
2009-02-02,43.029999,44.270000,43.029999,44.150002,28.127087,1565000
2009-02-03,44.349998,45.099998,43.580002,44.930000,28.624014,1995500
2009-02-04,44.959999,44.959999,43.150002,43.490002,27.706619,3424900
2009-02-05,43.189999,44.250000,43.139999,43.680000,27.827654,3277000
2009-02-06,43.799999,43.950001,43.000000,43.580002,27.763948,3038900
2009-02-09,43.529999,43.709999,42.860001,43.230000,27.540956,2132800
2009-02-10,43.209999,43.230000,40.970001,41.259998,26.285913,4066100
2009-02-11,41.500000,41.700001,40.790001,41.470001,26.419704,2932000
2009-02-12,41.020000,41.330002,40.180000,41.310001,26.317768,3399700
2009-02-13,41.259998,41.799999,40.910000,41.380001,26.362375,2743200
2009-02-17,40.770000,41.369999,39.930000,40.160000,25.585133,2574300
2009-02-18,40.540001,40.740002,39.980000,40.330002,25.693436,2851500
2009-02-19,40.730000,41.349998,40.450001,40.849998,26.024719,2592000
2009-02-20,40.070000,40.799999,39.610001,40.169998,25.591503,3763800
2009-02-23,40.549999,40.549999,38.790001,39.070000,24.890713,3145500
2009-02-24,39.049999,39.880001,39.000000,39.669998,25.272957,3345700
2009-02-25,39.369999,39.759998,39.119999,39.220001,24.986282,2968300
2009-02-26,39.689999,39.689999,38.660000,38.709999,24.661369,3720500
2009-02-27,38.070000,39.419998,38.000000,38.919998,25.014866,4190100
2009-03-02,38.330002,38.770000,37.880001,37.959999,24.397850,3786900
2009-03-03,38.419998,38.459999,37.650002,38.020000,24.436415,4330700
2009-03-04,38.490002,38.740002,37.410000,38.070000,24.468552,4279500
2009-03-05,37.750000,37.750000,36.439999,36.720001,23.600874,4495800
2009-03-06,36.669998,37.619999,36.310001,37.160000,23.883661,3387500
2009-03-09,36.759998,36.930000,35.980000,36.000000,23.138111,3216500
2009-03-10,36.560001,36.560001,35.709999,36.169998,23.247370,4193300
