Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,40.579159,41.571201,40.399647,41.249969,30.295065,1323455
2009-01-27,41.221622,41.665680,40.768120,41.552303,30.517094,803450
2009-01-28,42.232559,42.515999,41.684574,42.289249,31.058338,1403472
2009-01-29,41.854641,42.005810,40.598057,41.079903,30.170153,1041914
2009-01-30,41.334999,41.968018,40.513023,40.900391,30.038326,1352032
2009-02-02,40.607506,41.561752,39.520985,40.342960,29.628927,2352773
2009-02-03,40.342960,40.626400,39.284782,40.201241,29.524839,2095470
2009-02-04,40.579159,41.401134,40.295719,40.569714,29.795456,1793078
2009-02-05,39.577671,41.297207,39.218647,40.975975,30.093826,1628599
2009-02-06,40.919289,42.544346,40.872047,42.383728,31.127720,2640771
2009-02-09,42.298695,42.752201,41.155487,41.580647,30.537918,1913209
2009-02-10,41.353897,41.797951,40.427994,40.579159,29.802393,1634632
2009-02-11,40.626400,40.900391,39.757183,40.248482,29.559536,1381986
2009-02-12,40.050072,40.399647,39.076927,39.889458,29.295866,2909716
2009-02-13,40.002831,40.654743,39.653255,39.955593,29.344439,2587426
2009-02-17,38.368328,39.653255,37.792000,38.491154,28.268917,2716765
2009-02-18,38.528942,39.294231,37.895927,38.869072,28.546471,2354467
2009-02-19,39.124168,39.237545,37.536903,37.688072,27.679115,1761325
2009-02-20,37.064503,37.546352,36.573208,36.979473,27.158695,2114416
2009-02-23,37.300705,37.508560,35.675648,35.807919,26.298267,2233806
2009-02-24,36.176392,37.225121,35.562271,37.036160,27.200327,2261960
2009-02-25,37.055058,37.225121,36.157497,36.601551,26.881140,2306414
2009-02-26,37.055058,37.083401,35.344967,35.363865,25.972151,2366427
2009-02-27,35.127663,35.940193,34.768639,35.222145,25.868065,2537257
2009-03-02,33.058552,34.182865,31.452393,31.527975,23.154968,3732854
2009-03-03,32.019272,32.104305,30.592625,31.339016,23.016197,3422312
2009-03-04,31.896448,32.661736,31.405151,32.151543,23.612936,2055461
2009-03-05,31.386255,31.934240,29.855680,30.091881,22.230923,2339966
2009-03-06,30.328079,30.639864,29.156528,29.676168,21.923809,1763548
2009-03-09,29.392729,29.657272,28.306208,28.429031,21.002462,1717401
2009-03-10,28.901432,28.901432,28.230623,28.514065,21.065285,3703641
2009-03-11,28.825848,29.241560,28.532961,28.986464,21.414267,1501693
2009-03-12,28.854193,30.101328,28.589647,30.054089,22.203001,1563082
2009-03-13,30.243048,30.243048,29.525000,29.723408,21.958710,1509420
2009-03-16,30.063536,30.365871,29.572241,29.600584,21.867966,2116638
2009-03-17,29.572241,30.649311,29.572241,30.639864,22.635754,1541490
2009-03-18,30.507591,31.641352,30.280840,31.168953,23.026628,1367062
2009-03-19,31.348463,31.376808,30.602072,30.715448,22.691595,1367485
2009-03-20,30.866615,30.866615,29.005360,29.099840,21.498035,2183425
2009-03-23,28.514065,29.194321,26.000896,26.567776,19.627422,5364204
2009-03-24,26.473295,27.701536,26.454399,26.700048,19.725140,4645322
2009-03-25,26.879560,27.493679,26.369368,26.841768,19.829842,3558637
2009-03-26,27.125208,28.183384,27.106312,28.051111,20.723269,3166808
2009-03-27,27.928288,27.928288,27.219688,27.607056,20.395208,2022650
2009-03-30,26.813423,26.907904,25.868624,26.341024,19.459906,2398815
2009-03-31,26.615017,27.814913,26.520536,27.342512,20.199774,2715707
2009-04-01,27.059072,27.748775,26.690599,27.682640,20.451056,1729255
2009-04-02,28.249519,29.090391,27.975529,28.570751,21.107161,1461579
2009-04-03,28.665232,28.854193,28.249519,28.806952,21.281656,1885584
2009-04-06,28.731367,28.731367,27.720432,28.391239,20.974545,2092401
2009-04-07,28.070007,28.070007,26.567776,26.813423,19.808901,2062765
2009-04-08,27.210239,28.032215,27.059072,27.881048,20.597633,1219835
2009-04-09,29.288799,29.525000,28.806952,29.449415,21.756290,1563929
2009-04-13,29.213217,29.298248,28.202280,28.721920,21.218845,1210203
2009-04-14,28.523512,28.580200,28.145592,28.258968,20.876823,904848
2009-04-15,28.287312,28.334553,27.030727,27.418097,20.255619,2234441
2009-04-16,27.777121,27.777121,25.717457,26.643360,19.683264,5323772
2009-04-17,26.671703,27.805464,26.170959,27.191343,20.088093,3070279
2009-04-20,27.011831,27.011831,25.849728,26.265440,19.404064,2086579
2009-04-21,26.397713,27.210239,26.189856,27.096865,20.018299,1401566
2009-04-22,27.266928,28.202280,26.926800,27.465336,20.290514,1952688
2009-04-23,27.682640,28.183384,26.860664,27.540920,20.346357,1537362
2009-04-24,27.701536,28.400688,27.370855,28.334553,20.932663,1516194
2009-04-27,27.871599,28.410135,27.692087,27.833809,20.562723,1867273
2009-04-28,27.739328,28.136145,27.408648,27.984976,20.674410,1481583
2009-04-29,27.814913,28.778608,27.814913,28.703024,21.204880,2938506
2009-04-30,28.948671,29.515553,28.674681,28.891985,21.344475,1826524
2009-05-01,28.920328,29.543896,28.381792,29.449415,21.756290,1209145
2009-05-04,29.817888,30.224152,29.685616,30.101328,22.237898,1661092
2009-05-05,30.167463,30.441456,29.836784,30.403664,22.461258,1885690
2009-05-06,29.024256,29.969055,27.361408,27.966080,20.660450,5616321
2009-05-07,28.107800,28.438480,26.851215,27.002384,19.948498,2878175
2009-05-08,27.163000,27.446440,26.775633,27.285824,20.157894,2691257
2009-05-11,28.100000,29.070000,27.809999,28.610001,21.136160,2024200
2009-05-12,28.680000,29.490000,28.320000,29.270000,21.623743,2476300
2009-05-13,28.790001,29.170000,28.620001,28.850000,21.313461,1715300
2009-05-14,28.730000,29.299999,28.590000,29.170000,21.549864,1781700
2009-05-15,29.190001,30.270000,29.040001,29.680000,21.926632,1669600
2009-05-18,29.620001,30.400000,29.510000,30.270000,22.362509,1723900
2009-05-19,30.360001,31.340000,30.360001,31.049999,22.938747,1705000
2009-05-20,31.209999,31.340000,30.570000,30.670000,22.658012,2266800
2009-05-21,30.240000,30.559999,30.000000,30.370001,22.436392,1236200
2009-05-22,30.360001,30.540001,30.049999,30.230000,22.332960,698600
2009-05-26,30.030001,31.770000,30.030001,31.600000,23.345076,1494500
2009-05-27,31.549999,31.820000,30.770000,30.790001,22.746672,1227700
2009-05-28,31.010000,31.469999,30.469999,31.000000,23.051542,1240800
2009-05-29,31.010000,31.340000,30.540001,31.080000,23.111029,1308600
2009-06-01,31.360001,32.000000,31.070000,31.160000,23.170519,2061200
2009-06-02,30.879999,31.410000,30.830000,31.000000,23.051542,1993000
2009-06-03,30.969999,31.500000,30.290001,30.340000,22.560772,1578100
2009-06-04,30.440001,31.030001,30.440001,30.959999,23.021801,1593700
2009-06-05,31.670000,31.670000,30.719999,30.980000,23.036673,889600
2009-06-08,31.290001,31.290001,30.290001,30.520000,22.694616,1173500
2009-06-09,30.680000,30.910000,30.120001,30.340000,22.560772,1428800
2009-06-10,30.459999,30.590000,29.549999,29.799999,22.159225,1337400
