Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,5.700000,5.830000,5.615000,5.670000,5.534223,2088000
2009-01-27,5.650000,5.790000,5.565000,5.645000,5.509821,1527200
2009-01-28,5.680000,5.880000,5.680000,5.760000,5.622068,2003400
2009-01-29,5.680000,5.910000,5.670000,5.900000,5.758715,2373400
2009-01-30,5.910000,5.975000,5.735000,5.775000,5.636708,1764200
2009-02-02,5.730000,6.120000,5.710000,6.080000,5.934404,2046800
2009-02-03,6.075000,6.155000,5.975000,6.110000,5.963686,1923000
2009-02-04,6.095000,6.410000,6.060000,6.145000,5.997848,1118200
2009-02-05,6.115000,6.400000,6.065000,6.340000,6.188179,1752400
2009-02-06,6.355000,6.600000,6.290000,6.495000,6.339467,2159400
2009-02-09,6.500000,6.590000,6.425000,6.530000,6.373629,1841200
2009-02-10,6.470000,6.620000,6.235000,6.290000,6.139376,1987000
2009-02-11,6.270000,6.355000,6.045000,6.065000,5.919764,1535600
2009-02-12,6.070000,6.220000,5.935000,6.195000,6.046650,1884600
2009-02-13,6.220000,6.265000,5.875000,6.095000,5.949045,1432600
2009-02-17,5.965000,6.125000,5.900000,6.035000,5.890482,1309800
2009-02-18,6.015000,6.065000,5.955000,6.020000,5.875841,3151400
2009-02-19,6.020000,6.060000,5.885000,5.990000,5.846559,4121200
2009-02-20,5.925000,6.080000,5.810000,6.010000,5.866081,3507000
2009-02-23,6.010000,6.095000,5.525000,5.570000,5.436617,2246400
2009-02-24,5.590000,5.650000,5.375000,5.415000,5.285329,4352400
2009-02-25,5.415000,5.735000,5.415000,5.720000,5.583025,4034800
2009-02-26,5.745000,6.035000,5.565000,5.995000,5.851440,5413600
2009-02-27,6.050000,7.030000,5.895000,6.750000,6.588360,6437200
2009-03-02,6.675000,6.795000,6.530000,6.630000,6.471234,4418600
2009-03-03,6.675000,6.775000,6.480000,6.490000,6.334587,2889600
2009-03-04,6.550000,6.895000,6.450000,6.750000,6.588360,3022800
2009-03-05,6.690000,6.815000,6.450000,6.495000,6.339467,2048000
2009-03-06,6.520000,6.715000,5.995000,6.100000,5.953926,4670600
2009-03-09,6.075000,6.280000,6.075000,6.195000,6.046650,3833800
2009-03-10,6.310000,6.545000,6.025000,6.510000,6.354108,2550400
2009-03-11,6.565000,6.620000,6.455000,6.490000,6.334587,3424600
2009-03-12,6.515000,6.620000,6.395000,6.510000,6.354108,3419600
2009-03-13,6.545000,6.605000,6.445000,6.560000,6.402911,2908200
2009-03-16,6.635000,6.980000,6.560000,6.895000,6.729888,2664000
2009-03-17,6.845000,7.005000,6.760000,7.005000,6.837254,2167800
2009-03-18,7.000000,7.230000,6.840000,7.175000,7.003183,2692600
2009-03-19,7.195000,7.355000,7.020000,7.160000,6.988542,2267800
2009-03-20,7.170000,7.385000,7.105000,7.175000,7.003183,2000600
2009-03-23,7.320000,7.525000,7.185000,7.525000,7.344802,1868600
2009-03-24,7.420000,7.605000,7.365000,7.475000,7.295999,2140200
2009-03-25,7.480000,7.565000,6.975000,7.130000,6.959261,2441600
2009-03-26,7.195000,7.530000,7.185000,7.475000,7.295999,4012600
2009-03-27,7.395000,7.525000,7.320000,7.425000,7.247197,2287200
2009-03-30,7.275000,7.275000,7.000000,7.145000,6.973901,1407800
2009-03-31,7.175000,7.275000,7.045000,7.135000,6.964141,1752800
2009-04-01,7.040000,7.165000,6.950000,7.150000,6.978782,3810800
2009-04-02,7.245000,7.980000,7.245000,7.545000,7.364323,4228800
2009-04-03,7.580000,7.785000,7.560000,7.760000,7.574174,1947200
2009-04-06,7.615000,7.765000,7.445000,7.605000,7.422886,1108000
2009-04-07,7.500000,7.660000,7.470000,7.550000,7.369204,1162600
2009-04-08,7.605000,7.760000,7.525000,7.750000,7.564414,1445400
2009-04-09,7.885000,8.060000,7.815000,8.050000,7.857231,1941400
2009-04-13,7.950000,8.050000,7.805000,8.025000,7.832828,1543400
2009-04-14,7.990000,8.065000,7.880000,7.905000,7.715703,1018400
2009-04-15,7.975000,8.015000,7.845000,7.995000,7.803546,1847800
2009-04-16,8.085000,8.270000,8.015000,8.235000,8.037799,1753800
2009-04-17,8.230000,8.370000,8.130000,8.240000,8.042681,1713200
2009-04-20,8.090000,8.160000,7.950000,8.065000,7.871871,1203000
2009-04-21,8.050000,8.250000,8.000000,8.050000,7.857231,2456600
2009-04-22,7.995000,8.260000,7.955000,8.175000,7.979237,1894800
2009-04-23,8.135000,8.255000,8.040000,8.145000,7.949955,1730200
2009-04-24,8.230000,8.290000,8.030000,8.210000,8.013399,2368000
2009-04-27,8.100000,8.250000,7.875000,7.995000,7.803546,2413000
2009-04-28,7.960000,8.120000,7.805000,7.805000,7.618096,2050200
2009-04-29,7.895000,8.190000,7.830000,8.175000,7.979237,2979400
2009-04-30,8.370000,8.715000,8.190000,8.490000,8.286695,2284800
2009-05-01,8.445000,8.750000,8.315000,8.655000,8.447742,1653600
2009-05-04,8.750000,8.800000,8.595000,8.660000,8.452622,1867600
2009-05-05,8.695000,8.805000,8.610000,8.775000,8.564868,1874000
2009-05-06,8.760000,8.825000,8.510000,8.610000,8.403820,2595800
2009-05-07,8.660000,8.705000,8.260000,8.300000,8.101244,1693000
2009-05-08,8.430000,8.620000,8.165000,8.295000,8.096363,1742000
2009-05-11,8.200000,8.265000,8.045000,8.075000,7.881631,2165800
2009-05-12,8.350000,8.350000,7.725000,7.795000,7.608337,1874000
2009-05-13,7.765000,7.820000,7.460000,7.630000,7.447288,2726000
