Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,7.847100,8.145870,7.688928,7.847100,6.179886,6924047
2009-01-27,8.031634,8.031634,7.548330,7.592267,5.979195,9393507
2009-01-28,7.732865,8.497364,7.688928,8.260105,6.505144,8589510
2009-01-29,8.075571,8.084359,7.337434,7.346221,5.785426,8182675
2009-01-30,7.231986,7.381371,6.810193,6.871705,5.411725,7622779
2009-02-02,6.678383,6.968366,6.625659,6.906854,5.439408,10031129
2009-02-03,7.056239,7.179262,6.818981,7.108963,5.598578,9197657
2009-02-04,7.144112,7.328647,6.898067,7.038664,5.543212,8090725
2009-02-05,6.994728,7.284710,6.880492,7.012302,5.522453,7653505
2009-02-06,6.915641,7.293497,6.915641,7.144112,5.626256,8582568
2009-02-09,7.223199,7.223199,7.012302,7.056239,5.557055,6997107
2009-02-10,7.073814,7.223199,6.608084,6.652021,5.238718,9101838
2009-02-11,6.704745,6.801406,6.379613,6.546573,5.155673,9296663
2009-02-12,6.036907,6.230228,5.720562,6.063269,4.775052,21990598
2009-02-13,6.028120,6.107206,5.509666,5.659051,4.456715,15538935
2009-02-17,5.492091,5.509666,5.158172,5.237258,4.124538,14459200
2009-02-18,5.289982,5.395431,4.903339,5.175747,4.076096,9833572
2009-02-19,4.973638,5.377856,4.885764,4.964851,3.910008,11714117
2009-02-20,4.868190,5.158172,4.613357,4.973638,3.916927,10999794
2009-02-23,5.228471,5.228471,4.771529,4.789104,3.771600,7607075
2009-02-24,4.833040,5.114236,4.560633,5.008787,3.944607,9142351
2009-02-25,4.973638,5.079086,4.692443,4.920914,3.875405,9040955
2009-02-26,4.991213,5.035149,4.762742,4.780316,3.764681,6030945
2009-02-27,4.639719,4.762742,4.507909,4.525483,3.563988,7414411
2009-03-02,4.393673,4.499121,4.270650,4.279438,3.370218,5842037
2009-03-03,4.332162,4.411248,4.094903,4.103691,3.231811,7035799
2009-03-04,4.165202,4.297012,4.086116,4.147627,3.266412,7079498
2009-03-05,4.007030,4.068541,3.471002,3.523726,2.775066,11369303
2009-03-06,3.550088,3.664323,3.391916,3.427065,2.698943,10860731
2009-03-09,3.339192,3.427065,3.198594,3.224956,2.539775,7564627
2009-03-10,3.295255,3.831283,3.233743,3.813708,3.003438,11984164
2009-03-11,4.112478,4.332162,3.963093,4.103691,3.231811,10156309
2009-03-12,4.112478,4.613357,4.033392,4.543058,3.577829,7958262
2009-03-13,4.481547,4.736380,4.297012,4.472759,3.522467,8086742
2009-03-16,4.595782,4.876977,4.490334,4.578207,3.605510,7042513
2009-03-17,4.507909,4.789104,4.490334,4.745167,3.736997,6342074
2009-03-18,4.710018,5.439367,4.578207,5.342707,4.207583,11054987
2009-03-19,5.289982,6.019332,5.289982,5.729350,4.512079,15746734
2009-03-20,5.843585,6.010545,5.536028,5.799649,4.567441,16792100
2009-03-23,5.949033,6.590510,5.799649,6.581722,5.183352,11581426
2009-03-24,6.485062,6.590510,6.019332,6.309315,4.968824,7525480
2009-03-25,6.291740,6.906854,6.072056,6.458699,5.086469,9394987
2009-03-26,6.555360,6.898067,6.476274,6.810193,5.363285,5988384
2009-03-27,6.572935,6.757469,6.370826,6.502636,5.121070,3958761
2009-03-30,6.335677,6.423550,5.571178,5.887522,4.636647,7314381
2009-03-31,5.817223,6.282953,5.650264,6.133568,4.830413,7682524
2009-04-01,6.054482,6.353251,5.711775,6.142355,4.837336,6880462
2009-04-02,6.326889,7.021090,6.309315,6.880492,5.418649,6030034
2009-04-03,6.880492,6.959578,6.643234,6.731107,5.301001,7267496
2009-04-06,6.616872,6.950791,6.485062,6.880492,5.418649,6759037
2009-04-07,6.704745,6.704745,6.256591,6.414763,5.100725,4405995
2009-04-08,6.441125,6.555360,6.221441,6.344464,5.044826,6541793
2009-04-09,6.634446,7.240773,6.572935,7.126538,5.666696,7011673
2009-04-13,7.021090,7.038664,6.476274,6.748682,5.366242,6548735
2009-04-14,6.783831,6.836555,6.239016,6.467487,5.142648,6972867
2009-04-15,6.414763,7.126538,6.335677,6.959578,5.533935,8799699
2009-04-16,7.126538,7.504394,6.836555,7.398946,5.883301,6086138
2009-04-17,7.530756,7.715290,7.416520,7.601054,6.044009,4432965
2009-04-20,7.548330,7.548330,6.669596,6.739895,5.359254,5461376
2009-04-21,6.704745,7.275923,6.616872,7.240773,5.757529,6358803
2009-04-22,6.985940,8.075571,6.950791,7.891037,6.274590,8010723
2009-04-23,7.899824,7.996485,7.319859,7.627417,6.064970,7345335
2009-04-24,7.750439,8.927944,7.724077,8.866432,7.050180,12596977
2009-04-27,8.752197,8.875220,8.400703,8.567663,6.812613,10412700
2009-04-28,8.172232,8.347979,7.311072,7.381371,5.869326,11081503
2009-04-29,7.460457,8.128295,7.363796,7.908612,6.288565,7761160
2009-04-30,8.101933,8.339192,7.706503,7.785589,6.190742,5178924
2009-05-01,7.671353,7.952548,7.574692,7.899824,6.281578,4994910
2009-05-04,7.899824,8.743409,7.899824,8.673111,6.896460,5529542
2009-05-05,8.655536,9.305800,8.620387,9.217926,7.329669,8335964
2009-05-06,9.297012,9.499121,8.804921,9.226714,7.336657,7041147
2009-05-07,9.253076,9.525483,8.673111,8.787346,6.987294,9093417
2009-05-08,8.892794,9.569420,8.822496,9.525483,7.574226,7505679
2009-05-11,9.349736,9.437610,8.848858,8.963093,7.127040,5871397
2009-05-12,9.112478,9.437610,8.400703,8.804921,7.001269,9142237
2009-05-13,8.541301,8.576450,7.996485,8.119508,6.456258,8328112
2009-05-14,8.128295,8.576450,7.855888,8.312830,6.609979,5486753
2009-05-15,8.312830,8.717047,8.207381,8.383128,6.665878,7279331
2009-05-18,8.506151,9.050967,8.488576,9.007030,7.161975,5707639
2009-05-19,9.015817,9.173989,8.787346,8.998243,7.154990,7058445
2009-05-20,9.094903,9.543058,8.840070,8.892794,7.071141,4257144
2009-05-21,8.760984,8.804921,8.514938,8.725835,6.938385,6781456
2009-05-22,8.769772,8.857645,8.435852,8.752197,6.959344,3422649
2009-05-26,8.541301,9.297012,8.541301,9.209139,7.322683,4273759
2009-05-27,9.226714,9.420035,8.752197,8.804921,7.001269,8710935
2009-05-28,8.831283,9.068541,8.444640,8.866432,7.050180,6946238
2009-05-29,9.156415,9.182777,8.822496,9.103691,7.238839,4943017
2009-06-01,9.261863,9.824253,9.112478,9.710018,7.720959,5254260
2009-06-02,9.666081,10.070299,9.551845,9.920914,7.888654,5261202
2009-06-03,9.824253,9.859402,9.288225,9.516696,7.567240,5363849
2009-06-04,9.569420,9.806678,9.490334,9.718805,7.727947,3628058
2009-06-05,9.859402,9.920914,9.297012,9.411248,7.483393,4331228
2009-06-08,9.235501,9.586995,9.235501,9.446397,7.511342,4180102
2009-06-09,8.936731,9.068541,8.637961,8.945518,7.113067,8151266
2009-06-10,9.077329,9.261863,8.690685,8.822496,7.015243,6253651
2009-06-11,8.866432,8.980668,8.743409,8.796134,6.994279,4469495
2009-06-12,8.752197,8.840070,8.471002,8.725835,6.938385,4166673
2009-06-15,8.585237,8.734622,8.374341,8.506151,6.763700,5263250
2009-06-16,8.567663,8.822496,8.172232,8.172232,6.498184,5812790
2009-06-17,8.145870,8.286467,7.609842,7.961336,6.330488,8326405
2009-06-18,8.005272,8.040422,7.768014,7.882250,6.267604,4518201
2009-06-19,7.978910,8.189807,7.943761,7.970123,6.337475,7263626
2009-06-22,7.899824,7.899824,7.609842,7.609842,6.050997,3865445
2009-06-23,7.601054,7.882250,7.451670,7.741652,6.155806,5358956
2009-06-24,7.820738,8.101933,7.609842,7.706503,6.127857,5496540
2009-06-25,7.653779,8.321617,7.592267,8.277680,6.582031,5347462
2009-06-26,8.163445,8.435852,7.987698,8.268893,6.575044,7048886
2009-06-29,8.304042,8.462214,8.075571,8.383128,6.665878,4729300
2009-06-30,8.330404,8.506151,8.216169,8.418278,6.693829,4323376
2009-07-01,8.488576,8.558875,8.224956,8.242531,6.554081,2949696
2009-07-02,8.084359,8.163445,7.943761,7.996485,6.358438,4899773
2009-07-06,7.934974,8.137083,7.592267,7.662566,6.092921,5837712
2009-07-07,7.636204,7.706503,7.258348,7.275923,5.785479,5448516
2009-07-08,7.407733,7.407733,7.161687,7.240773,5.810157,6478862
2009-07-09,7.328647,7.671353,7.284710,7.539543,6.049900,4726797
2009-07-10,7.469244,7.574692,7.267135,7.337434,5.887721,3501740
2009-07-13,7.381371,7.574692,7.179262,7.530756,6.042848,6018085
2009-07-14,7.223199,7.644991,7.179262,7.627417,6.120411,8026883
