Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,35.660000,37.799999,35.560001,36.529999,29.271875,7057100
2009-01-27,37.130001,37.380001,35.500000,36.540001,29.279886,5391000
2009-01-28,37.509998,38.790001,37.029999,37.770000,30.265497,7291900
2009-01-29,36.910000,37.500000,36.040001,36.130001,28.951345,5169700
2009-01-30,36.580002,36.740002,34.799999,35.669998,28.582733,6462700
2009-02-02,34.660000,36.500000,34.200001,35.549999,28.486584,5707600
2009-02-03,35.799999,36.619999,35.169998,36.340000,29.160635,4796100
2009-02-04,37.040001,39.330002,36.650002,39.000000,31.295128,8404700
2009-02-05,38.580002,41.950001,38.450001,41.349998,33.180866,9877800
2009-02-06,42.750000,45.459999,42.500000,45.049999,36.149876,15042000
2009-02-09,45.790001,48.680000,44.439999,45.639999,36.623322,15282800
2009-02-10,45.439999,46.950001,43.209999,44.169998,35.443733,12423600
2009-02-11,45.500000,45.540001,40.959999,42.189999,33.854897,11216400
2009-02-12,41.000000,43.139999,39.799999,43.049999,34.545002,9791800
2009-02-13,43.020000,43.680000,42.279999,42.880001,34.408585,6961000
2009-02-17,40.500000,40.849998,38.900002,39.540001,31.728437,9673900
2009-02-18,40.380001,41.700001,39.410000,40.880001,32.803707,7728800
2009-02-19,42.180000,43.759998,41.520000,41.730000,33.485790,6947300
2009-02-20,40.049999,42.849998,39.810001,42.520000,34.119701,7216400
2009-02-23,43.630001,44.470001,35.750000,35.889999,28.799536,15044500
2009-02-24,36.500000,39.400002,36.470001,38.860001,31.182779,12875600
2009-02-25,40.950001,41.660000,39.060001,39.119999,31.391411,11328600
2009-02-26,40.099998,41.549999,39.599998,39.660000,31.824720,7769400
2009-02-27,38.490002,43.720001,37.889999,43.049999,34.545002,18504200
2009-03-02,41.130001,41.410000,36.939999,37.720001,30.267998,15846800
2009-03-03,38.599998,41.250000,38.500000,40.150002,32.217930,11400400
2009-03-04,42.270000,44.400002,40.900002,41.880001,33.606148,17362100
2009-03-05,40.560001,42.470001,39.570000,40.090000,32.169777,8665500
2009-03-06,41.000000,41.570000,37.779999,39.160000,31.423521,9461200
2009-03-09,38.299999,41.340000,37.750000,40.349998,32.378414,7494600
2009-03-10,42.400002,44.439999,42.119999,44.090000,35.379539,10150500
2009-03-11,44.980000,45.849998,43.759998,45.529999,36.535053,10162400
2009-03-12,44.549999,44.919998,41.830002,43.209999,34.673386,12301100
2009-03-13,43.919998,43.919998,40.650002,42.080002,33.766632,9695800
2009-03-16,42.439999,43.459999,41.200001,41.349998,33.180866,7437000
2009-03-17,41.349998,42.560001,40.389999,42.259998,33.911079,7232400
2009-03-18,41.529999,42.810001,40.630001,42.540001,34.135757,6601400
2009-03-19,44.000000,44.930000,43.330002,43.500000,34.906105,8638300
2009-03-20,43.910000,44.470001,41.139999,41.619999,33.397507,6910700
2009-03-23,43.240002,44.770000,42.480000,44.770000,35.925205,7790100
2009-03-24,43.480000,46.830002,43.299999,45.009998,36.117775,10378500
