Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,12.037500,12.370000,12.010000,12.235000,8.081257,13324800
2009-01-27,12.327500,12.905000,12.272500,12.695000,8.385091,14460400
2009-01-28,12.902500,13.065000,12.640000,12.870000,8.500674,10620000
2009-01-29,12.765000,13.157500,12.645000,12.792500,8.449490,8232000
2009-01-30,12.825000,13.062500,12.785000,12.887500,8.512236,16100000
2009-02-02,12.757500,12.845000,12.437500,12.715000,8.398301,12868000
2009-02-03,12.725000,13.157500,12.665000,13.050000,8.619568,11439600
2009-02-04,13.132500,13.497500,13.132500,13.237500,8.743409,15650000
2009-02-05,13.197500,13.312500,13.035000,13.177500,8.703785,15177600
2009-02-06,13.222500,13.222500,12.927500,13.090000,8.645988,13327200
2009-02-09,13.070000,13.165000,12.850000,13.015000,8.596450,12049600
2009-02-10,12.912500,13.015000,12.452500,12.627500,8.340508,12296000
2009-02-11,12.657500,12.750000,12.465000,12.705000,8.391693,9339600
2009-02-12,12.625000,12.670000,12.285000,12.655000,8.358669,9658000
2009-02-13,12.587500,12.860000,12.587500,12.727500,8.406558,9905200
2009-02-17,12.445000,12.497500,12.157500,12.202500,8.059789,10166800
2009-02-18,12.262500,12.275000,12.012500,12.100000,7.992087,9541200
2009-02-19,12.127500,12.582500,12.127500,12.472500,8.238127,15810000
2009-02-20,12.187500,12.430000,12.085000,12.247500,8.089513,16098800
2009-02-23,12.257500,12.487500,11.912500,11.967500,7.904573,10765600
2009-02-24,12.045000,12.312500,11.985000,12.275000,8.107676,10880000
2009-02-25,12.112500,12.187500,11.850000,11.855000,7.906433,16386400
2009-02-26,11.952500,11.977500,11.467500,11.492500,7.664669,9876000
2009-02-27,11.305000,11.512500,11.100000,11.332500,7.557964,11418000
2009-03-02,11.150000,11.567500,11.027500,11.105000,7.406238,14509200
2009-03-03,11.275000,11.415000,10.790000,10.825000,7.219494,13303600
2009-03-04,10.987500,11.312500,10.932500,11.155000,7.439586,10750400
2009-03-05,10.945000,11.030000,10.625000,10.717500,7.147800,11660000
2009-03-06,10.710000,11.150000,10.452500,10.705000,7.139469,13007200
2009-03-09,10.670000,10.710000,10.370000,10.445000,6.966063,8988000
2009-03-10,10.607500,10.900000,10.530000,10.850000,7.236168,11840400
2009-03-11,10.967500,11.090000,10.822500,10.940000,7.296194,9877600
2009-03-12,10.942500,11.207500,10.812500,11.135000,7.426243,7530800
2009-03-13,11.205000,11.392500,11.205000,11.302500,7.537955,7394400
2009-03-16,11.415000,11.847500,11.415000,11.662500,7.778049,8085600
2009-03-17,11.695000,12.047500,11.587500,12.047500,8.034818,11802000
