Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,45.220001,45.450001,43.209999,43.369999,32.931782,10331400
2009-01-27,42.970001,43.500000,41.639999,41.709999,31.671310,8976900
2009-01-28,39.970001,40.400002,38.330002,38.610001,29.317419,17251400
2009-01-29,37.450001,39.650002,37.020000,39.439999,29.947666,42421100
2009-01-30,40.020000,40.500000,38.799999,39.779999,30.205824,13754400
2009-02-02,38.990002,40.150002,38.549999,39.369999,29.894489,9929600
2009-02-03,39.799999,39.950001,38.160000,38.869999,29.514835,9041100
2009-02-04,39.930000,40.880001,39.270000,39.990002,30.365276,8699900
2009-02-05,41.240002,41.330002,40.220001,40.910000,31.063852,11709000
2009-02-06,40.130001,41.750000,40.000000,41.529999,31.534630,7906200
2009-02-09,40.450001,41.430000,39.869999,40.360001,30.646221,7480500
2009-02-10,41.099998,41.590000,38.919998,39.349998,29.879305,9516700
2009-02-11,39.900002,42.830002,39.650002,42.349998,32.157272,13779000
2009-02-12,42.110001,42.830002,41.529999,42.750000,32.461006,9440700
2009-02-13,42.180000,42.680000,41.259998,41.580002,31.572605,5878700
2009-02-17,43.090000,43.369999,42.150002,42.660000,32.392666,13821600
2009-02-18,42.490002,43.080002,41.279999,42.759998,32.468597,9768100
2009-02-19,42.520000,43.250000,40.639999,40.790001,30.972736,11526400
2009-02-20,42.180000,45.000000,41.700001,43.730000,33.205147,14999000
2009-02-23,42.770000,44.049999,42.330002,42.389999,32.187656,8877200
2009-02-24,42.279999,42.490002,39.660000,40.230000,30.547510,13231100
2009-02-25,40.080002,42.650002,39.869999,40.070000,30.426031,15909900
2009-02-26,39.410000,41.200001,39.029999,40.680000,30.889212,9559600
2009-02-27,41.439999,42.410000,40.639999,41.630001,31.610573,15800200
2009-03-02,41.419998,41.700001,37.619999,37.880001,28.763102,14153100
2009-03-03,38.349998,39.270000,37.160000,38.700001,29.385756,11068200
2009-03-04,39.130001,39.730000,37.959999,38.790001,29.530392,9892900
2009-03-05,39.080002,40.439999,38.740002,40.439999,30.786526,10327200
2009-03-06,40.779999,41.080002,38.029999,38.900002,29.614145,12474000
2009-03-09,38.630001,39.150002,37.139999,37.790001,28.769115,8476300
2009-03-10,37.250000,37.810001,34.400002,35.029999,26.667953,12980300
2009-03-11,35.330002,37.180000,34.419998,36.660000,27.908854,9546000
2009-03-12,37.110001,37.799999,36.720001,37.560001,28.594021,7229600
2009-03-13,38.009998,38.830002,37.500000,38.540001,29.340080,6228600
2009-03-16,38.099998,38.509998,37.349998,37.470001,28.525490,8265800
2009-03-17,36.919998,37.869999,36.099998,36.610001,27.870789,9066900
2009-03-18,36.000000,40.299999,35.459999,40.139999,30.558132,18763400
2009-03-19,40.919998,43.400002,40.599998,42.900002,32.659286,14591600
2009-03-20,42.509998,44.799999,42.349998,44.189999,33.641354,14016300
2009-03-23,43.750000,45.250000,43.290001,44.669998,34.006771,9924400
2009-03-24,43.590000,44.549999,42.400002,43.880001,33.405361,7890400
2009-03-25,43.900002,46.200001,43.439999,45.860001,34.912712,10589900
2009-03-26,46.090000,47.310001,45.700001,46.900002,35.704456,9241400
2009-03-27,46.070000,46.230000,45.070000,45.650002,34.752842,6442100
2009-03-30,44.820000,46.520000,44.400002,45.299999,34.486397,7145500
2009-03-31,45.880001,45.880001,44.200001,44.759998,34.075291,7216000
2009-04-01,45.220001,47.450001,44.570000,47.400002,36.085098,9106800
2009-04-02,46.529999,46.529999,45.160000,46.240002,35.202003,10071800
2009-04-03,46.180000,46.720001,43.220001,43.889999,33.412968,9755600
2009-04-06,42.660000,42.950001,41.060001,42.799999,32.583164,8946700
2009-04-07,43.349998,43.689999,42.400002,42.619999,32.446136,6430100
2009-04-08,43.310001,43.310001,41.200001,41.900002,31.897999,5561000
2009-04-09,42.000000,42.470001,41.500000,41.779999,31.806662,4523400
2009-04-13,42.709999,42.910000,41.500000,42.080002,32.035030,5241000
2009-04-14,42.090000,42.830002,41.810001,41.849998,31.859947,5720900
2009-04-15,41.869999,42.720001,41.520000,42.299999,32.202522,5393400
2009-04-16,41.840000,42.150002,39.570000,39.799999,30.299295,7242300
2009-04-17,39.799999,39.990002,37.540001,38.139999,29.035551,9811400
2009-04-20,38.779999,40.000000,38.500000,39.060001,29.735950,8265100
2009-04-21,39.910000,40.000000,38.000000,38.869999,29.591293,5972800
2009-04-22,38.750000,39.279999,38.169998,38.369999,29.210651,6815300
2009-04-23,38.430000,39.599998,37.900002,38.730000,29.484722,8077100
2009-04-24,39.290001,41.459999,39.049999,41.290001,31.433628,8118700
2009-04-27,40.849998,42.049999,40.459999,41.680000,31.730528,7794300
2009-04-28,40.520000,41.029999,39.790001,40.020000,30.466787,5385200
2009-04-29,41.090000,41.160000,40.009998,40.709999,30.992083,4085500
2009-04-30,39.860001,40.360001,39.020000,40.240002,30.634270,6856700
2009-05-01,40.020000,40.020000,38.349998,38.730000,29.484722,6034800
2009-05-04,39.070000,40.990002,38.910000,40.950001,31.174778,5804400
2009-05-05,41.380001,41.750000,40.610001,41.139999,31.319424,5221900
2009-05-06,41.820000,42.810001,41.480000,42.669998,32.484188,6100500
2009-05-07,43.139999,44.160000,42.299999,42.750000,32.545101,7173800
2009-05-08,42.779999,43.919998,42.279999,43.779999,33.329247,5925600
2009-05-11,43.410000,43.520000,41.750000,42.709999,32.514656,5330400
2009-05-12,43.259998,44.730000,43.090000,44.320000,33.740326,7097400
2009-05-13,43.529999,44.750000,42.630001,42.959999,32.704975,6897400
2009-05-14,42.820000,43.930000,41.919998,43.669998,33.245491,6416400
2009-05-15,43.619999,44.060001,42.160000,42.639999,32.461361,6595800
2009-05-18,42.990002,43.000000,41.610001,42.389999,32.271038,6133100
2009-05-19,42.590000,44.200001,42.139999,43.570000,33.169357,5640100
2009-05-20,44.060001,46.220001,44.060001,45.549999,34.676727,7317000
2009-05-21,45.419998,46.750000,44.209999,46.619999,35.491299,9385200
2009-05-22,47.060001,47.590000,46.619999,47.040001,35.811039,6810900
2009-05-26,45.790001,47.419998,45.290001,47.189999,35.925228,7669400
2009-05-27,47.139999,47.840000,45.810001,45.869999,34.920311,7241100
2009-05-28,46.310001,48.020000,46.310001,47.349998,36.047035,6584900
2009-05-29,48.400002,49.180000,47.959999,48.869999,37.204189,8569700
2009-06-01,48.880001,49.840000,47.779999,47.990002,36.534260,9924700
2009-06-02,48.029999,48.810001,47.299999,48.520000,36.937737,9158400
2009-06-03,47.939999,48.189999,45.669998,46.419998,35.412014,8627500
2009-06-04,46.919998,47.849998,46.590000,47.439999,36.190136,6096300
2009-06-05,46.040001,46.320000,44.430000,44.840000,34.206703,9232400
2009-06-08,44.209999,44.840000,43.400002,44.660000,34.069386,6491300
2009-06-09,45.099998,45.500000,44.259998,44.889999,34.244846,5337500
2009-06-10,45.349998,45.610001,43.810001,44.450001,33.909176,6794900
2009-06-11,43.950001,44.880001,43.669998,44.110001,33.649822,6733000
2009-06-12,43.200001,43.360001,42.150002,42.709999,32.581802,6272100
2009-06-15,42.400002,42.430000,41.389999,41.580002,31.719761,6558300
2009-06-16,42.099998,42.630001,41.400002,41.880001,31.948631,5992100
2009-06-17,41.869999,42.259998,41.060001,41.980000,32.024906,5722500
2009-06-18,42.049999,42.810001,41.310001,41.410000,31.590099,6659100
2009-06-19,41.860001,42.230000,41.040001,41.880001,31.948631,9234100
2009-06-22,40.549999,40.980000,39.810001,39.869999,30.415272,6549700
2009-06-23,40.029999,41.500000,39.930000,41.320000,31.521421,6296400
2009-06-24,42.000000,42.410000,41.419998,42.020000,32.055439,6110900
2009-06-25,42.169998,43.099998,42.000000,43.080002,32.864075,5766400
2009-06-26,43.349998,43.360001,42.130001,42.500000,32.421600,4896500
2009-06-29,42.540001,42.880001,42.080002,42.330002,32.291927,5277600
2009-06-30,42.240002,42.450001,40.650002,40.869999,31.178135,6791200
2009-07-01,41.779999,42.730000,41.439999,42.180000,32.177490,6946000
2009-07-02,41.169998,41.580002,40.209999,40.259998,30.712801,6293800
2009-07-06,39.639999,39.799999,38.700001,39.459999,30.102503,6888200
2009-07-07,39.759998,40.290001,39.200001,39.369999,30.033840,5340600
2009-07-08,39.169998,39.630001,37.500000,37.950001,28.950588,8888900
2009-07-09,38.439999,39.130001,37.950001,38.040001,29.019249,6670300
2009-07-10,37.660000,38.259998,37.220001,37.889999,28.904814,6750700
2009-07-13,37.689999,38.500000,36.770000,38.450001,29.332010,6504900
2009-07-14,38.970001,39.310001,38.509998,39.110001,29.835505,5044600
2009-07-15,39.980000,40.680000,39.980000,40.450001,30.857731,6239900
2009-07-16,40.169998,41.029999,39.730000,40.860001,31.170515,4387000
2009-07-17,40.919998,41.340000,40.520000,41.139999,31.384106,4570300
2009-07-20,42.430000,42.610001,41.480000,42.139999,32.146980,4628900
2009-07-21,42.400002,42.709999,41.110001,42.250000,32.230885,5762300
