Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.133595,4.318271,4.121807,4.271120,2.528392,10285618
2009-01-27,4.294695,4.396857,4.255403,4.361493,2.581891,8858891
2009-01-28,4.392927,4.392927,4.216110,4.247544,2.567638,9137568
2009-01-29,4.231827,4.302554,4.184676,4.208251,2.543886,5797510
2009-01-30,4.078585,4.113949,3.772102,3.803536,2.299236,27498216
2009-02-02,3.779961,3.831041,3.638507,3.685658,2.227978,25939913
2009-02-03,3.724951,3.917485,3.689587,3.831041,2.315862,18093423
2009-02-04,3.976424,4.216110,3.948919,4.176817,2.524883,29007910
2009-02-05,4.165029,4.227898,4.117878,4.196464,2.536761,17491022
2009-02-06,4.180747,4.275049,4.090373,4.231827,2.558138,14231131
2009-02-09,4.259332,4.259332,4.180747,4.239686,2.562888,8883577
2009-02-10,4.223969,4.259332,4.058939,4.137525,2.501132,14969436
2009-02-11,4.137525,4.153242,4.007859,4.074656,2.463127,9813520
2009-02-12,4.003929,4.070727,3.893910,4.011788,2.425124,11495511
2009-02-13,4.027505,4.055010,3.952849,3.996071,2.415623,6438596
2009-02-17,3.909627,3.909627,3.724951,3.728880,2.254106,10722849
2009-02-18,3.744597,3.768173,3.477407,3.504912,2.118718,19324185
2009-02-19,3.516699,3.575639,3.453831,3.457760,2.090214,11787168
2009-02-20,3.430255,3.493124,3.328094,3.418468,2.066462,12469228
2009-02-23,3.418468,3.489194,3.328094,3.339882,2.018957,9459765
2009-02-24,3.445972,3.618861,3.430255,3.599214,2.175723,19516587
2009-02-25,3.618861,3.630648,3.512770,3.575639,2.161472,13004696
2009-02-26,3.607073,3.654224,3.497053,3.504912,2.118718,7743163
2009-02-27,3.477407,3.540275,3.379175,3.438114,2.078339,14228841
2009-03-02,3.383104,3.430255,3.261297,3.265226,1.973827,9792906
2009-03-03,3.296660,3.343811,3.127701,3.139489,1.897820,9080306
2009-03-04,3.178782,3.347741,3.147348,3.308448,1.999956,15799106
2009-03-05,3.249509,3.308448,3.060904,3.088409,1.866941,11263407
2009-03-06,3.076621,3.292731,3.076621,3.210216,1.940574,17896440
2009-03-09,3.218075,3.347741,3.166994,3.273084,1.978577,14278977
2009-03-10,3.269155,3.438114,3.269155,3.426326,2.071213,11330086
2009-03-11,3.477407,3.485265,3.339882,3.355599,2.028458,12035051
2009-03-12,3.367387,3.485265,3.304519,3.473477,2.099715,8906482
2009-03-13,3.508841,3.559921,3.461690,3.544204,2.142470,6390750
2009-03-16,3.524558,3.744597,3.516699,3.630648,2.194725,9265327
2009-03-17,3.642436,3.732809,3.575639,3.721022,2.249356,6382351
2009-03-18,3.705305,3.815324,3.634578,3.787819,2.289735,10621812
2009-03-19,3.819253,3.858546,3.779961,3.811395,2.303987,7055758
2009-03-20,3.862475,3.889980,3.776031,3.787819,2.289735,7795081
2009-03-23,3.858546,4.055010,3.795678,4.051081,2.448877,10551570
2009-03-24,4.023576,4.043222,3.929273,3.929273,2.375243,7607005
2009-03-25,3.972495,4.019646,3.874263,3.968566,2.398996,8649946
2009-03-26,4.011788,4.051081,3.937132,4.031434,2.437001,6648304
2009-03-27,3.976424,4.051081,3.944990,3.956778,2.391870,5358243
2009-03-30,3.921415,3.944990,3.740668,3.811395,2.303987,8713317
2009-03-31,3.850688,3.909627,3.838900,3.850688,2.327738,7666049
2009-04-01,3.795678,3.956778,3.787819,3.925344,2.372868,7776757
2009-04-02,4.015717,4.027505,3.913556,3.960707,2.394245,8180648
2009-04-03,3.960707,3.996071,3.929273,3.972495,2.401372,6280297
2009-04-06,3.944990,4.007859,3.905697,3.921415,2.370494,6842487
2009-04-07,3.893910,3.968566,3.854617,3.917485,2.368118,4915922
2009-04-08,3.905697,4.015717,3.905697,4.011788,2.425124,6664592
2009-04-09,4.110020,4.145383,4.011788,4.082515,2.467879,11898384
2009-04-13,4.074656,4.117878,3.988212,4.086444,2.470253,6695641
2009-04-14,4.058939,4.110020,4.027505,4.058939,2.453626,9099139
2009-04-15,4.051081,4.129666,4.051081,4.117878,2.489255,6605039
2009-04-16,4.129666,4.212181,4.102161,4.172888,2.522508,6599949
2009-04-17,4.192534,4.223969,4.157171,4.184676,2.529635,6180787
2009-04-20,4.165029,4.165029,4.051081,4.074656,2.463127,6619036
2009-04-21,4.070727,4.184676,4.070727,4.153242,2.510633,8793484
2009-04-22,4.137525,4.208251,4.055010,4.133595,2.498756,7447434
2009-04-23,4.129666,4.204322,4.110020,4.188605,2.532010,10085072
2009-04-24,4.223969,4.282908,4.188605,4.259332,2.574765,9560802
2009-04-27,4.227898,4.400786,4.223969,4.341847,2.624645,8178358
2009-04-28,4.271120,4.298625,4.235756,4.247544,2.622218,7894845
2009-04-29,4.282908,4.333988,4.267191,4.294695,2.651326,8043473
2009-04-30,4.318271,4.385069,4.306483,4.318271,2.665881,11075840
2009-05-01,4.326130,4.428291,4.326130,4.416503,2.726525,8735458
2009-05-04,4.412574,4.530452,4.412574,4.510806,2.784744,11412798
2009-05-05,4.483301,4.557957,4.459725,4.487230,2.770188,9295867
2009-05-06,4.522593,4.565815,4.451866,4.479371,2.765337,10371893
2009-05-07,4.424361,4.491159,4.369352,4.396857,2.714397,11264170
2009-05-08,4.459725,4.565815,4.416503,4.479371,2.765337,12477117
2009-05-11,4.436149,4.502947,4.373281,4.388998,2.709545,10268057
2009-05-12,4.416503,4.455796,4.357564,4.373281,2.699841,6938943
2009-05-13,4.341847,4.440079,4.231827,4.235756,2.614942,8436675
2009-05-14,4.235756,4.286837,4.204322,4.271120,2.636773,7206677
2009-05-15,4.255403,4.314342,4.157171,4.180747,2.580982,7483064
2009-05-18,4.212181,4.247544,4.176817,4.196464,2.590684,9270417
2009-05-19,4.212181,4.298625,4.192534,4.204322,2.595535,9452894
2009-05-20,4.239686,4.318271,4.165029,4.176817,2.578555,17513672
2009-05-21,4.157171,4.172888,4.094303,4.117878,2.542169,5823978
2009-05-22,4.129666,4.176817,4.102161,4.113949,2.539743,4622229
2009-05-26,4.110020,4.286837,4.082515,4.259332,2.629496,5712507
2009-05-27,4.263261,4.290766,4.125737,4.125737,2.547022,8277358
2009-05-28,4.149312,4.243615,4.133595,4.220039,2.605238,6335014
2009-05-29,4.247544,4.251473,4.145383,4.200393,2.593110,9053838
2009-06-01,4.243615,4.357564,4.243615,4.345776,2.682861,6537596
2009-06-02,4.349705,4.412574,4.322200,4.361493,2.692565,6246194
2009-06-03,4.330059,4.353635,4.239686,4.302554,2.656178,6893642
2009-06-04,4.322200,4.349705,4.286837,4.314342,2.663456,4664222
2009-06-05,4.349705,4.385069,4.247544,4.298625,2.653753,9011845
2009-06-08,4.310413,4.416503,4.310413,4.365422,2.694990,10062930
2009-06-09,4.400786,4.416503,4.290766,4.302554,2.656178,5262042
2009-06-10,4.349705,4.420432,4.326130,4.369352,2.697417,15626809
2009-06-11,4.408644,4.514735,4.353635,4.471513,2.760486,7387372
2009-06-12,4.455796,4.554028,4.408644,4.538310,2.801724,4852043
2009-06-15,4.495088,4.495088,4.388998,4.416503,2.726525,5773587
2009-06-16,4.436149,4.483301,4.353635,4.373281,2.699841,4465457
2009-06-17,4.357564,4.428291,4.337917,4.396857,2.714397,6417727
2009-06-18,4.408644,4.518664,4.400786,4.502947,2.779891,5228703
2009-06-19,4.557957,4.557957,4.440079,4.467583,2.758059,8364143
2009-06-22,4.416503,4.554028,4.416503,4.510806,2.784744,8415297
2009-06-23,4.514735,4.546169,4.420432,4.440079,2.741080,5987367
2009-06-24,4.471513,4.475442,4.408644,4.432220,2.736228,6467100
2009-06-25,4.408644,4.530452,4.392927,4.510806,2.784744,4028735
2009-06-26,4.502947,4.518664,4.455796,4.502947,2.779891,8399518
2009-06-29,4.510806,4.644401,4.510806,4.581532,2.828405,9479107
2009-06-30,4.589391,4.632613,4.526523,4.581532,2.828405,8476123
2009-07-01,4.609037,4.793713,4.605108,4.770138,2.944842,9496922
2009-07-02,4.719057,4.722986,4.612967,4.612967,2.847813,8561635
2009-07-06,4.589391,4.738703,4.538310,4.707269,2.906029,7635764
2009-07-07,4.711198,4.730845,4.581532,4.601179,2.840534,7101823
2009-07-08,4.632613,4.679764,4.526523,4.573674,2.823554,9023552
2009-07-09,4.597250,4.616896,4.506876,4.554028,2.811427,8458053
2009-07-10,4.522593,4.577603,4.483301,4.542240,2.804148,8554000
2009-07-13,4.546169,4.616896,4.510806,4.612967,2.847813,8991994
2009-07-14,4.624754,4.644401,4.573674,4.616896,2.850238,7282518
2009-07-15,4.683694,4.762279,4.656189,4.758350,2.937564,5556753
2009-07-16,4.746562,4.817289,4.726916,4.801572,2.964247,6752140
2009-07-17,4.797642,4.844794,4.762279,4.825147,2.978801,6374207
2009-07-20,4.856582,4.950884,4.825147,4.946955,3.053999,13683702
2009-07-21,4.982318,5.033399,4.939096,4.998035,3.085533,9819374
2009-07-22,4.990177,5.041257,4.962672,5.013752,3.095237,7951598
2009-07-23,4.986248,5.186640,4.986248,5.159136,3.184988,9114409
2009-07-24,5.127701,5.233792,5.123772,5.225933,3.226226,7884156
2009-07-27,5.249509,5.261297,5.190570,5.245580,3.238356,6079751
2009-07-28,5.033399,5.174853,5.017682,5.166994,3.189842,10000832
