Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,8.820000,9.160000,8.570000,8.800000,5.788023,3776400
2009-01-27,8.880000,8.960000,8.540000,8.730000,5.741982,3797100
2009-01-28,8.920000,9.280000,8.830000,9.210000,6.057691,3456800
2009-01-29,9.100000,9.380000,8.630000,8.730000,5.741982,5180800
2009-01-30,9.170000,9.170000,8.000000,8.080000,5.314455,5113200
2009-02-02,8.010000,8.180000,7.810000,8.100000,5.327610,3300500
2009-02-03,8.130000,8.160000,7.850000,8.090000,5.321033,3905400
2009-02-04,8.130000,8.290000,7.760000,7.840000,5.156600,3686000
2009-02-05,7.850000,8.120000,7.610000,8.060000,5.301301,5280600
2009-02-06,8.050000,8.560000,7.960000,8.420000,5.538085,3526700
2009-02-09,8.430000,8.600000,8.200000,8.380000,5.511775,2319300
2009-02-10,8.280000,8.470000,7.650000,7.760000,5.103983,5120100
2009-02-11,7.820000,7.990000,7.620000,7.710000,5.071096,5398600
2009-02-12,7.700000,7.820000,7.500000,7.790000,5.123713,6112600
2009-02-13,7.740000,7.810000,7.520000,7.580000,4.985591,5169000
2009-02-17,7.440000,7.460000,7.160000,7.330000,4.821158,5327300
2009-02-18,7.370000,7.370000,6.890000,6.940000,4.564644,5525400
2009-02-19,7.040000,7.040000,6.520000,6.530000,4.294975,7151700
2009-02-20,6.400000,6.500000,6.010000,6.410000,4.216046,4807800
2009-02-23,6.470000,6.490000,6.200000,6.240000,4.104234,3758700
2009-02-24,6.260000,6.280000,5.910000,6.120000,4.025306,6188600
2009-02-25,6.080000,6.160000,5.690000,5.820000,3.894809,7155800
2009-02-26,5.960000,5.990000,5.710000,5.730000,3.834580,6760300
2009-02-27,5.610000,5.860000,5.610000,5.650000,3.781044,4146700
2009-03-02,5.530000,5.610000,5.100000,5.110000,3.419668,4368300
2009-03-03,5.170000,5.440000,4.890000,4.950000,3.312595,7181800
2009-03-04,5.020000,5.190000,4.800000,5.040000,3.372824,6016400
2009-03-05,4.940000,4.980000,4.640000,4.710000,3.151985,4920900
2009-03-06,4.760000,4.860000,4.590000,4.710000,3.151985,5066700
2009-03-09,4.660000,4.850000,4.510000,4.540000,3.038218,3291300
2009-03-10,4.640000,4.920000,4.550000,4.800000,3.212214,7089400
2009-03-11,4.830000,5.000000,4.790000,4.860000,3.252367,3541200
2009-03-12,4.860000,5.230000,4.710000,5.210000,3.486590,4638100
2009-03-13,5.270000,5.650000,5.210000,5.610000,3.754275,5467900
2009-03-16,6.330000,6.540000,6.100000,6.170000,4.129033,8494900
2009-03-17,6.160000,6.340000,6.110000,6.320000,4.229415,5229400
2009-03-18,6.390000,7.060000,6.340000,6.870000,4.597481,8906200
2009-03-19,6.970000,7.080000,6.620000,6.710000,4.490407,5971400
2009-03-20,6.770000,6.810000,6.430000,6.580000,4.403409,5060700
2009-03-23,6.750000,7.260000,6.650000,7.250000,4.851780,5052700
2009-03-24,6.390000,6.890000,6.350000,6.560000,4.390026,12659600
2009-03-25,6.620000,6.800000,5.950000,6.180000,4.135725,22613700
2009-03-26,6.190000,6.950000,6.180000,6.840000,4.577404,15628300
2009-03-27,6.590000,7.070000,6.590000,6.910000,4.624250,8111100
2009-03-30,6.760000,6.800000,6.260000,6.360000,4.256183,6727300
2009-03-31,6.430000,6.520000,6.200000,6.380000,4.269567,9432300
2009-04-01,6.270000,6.690000,6.220000,6.640000,4.443564,5834900
2009-04-02,6.800000,7.340000,6.750000,7.190000,4.811628,8132900
2009-04-03,7.200000,7.420000,6.960000,7.300000,4.885243,3380500
2009-04-06,7.200000,7.320000,6.940000,7.170000,4.798245,4777000
2009-04-07,7.020000,7.180000,6.900000,6.960000,4.657711,3239200
2009-04-08,7.000000,7.140000,6.800000,6.940000,4.644326,3158800
2009-04-09,7.170000,7.570000,7.170000,7.570000,5.065929,3949500
2009-04-13,7.500000,7.630000,7.270000,7.500000,5.019083,3509800
2009-04-14,7.420000,7.450000,7.150000,7.190000,4.811628,3621600
2009-04-15,7.100000,7.530000,7.050000,7.490000,5.012391,4498300
2009-04-16,7.680000,7.750000,7.300000,7.450000,4.985623,6245600
2009-04-17,7.450000,8.040000,7.360000,7.920000,5.300154,8908600
2009-04-20,7.780000,7.850000,7.280000,7.340000,4.912011,5363600
2009-04-21,7.330000,7.790000,7.330000,7.610000,5.092698,6817600
2009-04-22,7.630000,8.570000,7.530000,8.170000,5.467456,9305300
2009-04-23,8.200000,8.510000,8.150000,8.410000,5.628067,8578500
2009-04-24,8.350000,8.350000,7.980000,8.300000,5.554453,11408300
2009-04-27,8.170000,8.350000,7.940000,8.080000,5.407227,5351300
2009-04-28,8.000000,8.370000,7.920000,8.210000,5.494226,5634600
2009-04-29,8.310000,8.990000,8.250000,8.670000,5.802062,9301900
2009-04-30,9.570000,11.150000,9.570000,10.450000,6.993258,25214400
2009-05-01,10.370000,11.060000,10.160000,10.810000,7.234175,10435000
2009-05-04,10.880000,11.390000,10.800000,11.320000,7.575470,7954600
2009-05-05,11.250000,11.420000,10.920000,11.110000,7.434936,5612300
2009-05-06,11.270000,11.270000,10.750000,10.840000,7.254251,7382600
2009-05-07,10.960000,11.090000,10.600000,10.830000,7.247558,6760000
2009-05-08,10.920000,11.320000,10.700000,11.320000,7.575470,4282900
2009-05-11,11.120000,11.310000,10.660000,10.740000,7.187329,5720300
2009-05-12,11.070000,11.340000,10.330000,10.660000,7.133791,6369300
2009-05-13,10.500000,10.540000,9.840000,10.110000,6.765725,6075700
2009-05-14,10.100000,10.440000,9.920000,10.370000,6.939722,5522400
2009-05-15,10.400000,10.940000,10.190000,10.390000,6.953104,6126200
2009-05-18,10.490000,10.700000,10.250000,10.690000,7.153868,4028400
2009-05-19,10.570000,10.930000,10.520000,10.910000,7.301093,6251300
2009-05-20,11.020000,11.390000,10.930000,11.110000,7.434936,7178200
2009-05-21,11.100000,11.120000,10.590000,10.860000,7.267634,8215700
2009-05-22,10.880000,11.200000,10.860000,11.110000,7.434936,3450000
2009-05-26,10.950000,11.440000,10.930000,11.390000,7.622314,4971900
2009-05-27,11.370000,11.600000,11.100000,11.240000,7.555102,5747100
2009-05-28,11.320000,11.420000,10.820000,11.230000,7.548378,4395100
2009-05-29,11.300000,11.520000,11.100000,11.510000,7.736583,5186200
2009-06-01,11.800000,12.150000,11.700000,11.860000,7.971836,4850100
2009-06-02,11.850000,11.940000,11.600000,11.740000,7.891179,3982200
2009-06-03,11.620000,11.840000,11.310000,11.530000,7.750030,5303100
2009-06-04,11.550000,11.620000,11.220000,11.510000,7.736583,3584600
2009-06-05,11.650000,11.740000,11.240000,11.360000,7.635759,3560400
2009-06-08,11.170000,11.550000,11.050000,11.390000,7.655923,4152800
2009-06-09,11.430000,11.730000,11.130000,11.630000,7.817243,4780100
2009-06-10,11.730000,11.910000,11.040000,11.310000,7.602150,4741600
2009-06-11,11.400000,11.480000,11.040000,11.080000,7.447550,3651900
2009-06-12,11.030000,11.070000,10.380000,10.800000,7.259346,4274600
2009-06-15,10.680000,10.750000,10.530000,10.620000,7.138360,4579500
2009-06-16,10.610000,10.710000,10.390000,10.420000,7.003924,3501200
2009-06-17,10.410000,10.700000,10.290000,10.470000,7.037534,3653300
2009-06-18,10.530000,10.680000,10.330000,10.570000,7.104751,3625400
2009-06-19,10.690000,10.880000,10.610000,10.680000,7.178687,3419900
2009-06-22,10.090000,10.400000,9.980000,10.070000,6.768670,5480400
2009-06-23,10.060000,10.220000,9.850000,9.960000,6.694733,3835300
2009-06-24,10.040000,10.320000,9.990000,10.110000,6.795557,5163400
2009-06-25,10.070000,10.600000,9.980000,10.510000,7.064421,4535500
2009-06-26,10.400000,10.490000,10.220000,10.280000,6.909824,2967500
2009-06-29,10.340000,10.500000,10.140000,10.390000,6.983763,3154300
2009-06-30,10.400000,10.490000,10.150000,10.410000,6.997206,4999400
2009-07-01,10.510000,10.760000,10.450000,10.670000,7.171968,3398500
2009-07-02,10.520000,10.590000,10.200000,10.200000,6.856049,1934900
2009-07-06,10.100000,10.280000,10.000000,10.170000,6.835887,3145200
2009-07-07,10.150000,10.150000,9.820000,9.850000,6.620794,4432300
2009-07-08,9.790000,10.090000,9.790000,10.040000,6.748505,3899000
2009-07-09,10.150000,10.480000,10.090000,10.390000,6.983763,6263300
2009-07-10,10.310000,10.490000,10.140000,10.270000,6.903104,3696600
2009-07-13,10.270000,10.480000,10.130000,10.420000,7.003924,2628300
2009-07-14,10.390000,10.710000,10.290000,10.700000,7.192129,5473000
2009-07-15,10.770000,11.090000,10.770000,11.090000,7.454274,3455600
2009-07-16,11.070000,11.340000,11.050000,11.310000,7.602150,2417600
2009-07-17,11.310000,11.460000,11.200000,11.430000,7.682809,3997800
2009-07-20,11.470000,11.870000,11.420000,11.850000,7.965120,3514500
2009-07-21,11.880000,11.970000,11.440000,11.630000,7.817243,5345500
2009-07-22,11.500000,11.760000,11.480000,11.640000,7.823965,3748700
2009-07-23,11.750000,12.350000,11.680000,12.200000,8.200377,5259200
2009-07-24,12.110000,12.280000,11.990000,12.230000,8.220543,6498200
2009-07-27,12.190000,12.500000,12.180000,12.290000,8.260873,6670100
2009-07-28,12.170000,12.460000,12.110000,12.270000,8.247426,7190900
2009-07-29,12.230000,12.520000,12.110000,12.260000,8.240706,6565200
2009-07-30,13.080000,13.250000,12.430000,12.810000,8.610393,11004900
2009-07-31,12.810000,13.150000,12.700000,12.870000,8.650723,4699000
2009-08-03,13.040000,13.730000,12.950000,13.660000,9.181732,8149400
2009-08-04,13.610000,13.830000,13.550000,13.710000,9.215340,5617700
2009-08-05,13.800000,13.840000,13.310000,13.670000,9.188457,5284600
2009-08-06,13.670000,13.840000,13.310000,13.330000,8.959917,4515400
2009-08-07,13.580000,14.000000,13.560000,13.860000,9.316160,6089100
2009-08-10,13.840000,13.840000,13.530000,13.610000,9.148120,3825800
2009-08-11,13.550000,13.570000,13.220000,13.360000,8.980083,5474300
2009-08-12,13.360000,13.740000,13.360000,13.510000,9.080908,5474300
2009-08-13,13.610000,14.050000,13.310000,14.050000,9.443875,7167900
2009-08-14,14.070000,14.120000,13.540000,13.730000,9.228781,5100100
2009-08-17,13.430000,13.630000,13.030000,13.310000,8.946477,6321300
2009-08-18,13.340000,13.450000,13.170000,13.310000,8.946477,3559600
2009-08-19,13.240000,13.650000,12.920000,13.600000,9.141402,2680600
2009-08-20,13.630000,13.630000,13.350000,13.460000,9.047300,7388400
2009-08-21,13.580000,13.830000,13.330000,13.690000,9.201896,4193200
2009-08-24,13.710000,13.710000,13.320000,13.490000,9.067464,3834900
2009-08-25,13.580000,13.990000,13.470000,13.900000,9.343048,4833700
2009-08-26,13.890000,14.000000,13.640000,13.920000,9.356494,4828400
2009-08-27,13.900000,13.990000,13.580000,13.860000,9.349746,2736300
2009-08-28,13.930000,14.000000,13.520000,13.640000,9.201339,2439300
2009-08-31,13.810000,14.110000,13.640000,13.920000,9.390224,5105200
2009-09-01,13.730000,14.420000,13.610000,13.660000,9.214831,7632000
2009-09-02,13.590000,13.650000,13.390000,13.430000,9.059676,4427700
2009-09-03,13.610000,13.610000,13.330000,13.600000,9.174355,6076000
2009-09-04,13.540000,14.080000,13.410000,13.970000,9.423950,5375700
2009-09-08,14.070000,14.420000,13.970000,14.400000,9.714026,5672100
2009-09-09,14.500000,14.770000,14.110000,14.730000,9.936639,7780600
2009-09-10,14.730000,15.300000,14.580000,15.030000,10.139009,10770200
2009-09-11,15.080000,15.450000,15.000000,15.110000,10.192977,5556000
2009-09-14,15.020000,15.210000,14.800000,15.200000,10.253691,3745900
2009-09-15,15.170000,15.350000,15.000000,15.110000,10.192977,5203300
2009-09-16,15.140000,15.600000,15.000000,15.600000,10.523524,4880100
2009-09-17,15.540000,15.600000,15.170000,15.280000,10.307657,4877700
2009-09-18,15.400000,15.900000,15.320000,15.780000,10.644955,5149100
2009-09-21,15.610000,15.730000,15.280000,15.660000,10.564000,4958700
2009-09-22,15.690000,15.930000,15.630000,15.820000,10.671932,5783700
2009-09-23,15.820000,16.059999,15.740000,15.850000,10.692171,6126900
2009-09-24,15.870000,16.100000,15.300000,15.400000,10.388607,5132700
2009-09-25,15.310000,15.400000,14.910000,15.120000,10.199723,5134500
2009-09-28,15.160000,15.760000,15.030000,15.710000,10.597729,5462500
2009-09-29,15.720000,15.850000,15.510000,15.620000,10.537015,5987500
2009-09-30,15.700000,15.840000,15.140000,15.690000,10.584239,4448200
2009-10-01,15.570000,15.570000,14.840000,14.970000,10.098537,5585000
2009-10-02,14.800000,15.090000,14.520000,14.950000,10.085045,4792000
2009-10-05,15.110000,15.250000,14.890000,15.180000,10.240202,4159400
2009-10-06,15.190000,15.320000,14.910000,15.030000,10.139009,4910200
2009-10-07,15.100000,15.110000,14.620000,14.790000,9.977111,9690700
2009-10-08,14.970000,15.130000,14.760000,15.060000,10.159251,5917500
2009-10-09,14.990000,15.150000,14.860000,15.100000,10.186234,3514300
2009-10-12,15.100000,15.360000,15.080000,15.110000,10.192977,1698500
2009-10-13,15.100000,15.250000,14.960000,15.150000,10.219960,2014800
2009-10-14,15.280000,15.380000,15.000000,15.140000,10.213217,3417200
2009-10-15,15.060000,15.190000,14.940000,15.180000,10.240202,3132000
2009-10-16,15.010000,15.180000,14.790000,15.030000,10.139009,4559800
2009-10-19,15.120000,15.340000,15.000000,15.060000,10.159251,2191200
2009-10-20,15.110000,15.110000,14.890000,15.040000,10.145755,4649800
2009-10-21,14.960000,15.370000,14.930000,14.970000,10.098537,5311700
2009-10-22,15.000000,15.570000,14.990000,15.500000,10.456064,3826700
2009-10-23,15.710000,15.730000,15.110000,15.150000,10.219960,3408500
