Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.205291,4.429121,4.189464,4.268596,4.268596,1210133
2009-01-27,4.322858,4.415555,4.221117,4.275379,4.275379,1676317
2009-01-28,4.383902,4.519557,4.352250,4.467556,4.467556,2595416
2009-01-29,4.438164,4.438164,4.180421,4.196247,4.196247,2317652
2009-01-30,4.264074,4.343206,4.087723,4.216595,4.216595,2842220
2009-02-02,4.164594,4.295727,4.094506,4.250509,4.250509,1888179
2009-02-03,4.245987,4.316075,4.169116,4.250509,4.250509,2404343
2009-02-04,4.279901,4.288944,3.768935,3.947547,3.947547,7117934
2009-02-05,3.961112,4.944608,3.961112,4.709473,4.709473,12985486
2009-02-06,4.921999,5.087045,4.860954,5.039566,5.039566,7257258
2009-02-09,5.064436,5.064436,4.829301,4.858693,4.858693,4442904
2009-02-10,4.790866,4.849650,4.503730,4.594167,4.594167,3435344
2009-02-11,4.623559,4.784083,4.530861,4.641646,4.641646,3874106
2009-02-12,4.578340,4.806692,4.431381,4.567036,4.567036,6044914
2009-02-13,4.576080,4.607732,4.465295,4.555731,4.555731,3118657
2009-02-17,4.408772,4.621298,4.359032,4.555731,4.555731,4539767
2009-02-18,4.578340,4.628080,4.309292,4.370337,4.370337,3057620
2009-02-19,4.397468,4.539905,4.239204,4.248248,4.248248,2913872
2009-02-20,4.187203,4.401990,4.114854,4.295727,4.295727,2833816
2009-02-23,4.309292,4.383902,4.110332,4.146507,4.146507,3650744
2009-02-24,4.178160,4.413294,4.153290,4.361293,4.361293,3492843
2009-02-25,4.329641,4.431381,4.193986,4.300249,4.300249,3907721
2009-02-26,4.334162,4.628080,4.316075,4.349989,4.349989,4692803
2009-02-27,4.264074,4.474339,4.225639,4.316075,4.316075,5022317
2009-03-02,4.223378,4.230161,3.997287,4.013113,4.013113,6013511
2009-03-03,4.094506,4.151029,3.897807,3.945286,3.945286,6852554
2009-03-04,4.019896,4.148768,3.909111,3.922677,3.922677,4974548
2009-03-05,3.893285,3.965634,3.796066,3.870676,3.870676,6179816
2009-03-06,3.902329,3.981461,3.716934,3.863893,3.863893,4730399
2009-03-09,4.067375,4.248248,3.857111,3.884241,3.884241,5354484
2009-03-10,4.024418,4.519557,3.974678,4.429121,4.429121,7993246
2009-03-11,4.444947,4.788605,4.395207,4.704951,4.704951,7698232
2009-03-12,4.725300,5.057653,4.655211,4.989826,4.989826,6937476
2009-03-13,5.032783,5.159394,4.874520,5.010174,5.010174,4770206
2009-03-16,5.012435,5.082523,4.838345,4.854171,4.854171,3706032
2009-03-17,4.854171,5.093828,4.770518,5.012435,5.012435,3705589
2009-03-18,4.937825,5.145829,4.840606,5.145829,5.145829,6655730
2009-03-19,5.161655,5.471400,5.118698,5.231743,5.231743,5989627
2009-03-20,5.238526,5.238526,4.881302,4.994348,4.994348,4256253
2009-03-23,5.136785,5.616098,5.087045,5.616098,5.616098,5367753
2009-03-24,5.588967,5.704273,5.475921,5.566358,5.566358,3280539
2009-03-25,5.636446,5.688447,5.168438,5.374180,5.374180,5103700
2009-03-26,5.378702,5.717839,5.367398,5.688447,5.688447,5274428
2009-03-27,5.564097,5.652272,5.457834,5.471400,5.471400,3157580
2009-03-30,5.308614,5.333484,5.163916,5.333484,5.333484,2458303
2009-03-31,5.410355,5.534705,5.315397,5.460095,5.460095,2592320
2009-04-01,5.333484,5.591228,5.263396,5.566358,5.566358,3922759
2009-04-02,5.661316,6.298892,5.652272,6.233326,6.233326,9871694
2009-04-03,6.000452,6.222021,5.819579,6.174542,6.174542,7569080
2009-04-06,5.946190,6.081845,5.749491,5.968799,5.968799,7611098
2009-04-07,5.900972,5.971060,5.799231,5.810536,5.810536,4207158
2009-04-08,5.907755,5.959756,5.758535,5.876102,5.876102,2854162
2009-04-09,6.023061,6.387068,5.962017,6.346371,6.346371,4387616
2009-04-13,6.330545,6.355415,6.120280,6.228804,6.228804,3779454
2009-04-14,6.215239,6.258196,6.077323,6.124802,6.124802,2629916
2009-04-15,6.059236,6.262718,5.982365,6.086367,6.086367,3053197
2009-04-16,6.172281,6.430025,6.075062,6.276283,6.276283,4288541
2009-04-17,6.335067,6.565679,6.222021,6.513678,6.513678,4407520
2009-04-20,6.301153,6.443590,6.181325,6.231065,6.231065,3710012
2009-04-21,5.998191,6.199412,5.894189,6.075062,6.075062,5811380
2009-04-22,6.045670,6.427764,5.948451,6.264979,6.264979,5190391
2009-04-23,6.400633,7.112819,6.108976,6.954556,6.954556,10172015
2009-04-24,6.986208,7.458738,6.879946,7.158038,7.158038,6150624
2009-04-27,7.049514,7.212299,6.907077,7.008818,7.008818,4139928
2009-04-28,6.907077,7.284648,6.846032,7.076645,7.076645,4967471
2009-04-29,7.099254,7.687090,7.099254,7.440651,7.440651,5310696
2009-04-30,7.513000,7.849876,7.440651,7.691612,7.691612,5102373
2009-05-01,7.607958,7.673525,7.406738,7.574045,7.574045,3983796
2009-05-04,7.598915,7.913181,7.526566,7.696134,7.696134,4938280
2009-05-05,7.754917,7.953877,7.721004,7.827267,7.827267,3805549
2009-05-06,7.802397,7.802397,7.081167,7.354737,7.354737,10003057
2009-05-07,7.470043,7.517522,7.092471,7.176125,7.176125,3964335
2009-05-08,7.219082,7.433868,7.072123,7.359258,7.359258,2759952
2009-05-11,7.232648,7.503957,7.015600,7.338910,7.338910,2399478
2009-05-12,7.574045,7.596654,7.013339,7.257518,7.257518,3890913
2009-05-13,7.121863,7.124124,6.803075,6.907077,6.907077,5163410
2009-05-14,6.895772,7.056297,6.687768,6.931947,6.931947,4308002
2009-05-15,6.866380,7.117341,6.798553,6.868641,6.868641,3105831
2009-05-18,6.848293,7.298214,6.841510,7.250735,7.250735,3726820
2009-05-19,7.162559,7.309518,7.044992,7.203256,7.203256,3926739
2009-05-20,7.108298,7.379607,7.078906,7.117341,7.117341,2614878
2009-05-21,7.008818,7.038209,6.604115,6.669681,6.669681,5626498
2009-05-22,6.662898,6.701334,6.353154,6.441329,6.441329,5504424
2009-05-26,6.380285,6.977165,6.380285,6.870902,6.870902,3735666
2009-05-27,6.846032,6.988469,6.604115,6.671942,6.671942,3606072
2009-05-28,6.873163,7.230387,6.866380,7.090210,7.090210,5397387
2009-05-29,7.185168,7.476826,7.074384,7.476826,7.476826,3676398
2009-06-01,7.574045,7.800136,7.517522,7.583088,7.583088,6843266
2009-06-02,7.589871,7.621524,7.404477,7.526566,7.526566,3910817
2009-06-03,7.436129,7.517522,7.304997,7.433868,7.433868,2419381
2009-06-04,7.431608,7.431608,7.176125,7.291431,7.291431,3440209
2009-06-05,7.427086,7.438390,7.155777,7.257518,7.257518,2720145
2009-06-08,7.153516,7.207778,6.959078,7.158038,7.158038,2450784
2009-06-09,7.146733,7.286909,7.042731,7.185168,7.185168,2693165
2009-06-10,7.257518,7.295953,6.843771,7.015600,7.015600,4052795
2009-06-11,6.965860,7.040470,6.730726,6.803075,6.803075,4623362
2009-06-12,6.692290,6.735248,6.393850,6.547592,6.547592,5798995
2009-06-15,6.502374,6.543070,6.264979,6.450373,6.450373,4691476
2009-06-16,6.522722,6.696812,6.425503,6.527244,6.527244,2956776
2009-06-17,6.554375,6.699073,6.276283,6.586028,6.586028,2206635
