Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,14.080000,14.260000,13.670000,13.850000,12.636847,1787300
2009-01-27,13.910000,14.240000,13.850000,14.100000,12.864943,1928900
2009-01-28,14.330000,15.130000,14.330000,15.020000,13.704358,1670000
2009-01-29,15.100000,15.120000,14.510000,14.620000,13.339396,1294000
2009-01-30,13.300000,13.710000,12.250000,12.620000,11.514581,5263300
2009-02-02,12.430000,13.030000,11.760000,12.900000,11.770057,2851900
2009-02-03,13.000000,13.170000,12.720000,13.040000,11.897791,1506900
2009-02-04,13.140000,13.760000,13.010000,13.370000,12.198887,1850500
2009-02-05,13.260000,13.620000,13.080000,13.540000,12.353996,1549800
2009-02-06,13.530000,14.180000,13.520000,14.110000,12.874067,2586900
2009-02-09,14.030000,14.340000,13.970000,14.300000,13.047427,1466300
2009-02-10,14.120000,14.500000,13.920000,13.940000,12.718957,3347900
2009-02-11,14.000000,14.120000,13.820000,14.050000,12.819325,2005400
2009-02-12,13.870000,14.350000,13.630000,14.300000,13.047427,1875800
2009-02-13,14.400000,14.730000,14.230000,14.460000,13.193409,1362500
2009-02-17,13.700000,14.210000,13.480000,13.850000,12.636847,1837400
2009-02-18,13.910000,14.050000,13.120000,13.420000,12.244509,2658300
2009-02-19,13.500000,13.730000,13.320000,13.510000,12.326626,1751200
2009-02-20,13.150000,13.530000,13.130000,13.370000,12.198887,1704900
2009-02-23,13.250000,13.570000,13.070000,13.150000,11.998156,1768700
2009-02-24,13.330000,13.550000,13.190000,13.450000,12.271878,1870100
2009-02-25,13.450000,13.500000,13.060000,13.260000,12.098524,1346400
2009-02-26,13.220000,13.440000,12.950000,13.000000,11.861294,1648200
2009-02-27,12.750000,13.240000,12.570000,12.880000,11.751806,2655200
2009-03-02,12.610000,12.740000,11.900000,11.900000,10.857650,1348900
2009-03-03,12.020000,12.300000,11.630000,11.820000,10.784653,2114700
2009-03-04,11.950000,12.520000,11.740000,12.350000,11.268232,1915000
2009-03-05,12.300000,12.320000,11.580000,11.700000,10.675166,1370500
2009-03-06,11.970000,11.970000,11.260000,11.520000,10.510931,1305700
2009-03-09,11.390000,11.610000,10.880000,11.000000,10.036481,1999400
2009-03-10,11.240000,11.640000,11.080000,11.640000,10.620422,1702000
2009-03-11,11.890000,12.020000,11.330000,11.390000,10.392321,1242800
2009-03-12,11.250000,11.540000,10.940000,11.510000,10.501808,1532800
2009-03-13,11.530000,11.780000,11.360000,11.730000,10.702538,984800
2009-03-16,11.790000,11.990000,11.710000,11.730000,10.702538,985000
2009-03-17,11.890000,12.010000,11.650000,12.010000,10.958015,611000
2009-03-18,12.050000,12.270000,11.850000,12.090000,11.031009,858900
2009-03-19,12.080000,12.160000,11.800000,12.000000,10.948891,1109000
2009-03-20,12.050000,12.110000,11.640000,11.780000,10.748159,1577800
2009-03-23,11.980000,12.690000,11.980000,12.690000,11.578452,1173200
2009-03-24,12.530000,12.600000,12.110000,12.310000,11.231739,1176300
2009-03-25,12.380000,12.910000,12.290000,12.650000,11.541952,1773400
2009-03-26,12.830000,13.190000,12.620000,13.170000,12.016404,1141500
2009-03-27,12.990000,13.090000,12.740000,12.910000,11.779183,1487500
2009-03-30,12.680000,12.740000,12.130000,12.380000,11.295606,1350000
2009-03-31,12.430000,12.990000,12.320000,12.770000,11.651441,1226600
2009-04-01,12.580000,12.980000,12.440000,12.900000,11.770057,1976600
2009-04-02,13.140000,13.850000,13.130000,13.410000,12.235378,1547600
2009-04-03,13.400000,13.490000,13.190000,13.330000,12.162392,780900
2009-04-06,13.240000,13.550000,13.170000,13.380000,12.208012,1680100
2009-04-07,13.140000,13.550000,13.130000,13.230000,12.071149,1095000
2009-04-08,13.250000,13.530000,13.190000,13.520000,12.335746,842700
2009-04-09,13.950000,14.270000,13.570000,14.060000,12.828450,1781600
2009-04-13,13.980000,14.220000,13.860000,14.110000,12.874067,1067500
2009-04-14,13.950000,14.210000,13.800000,13.890000,12.673338,1246700
2009-04-15,13.800000,13.870000,13.500000,13.640000,12.508271,1326300
