Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,19.830000,20.840000,19.440001,20.360001,20.066462,3507000
2009-01-27,20.540001,22.240000,20.240000,21.840000,21.525124,5174600
2009-01-28,22.440001,23.270000,22.290001,22.610001,22.284025,5211900
2009-01-29,22.299999,22.450001,21.100000,21.340000,21.032333,3181400
2009-01-30,21.180000,21.980000,20.799999,21.379999,21.071756,3597900
2009-02-02,21.059999,21.330000,20.270000,20.840000,20.539547,4017600
2009-02-03,20.969999,21.440001,20.549999,21.260000,20.953487,2426100
2009-02-04,21.340000,21.719999,20.820000,21.100000,20.795794,3878500
2009-02-05,20.850000,21.469999,20.400000,20.930000,20.628246,4121200
2009-02-06,20.889999,21.360001,20.570000,21.070000,20.766230,5354200
2009-02-09,20.969999,21.469999,20.920000,21.160000,20.854931,2696700
2009-02-10,20.959999,21.680000,20.150000,20.320000,20.027039,2685800
2009-02-11,20.400000,20.660000,19.610001,20.170000,19.879202,2022100
2009-02-12,19.650000,19.700001,18.540001,19.440001,19.159731,4183600
2009-02-13,19.410000,19.480000,18.639999,18.980000,18.706358,2350200
2009-02-17,18.080000,18.469999,17.600000,17.860001,17.602509,3375500
2009-02-18,18.040001,18.250000,17.070000,17.280001,17.030870,3374100
2009-02-19,17.680000,18.070000,17.110001,17.200001,16.952024,3257500
2009-02-20,16.950001,17.620001,16.580000,17.270000,17.021015,4437400
2009-02-23,17.450001,17.520000,15.840000,15.910000,15.680618,4999400
2009-02-24,16.389999,19.090000,16.389999,18.709999,18.440250,8007400
2009-02-25,18.870001,19.049999,17.510000,18.139999,17.878471,4556700
2009-02-26,18.500000,18.639999,17.290001,17.620001,17.365965,4396300
2009-02-27,16.889999,18.090000,16.770000,17.600000,17.346254,4856100
2009-03-02,17.040001,17.209999,16.299999,16.410000,16.173412,4120000
2009-03-03,16.780001,17.129999,16.030001,16.730000,16.488798,3164200
2009-03-04,17.070000,18.420000,17.070000,18.139999,17.878471,4813200
2009-03-05,17.549999,18.000000,17.080000,17.719999,17.464527,3743300
2009-03-06,17.940001,18.280001,17.340000,17.920000,17.661640,3613900
2009-03-09,17.870001,19.540001,17.670000,18.790001,18.519096,4143400
2009-03-10,19.440001,20.799999,19.080000,20.709999,20.411415,4281500
2009-03-11,20.830000,21.500000,20.250000,20.900000,20.598677,2896400
2009-03-12,20.900000,22.450001,20.299999,22.219999,21.899647,3067400
2009-03-13,22.150000,22.950001,21.440001,22.180000,21.860226,3066100
2009-03-16,22.469999,22.500000,21.500000,21.670000,21.357576,2734800
2009-03-17,21.440001,21.910000,21.070000,21.910000,21.594118,2884000
2009-03-18,21.969999,21.990000,20.270000,21.420000,21.111183,3920400
2009-03-19,21.680000,21.990000,21.000000,21.330000,21.022476,3154500
2009-03-20,21.480000,21.719999,20.240000,20.379999,20.086174,2364000
2009-03-23,20.600000,22.240000,20.510000,22.139999,21.820795,3690300
2009-03-24,21.559999,21.990000,21.200001,21.450001,21.140749,2240600
2009-03-25,21.530001,22.639999,21.100000,21.980000,21.663111,3527000
