Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.910000,4.910000,4.000000,4.100000,2.962343,12730100
2009-01-27,4.510000,4.650000,4.010000,4.080000,2.947891,13169500
2009-01-28,4.500000,4.730000,4.310000,4.560000,3.294702,20610000
2009-01-29,4.490000,4.490000,4.060000,4.140000,2.991243,15145500
2009-01-30,4.070000,4.210000,3.400000,3.460000,2.499927,19374300
2009-02-02,3.400000,3.450000,2.670000,2.920000,2.109766,27033800
2009-02-03,3.130000,3.160000,2.520000,2.610000,1.885783,21499800
2009-02-04,2.650000,2.790000,2.380000,2.500000,1.806306,15650500
2009-02-05,2.500000,3.200000,2.350000,2.830000,2.044739,28918200
2009-02-06,3.030000,4.550000,3.010000,4.200000,3.034593,47574100
2009-02-09,4.700000,5.040000,4.340000,4.640000,3.352503,32890000
2009-02-10,4.650000,4.670000,3.170000,3.240000,2.340972,47192400
2009-02-11,3.530000,3.790000,3.390000,3.680000,2.658882,26647700
2009-02-12,3.370000,3.610000,3.220000,3.570000,2.579405,21358200
2009-02-13,3.500000,3.680000,3.350000,3.380000,2.442126,13067600
2009-02-17,2.980000,3.230000,2.980000,3.090000,2.232595,21006300
2009-02-18,3.260000,3.400000,2.930000,2.990000,2.160342,17067300
2009-02-19,3.000000,3.140000,2.630000,2.640000,1.907459,11355900
2009-02-20,2.440000,3.020000,2.350000,2.840000,2.051963,23819600
2009-02-23,3.100000,3.150000,2.640000,2.690000,1.943585,16631400
2009-02-24,2.660000,3.390000,2.540000,3.290000,2.377099,28278100
2009-02-25,3.200000,4.100000,2.830000,3.760000,2.716684,38851300
2009-02-26,4.140000,4.470000,3.610000,3.940000,2.846738,38114400
2009-02-27,3.300000,3.950000,3.100000,3.420000,2.471026,34587500
2009-03-02,3.180000,3.800000,3.170000,3.570000,2.579405,20402200
2009-03-03,3.800000,3.900000,3.410000,3.430000,2.478251,13501600
2009-03-04,3.600000,3.790000,3.380000,3.520000,2.543278,11990900
2009-03-05,3.390000,3.490000,2.900000,3.100000,2.239819,15967600
2009-03-06,3.150000,3.350000,2.760000,2.940000,2.124216,16812000
2009-03-09,2.940000,3.340000,2.850000,3.270000,2.362649,16474700
2009-03-10,3.460000,3.850000,3.450000,3.740000,2.702234,18503000
2009-03-11,3.920000,4.000000,3.410000,3.530000,2.550504,17108500
2009-03-12,3.470000,3.810000,3.180000,3.760000,2.716684,27849500
2009-03-13,3.800000,4.000000,3.600000,3.890000,2.810613,13825900
2009-03-16,4.000000,4.290000,3.810000,3.850000,2.855108,16162700
2009-03-17,3.850000,4.150000,3.780000,4.090000,3.033088,12704300
2009-03-18,4.030000,4.950000,3.910000,4.950000,3.670853,26273600
2009-03-19,5.130000,5.190000,4.250000,4.340000,3.218485,20488400
2009-03-20,4.460000,4.480000,3.820000,4.020000,2.981177,17175300
2009-03-23,4.470000,4.630000,4.220000,4.500000,3.337138,22101900
2009-03-24,4.280000,4.920000,4.230000,4.490000,3.329723,20627800
2009-03-25,4.510000,5.000000,4.300000,4.690000,3.478040,17119900
2009-03-26,4.730000,4.900000,4.460000,4.550000,3.374218,13933500
2009-03-27,4.360000,4.750000,4.320000,4.320000,3.203653,11550400
