Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,3.160494,3.282963,3.132840,3.249383,2.646083,1090463
2009-01-27,3.253333,3.338272,3.237531,3.255309,2.650909,932006
2009-01-28,3.253333,3.437037,3.251358,3.354074,2.731337,1137038
2009-01-29,3.338272,3.369877,3.111111,3.126914,2.546353,1100588
2009-01-30,3.113086,3.164444,3.008395,3.081481,2.509355,1232719
2009-02-02,3.083457,3.322469,3.057778,3.296790,2.684688,1672650
2009-02-03,3.308642,3.415309,3.253333,3.381728,2.753857,1588106
2009-02-04,3.383704,3.456790,3.292840,3.314568,2.699165,645469
2009-02-05,3.300741,3.464691,3.221728,3.401481,2.769942,1002881
2009-02-06,3.397531,3.571358,3.389630,3.500247,2.862005,1692394
2009-02-09,3.510123,3.510123,3.367901,3.391605,2.773173,914288
2009-02-10,3.360000,3.462716,3.243457,3.261235,2.666575,910744
2009-02-11,3.265185,3.381728,3.245432,3.304691,2.702107,770006
2009-02-12,3.239506,3.369877,3.223704,3.328395,2.721488,968456
2009-02-13,3.340247,3.407407,3.243457,3.308642,2.705338,1172475
2009-02-17,3.152593,3.267160,3.124938,3.130864,2.559976,1325363
2009-02-18,3.154568,3.198025,3.101235,3.113086,2.545440,933525
2009-02-19,3.124938,3.150617,3.099259,3.113086,2.545440,1004906
2009-02-20,3.063704,3.190123,3.038025,3.126914,2.556746,1463569
2009-02-23,3.136790,3.235556,3.101235,3.168395,2.590662,2428988
2009-02-24,3.201975,3.310617,3.196049,3.275062,2.677881,2457844
2009-02-25,3.247407,3.300741,3.099259,3.128889,2.558361,2443669
2009-02-26,3.160494,3.184198,2.978765,3.016296,2.466298,2480625
2009-02-27,2.988642,3.140741,2.903704,3.120988,2.551901,1208419
2009-03-02,3.085432,3.115062,3.022222,3.063704,2.505062,1764281
2009-03-03,3.067654,3.105185,3.026173,3.034074,2.480834,1414463
2009-03-04,3.036049,3.109136,2.964938,3.047901,2.492141,1485844
2009-03-05,3.002469,3.004444,2.836543,2.860247,2.338704,1556719
2009-03-06,2.846420,2.915556,2.763457,2.866173,2.343549,1767825
2009-03-09,2.860247,2.895802,2.802963,2.824691,2.309631,1610888
2009-03-10,2.887901,2.968889,2.868148,2.951111,2.412999,1234744
2009-03-11,2.947160,2.955062,2.858272,2.870123,2.346778,1429650
2009-03-12,2.862222,3.038025,2.832593,3.024198,2.472760,1144631
2009-03-13,3.049877,3.049877,2.955062,3.022222,2.471144,676856
2009-03-16,3.077531,3.176296,3.034074,3.061728,2.503445,1930838
2009-03-17,3.071605,3.164444,3.041975,3.164444,2.587433,1035788
2009-03-18,3.170370,3.259259,3.115062,3.219753,2.632656,794813
2009-03-19,3.257284,3.257284,3.166420,3.182222,2.601969,562950
2009-03-20,3.200000,3.292840,3.190123,3.196049,2.613275,1531913
2009-03-23,3.277037,3.358025,3.178272,3.358025,2.745716,1166906
2009-03-24,3.344198,3.407407,3.279012,3.363951,2.750562,1779469
2009-03-25,3.381728,3.448889,3.253333,3.383704,2.766712,905175
2009-03-26,3.373827,3.448889,3.241481,3.344198,2.734410,1792631
2009-03-27,3.241481,3.316543,3.132840,3.142716,2.569667,1537481
2009-03-30,3.073580,3.194074,3.012346,3.178272,2.598740,1163869
2009-03-31,3.215802,3.425185,3.203951,3.387654,2.769942,1971338
2009-04-01,3.340247,3.375802,3.225679,3.340247,2.731179,935550
