Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,41.029999,42.549999,41.020000,41.689999,38.406174,497500
2009-01-27,41.849998,42.860001,41.540001,42.709999,39.345833,426600
2009-01-28,43.450001,44.060001,42.830002,43.669998,40.230217,833200
2009-01-29,42.939999,43.070000,41.520000,42.029999,38.719391,570800
2009-01-30,42.290001,42.419998,40.540001,41.139999,37.899494,1197700
2009-02-02,40.560001,41.299999,39.770000,40.599998,37.402027,1015800
2009-02-03,40.660000,41.110001,40.070000,40.700001,37.494152,1093100
2009-02-04,40.540001,41.529999,39.919998,40.250000,37.079605,1041600
2009-02-05,39.980000,40.939999,39.020000,39.500000,36.388672,1575600
2009-02-06,42.090000,45.450001,41.509998,43.709999,40.267063,2786600
2009-02-09,43.660000,44.590000,43.220001,43.799999,40.349957,1132000
2009-02-10,43.290001,44.299999,42.290001,42.590000,39.235279,1338200
2009-02-11,42.810001,43.270000,41.570000,41.830002,38.535149,1173300
2009-02-12,41.529999,42.169998,40.570000,41.950001,38.645699,1362600
2009-02-13,42.119999,44.290001,41.910000,43.750000,40.303909,1533800
2009-02-17,41.410000,43.520000,41.410000,43.049999,39.659054,1842600
2009-02-18,43.480000,43.650002,42.029999,42.849998,39.474800,1297500
2009-02-19,43.299999,43.820000,42.610001,42.820000,39.447166,1252400
2009-02-20,41.950001,43.630001,41.950001,43.259998,39.852520,1843100
2009-02-23,43.380001,43.820000,40.580002,40.650002,37.448086,1144200
2009-02-24,40.970001,42.419998,40.500000,42.189999,38.866779,894200
2009-02-25,42.009998,42.790001,40.709999,42.110001,38.793079,1150700
2009-02-26,42.500000,42.970001,41.490002,41.849998,38.553581,932800
2009-02-27,41.209999,42.580002,40.619999,41.349998,38.092949,905100
2009-03-02,40.330002,40.330002,37.889999,37.990002,34.997616,1122200
2009-03-03,38.560001,39.480000,38.139999,39.009998,35.937267,1253800
2009-03-04,39.310001,40.660000,39.279999,40.049999,36.895348,1027000
2009-03-05,38.919998,39.730000,38.279999,38.560001,35.522720,950100
2009-03-06,38.830002,39.230000,37.150002,38.110001,35.108166,1126800
2009-03-09,37.590000,38.119999,36.820000,36.959999,34.048744,719200
2009-03-10,37.709999,39.740002,36.869999,39.720001,36.591343,748200
2009-03-11,39.900002,40.720001,39.560001,40.209999,37.042732,614400
2009-03-12,39.939999,41.919998,39.080002,41.810001,38.516720,599600
2009-03-13,42.169998,42.290001,41.040001,41.580002,38.304836,526500
2009-03-16,42.240002,42.369999,41.310001,41.419998,38.157433,552300
