Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.360000,4.600000,4.260000,4.450000,3.908839,2873300
2009-01-27,4.450000,4.580000,4.300000,4.410000,3.873704,2985700
2009-01-28,4.450000,4.900000,4.440000,4.780000,4.198709,4412200
2009-01-29,4.700000,4.740000,4.500000,4.570000,4.014246,1915600
2009-01-30,4.620000,4.640000,4.280000,4.320000,3.794648,2430200
2009-02-02,4.220000,4.410000,4.200000,4.390000,3.856137,2139000
2009-02-03,4.390000,4.810000,4.390000,4.810000,4.225061,3155300
2009-02-04,4.800000,5.120000,4.760000,4.910000,4.312901,5520600
2009-02-05,4.870000,5.140000,4.830000,5.020000,4.409523,4545200
2009-02-06,5.950000,6.840000,5.940000,6.770000,5.946707,15929000
2009-02-09,6.620000,6.740000,6.310000,6.370000,5.595350,8125100
2009-02-10,6.320000,6.610000,6.170000,6.240000,5.481160,5291900
2009-02-11,6.250000,6.310000,5.790000,5.980000,5.252779,4982100
2009-02-12,5.920000,6.460000,5.770000,6.410000,5.630486,4071200
2009-02-13,6.350000,6.620000,6.310000,6.400000,5.621703,2628700
2009-02-17,6.210000,6.290000,6.000000,6.070000,5.331834,3293700
2009-02-18,6.100000,6.490000,6.100000,6.280000,5.516296,3789700
2009-02-19,6.410000,6.460000,6.060000,6.060000,5.323049,2143900
2009-02-20,5.950000,6.010000,5.660000,5.880000,5.164939,4033500
2009-02-23,5.900000,6.030000,5.750000,5.770000,5.068316,1986500
2009-02-24,5.820000,6.490000,5.740000,6.430000,5.648055,3730400
2009-02-25,6.330000,6.500000,6.090000,6.370000,5.595350,2127700
2009-02-26,6.410000,6.470000,6.010000,6.030000,5.296699,2184800
2009-02-27,5.990000,6.590000,5.950000,6.500000,5.709540,3952100
2009-03-02,6.440000,6.520000,6.150000,6.210000,5.454808,3967200
2009-03-03,6.350000,7.140000,6.320000,6.950000,6.104817,9300900
2009-03-04,7.070000,7.080000,6.620000,6.750000,5.929139,5016900
2009-03-05,6.660000,7.180000,6.630000,6.920000,6.078465,5137600
2009-03-06,6.980000,7.060000,6.630000,6.940000,6.096034,3527300
2009-03-09,6.900000,7.290000,6.880000,6.950000,6.104817,3315100
2009-03-10,7.050000,7.590000,6.860000,7.560000,6.640635,4371900
2009-03-11,7.600000,7.910000,7.570000,7.700000,6.763610,4974100
2009-03-12,7.630000,7.810000,7.500000,7.710000,6.772394,4251200
2009-03-13,7.820000,8.020000,7.520000,7.720000,6.781179,3944200
2009-03-16,7.800000,7.890000,7.220000,7.280000,6.394688,3397400
2009-03-17,7.260000,7.730000,7.230000,7.710000,6.772394,2966400
2009-03-18,7.610000,8.090000,7.520000,8.070000,7.088615,4105500
2009-03-19,8.120000,8.240000,7.950000,8.160000,7.167671,2462000
2009-03-20,7.870000,8.060000,7.520000,7.690000,6.754827,6495700
2009-03-23,7.990000,8.510000,7.890000,8.510000,7.475108,5577000
2009-03-24,8.270000,8.270000,7.670000,7.760000,6.816314,4766100
2009-03-25,7.790000,8.000000,7.410000,7.600000,6.675772,4313500
2009-03-26,7.770000,8.090000,7.710000,8.000000,7.027128,5039200
2009-03-27,7.840000,8.310000,7.830000,8.090000,7.106184,3479100
2009-03-30,7.910000,8.050000,7.700000,7.970000,7.000777,3567800
2009-03-31,8.090000,8.210000,7.990000,8.060000,7.079832,2239900
2009-04-01,8.060000,8.590000,7.790000,8.450000,7.422405,4154300
2009-04-02,8.750000,8.990000,8.490000,8.810000,7.738626,4692700
2009-04-03,8.550000,8.850000,8.360000,8.840000,7.764975,3473300
2009-04-06,8.800000,8.820000,8.350000,8.560000,7.519026,2216100
2009-04-07,8.370000,8.520000,8.300000,8.400000,7.378483,2469400
2009-04-08,8.480000,8.800000,8.410000,8.800000,7.729839,3783000
2009-04-09,8.980000,9.250000,8.910000,9.220000,8.098765,4933700
2009-04-13,9.100000,9.100000,8.570000,8.920000,7.835249,3643800
2009-04-14,9.000000,9.120000,8.780000,8.950000,7.861599,3285200
2009-04-15,8.900000,8.940000,8.650000,8.860000,7.782543,3293300
2009-04-16,9.070000,9.300000,8.670000,8.970000,7.879166,6513100
2009-04-17,8.990000,9.160000,8.700000,9.010000,7.914304,3273000
2009-04-20,8.810000,8.970000,8.620000,8.780000,7.712273,3804600
2009-04-21,8.730000,8.870000,8.570000,8.830000,7.756193,2743600
2009-04-22,8.680000,9.180000,8.640000,8.790000,7.721056,3762000
2009-04-23,8.800000,9.320000,8.450000,9.250000,8.125116,9203700
2009-04-24,8.920000,8.950000,7.850000,8.480000,7.448756,13449400
2009-04-27,8.370000,8.750000,8.230000,8.450000,7.422405,5586400
2009-04-28,8.410000,8.410000,7.920000,8.020000,7.044696,6647200
2009-04-29,8.290000,8.670000,8.020000,8.510000,7.475108,6182800
2009-04-30,8.530000,9.170000,8.460000,8.840000,7.764975,6987400
2009-05-01,9.210000,9.500000,8.900000,9.220000,8.098765,5702300
2009-05-04,9.550000,9.860000,9.390000,9.720000,8.537961,5725800
2009-05-05,9.750000,9.900000,9.520000,9.820000,8.625801,3753600
2009-05-06,9.850000,9.940000,9.710000,9.770000,8.581882,3882900
2009-05-07,9.750000,9.770000,8.970000,9.190000,8.072414,6388100
2009-05-08,9.310000,9.420000,8.710000,9.050000,7.949437,3606800
2009-05-11,9.080000,9.350000,8.800000,9.010000,7.914304,2672000
2009-05-12,9.020000,9.040000,8.350000,8.470000,7.439972,5315400
2009-05-13,8.340000,8.660000,8.210000,8.210000,7.211592,4691500
2009-05-14,8.230000,8.750000,8.200000,8.600000,7.554164,3191100
2009-05-15,8.650000,8.890000,8.650000,8.760000,7.694708,3466100
2009-05-18,8.910000,9.120000,8.760000,9.030000,7.931871,2592400
2009-05-19,9.120000,9.260000,8.930000,9.060000,7.958222,2814600
2009-05-20,9.150000,9.320000,8.950000,8.970000,7.879166,2042400
2009-05-21,8.980000,9.050000,8.620000,8.850000,7.773760,2815900
2009-05-22,8.870000,8.930000,8.640000,8.680000,7.624434,1500400
2009-05-26,8.640000,9.050000,8.600000,9.020000,7.923086,3807500
2009-05-27,9.060000,9.520000,8.980000,9.080000,7.975789,4312800
2009-05-28,9.170000,9.340000,8.900000,9.220000,8.098765,2690000
2009-05-29,9.280000,9.640000,9.250000,9.530000,8.371064,4456500
2009-06-01,9.690000,10.030000,9.570000,9.900000,8.696072,3610300
2009-06-02,9.830000,10.080000,9.610000,9.780000,8.590661,4120000
2009-06-03,9.770000,9.780000,9.320000,9.480000,8.327146,2617800
2009-06-04,9.520000,9.930000,9.500000,9.880000,8.678506,2826000
