Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,23.469999,23.980000,23.290001,23.490000,15.585080,3475100
2009-01-27,23.680000,23.780001,22.860001,23.459999,15.565178,5199500
2009-01-28,23.809999,23.969999,23.540001,23.820000,15.804022,2658500
2009-01-29,23.750000,23.969999,23.120001,23.240000,15.419212,2831800
2009-01-30,23.389999,23.389999,22.080000,22.290001,14.788904,4374700
2009-02-02,22.500000,23.790001,22.400000,23.540001,15.618253,5458800
2009-02-03,23.580000,24.400000,23.400000,24.290001,16.115864,3356200
2009-02-04,24.370001,24.559999,23.850000,23.969999,15.903552,3119100
2009-02-05,23.770000,24.410000,23.530001,24.059999,15.963258,3986000
2009-02-06,24.200001,24.750000,24.059999,24.670000,16.367989,3151400
2009-02-09,24.620001,24.680000,24.120001,24.440001,16.215376,2531900
2009-02-10,24.200001,24.440001,23.209999,23.360001,15.498826,3442600
2009-02-11,23.530001,23.629999,23.230000,23.520000,15.604981,2324000
2009-02-12,23.219999,23.740000,23.049999,23.690001,15.717776,3268500
2009-02-13,23.650000,23.840000,23.430000,23.620001,15.671333,2692500
2009-02-17,22.920000,23.360001,22.000000,23.010000,15.266612,3674600
2009-02-18,23.190001,23.500000,22.740000,23.250000,15.425850,4521800
2009-02-19,23.430000,23.670000,23.129999,23.200001,15.392671,4190300
2009-02-20,22.820000,23.440001,22.600000,22.719999,15.074205,6712600
2009-02-23,22.889999,22.920000,21.959999,22.040001,14.623037,4027700
2009-02-24,22.180000,22.480000,22.020000,22.410000,14.868530,4540500
2009-02-25,22.299999,22.700001,22.139999,22.260000,14.769007,4440400
2009-02-26,22.270000,22.639999,21.670000,21.670000,14.377550,3983400
2009-02-27,21.389999,21.910000,21.389999,21.500000,14.264756,4745000
2009-03-02,21.190001,21.240000,20.680000,20.830000,13.820230,6516700
2009-03-03,21.040001,21.080000,20.299999,20.360001,13.508402,5199500
2009-03-04,20.610001,21.480000,20.320000,21.170000,14.045813,4783900
2009-03-05,20.799999,20.879999,20.059999,20.309999,13.475219,5431400
2009-03-06,20.530001,20.799999,19.820000,20.230000,13.422141,6989200
2009-03-09,20.020000,20.219999,19.389999,19.450001,12.904629,6077000
2009-03-10,19.740000,20.350000,19.559999,20.350000,13.501761,5256500
2009-03-11,20.309999,20.450001,19.760000,19.820000,13.150115,4131200
2009-03-12,19.780001,20.600000,19.670000,20.549999,13.634454,3778200
2009-03-13,20.670000,21.780001,20.629999,21.650000,14.364280,5269300
2009-03-16,21.850000,22.440001,21.549999,21.940001,14.556693,4736100
2009-03-17,21.900000,22.629999,21.879999,22.629999,15.014481,4156900
2009-03-18,22.530001,23.080000,22.280001,22.900000,15.193630,5362500
2009-03-19,23.120001,23.200001,22.820000,22.950001,15.226808,5848300
2009-03-20,23.059999,23.389999,22.500000,22.600000,14.994584,5017700
2009-03-23,22.770000,23.350000,22.770000,23.280001,15.445747,4908200
2009-03-24,23.350000,23.490000,23.010000,23.170000,15.372765,3681400
2009-03-25,23.280001,23.809999,23.090000,23.639999,15.684599,4084800
2009-03-26,23.790001,23.889999,23.309999,23.889999,15.850475,3127000
2009-03-27,23.559999,23.959999,23.410000,23.580000,15.644789,2427900
2009-03-30,23.240000,23.400000,22.510000,22.790001,15.120645,3556400
2009-03-31,23.030001,23.200001,22.360001,22.799999,15.127280,4208800
2009-04-01,22.500000,22.840000,22.110001,22.650000,15.187628,4334200
2009-04-02,23.090000,23.639999,23.000000,23.360001,15.663710,4297800
2009-04-03,23.530001,23.530001,22.570000,22.930000,15.375384,3476200
2009-04-06,22.780001,23.150000,22.450001,22.790001,15.281501,2800200
2009-04-07,22.680000,22.750000,22.260000,22.309999,14.959646,2832500
2009-04-08,22.360001,22.940001,22.360001,22.580000,15.140684,2953000
2009-04-09,22.990000,23.139999,22.520000,23.020000,15.435724,2994200
2009-04-13,23.030001,23.610001,22.879999,23.370001,15.670414,3403600
2009-04-14,23.120001,23.389999,22.930000,23.200001,15.556423,2963000
2009-04-15,22.510000,22.900000,21.900000,22.160000,14.859065,5661000
2009-04-16,22.320000,22.549999,21.600000,22.469999,15.066935,4412100
2009-04-17,22.580000,23.010000,22.260000,22.920000,15.368670,4691100
2009-04-20,22.639999,23.080000,21.969999,22.010000,14.758483,4752700
2009-04-21,21.530001,22.120001,21.260000,22.070000,14.798716,6149800
2009-04-22,21.959999,22.490000,21.830000,22.129999,14.838951,2962900
2009-04-23,22.260000,22.459999,21.990000,22.209999,14.892587,4358300
2009-04-24,22.340000,22.950001,22.190001,22.799999,15.288209,5429600
2009-04-27,22.590000,23.100000,22.459999,22.590000,15.147393,3375200
2009-04-28,22.400000,22.700001,22.010000,22.420000,15.033402,3480900
2009-04-29,22.690001,23.200001,22.420000,22.980000,15.408904,3375100
2009-04-30,23.350000,23.450001,23.010000,23.330000,15.643587,5433000
2009-05-01,23.370001,24.500000,23.250000,24.350000,16.327536,6443100
2009-05-04,24.500000,24.690001,22.910000,23.410000,15.697235,8591500
2009-05-05,23.340000,23.719999,23.160000,23.280001,15.610064,5559700
2009-05-06,23.540001,23.879999,23.350000,23.840000,15.985563,4756400
2009-05-07,23.860001,24.190001,23.440001,23.570000,15.804522,3591000
2009-05-08,23.850000,23.850000,23.430000,23.600000,15.824641,3945800
2009-05-11,23.360001,23.770000,22.990000,23.490000,15.750875,3844800
2009-05-12,23.510000,23.670000,23.250000,23.400000,15.690535,4582500
2009-05-13,23.040001,23.500000,23.000000,23.080000,15.475963,3607000
2009-05-14,23.200001,23.260000,22.760000,22.870001,15.335147,3981800
2009-05-15,22.870001,23.160000,22.700001,22.820000,15.301614,3076100
2009-05-18,23.020000,23.290001,22.650000,23.280001,15.610064,4889500
2009-05-19,23.360001,23.420000,23.200001,23.370001,15.670414,4473300
2009-05-20,23.440001,23.860001,23.440001,23.570000,15.804522,3326600
2009-05-21,23.340000,23.340000,22.889999,23.110001,15.496075,3073800
2009-05-22,23.200001,23.490000,23.020000,23.280001,15.610064,1940100
2009-05-26,23.260000,23.830000,22.950001,23.610001,15.831339,3746700
2009-05-27,23.670000,24.150000,23.670000,23.770000,15.938631,3801100
2009-05-28,23.950001,24.040001,23.389999,23.740000,15.918514,3684100
2009-05-29,23.850000,24.000000,23.559999,23.959999,16.066031,3346200
2009-06-01,24.209999,24.629999,23.969999,24.549999,16.461641,4160700
2009-06-02,24.549999,24.840000,24.290001,24.430000,16.381180,5593300
2009-06-03,24.299999,24.500000,24.200001,24.350000,16.327536,2441200
2009-06-04,24.230000,24.379999,23.990000,24.139999,16.186728,2976100
2009-06-05,24.360001,24.490000,23.860001,23.920000,16.039207,3464800
2009-06-08,23.920000,23.950001,23.420000,23.709999,15.898396,4629300
2009-06-09,23.730000,23.920000,23.570000,23.820000,15.972155,2904400
2009-06-10,23.900000,24.110001,23.280001,23.469999,15.737465,4807700
2009-06-11,23.440001,23.969999,23.440001,23.700001,15.891690,4331100
2009-06-12,23.629999,23.940001,23.420000,23.940001,16.052618,2737000
2009-06-15,23.740000,23.740000,22.770000,22.820000,15.301614,5050200
2009-06-16,22.940001,22.990000,22.600000,22.809999,15.294919,4169100
2009-06-17,22.840000,23.450001,22.799999,23.290001,15.616773,3721900
2009-06-18,23.330000,23.799999,23.230000,23.660000,15.864867,2798200
2009-06-19,23.840000,23.900000,23.590000,23.680000,15.878281,3803200
2009-06-22,23.530001,23.660000,23.340000,23.420000,15.703939,3021900
2009-06-23,23.440001,23.620001,22.690001,22.760000,15.261391,5192000
2009-06-24,22.870001,23.110001,22.610001,22.950001,15.388792,3932900
2009-06-25,22.820000,23.190001,22.670000,23.129999,15.509487,3373200
2009-06-26,23.120001,23.160000,22.690001,22.980000,15.408904,2918500
2009-06-29,23.059999,23.059999,22.580000,22.709999,15.227859,3228500
2009-06-30,22.610001,22.740000,22.280001,22.480000,15.234635,3297000
2009-07-01,22.540001,22.750000,22.299999,22.600000,15.315964,3899700
2009-07-02,22.389999,22.549999,21.799999,21.799999,14.773798,3453000
2009-07-06,21.870001,22.260000,21.850000,22.190001,15.038106,3609300
2009-07-07,22.150000,22.280001,21.670000,21.670000,14.685700,4045200
2009-07-08,21.790001,21.870001,21.540001,21.719999,14.719579,6138500
2009-07-09,21.840000,21.950001,21.590000,21.820000,14.787353,3799500
2009-07-10,21.750000,21.879999,21.400000,21.510000,14.577271,3479000
2009-07-13,21.430000,22.000000,21.379999,21.980000,14.895789,3264600
2009-07-14,21.990000,21.990000,21.620001,21.950001,14.875457,3544400
2009-07-15,22.120001,22.879999,21.980000,22.860001,15.492165,5913300
2009-07-16,22.740000,22.950001,22.670000,22.900000,15.519267,3842200
2009-07-17,22.910000,22.959999,22.680000,22.910000,15.526052,4861800
2009-07-20,23.049999,23.049999,22.700001,23.040001,15.614150,3633000
2009-07-21,23.150000,23.200001,22.780001,23.010000,15.593818,4519800
2009-07-22,22.990000,23.350000,22.900000,23.120001,15.668366,2903000
2009-07-23,23.090000,23.180000,22.620001,22.650000,15.349843,7126700
2009-07-24,22.590000,23.160000,22.590000,23.040001,15.614150,4784000
2009-07-27,23.059999,23.360001,22.900000,23.320000,15.803902,3138000
2009-07-28,23.230000,23.400000,23.100000,23.240000,15.749690,3089200
2009-07-29,23.160000,23.500000,23.059999,23.290001,15.783572,3172800
2009-07-30,23.469999,23.910000,23.450001,23.540001,15.952999,3350900
2009-07-31,23.570000,23.870001,23.410000,23.760000,16.102093,3594000
2009-08-03,23.959999,24.070000,23.639999,24.049999,16.298620,3584000
2009-08-04,24.040001,24.760000,23.950001,24.490000,16.596809,4533500
2009-08-05,24.540001,24.809999,24.320000,24.700001,16.739126,5086900
2009-08-06,24.820000,24.980000,24.410000,24.580000,16.657803,4614600
2009-08-07,24.709999,25.030001,24.580000,24.850000,16.840782,5086400
2009-08-10,25.000000,25.750000,24.200001,25.030001,16.962770,6312700
2009-08-11,25.000000,25.000000,24.670000,24.790001,16.800119,3788700
2009-08-12,24.660000,25.090000,24.629999,24.879999,16.861107,3470800
2009-08-13,25.020000,25.020000,24.639999,24.740000,16.766233,3706300
2009-08-14,24.780001,24.900000,24.070000,24.459999,16.576483,4438200
2009-08-17,24.290001,24.389999,23.980000,24.139999,16.359621,4133200
2009-08-18,24.180000,24.180000,23.900000,24.080000,16.318953,3740500
2009-08-19,23.900000,24.490000,23.900000,24.389999,16.529036,2101200
2009-08-20,24.440001,24.750000,24.299999,24.670000,16.718800,2466500
2009-08-21,24.780001,25.280001,24.780001,25.200001,17.077972,4691800
2009-08-24,25.200001,25.480000,25.110001,25.330000,17.166075,3580500
2009-08-25,25.370001,25.700001,24.879999,25.330000,17.166075,4811200
2009-08-26,25.330000,25.670000,25.190001,25.410000,17.220287,3099400
2009-08-27,25.440001,25.639999,25.010000,25.590000,17.342270,3691500
2009-08-28,25.680000,25.750000,25.430000,25.590000,17.342270,3390900
2009-08-31,25.330000,25.490000,25.230000,25.490000,17.274500,3735200
2009-09-01,25.370001,25.600000,25.170000,25.360001,17.186405,5012500
2009-09-02,25.240000,25.440001,25.059999,25.180000,17.064423,3125800
2009-09-03,25.280001,25.469999,25.120001,25.440001,17.240618,3625100
2009-09-04,25.400000,25.820000,25.370001,25.820000,17.498144,3129600
2009-09-08,25.889999,26.000000,25.660000,25.790001,17.477812,3614300
2009-09-09,25.870001,26.010000,25.570000,25.780001,17.471039,4776700
2009-09-10,25.790001,25.969999,25.520000,25.969999,17.599804,3212700
2009-09-11,25.860001,26.100000,25.820000,25.990000,17.613352,3049900
2009-09-14,25.820000,26.000000,25.820000,25.900000,17.552361,2871600
2009-09-15,25.860001,25.900000,25.500000,25.790001,17.477812,2861700
2009-09-16,25.879999,25.969999,25.680000,25.770000,17.464262,3270900
2009-09-17,25.770000,25.900000,25.370001,25.480000,17.267731,4792800
2009-09-18,25.540001,25.670000,25.299999,25.670000,17.396486,4480200
2009-09-21,25.580000,25.719999,25.459999,25.590000,17.342270,2617200
2009-09-22,25.639999,25.650000,25.379999,25.559999,17.321941,4177400
2009-09-23,25.600000,25.879999,25.510000,25.549999,17.315166,3325300
2009-09-24,25.690001,25.690001,25.080000,25.270000,17.125420,4234500
2009-09-25,25.250000,25.379999,24.879999,24.930000,16.894991,4111200
2009-09-28,25.049999,25.290001,24.930000,25.170000,17.057642,3070300
2009-09-29,25.290001,25.350000,24.860001,24.950001,16.908550,4375000
2009-09-30,25.059999,25.139999,24.500000,24.850000,16.840782,5436600
2009-10-01,24.830000,24.830000,24.450001,24.480000,16.590036,5546900
2009-10-02,24.379999,24.530001,24.240000,24.379999,16.522263,3873100
2009-10-05,24.450001,24.540001,24.299999,24.520000,16.617136,3153400
2009-10-06,24.490000,24.770000,24.370001,24.590000,16.829300,4316000
2009-10-07,24.629999,24.719999,24.389999,24.420000,16.712954,4132200
2009-10-08,24.549999,24.629999,24.430000,24.530001,16.788235,3945900
2009-10-09,24.559999,25.090000,24.500000,25.040001,17.137281,3871600
2009-10-12,25.200001,25.410000,25.139999,25.309999,17.322065,4333200
2009-10-13,25.250000,25.690001,25.180000,25.520000,17.465792,3832000
2009-10-14,25.670000,26.150000,25.580000,26.090000,17.855894,4612300
2009-10-15,26.000000,26.809999,25.900000,26.709999,18.280220,5678400
2009-10-16,26.629999,27.209999,26.450001,27.139999,18.574509,7189500
2009-10-19,27.139999,27.530001,27.020000,27.510000,18.827736,5616800
2009-10-20,27.480000,27.520000,27.120001,27.389999,18.745611,3970100
2009-10-21,27.430000,27.719999,27.160000,27.190001,18.608732,4154200
2009-10-22,27.430000,27.580000,27.100000,27.530001,18.841423,3807100
2009-10-23,27.530001,27.590000,27.100000,27.230000,18.636105,3566000
2009-10-26,27.309999,27.850000,27.139999,27.270000,18.663483,4946400
2009-10-27,27.389999,27.709999,27.170000,27.610001,18.896175,5225300
2009-10-28,27.639999,27.820000,27.000000,27.010000,18.485548,5748000
2009-10-29,27.090000,27.410000,26.910000,27.410000,18.759304,3852000
2009-10-30,27.389999,27.440001,26.440001,26.450001,18.102270,8482200
2009-11-02,26.620001,26.730000,26.070000,26.500000,18.136501,8146500
2009-11-03,26.410000,26.570000,25.930000,26.410000,18.074896,5652700
2009-11-04,26.459999,26.850000,26.299999,26.490000,18.129656,3760500
2009-11-05,26.510000,26.840000,26.500000,26.840000,18.369194,3598600
2009-11-06,26.680000,27.190001,26.500000,26.910000,18.417109,4567100
2009-11-09,27.070000,27.480000,27.000000,27.440001,18.779837,4173000
2009-11-10,27.320000,27.480000,27.090000,27.160000,18.588200,4426700
2009-11-11,27.290001,27.360001,26.830000,26.910000,18.417109,4135200
2009-11-12,26.870001,27.219999,26.780001,26.809999,18.348661,3237400
2009-11-13,26.860001,27.080000,26.750000,27.020000,18.492388,2820800
2009-11-16,27.150000,27.410000,27.080000,27.350000,18.718235,2490000
2009-11-17,27.280001,27.389999,27.160000,27.350000,18.718235,2098200
2009-11-18,27.459999,27.459999,27.250000,27.320000,18.697706,2922100
2009-11-19,27.150000,27.219999,26.780001,26.940001,18.437635,4728200
2009-11-20,27.010000,27.299999,26.930000,27.040001,18.506075,3797700
2009-11-23,27.330000,27.750000,27.150000,27.440001,18.779837,3696100
2009-11-24,27.420000,27.500000,27.120001,27.219999,18.629263,3172100
2009-11-25,27.330000,27.420000,27.100000,27.200001,18.615574,2620700
2009-11-27,26.879999,27.000000,26.500000,26.830000,18.362349,1483800
2009-11-30,27.200001,27.209999,26.900000,27.040001,18.506075,4522400
2009-12-01,27.240000,27.629999,27.200001,27.590000,18.882490,4436600
2009-12-02,28.090000,28.219999,27.760000,28.000000,19.163090,5383300
2009-12-03,28.129999,28.180000,27.770000,27.990000,19.156248,4193000
2009-12-04,28.200001,28.400000,27.930000,28.280001,19.354723,4185200
2009-12-07,28.309999,28.650000,28.200001,28.480000,19.491608,3981500
2009-12-08,28.870001,28.870001,28.510000,28.799999,19.710613,5822300
2009-12-09,28.990000,28.990000,28.360001,28.620001,19.587423,4130900
2009-12-10,28.730000,29.070000,28.730000,28.930000,19.799578,3789600
2009-12-11,29.070000,29.360001,29.010000,29.330000,20.073339,3728500
