Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.860000,5.140000,4.800000,5.000000,4.661706,3583600
2009-01-27,5.100000,5.220000,4.950000,5.090000,4.745618,3501100
2009-01-28,5.220000,5.340000,5.070000,5.250000,4.894793,4486800
2009-01-29,4.650000,5.150000,4.650000,4.990000,4.652383,5732500
2009-01-30,5.160000,5.310000,4.800000,4.810000,4.484562,5128900
2009-02-02,4.730000,5.050000,4.690000,4.820000,4.493887,3859800
2009-02-03,4.750000,4.870000,4.630000,4.800000,4.475237,4994800
2009-02-04,4.700000,5.050000,4.700000,4.920000,4.587120,4037900
2009-02-05,4.750000,5.090000,4.740000,5.000000,4.661706,3984900
2009-02-06,5.040000,5.370000,5.020000,5.310000,4.950732,4234800
2009-02-09,5.250000,5.470000,5.190000,5.280000,4.922762,3916800
2009-02-10,5.150000,5.280000,4.780000,4.850000,4.521856,6716800
2009-02-11,4.860000,4.900000,4.730000,4.820000,4.493887,2052900
2009-02-12,4.700000,4.930000,4.620000,4.840000,4.512533,4518600
2009-02-13,4.850000,4.930000,4.790000,4.840000,4.512533,1919800
2009-02-17,4.760000,4.760000,4.360000,4.420000,4.120949,3414800
2009-02-18,4.500000,4.560000,4.280000,4.320000,4.027716,3848200
2009-02-19,4.340000,4.470000,4.110000,4.150000,3.869216,3005900
2009-02-20,4.070000,4.180000,3.790000,4.140000,3.859892,5039300
2009-02-23,4.170000,4.210000,3.900000,3.910000,3.645455,2644500
2009-02-24,3.970000,4.320000,3.970000,4.280000,3.990422,3973700
2009-02-25,4.310000,4.460000,4.070000,4.340000,4.046362,3342800
2009-02-26,4.420000,4.430000,4.190000,4.210000,3.925157,2989900
2009-02-27,4.100000,4.260000,3.960000,4.130000,3.850570,2266600
2009-03-02,4.050000,4.130000,3.920000,3.930000,3.664101,2478300
2009-03-03,4.040000,4.050000,3.780000,3.850000,3.589514,3184500
2009-03-04,3.920000,4.090000,3.830000,4.030000,3.757336,2882700
2009-03-05,3.920000,4.020000,3.780000,3.850000,3.589514,2711400
2009-03-06,3.840000,3.930000,3.240000,3.500000,3.263195,7209900
2009-03-09,3.450000,3.710000,3.390000,3.440000,3.207254,3095000
2009-03-10,3.600000,3.830000,3.460000,3.770000,3.514928,3462900
2009-03-11,3.890000,3.980000,3.720000,3.810000,3.552221,2520900
2009-03-12,3.810000,4.190000,3.750000,4.180000,3.897187,3917700
2009-03-13,4.240000,4.350000,4.030000,4.300000,4.009068,3262700
2009-03-16,4.320000,4.380000,4.070000,4.120000,3.841246,2546800
2009-03-17,4.090000,4.240000,4.010000,4.240000,3.953127,2500700
2009-03-18,4.280000,4.550000,4.180000,4.510000,4.204860,3253400
2009-03-19,4.500000,4.590000,4.410000,4.460000,4.158244,2012300
2009-03-20,4.490000,4.550000,4.100000,4.100000,3.822599,3873500
2009-03-23,4.180000,4.490000,4.150000,4.480000,4.176889,2969400
2009-03-24,4.270000,4.620000,4.200000,4.450000,4.148920,5728700
