Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,4.972500,5.160000,4.967500,5.057500,4.201415,13787200
2009-01-27,5.115000,5.157500,5.015000,5.065000,4.207646,16644000
2009-01-28,5.155000,5.265000,5.105000,5.217500,4.334331,18955200
2009-01-29,5.205000,5.225000,4.992500,5.012500,4.164031,14704800
2009-01-30,5.025000,5.025000,4.812500,4.855000,4.033192,18219600
2009-02-02,4.807500,4.945000,4.797500,4.867500,4.043574,18394000
2009-02-03,4.915000,4.997500,4.812500,4.952500,4.114186,23115200
2009-02-04,4.832500,5.050000,4.832500,4.980000,4.137033,24507600
2009-02-05,5.125000,5.545000,5.110000,5.515000,4.581473,44529600
2009-02-06,5.530000,5.852500,5.452500,5.705000,4.739312,34972800
2009-02-09,5.720000,5.735000,5.525000,5.625000,4.672853,19293200
2009-02-10,5.562500,5.637500,5.360000,5.432500,4.535110,21892000
2009-02-11,5.430000,5.520000,5.352500,5.457500,4.555980,19483600
2009-02-12,5.412500,5.492500,5.290000,5.485000,4.578935,21411600
2009-02-13,5.457500,5.545000,5.367500,5.410000,4.516326,15568400
2009-02-17,5.272500,5.437500,5.175000,5.357500,4.472498,22115600
2009-02-18,5.430000,5.430000,5.232500,5.342500,4.459977,19457600
2009-02-19,5.377500,5.510000,5.320000,5.337500,4.455803,16442800
2009-02-20,5.250000,5.395000,5.175000,5.325000,4.445367,18103200
2009-02-23,5.412500,5.412500,5.175000,5.197500,4.338931,18670000
2009-02-24,5.230000,5.417500,5.182500,5.385000,4.495456,22276800
2009-02-25,5.502500,5.850000,5.500000,5.780000,4.825206,50672400
2009-02-26,5.850000,5.850000,5.570000,5.620000,4.691636,24869600
2009-02-27,5.502500,5.707500,5.455000,5.567500,4.647809,26643200
2009-03-02,5.537500,5.767500,5.470000,5.500000,4.591459,28851600
2009-03-03,5.602500,5.622500,5.280000,5.357500,4.472498,27596400
2009-03-04,5.467500,5.495000,5.300000,5.422500,4.526761,25186400
2009-03-05,5.302500,5.667500,5.252500,5.377500,4.489195,29732000
2009-03-06,5.415000,5.477500,5.207500,5.372500,4.485021,31483600
2009-03-09,5.330000,5.535000,5.292500,5.427500,4.530935,28398000
2009-03-10,5.502500,5.807500,5.462500,5.795000,4.837730,30714000
2009-03-11,5.842500,5.992500,5.687500,5.937500,4.956689,22386800
2009-03-12,5.912500,6.157500,5.912500,6.147500,5.132000,23034800
2009-03-13,6.142500,6.267500,6.085000,6.210000,5.184175,21544800
2009-03-16,6.272500,6.285000,5.982500,5.995000,5.004691,23495600
2009-03-17,5.990000,6.162500,5.965000,6.157500,5.140347,22853200
2009-03-18,6.110000,6.422500,6.095000,6.315000,5.271831,20570800
2009-03-19,6.365000,6.395000,6.202500,6.277500,5.240525,18518800
2009-03-20,6.307500,6.310000,6.087500,6.167500,5.148695,20189200
2009-03-23,6.262500,6.390000,6.162500,6.370000,5.317744,23606400
2009-03-24,6.292500,6.550000,6.250000,6.485000,5.413747,20406000
2009-03-25,6.517500,6.642500,6.310000,6.450000,5.384530,23835600
2009-03-26,6.515000,6.845000,6.485000,6.742500,5.628711,27652800
2009-03-27,6.650000,6.730000,6.565000,6.635000,5.538969,23023600
2009-03-30,6.520000,6.605000,6.357500,6.435000,5.372007,20967600
2009-03-31,6.500000,6.512500,6.192500,6.410000,5.351138,29568000
2009-04-01,6.305000,6.470000,6.205000,6.405000,5.346963,25248800
2009-04-02,6.515000,6.667500,6.352500,6.535000,5.455489,23522800
2009-04-03,6.537500,6.692500,6.410000,6.670000,5.568187,28030000
2009-04-06,6.625000,6.625000,6.380000,6.485000,5.413747,24452800
2009-04-07,6.377500,6.505000,6.365000,6.437500,5.374095,21682400
2009-04-08,6.500000,6.680000,6.477500,6.675000,5.572362,26762800
2009-04-09,6.897500,7.000000,6.652500,6.895000,5.756019,43111200
2009-04-13,6.767500,6.935000,6.767500,6.822500,5.695496,16987600
2009-04-14,6.775000,6.825000,6.637500,6.730000,5.618276,25544000
2009-04-15,6.690000,6.805000,6.575000,6.757500,5.641235,17853600
2009-04-16,6.772500,6.957500,6.695000,6.910000,5.768542,20962400
2009-04-17,6.917500,7.130000,6.917500,7.085000,5.914634,27050400
2009-04-20,6.960000,7.022500,6.760000,6.827500,5.699670,25638400
2009-04-21,6.812500,7.065000,6.777500,7.030000,5.868719,23024400
2009-04-22,6.982500,7.292500,6.937500,6.947500,5.799847,27594000
2009-04-23,6.947500,7.012500,6.692500,6.885000,5.747673,22534800
2009-04-24,6.977500,7.132500,6.887500,7.032500,5.870806,22046800
2009-04-27,6.942500,6.980000,6.657500,6.750000,5.634973,30711200
2009-04-28,6.752500,7.040000,6.702500,6.987500,5.833240,35192400
2009-04-29,7.037500,7.125000,6.860000,6.915000,5.772717,29471600
2009-04-30,6.990000,7.090000,6.872500,6.992500,5.837415,41952800
2009-05-01,6.982500,7.050000,6.852500,6.967500,5.816545,25697200
2009-05-04,7.085000,7.332500,7.072500,7.255000,6.056552,29869200
2009-05-05,7.215000,7.307500,7.180000,7.265000,6.064899,20174800
2009-05-06,7.320000,7.372500,7.055000,7.130000,5.952202,24861200
2009-05-07,7.347500,7.352500,7.075000,7.162500,5.979332,36172800
2009-05-08,7.225000,7.247500,6.947500,7.015000,5.856197,30488000
2009-05-11,6.997500,7.047500,6.780000,6.962500,5.812369,29836000
2009-05-12,7.210000,7.262500,6.912500,7.057500,5.917173,51095200
2009-05-13,6.865000,6.957500,6.827500,6.900000,5.785121,39639200
2009-05-14,6.900000,7.082500,6.705000,6.712500,5.627919,34147600
