Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,8.660000,9.670000,8.660000,8.910000,7.211273,8589100
2009-01-27,8.950000,9.330000,8.790000,9.220000,7.462168,5348600
2009-01-28,9.500000,9.510000,9.130000,9.260000,7.494540,4842000
2009-01-29,9.190000,9.430000,9.050000,9.150000,7.405513,2962400
2009-01-30,9.130000,9.260000,8.760000,8.850000,7.162710,5467600
2009-02-02,8.810000,8.940000,8.660000,8.850000,7.162710,6035800
2009-02-03,9.020000,9.280000,8.740000,9.210000,7.454078,5135900
2009-02-04,9.300000,9.350000,9.030000,9.080000,7.348857,3983100
2009-02-05,9.030000,9.510000,9.000000,9.430000,7.632131,5124600
2009-02-06,9.570000,9.800000,9.390000,9.720000,7.866843,4608600
2009-02-09,9.660000,9.940000,9.390000,9.450000,7.648319,5178700
2009-02-10,9.330000,9.670000,9.080000,9.150000,7.405513,6345600
2009-02-11,9.230000,9.360000,8.970000,9.080000,7.348857,5026900
2009-02-12,9.060000,9.100000,8.700000,9.090000,7.356953,6477100
2009-02-13,9.020000,9.140000,8.600000,8.800000,7.122240,4418900
2009-02-17,8.620000,8.640000,8.280000,8.300000,6.717568,4140300
2009-02-18,8.280000,8.290000,7.960000,8.180000,6.620449,3786700
2009-02-19,8.390000,8.450000,8.120000,8.180000,6.620449,4989400
2009-02-20,8.010000,8.190000,7.520000,7.750000,6.272429,5761500
2009-02-23,7.810000,8.000000,7.600000,7.610000,6.159122,4265600
2009-02-24,7.700000,8.280000,7.600000,8.200000,6.636636,4739500
2009-02-25,8.160000,8.170000,7.670000,7.730000,6.286912,7776700
2009-02-26,7.920000,8.230000,7.780000,8.010000,6.514638,6525500
2009-02-27,7.960000,8.710000,7.900000,8.430000,6.856230,9908400
2009-03-02,8.250000,8.500000,8.080000,8.250000,6.709831,6604300
2009-03-03,8.360000,8.500000,7.950000,7.980000,6.490237,4858400
2009-03-04,8.140000,8.200000,7.730000,8.100000,6.587836,7811100
2009-03-05,7.920000,8.050000,7.510000,7.590000,6.173045,4818400
2009-03-06,7.740000,8.060000,7.610000,7.980000,6.490237,4453800
2009-03-09,7.880000,8.200000,7.770000,8.050000,6.547171,4120400
2009-03-10,8.240000,8.500000,8.050000,8.490000,6.905030,3662000
2009-03-11,8.930000,9.000000,8.620000,8.860000,7.205952,6525400
2009-03-12,8.860000,9.300000,8.830000,9.270000,7.539411,6663000
2009-03-13,9.400000,9.510000,9.220000,9.410000,7.653277,6273800
2009-03-16,9.450000,9.700000,9.390000,9.420000,7.661409,3962800
2009-03-17,9.450000,9.790000,9.200000,9.580000,7.791541,4063000
2009-03-18,9.480000,9.660000,9.280000,9.430000,7.669543,7361500
