Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,12.560000,12.750000,11.960000,12.260000,11.813331,3821700
2009-01-27,12.410000,13.050000,12.320000,12.880000,12.410744,3822000
2009-01-28,13.070000,13.650000,13.010000,13.300000,12.815444,5107600
2009-01-29,12.570000,12.570000,8.830000,9.090000,8.758825,26435200
2009-01-30,9.200000,9.360000,8.840000,9.030000,8.701011,11433800
2009-02-02,9.000000,9.000000,8.260000,8.370000,8.065055,12363600
2009-02-03,8.590000,8.770000,7.930000,7.970000,7.679628,8959200
2009-02-04,7.820000,7.930000,5.650000,6.280000,6.051203,36867100
2009-02-05,6.000000,6.220000,5.030000,6.090000,5.868123,25197600
2009-02-06,6.110000,7.070000,6.110000,6.810000,6.561891,13213200
2009-02-09,6.990000,7.560000,6.880000,7.330000,7.062945,12306700
2009-02-10,7.300000,7.910000,6.160000,6.250000,6.022294,15606400
2009-02-11,6.370000,7.000000,6.370000,6.760000,6.513713,12338400
2009-02-12,6.620000,6.800000,6.470000,6.770000,6.523349,9460200
2009-02-13,6.810000,7.350000,6.750000,6.890000,6.638976,8884500
2009-02-17,6.690000,6.690000,6.170000,6.200000,5.974116,9156900
2009-02-18,6.270000,6.720000,6.130000,6.490000,6.253550,7385700
2009-02-19,6.490000,6.890000,6.200000,6.240000,6.012659,6589200
2009-02-20,6.120000,6.390000,5.870000,6.250000,6.022294,7946600
2009-02-23,6.510000,6.510000,5.830000,5.830000,5.617596,5695600
2009-02-24,6.010000,6.210000,5.830000,6.140000,5.916301,11033200
2009-02-25,6.150000,6.250000,5.720000,5.900000,5.685044,8044000
2009-02-26,6.100000,6.240000,5.670000,5.800000,5.588687,5199900
2009-02-27,5.640000,5.900000,5.460000,5.650000,5.444153,12107500
2009-03-02,5.310000,5.500000,4.250000,4.430000,4.268600,15875700
2009-03-03,4.590000,4.630000,3.630000,4.310000,4.152973,17387500
2009-03-04,4.330000,4.800000,4.330000,4.710000,4.538398,6953500
2009-03-05,4.600000,4.640000,3.750000,4.010000,3.863904,5545300
2009-03-06,4.060000,4.120000,3.570000,3.750000,3.613377,7163300
2009-03-09,3.660000,4.130000,3.660000,3.980000,3.834997,5005200
2009-03-10,4.150000,4.610000,4.100000,4.540000,4.374595,9788900
2009-03-11,4.550000,5.110000,4.540000,4.770000,4.616552,7297800
2009-03-12,4.900000,5.100000,4.710000,5.060000,4.897223,6048900
2009-03-13,5.160000,5.250000,4.800000,5.000000,4.839153,6499000
2009-03-16,5.140000,6.070000,5.130000,5.560000,5.381139,9324800
2009-03-17,5.610000,5.930000,5.430000,5.890000,5.700520,5919600
2009-03-18,5.850000,6.640000,5.720000,6.610000,6.397361,5153500
2009-03-19,6.740000,7.400000,6.470000,6.530000,6.319933,8519700
2009-03-20,6.550000,6.640000,5.610000,5.940000,5.748913,8160100
2009-03-23,6.370000,6.940000,6.160000,6.890000,6.668352,6463300
2009-03-24,6.740000,6.790000,6.370000,6.380000,6.174761,7495800
2009-03-25,6.470000,6.950000,6.230000,6.670000,6.455430,5856800
2009-03-26,6.820000,7.000000,6.680000,6.870000,6.648996,4894500
2009-03-27,6.720000,6.810000,6.500000,6.540000,6.329610,3396200
2009-03-30,6.220000,6.320000,5.240000,5.530000,5.352104,8224800
2009-03-31,5.820000,6.050000,5.620000,5.740000,5.555347,6781100
2009-04-01,5.640000,6.500000,5.420000,6.450000,6.242507,6517400
2009-04-02,6.700000,7.320000,6.700000,7.130000,6.900632,7004200
2009-04-03,7.000000,7.480000,6.910000,7.420000,7.181302,3986500
2009-04-06,7.290000,8.340000,7.130000,8.260000,7.994280,11608700
2009-04-07,8.290000,9.470000,8.200000,9.020000,8.729833,17341800
2009-04-08,9.220000,9.280000,8.610000,9.110000,8.816935,9120100
2009-04-09,12.860000,14.370000,12.000000,13.560000,13.123783,38148500
2009-04-13,12.290000,12.670000,10.760000,12.270000,11.875279,13142200
2009-04-14,12.100000,12.200000,11.170000,11.400000,11.033266,7826700
2009-04-15,10.900000,11.510000,10.080000,11.490000,11.120370,6934400
2009-04-16,11.590000,12.310000,11.270000,12.110000,11.720428,5645900
2009-04-17,12.070000,13.350000,12.020000,12.940000,12.523728,6346300
2009-04-20,12.050000,12.050000,10.790000,10.890000,10.539676,6917300
2009-04-21,10.720000,11.600000,10.640000,10.980000,10.626781,8515900
2009-04-22,10.440000,11.740000,10.400000,11.280000,10.917129,8706200
2009-04-23,11.760000,11.760000,11.020000,11.440000,11.071982,4118100
2009-04-24,11.440000,12.490000,11.310000,12.350000,11.952708,6162700
2009-04-27,11.790000,12.150000,11.260000,11.390000,11.023590,5165600
2009-04-28,11.150000,11.530000,11.000000,11.200000,10.839702,6586500
2009-04-29,10.640000,11.250000,10.370000,10.810000,10.462247,17401700
2009-04-30,11.210000,11.470000,10.670000,10.730000,10.384822,43547500
2009-05-01,10.820000,11.260000,10.720000,10.940000,10.588067,11836000
2009-05-04,11.120000,11.330000,10.700000,11.220000,10.859060,11446300
2009-05-05,11.190000,11.750000,10.870000,11.190000,10.830020,8765500
2009-05-06,11.420000,11.800000,10.980000,11.660000,11.284905,9814600
2009-05-07,11.800000,11.920000,10.820000,11.100000,10.742920,10375600
2009-05-08,11.280000,12.030000,11.280000,11.960000,11.575253,9447600
2009-05-11,11.700000,11.930000,11.260000,11.630000,11.255868,9051900
2009-05-12,12.420000,12.500000,11.040000,11.440000,11.071982,13535200
2009-05-13,11.150000,11.370000,10.350000,10.530000,10.191255,9624700
2009-05-14,10.560000,11.280000,10.420000,10.980000,10.626781,5730800
2009-05-15,10.970000,11.460000,10.550000,10.820000,10.471926,6479400
2009-05-18,11.120000,11.410000,10.820000,11.410000,11.042944,4995100
2009-05-19,11.380000,12.120000,11.200000,11.930000,11.546222,8470300
2009-05-20,12.100000,12.470000,11.540000,11.640000,11.265545,7981500
2009-05-21,11.400000,11.400000,10.870000,11.030000,10.675172,5657900
2009-05-22,11.190000,11.510000,11.030000,11.210000,10.849382,3459600
2009-05-26,11.050000,11.990000,11.020000,11.830000,11.449433,5851800
2009-05-27,11.800000,11.910000,11.390000,11.430000,11.062303,4240500
2009-05-28,11.530000,11.720000,11.100000,11.540000,11.168765,4505800
2009-05-29,11.600000,11.750000,11.150000,11.500000,11.130050,7549200
2009-06-01,11.640000,12.300000,11.550000,12.000000,11.613963,9131300
2009-06-02,11.960000,12.200000,11.700000,11.800000,11.420399,5860900
2009-06-03,11.630000,11.710000,11.160000,11.380000,11.013911,8051700
2009-06-04,11.260000,12.390000,11.260000,12.270000,11.875279,8162400
2009-06-05,12.500000,12.530000,11.860000,12.310000,11.913995,8455100
2009-06-08,12.250000,12.270000,11.710000,12.010000,11.623646,3909900
2009-06-09,12.110000,12.250000,11.770000,11.950000,11.565578,6071900
2009-06-10,12.120000,12.120000,11.280000,11.430000,11.080847,7345900
2009-06-11,11.400000,11.600000,11.090000,11.230000,10.886962,7934300
2009-06-12,11.180000,11.550000,11.080000,11.480000,11.129319,3680200
2009-06-15,11.290000,11.300000,10.850000,10.950000,10.615512,4013000
2009-06-16,11.070000,11.150000,10.490000,10.520000,10.198648,3908700
2009-06-17,10.520000,10.520000,9.770000,10.210000,9.898114,5750500
2009-06-18,10.260000,10.350000,9.690000,9.750000,9.452169,6604300
2009-06-19,9.910000,10.110000,9.570000,9.590000,9.297056,7109900
2009-06-22,9.400000,9.670000,9.070000,9.120000,8.841414,4785600
2009-06-23,9.150000,9.410000,8.950000,9.300000,9.015918,4900200
2009-06-24,9.420000,9.770000,9.250000,9.550000,9.258278,6366900
2009-06-25,9.500000,9.990000,9.410000,9.970000,9.665446,5342100
2009-06-26,9.910000,9.940000,9.500000,9.610000,9.316442,8935500
2009-06-29,9.670000,10.050000,9.620000,9.880000,9.578197,4123400
2009-06-30,9.850000,10.130000,9.560000,9.660000,9.364915,3673700
2009-07-01,9.790000,10.160000,9.790000,10.030000,9.723613,3748200
2009-07-02,9.820000,10.030000,9.330000,9.330000,9.044996,3624600
2009-07-06,9.300000,9.500000,9.070000,9.240000,8.957750,3657400
2009-07-07,9.210000,9.260000,8.760000,8.780000,8.511798,3607100
2009-07-08,8.800000,8.930000,8.510000,8.690000,8.424543,4115400
2009-07-09,8.760000,9.110000,8.690000,8.970000,8.695995,4615500
2009-07-10,8.990000,9.070000,8.760000,8.950000,8.676606,3108800
2009-07-13,8.980000,9.340000,8.810000,9.240000,8.957750,3403800
2009-07-14,9.280000,9.530000,9.110000,9.510000,9.219501,5544700
2009-07-15,9.700000,10.070000,9.600000,10.030000,9.723613,5844500
2009-07-16,9.890000,10.190000,9.700000,10.150000,9.839947,6193600
2009-07-17,10.080000,10.230000,9.990000,10.190000,9.878724,4363200
2009-07-20,10.200000,10.640000,10.200000,10.620000,10.295593,4709100
2009-07-21,10.650000,10.920000,10.620000,10.820000,10.489482,5368100
2009-07-22,10.690000,10.950000,10.690000,10.790000,10.460399,4946300
2009-07-23,10.820000,11.330000,10.730000,11.280000,10.935430,5950400
2009-07-24,11.120000,11.390000,10.950000,11.310000,10.964513,2453800
2009-07-27,11.250000,11.300000,11.010000,11.150000,10.809402,5905900
2009-07-28,11.350000,13.240000,11.320000,13.110000,12.709533,21136300
2009-07-29,13.090000,13.250000,12.750000,12.790000,12.399308,6468000
2009-07-30,13.030000,13.750000,13.010000,13.310000,12.903418,6470500
2009-07-31,13.270000,13.510000,13.140000,13.440000,13.029449,4164700
2009-08-03,13.610000,14.210000,13.390000,14.200000,13.766232,6154400
2009-08-04,14.060000,14.710000,14.020000,14.440000,13.998899,6398300
2009-08-05,14.490000,14.500000,13.800000,14.340000,13.901958,4510400
2009-08-06,14.380000,14.620000,14.090000,14.180000,13.746845,2622300
2009-08-07,14.370000,15.000000,14.300000,14.780000,14.328518,3942300
2009-08-10,14.770000,14.980000,14.390000,14.570000,14.124929,3464100
2009-08-11,14.470000,14.540000,14.140000,14.260000,13.824400,3257600
2009-08-12,14.210000,14.790000,14.190000,14.680000,14.231573,4083000
2009-08-13,14.910000,14.910000,14.650000,14.790000,14.338213,2801400
2009-08-14,14.850000,14.850000,14.230000,14.410000,13.969819,2587200
2009-08-17,13.960000,14.080000,13.320000,13.520000,13.107006,3452000
2009-08-18,13.630000,14.070000,13.570000,14.030000,13.601428,2643900
2009-08-19,13.820000,14.200000,13.690000,14.010000,13.582038,2708300
2009-08-20,13.980000,14.290000,13.950000,14.130000,13.698375,2391600
2009-08-21,14.310000,14.820000,14.230000,14.580000,14.134628,4523700
2009-08-24,14.710000,15.070000,14.520000,14.750000,14.299432,5660000
2009-08-25,14.910000,15.000000,14.650000,14.800000,14.347907,5847500
2009-08-26,14.730000,15.710000,14.680000,15.640000,15.162246,11745500
2009-08-27,15.640000,15.780000,15.150000,15.520000,15.045910,6561800
2009-08-28,15.740000,15.800000,15.330000,15.670000,15.191326,6331500
2009-08-31,15.480000,15.520000,15.190000,15.360000,14.890797,4565300
2009-09-01,16.110001,16.690001,15.500000,15.500000,15.026525,12476700
2009-09-02,16.400000,17.760000,15.920000,17.389999,16.858786,23856000
2009-09-03,17.680000,17.719999,16.340000,16.860001,16.344978,13272100
2009-09-04,16.809999,17.240000,16.500000,17.070000,16.548559,5823300
2009-09-08,17.299999,18.080000,17.160000,18.000000,17.450150,7084800
2009-09-09,18.139999,18.790001,18.000000,18.410000,17.867481,10729100
2009-09-10,18.530001,19.090000,18.350000,19.020000,18.459501,7996100
2009-09-11,19.549999,20.000000,18.930000,19.020000,18.459501,12889800
2009-09-14,18.840000,19.330000,18.650000,19.270000,18.702141,8088200
2009-09-15,19.410000,20.580000,19.139999,20.549999,19.944420,14676000
2009-09-16,20.850000,20.990000,19.910000,20.150000,19.556206,10741000
2009-09-17,20.170000,20.840000,19.180000,19.400000,18.828312,10781500
2009-09-18,19.420000,19.680000,19.150000,19.440001,18.867132,7397400
2009-09-21,19.070000,19.400000,18.580000,19.250000,18.682735,6106800
2009-09-22,19.510000,19.650000,19.100000,19.370001,18.799194,6123400
2009-09-23,19.280001,19.370001,18.600000,19.200001,18.634205,7355700
2009-09-24,19.250000,19.340000,18.110001,18.340000,17.799543,6781000
2009-09-25,17.510000,18.160000,17.299999,17.879999,17.353104,10121000
2009-09-28,18.299999,18.889999,18.059999,18.590000,18.042177,4684300
2009-09-29,18.680000,18.889999,18.100000,18.709999,18.158642,5439000
2009-09-30,18.760000,19.250000,18.400000,18.980000,18.420689,8371000
2009-10-01,18.809999,18.980000,18.120001,18.150000,17.615141,7201200
2009-10-02,17.500000,17.950001,17.389999,17.510000,16.994003,7300800
2009-10-05,18.080000,18.459999,17.770000,18.450001,17.906300,4063100
2009-10-06,18.700001,19.309999,18.500000,18.719999,18.168343,5248400
2009-10-07,18.690001,18.870001,18.440001,18.700001,18.148941,2515000
2009-10-08,18.900000,19.490000,18.900000,19.379999,18.808903,3358800
2009-10-09,19.280001,19.570000,19.000000,19.490000,18.915653,3022200
2009-10-12,19.600000,20.000000,19.480000,19.600000,19.022423,2779000
2009-10-13,19.510000,19.590000,19.100000,19.150000,18.585682,3767600
2009-10-14,19.540001,20.150000,19.389999,20.070000,19.478561,5257600
2009-10-15,20.030001,20.340000,19.610001,20.340000,19.740614,4445000
2009-10-16,20.090000,20.389999,19.549999,19.920000,19.332987,3997000
2009-10-19,19.850000,20.190001,19.690001,20.080000,19.488276,2940000
2009-10-20,20.020000,20.049999,19.150000,19.320000,18.750666,4686300
2009-10-21,19.219999,19.980000,18.930000,18.959999,18.401270,5718900
2009-10-22,19.020000,19.680000,18.760000,19.639999,19.061237,4251100
2009-10-23,19.670000,19.700001,18.969999,19.129999,18.566267,3523400
2009-10-26,19.110001,19.750000,18.219999,18.360001,17.818954,7009400
2009-10-27,19.290001,20.280001,18.940001,19.670000,19.090349,14224400
2009-10-28,19.309999,19.740000,18.309999,18.430000,17.886894,7242300
2009-10-29,18.709999,19.059999,18.260000,19.010000,18.449810,4565500
2009-10-30,18.910000,18.910000,17.700001,17.780001,17.256060,5367400
2009-11-02,18.090000,18.459999,17.709999,18.120001,17.586035,4758200
2009-11-03,17.879999,18.540001,17.549999,18.510000,17.964542,4744200
2009-11-04,18.910000,19.139999,18.610001,18.750000,18.197468,4377700
2009-11-05,18.879999,19.160000,18.420000,19.129999,18.566267,3831400
2009-11-06,18.820000,19.500000,18.799999,19.330000,18.760368,3296700
2009-11-09,19.510000,20.100000,19.440001,19.920000,19.332987,4134200
2009-11-10,19.780001,20.690001,19.740000,20.590000,19.983242,6412800
2009-11-11,20.889999,21.000000,20.270000,20.490000,19.886196,4509700
2009-11-12,20.440001,20.459999,19.850000,19.959999,19.371807,2704700
2009-11-13,20.000000,20.090000,19.660000,19.809999,19.226225,3939900
2009-11-16,19.950001,20.650000,19.950001,20.430000,19.827953,4044100
2009-11-17,20.240000,20.459999,19.940001,20.400000,19.798849,2146200
2009-11-18,20.270000,20.379999,20.059999,20.230000,19.633852,2327100
2009-11-19,19.950001,20.270000,19.360001,20.180000,19.585331,4325100
2009-11-20,20.000000,20.010000,19.410000,19.639999,19.061237,5398400
2009-11-23,19.900000,20.209999,19.750000,20.090000,19.497974,3788200
2009-11-24,20.100000,20.420000,19.980000,20.370001,19.769726,3426900
2009-11-25,20.430000,20.770000,20.299999,20.730000,20.119125,2369100
2009-11-27,19.840000,20.299999,19.639999,20.080000,19.488276,1810600
2009-11-30,19.959999,20.100000,19.750000,20.049999,19.459154,3101900
2009-12-01,20.379999,20.750000,20.049999,20.450001,19.847370,3267100
2009-12-02,20.500000,20.750000,20.280001,20.620001,20.012362,2936200
2009-12-03,20.629999,20.670000,20.059999,20.110001,19.517380,2308900
2009-12-04,20.410000,20.680000,19.780001,20.230000,19.633852,3087000
2009-12-07,20.240000,20.290001,19.670000,19.730000,19.148584,3160400
2009-12-08,19.660000,19.799999,19.120001,19.600000,19.022423,3334600
2009-12-09,19.570000,19.770000,19.370001,19.620001,19.061281,2361200
2009-12-10,19.799999,19.910000,19.350000,19.450001,18.896124,2746800
2009-12-11,19.580000,20.000000,19.530001,19.879999,19.313873,2816000
2009-12-14,20.190001,20.590000,19.900000,20.049999,19.479027,1986900
2009-12-15,19.870001,20.190001,19.639999,19.719999,19.158430,1875800
2009-12-16,19.709999,19.830000,19.420000,19.570000,19.012703,4115300
2009-12-17,19.370001,19.440001,18.980000,18.980000,18.439507,2049600
2009-12-18,18.980000,19.219999,18.500000,18.670000,18.138329,5474200
2009-12-21,18.760000,19.420000,18.750000,19.270000,18.721247,5485000
2009-12-22,19.410000,19.480000,19.110001,19.389999,18.837828,2280000
2009-12-23,19.330000,19.650000,19.330000,19.549999,18.993269,2302700
2009-12-24,19.600000,19.650000,19.370001,19.400000,18.847538,522800
2009-12-28,19.450001,19.540001,19.120001,19.250000,18.701815,1943100
2009-12-29,19.200001,19.280001,18.950001,19.010000,18.468651,1641700
2009-12-30,18.900000,19.100000,18.900000,19.020000,18.478365,1542700
2009-12-31,19.080000,19.080000,18.719999,18.809999,18.274343,2005800
2010-01-04,18.930000,19.180000,18.660000,19.040001,18.497793,3630600
2010-01-05,18.969999,19.350000,18.459999,18.680000,18.148045,12121100
2010-01-06,18.709999,19.420000,18.709999,19.330000,18.779537,5598300
2010-01-07,19.320000,20.250000,19.250000,20.190001,19.615042,5196100
2010-01-08,20.100000,20.420000,19.969999,20.379999,19.799641,4104000
2010-01-11,20.510000,21.610001,20.360001,21.469999,20.858595,7214100
2010-01-12,21.250000,21.559999,20.910000,21.330000,20.722582,4849100
2010-01-13,21.360001,21.490000,20.680000,20.920000,20.324259,5378700
2010-01-14,20.959999,23.059999,20.580000,22.790001,22.141005,17621700
2010-01-15,22.750000,22.750000,21.740000,21.879999,21.256924,9136800
2010-01-19,22.090000,23.459999,21.790001,22.980000,22.325590,8277200
2010-01-20,22.700001,22.700001,21.910000,22.309999,21.674673,4539400
2010-01-21,22.309999,22.430000,21.370001,21.430000,20.819740,4666300
2010-01-22,21.350000,22.080000,20.799999,21.320000,20.712862,5582300
2010-01-25,21.639999,21.840000,20.840000,21.129999,20.528273,6112300
2010-01-26,21.070000,21.090000,20.370001,20.570000,19.984221,3765400
2010-01-27,20.469999,21.150000,20.360001,21.000000,20.401979,5865400
2010-01-28,20.379999,20.730000,18.889999,19.580000,19.022419,18922800
2010-01-29,19.660000,19.959999,19.049999,19.530001,18.973841,6786800
2010-02-01,19.620001,20.690001,19.530001,20.639999,20.052233,6508100
2010-02-02,20.780001,21.260000,20.450001,20.680000,20.091095,7153800
2010-02-03,20.540001,20.790001,20.209999,20.459999,19.877359,4608300
2010-02-04,20.209999,20.209999,19.400000,19.559999,19.002989,6589400
2010-02-05,19.510000,19.600000,17.959999,18.910000,18.371496,11037700
2010-02-08,18.840000,19.240000,18.360001,18.709999,18.177193,4947400
2010-02-09,19.090000,19.270000,18.680000,18.900000,18.361778,3825000
2010-02-10,18.860001,19.030001,18.290001,18.879999,18.342352,6767500
2010-02-11,18.879999,19.129999,18.459999,18.959999,18.420073,4799100
2010-02-12,18.610001,18.670000,18.000000,18.320000,17.798298,6119700
2010-02-16,18.490000,19.150000,18.320000,19.080000,18.536655,3328200
2010-02-17,19.150000,19.280001,18.910000,19.059999,18.517227,2858800
2010-02-18,19.059999,19.799999,18.959999,19.750000,19.187572,4512900
2010-02-19,19.580000,19.940001,19.400000,19.680000,19.119574,3683500
2010-02-22,19.750000,20.080000,19.559999,19.879999,19.313873,3574500
2010-02-23,19.850000,20.170000,19.370001,19.530001,18.973841,3461200
2010-02-24,19.700001,19.740000,19.040001,19.590000,19.032135,5307500
2010-02-25,19.150000,19.500000,18.969999,19.450001,18.896124,4472200
2010-02-26,19.450001,20.030001,19.250000,19.920000,19.352728,3764900
2010-03-01,20.000000,20.309999,19.820000,20.209999,19.634480,4400400
2010-03-02,20.340000,20.990000,20.049999,20.900000,20.304825,4948300
2010-03-03,20.920000,21.450001,20.760000,21.240000,20.635143,4626900
2010-03-04,21.360001,21.570000,20.930000,21.059999,20.460272,5049300
2010-03-05,21.200001,21.840000,21.200001,21.809999,21.188904,4573900
2010-03-08,21.780001,22.170000,21.730000,21.740000,21.120907,4333800
2010-03-09,21.129999,21.959999,21.010000,21.620001,21.004326,7801800
2010-03-10,21.170000,22.070000,21.170000,21.809999,21.208525,4718800
2010-03-11,21.680000,22.340000,21.299999,22.250000,21.636393,3904800
2010-03-12,22.370001,22.440001,21.920000,22.260000,21.646114,3374700
2010-03-15,22.170000,22.200001,21.610001,22.049999,21.441916,3048600
2010-03-16,22.059999,22.780001,21.940001,22.400000,21.782257,4386200
2010-03-17,22.520000,22.780001,22.230000,22.530001,21.908672,3061300
2010-03-18,22.410000,22.500000,22.000000,22.150000,21.539150,2697700
2010-03-19,22.209999,22.969999,22.070000,22.209999,21.597500,5674600
2010-03-22,21.990000,22.400000,21.799999,22.180000,21.568327,3057700
2010-03-23,22.280001,22.469999,22.070000,22.450001,21.830887,3108600
2010-03-24,22.280001,22.580000,22.150000,22.280001,21.665564,2470400
2010-03-25,22.530001,22.559999,21.730000,21.770000,21.169638,4974900
2010-03-26,21.900000,22.299999,21.620001,21.680000,21.082113,3868400
2010-03-29,21.840000,21.950001,21.490000,21.700001,21.101568,4055400
2010-03-30,21.760000,22.000000,21.410000,21.559999,20.965435,3241000
2010-03-31,21.480000,21.590000,21.180000,21.230000,20.644531,3694400
2010-04-01,21.420000,21.570000,21.170000,21.400000,20.809839,3655800
2010-04-05,21.540001,21.610001,21.160000,21.330000,20.741772,4915300
2010-04-06,21.230000,21.820000,21.120001,21.570000,20.975155,3755500
2010-04-07,21.450001,22.270000,21.250000,22.180000,21.568327,9652500
2010-04-08,22.110001,22.250000,21.910000,22.170000,21.558607,3868100
2010-04-09,22.230000,22.299999,21.670000,22.090000,21.480810,3119400
2010-04-12,22.100000,22.660000,22.059999,22.590000,21.967018,3860700
2010-04-13,22.490000,22.660000,22.370001,22.549999,21.928122,3279000
2010-04-14,22.639999,22.780001,22.240000,22.760000,22.132332,4375200
2010-04-15,22.480000,22.709999,22.270000,22.330000,21.714190,4808700
2010-04-16,22.420000,22.430000,21.610001,21.940001,21.334951,5608400
2010-04-19,21.750000,21.889999,21.090000,21.559999,20.965435,4019700
2010-04-20,21.670000,22.000000,21.500000,21.870001,21.266874,3074200
2010-04-21,21.660000,22.170000,21.580000,21.600000,21.004322,5674800
2010-04-22,22.180000,24.360001,21.990000,24.230000,23.561796,16417400
2010-04-23,24.309999,24.330000,23.480000,23.850000,23.192274,6921100
2010-04-26,23.940001,25.299999,23.920000,24.549999,23.872974,7796000
2010-04-27,24.450001,24.450001,23.120001,23.250000,22.608820,7465500
2010-04-28,23.410000,23.959999,23.219999,23.610001,22.958893,4561300
2010-04-29,23.910000,24.200001,23.440001,23.520000,22.871376,3294300
2010-04-30,23.500000,23.719999,22.840000,22.840000,22.210123,3645300
2010-05-03,23.000000,23.549999,22.940001,23.490000,22.842201,4452500
2010-05-04,23.010000,23.450001,22.700001,22.930000,22.297649,5996800
2010-05-05,22.590000,23.360001,22.110001,23.270000,22.628265,6890300
2010-05-06,23.139999,23.790001,20.000000,22.500000,21.879505,7770800
2010-05-07,22.490000,22.490000,20.219999,20.379999,19.817972,15769500
2010-05-10,22.170000,22.559999,21.750000,22.389999,21.772543,6323800
2010-05-11,21.629999,23.000000,21.629999,22.639999,22.015635,5640200
2010-05-12,22.889999,24.200001,22.889999,24.090000,23.425653,5726100
2010-05-13,24.040001,24.080000,23.389999,23.530001,22.881094,2850300
2010-05-14,23.250000,23.440001,22.309999,22.570000,21.947569,4840600
2010-05-17,22.549999,22.900000,21.379999,21.950001,21.344673,7337500
2010-05-18,23.059999,23.059999,21.410000,21.500000,20.907082,6496900
2010-05-19,21.290001,21.590000,20.629999,21.070000,20.488943,4890300
2010-05-20,20.360001,20.440001,19.320000,19.410000,18.874716,8564200
2010-05-21,19.040001,20.760000,18.889999,20.570000,20.002728,10697400
2010-05-24,20.430000,21.010000,20.190001,20.219999,19.662378,4485700
2010-05-25,19.209999,19.760000,18.889999,19.520000,18.981682,11333100
2010-05-26,19.740000,21.049999,19.719999,20.270000,19.711010,11100000
2010-05-27,21.030001,21.280001,20.639999,21.260000,20.673698,4226000
2010-05-28,21.260000,21.340000,20.450001,20.670000,20.099966,2900200
2010-06-01,20.309999,20.680000,19.870001,19.889999,19.341490,4448800
2010-06-02,20.070000,20.480000,19.870001,20.469999,19.905485,3583600
2010-06-03,20.570000,20.850000,20.219999,20.650000,20.080521,3577100
2010-06-04,20.280001,20.459999,18.809999,18.959999,18.437130,8095900
2010-06-07,19.000000,19.040001,18.150000,18.209999,17.707811,6047700
2010-06-08,18.170000,18.959999,17.980000,18.959999,18.437130,7483200
2010-06-09,19.150000,19.340000,18.530001,18.680000,18.184025,5996600
2010-06-10,19.219999,19.440001,18.959999,19.299999,18.787567,4806600
2010-06-11,18.959999,19.510000,18.959999,19.459999,18.943319,3341800
2010-06-14,19.559999,19.940001,19.240000,19.299999,18.787567,2940500
2010-06-15,19.610001,20.280001,19.549999,20.240000,19.702612,3652400
2010-06-16,20.040001,20.379999,19.900000,20.020000,19.488451,4101000
2010-06-17,20.150000,20.160000,19.559999,19.950001,19.420317,2818900
2010-06-18,20.000000,20.170000,19.830000,20.030001,19.498190,2714800
2010-06-21,20.500000,20.650000,19.900000,20.010000,19.478718,3101700
2010-06-22,20.160000,20.240000,19.240000,19.350000,18.836245,3043200
2010-06-23,19.350000,19.379999,18.820000,19.020000,18.515003,4751900
2010-06-24,18.920000,19.139999,18.520000,18.590000,18.096409,4704400
2010-06-25,18.719999,19.309999,18.570000,19.309999,18.797300,7394000
2010-06-28,19.320000,19.410000,18.620001,18.660000,18.164562,5187900
2010-06-29,18.250000,18.280001,16.709999,16.799999,16.353947,14341800
