Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,13.076742,13.418079,12.789548,13.130885,9.062332,3945542
2009-01-27,13.154426,13.295669,12.890772,13.215631,9.120820,3533062
2009-01-28,13.528719,14.027778,13.401601,13.766478,9.500992,3428561
2009-01-29,13.554614,13.820621,13.283898,13.363936,9.223176,4195325
2009-01-30,13.505179,13.535782,12.989642,13.187382,9.101322,5230138
2009-02-02,13.013183,13.182674,12.678908,12.723635,8.781268,6844378
2009-02-03,12.770716,13.366290,12.766008,13.279190,9.164690,4218689
2009-02-04,13.187382,13.434557,12.907250,13.119115,9.054213,4079354
2009-02-05,13.088512,13.493409,13.032015,13.399247,9.247544,5101423
2009-02-06,13.434557,14.119586,13.434557,13.764124,9.499367,7247513
2009-02-09,13.728814,13.757062,13.258004,13.434557,9.271914,5958670
2009-02-10,13.394539,13.434557,12.723635,12.768362,8.812138,8775943
2009-02-11,12.902542,13.314501,12.314030,12.681262,8.752025,9764878
2009-02-12,12.622411,12.789548,12.330508,12.725989,8.782894,8194817
2009-02-13,12.711864,12.831921,12.389360,12.455273,8.596056,6313802
2009-02-17,12.198682,12.629473,12.066855,12.438795,8.584683,9975578
2009-02-18,12.523540,12.568267,12.191620,12.361111,8.531073,6196133
2009-02-19,12.488230,12.725989,12.375235,12.485876,8.617178,4429390
2009-02-20,12.252825,12.702448,12.231638,12.537665,8.652920,6426799
2009-02-23,12.561205,12.685970,11.935028,11.989171,8.274376,5526648
2009-02-24,12.066855,12.514124,11.836158,12.469397,8.605805,5693594
2009-02-25,12.422316,12.862524,12.316384,12.605932,8.700036,8140442
2009-02-26,12.709510,12.794256,12.050377,12.137476,8.376729,5750518
2009-02-27,12.059793,12.462335,11.927966,12.217514,8.431968,6555938
2009-03-02,11.989171,12.177495,11.612524,11.640772,8.033925,4637966
2009-03-03,11.699623,11.812618,11.209981,11.271186,7.778856,5254776
2009-03-04,11.440678,11.798493,11.207627,11.617232,8.017679,5147726
2009-03-05,11.391243,11.732580,11.198211,11.315913,7.809721,6247534
2009-03-06,11.391243,11.511299,10.842750,11.217043,7.837684,9413568
2009-03-09,11.106403,11.395951,11.104049,11.301789,7.896902,7788708
