Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,32.465454,33.904305,31.837387,33.025009,17.253677,2206589
2009-01-27,34.087017,34.258308,32.933655,34.007080,17.766752,2419647
2009-01-28,34.692245,36.256710,33.984241,36.142513,18.882401,4929403
2009-01-29,35.582962,35.788513,32.648167,32.842297,17.158224,4006415
2009-01-30,33.219139,33.573139,31.163641,31.825968,16.627245,3788716
2009-02-02,31.403448,33.493206,30.969509,33.276237,17.384926,2901895
2009-02-03,33.675915,33.675915,32.214230,32.739525,17.104534,3139735
2009-02-04,33.207722,33.744434,31.346352,31.677515,16.549690,2439700
2009-02-05,31.129381,32.419777,30.158730,31.232157,16.317020,3203311
2009-02-06,31.380610,33.892887,30.889574,33.721596,17.617609,2603806
2009-02-09,33.447529,34.075596,32.842297,33.881466,17.701128,1472752
2009-02-10,33.664497,33.778690,30.238667,30.398539,15.881502,3980407
2009-02-11,30.421377,31.083704,28.879753,29.873243,15.607059,3656836
2009-02-12,29.405046,29.405046,25.705151,28.320202,14.795685,5331349
2009-02-13,28.091812,28.434395,26.264704,27.223934,14.222950,3288866
2009-02-17,25.568117,27.178257,24.894369,25.362568,13.250496,4007378
2009-02-18,26.093410,26.595865,25.316889,26.447412,13.817263,3228093
2009-02-19,26.687222,27.041224,24.745918,25.042824,13.083441,2995857
2009-02-20,24.414755,27.349548,23.409843,27.132580,14.175222,5683030
2009-02-23,27.452324,28.080393,25.065662,25.282631,13.208729,4902869
2009-02-24,25.511021,27.852003,25.282631,27.714972,14.479490,4273679
2009-02-25,28.765558,28.959688,27.360968,27.600777,14.419831,9248881
2009-02-26,27.863424,28.080393,24.985725,25.202696,13.166965,6302325
2009-02-27,24.449013,25.191277,23.695330,24.631723,12.868661,5034837
2009-03-02,24.437593,24.540367,22.964485,23.204294,12.122917,5364275
2009-03-03,24.037912,25.659472,23.387005,25.157017,13.143104,28828394
2009-03-04,25.214113,26.698641,24.848692,25.979218,13.572658,6007740
2009-03-05,25.019983,25.796507,23.969397,24.209204,12.647924,5274954
2009-03-06,24.631723,25.088501,21.845381,23.307070,12.176609,6302588
2009-03-09,22.861712,25.465342,22.576225,25.316889,13.226624,5614726
2009-03-10,26.139090,28.651365,25.944958,28.343040,14.807619,8272825
2009-03-11,28.731300,28.731300,26.972708,27.577938,14.407893,4935182
2009-03-12,27.852003,29.896084,26.789997,29.633436,15.481777,5104981
2009-03-13,29.850405,30.010277,27.829165,29.336531,15.326660,3623296
2009-03-16,28.959688,28.959688,25.887861,26.013475,13.867475,4503550
2009-03-17,25.773666,28.057554,24.985725,27.943359,14.896269,4629826
2009-03-18,27.372389,29.233755,26.721479,29.130981,15.529375,3933732
2009-03-19,29.873243,30.033115,26.630123,26.778578,14.275337,4047836
2009-03-20,26.732899,27.052645,24.974306,25.065662,13.362200,4755664
2009-03-23,28.263103,29.427885,25.796507,29.336531,15.638950,5682505
2009-03-24,28.560009,28.993948,26.550188,26.835674,14.305783,4351003
2009-03-25,26.847094,27.863424,24.871531,27.223934,14.512750,4049937
2009-03-26,27.589357,27.943359,26.104830,27.075481,14.433613,4040567
2009-03-27,27.029804,27.258192,26.298962,26.481672,14.117064,2809771
2009-03-30,25.305470,25.785086,24.277721,24.483271,13.051741,4773616
2009-03-31,25.202696,26.298962,24.494690,25.819345,13.763984,5833738
2009-04-01,25.625214,26.264704,24.734497,25.099920,13.380463,5011631
2009-04-02,25.899281,28.057554,25.545279,27.349548,14.579716,6377986
2009-04-03,27.817745,29.804728,26.504511,29.736212,15.852016,4813548
2009-04-06,29.165239,29.804728,28.171747,29.028206,15.474587,3971124
2009-04-07,27.749229,28.422976,27.292452,27.292452,14.549280,21189313
2009-04-08,27.326710,27.874844,26.002054,27.692133,14.762347,8224049
2009-04-09,28.434395,30.832478,27.635035,30.741121,16.387728,7526204
2009-04-13,29.998857,31.883064,29.450726,31.392029,16.734713,4922047
2009-04-14,31.380610,31.392029,29.176659,29.427885,15.687654,6574230
2009-04-15,28.571428,31.586161,28.525751,31.300674,16.686010,5454122
2009-04-16,31.254995,33.847206,29.884665,32.682426,17.422609,5477854
2009-04-17,32.168552,33.139202,31.015188,32.191391,17.160852,4722563
2009-04-20,30.763960,31.471966,28.560009,28.754141,15.328490,5322855
2009-04-21,28.285942,31.963001,27.943359,31.608999,16.850382,6949993
2009-04-22,30.729702,32.065777,30.067375,30.569830,16.296410,5908085
2009-04-23,30.489895,32.168552,29.884665,32.020100,17.069530,4255377
2009-04-24,32.533974,34.029919,31.471966,33.241978,17.720900,5006552
2009-04-27,32.419777,33.367592,31.049446,31.768871,16.935606,3980669
2009-04-28,31.357771,32.671005,31.072285,31.723192,16.911249,3500436
2009-04-29,31.940163,33.447529,31.791710,32.979332,17.580881,3922786
2009-04-30,33.150623,33.847206,32.282745,32.705265,17.434784,3437735
2009-05-01,32.259907,33.104946,31.643257,31.951582,17.032999,3146303
2009-05-04,32.750942,34.429600,31.551901,34.235470,18.250519,5018812
2009-05-05,33.915726,34.338245,32.488297,32.842297,17.507837,2977030
2009-05-06,32.933655,33.938564,31.894484,32.785198,17.477390,4436121
2009-05-07,33.493206,33.493206,30.969509,31.837387,16.972124,4784650
2009-05-08,32.819458,34.509537,31.837387,34.509537,18.396616,4510118
2009-05-11,33.595982,33.927143,32.865135,32.967911,17.574799,3424950
2009-05-12,33.264816,33.915726,31.574739,32.374100,17.258238,3391411
2009-05-13,31.848806,32.465454,30.980930,31.243576,16.655579,4435158
2009-05-14,31.140802,32.876556,30.615507,32.454037,17.300859,3840908
2009-05-15,32.100033,32.454037,30.409958,30.843897,16.442509,3295347
2009-05-18,31.631838,33.538883,31.277836,33.413269,17.812216,4110886
2009-05-19,33.276237,33.653076,32.168552,32.499714,17.325211,2590321
2009-05-20,33.047848,33.812950,31.414867,31.529062,16.807764,3197794
2009-05-21,31.060865,32.111454,30.718283,31.963001,17.039089,2632179
2009-05-22,32.499714,32.659588,31.666096,31.825968,16.966040,1826973
2009-05-26,31.232157,34.087017,31.209318,33.915726,18.080067,3244644
2009-05-27,34.029919,34.246887,32.887974,33.173462,17.684374,4191626
2009-05-28,33.733013,34.224049,32.705265,34.087017,18.171379,2734373
2009-05-29,34.429600,34.692245,33.344753,34.669407,18.481842,3006453
2009-06-01,35.194702,36.998974,34.817860,35.857029,19.114954,4513621
2009-06-02,35.822769,35.891289,34.441017,34.589470,18.439228,2568866
2009-06-03,34.258308,35.274635,34.144112,35.206120,18.767963,2526745
2009-06-04,35.400249,36.736324,35.057667,36.724907,19.577604,3235449
2009-06-05,36.599293,36.633549,35.091927,35.491608,19.226843,3485198
2009-06-08,35.365993,36.005482,34.954891,35.571545,19.270153,2271391
2009-06-09,35.811352,35.891289,34.977734,35.000572,18.960838,2087932
2009-06-10,35.685738,35.685738,33.755852,34.532375,18.707205,2672812
2009-06-11,34.212631,34.772182,33.504623,33.675915,18.243233,2008155
2009-06-12,33.778690,34.657990,33.287655,34.543793,18.713381,2044935
2009-06-15,34.132694,34.178371,32.179970,32.625328,17.674099,2629727
2009-06-16,32.865135,33.219139,31.803129,32.465454,17.587490,1962706
2009-06-17,32.362682,32.887974,31.529062,31.905905,17.284363,2056231
2009-06-18,31.974421,32.773781,31.814548,32.111454,17.395720,2295210
2009-06-19,32.533974,33.276237,32.282745,33.207722,17.989599,3074758
2009-06-22,32.602489,33.070686,31.095123,31.266415,16.937937,2897691
2009-06-23,31.563320,31.883064,31.072285,31.357771,16.987431,1960342
2009-06-24,31.471966,32.945072,31.414867,32.488297,17.599859,2260620
2009-06-25,32.077194,33.025009,31.905905,32.967911,17.859688,1805168
2009-06-26,32.887974,33.573139,32.625328,33.390430,18.088579,2228394
2009-06-29,33.493206,33.904305,32.922234,33.698753,18.255602,1608748
2009-06-30,33.778690,34.235470,33.424690,34.098434,18.472122,2083028
2009-07-01,34.144112,34.829281,33.984241,34.692245,18.793806,1764185
2009-07-02,34.326824,34.486694,32.317005,32.317005,17.507072,3196830
2009-07-06,31.860226,33.664497,31.860226,33.573139,18.187548,2796723
2009-07-07,34.178371,34.372501,32.625328,32.750942,17.742146,2953298
2009-07-08,33.276237,33.527466,32.122871,32.739525,17.735966,3104094
2009-07-09,33.150623,33.287655,32.122871,32.202808,17.445208,2057632
2009-07-10,32.065777,32.431198,31.300674,31.940163,17.302925,1936085
2009-07-13,32.271324,33.538883,31.871647,33.481785,18.138069,3066877
2009-07-14,33.287655,33.904305,32.899395,33.755852,18.286531,1565927
2009-07-15,34.201210,35.400249,33.801529,34.954891,18.936094,2735424
2009-07-16,34.578053,35.742832,34.315407,35.434509,19.195910,1772067
2009-07-17,35.377411,35.468769,34.703667,35.183281,19.059814,1880478
2009-07-20,35.331734,36.428001,35.331734,36.382324,19.709377,1794572
2009-07-21,36.382324,36.839100,35.822769,36.656387,19.857843,1792996
2009-07-22,36.233871,36.839100,35.971222,36.153934,19.585646,2010607
2009-07-23,36.290966,37.798332,36.085419,37.467171,20.297064,2854870
2009-07-24,36.941875,37.981045,36.713486,37.741238,20.445541,1322044
2009-07-27,37.901108,38.437820,37.398651,38.163754,20.674429,1430368
2009-07-28,37.878269,38.335045,37.432911,38.072399,20.624943,1891950
2009-07-29,37.878269,38.232269,37.273041,37.421490,20.272320,1840196
2009-07-30,38.506336,41.167065,38.369305,40.538998,21.961164,4719935
2009-07-31,39.751057,40.538998,39.499828,40.310608,21.837439,2823082
2009-08-03,40.995773,41.258423,39.739635,40.253510,21.806511,2584278
2009-08-04,39.808151,42.171978,39.716797,41.852234,22.672581,3369256
2009-08-05,41.840813,43.371017,41.361198,43.188305,23.396378,2951897
2009-08-06,43.199726,44.524380,42.491722,42.560238,23.056137,2623510
2009-08-07,42.994175,44.866962,42.765785,44.010506,23.841784,2881141
2009-08-10,43.827793,44.158958,42.937080,43.656502,23.650015,2504502
2009-08-11,43.508053,43.667923,41.852234,42.845722,23.210791,2191177
2009-08-12,43.074112,43.816376,42.605915,43.062695,23.328325,1890111
2009-08-13,43.439533,43.679340,42.651592,42.971336,23.278833,1562774
2009-08-14,42.925659,43.804955,42.149139,43.793537,23.724255,2644264
2009-08-17,42.503139,42.617336,41.738037,42.000687,22.753002,3274155
2009-08-18,41.943588,42.937080,41.738037,42.731529,23.148930,2444166
2009-08-19,42.388947,42.446041,41.680943,42.366108,22.950972,2199583
2009-08-20,42.560238,44.067604,42.297588,43.884892,23.773735,2575872
2009-08-21,44.021927,45.506451,44.021927,44.547218,24.132544,2695142
2009-08-24,44.627155,45.129612,43.907730,44.124699,23.903652,2468861
2009-08-25,44.512962,45.049675,44.079021,44.558640,24.138731,1789931
2009-08-26,44.341671,44.478703,43.542309,43.999084,23.835596,2199058
2009-08-27,43.987667,44.718510,43.176888,44.649994,24.188219,1412417
2009-08-28,44.866962,45.357998,44.295994,45.266644,24.522272,2093098
2009-08-31,44.638577,45.083935,44.227474,44.775608,24.256266,1839233
2009-09-01,44.558640,44.558640,41.441132,41.452553,22.456064,5085803
2009-09-02,41.292679,41.772297,41.007195,41.349777,22.400389,2587694
2009-09-03,41.669521,42.023525,40.961517,41.806557,22.647846,1928554
2009-09-04,41.840813,42.309010,41.052872,42.263332,22.895302,1773730
2009-09-08,42.434624,43.542309,42.331848,43.508053,23.569595,2472276
2009-09-09,42.800045,43.508053,42.537399,43.188305,23.715700,2606871
2009-09-10,43.085533,43.268242,42.297588,43.074112,23.652994,1994845
2009-09-11,43.199726,43.371017,42.331848,42.822884,23.515032,1985825
2009-09-14,42.628754,43.587986,42.092041,43.485210,23.878731,2281461
2009-09-15,43.656502,44.056183,42.514561,43.725021,24.010427,3338781
2009-09-16,43.782116,44.535801,43.519470,44.433025,24.399193,3061797
2009-09-17,44.387348,45.552132,43.508053,44.033344,24.179729,2105971
2009-09-18,44.387348,44.832706,43.599407,44.467281,24.418013,2675176
2009-09-21,44.067604,44.707092,43.553726,44.261734,24.305138,2100104
2009-09-22,44.581478,45.495033,44.398766,45.483612,24.976099,2216397
2009-09-23,45.415096,45.940392,44.672832,44.695671,24.543423,3206901
2009-09-24,44.969738,45.346581,43.176888,43.736439,24.016691,3148842
2009-09-25,43.428116,44.295994,42.811466,43.633663,23.960249,2261057
2009-09-28,44.056183,45.677746,43.793537,45.643486,25.063894,2364653
2009-09-29,45.574970,45.883293,44.410187,44.512962,24.443096,1782225
2009-09-30,44.775608,44.992577,43.587986,43.964828,24.142096,2362726
2009-10-01,44.033344,44.090443,42.651592,42.697269,23.446054,2897429
2009-10-02,42.251911,43.142628,41.326939,42.320431,23.239117,2292495
2009-10-05,42.640175,43.782116,42.354687,43.485210,23.878731,1769965
2009-10-06,43.827793,44.581478,42.708691,43.154049,23.696880,1985475
2009-10-07,42.788628,43.405277,42.537399,43.291080,23.772135,1201373
2009-10-08,43.393856,44.216057,43.393856,43.827793,24.066854,1468023
2009-10-09,43.816376,44.490124,43.405277,44.433025,24.399193,1107498
2009-10-12,44.844124,44.844124,44.193218,44.490124,24.430561,764836
2009-10-13,44.238895,45.186707,43.816376,44.969738,24.693922,2018751
2009-10-14,45.586388,46.968140,45.517872,46.739750,25.665865,2663617
2009-10-15,46.454266,46.979561,46.260136,46.568459,25.571819,1738527
2009-10-16,46.066006,46.305813,45.209545,45.883293,25.195578,1967085
2009-10-19,45.860455,46.796848,45.860455,46.442844,25.502838,1664005
2009-10-20,46.328651,46.328651,45.437935,45.597809,25.038813,1995545
2009-10-21,45.380836,46.203037,44.752769,44.992577,24.706463,1876800
2009-10-22,45.015415,46.385750,44.375927,46.328651,25.440134,1616455
2009-10-23,46.294392,46.522781,45.574970,45.757679,25.126600,1556294
2009-10-26,46.077423,46.888203,45.814777,45.928970,25.220661,1498323
2009-10-27,45.928970,46.420006,45.483612,45.712002,25.101517,1497710
2009-10-28,45.620647,46.134521,44.490124,44.547218,24.461908,2523855
2009-10-29,45.278065,46.865364,44.718510,46.625557,25.603167,2440663
2009-10-30,46.225876,46.888203,45.300903,45.826195,25.164219,3560684
2009-11-02,46.145939,47.344982,45.038254,46.248714,25.396242,2631741
2009-11-03,45.700581,46.808270,45.700581,46.511360,25.540462,2254227
2009-11-04,46.819687,46.933880,44.524380,44.615734,24.499529,3021603
2009-11-05,45.095352,45.620647,44.410187,45.529289,25.001177,3256728
2009-11-06,44.992577,45.403679,44.387348,44.684254,24.537151,1744307
2009-11-09,45.220966,46.853947,45.026836,46.762589,25.678419,2038892
2009-11-10,46.591297,46.682655,45.666325,46.020329,25.270830,1666720
2009-11-11,46.431427,46.990978,45.849033,46.682655,25.634529,1796499
2009-11-12,46.385750,46.990978,46.111683,46.168777,25.352343,1835555
2009-11-13,46.374329,46.808270,46.145939,46.625557,25.603167,1212582
2009-11-16,47.664726,48.840927,47.116592,48.349892,26.550041,2520790
2009-11-17,48.292793,48.703896,47.676144,47.756081,26.223961,1923650
2009-11-18,47.813179,48.623959,47.459175,48.555443,26.662922,1424939
2009-11-19,47.984470,48.292793,47.310722,47.721825,26.205154,1526871
2009-11-20,47.550529,48.167179,47.504852,47.664726,26.173809,1247873
2009-11-23,48.292793,48.898026,47.561951,47.995888,26.355646,1328787
2009-11-24,47.950211,48.212856,47.527691,47.813179,26.255320,1200585
2009-11-25,47.881695,48.532600,47.744659,48.304214,26.524954,761509
2009-11-27,46.876785,47.687565,46.682655,46.819687,25.709778,912479
2009-11-30,46.899624,49.377640,46.534203,49.023640,26.920012,3074145
