Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,13.740000,14.620000,13.680000,14.430000,9.281503,5892800
2009-01-27,14.360000,15.020000,14.320000,14.890000,9.577378,6257900
2009-01-28,15.140000,15.570000,14.610000,15.040000,9.673862,6306600
2009-01-29,14.860000,15.000000,14.600000,14.740000,9.480896,4632800
2009-01-30,14.800000,14.850000,13.600000,13.660000,8.786231,8601700
2009-02-02,13.000000,13.970000,13.000000,13.800000,8.876279,7272100
2009-02-03,13.640000,14.080000,13.640000,13.850000,8.908443,7367600
2009-02-04,13.890000,14.280000,13.190000,13.760000,8.850554,10696700
2009-02-05,12.910000,13.350000,11.630000,12.530000,8.059405,28397500
2009-02-06,12.600000,13.200000,12.250000,12.840000,8.258805,9856800
2009-02-09,12.760000,12.880000,12.490000,12.670000,8.149456,8173100
2009-02-10,12.730000,13.090000,12.380000,12.430000,7.995087,9348400
2009-02-11,12.480000,12.620000,12.220000,12.530000,8.059405,8527700
2009-02-12,12.360000,12.910000,12.120000,12.870000,8.278096,7962700
2009-02-13,12.930000,12.980000,12.580000,12.580000,8.091565,4407600
2009-02-17,12.100000,12.430000,11.420000,11.860000,7.628456,9752800
2009-02-18,11.930000,12.120000,11.700000,12.010000,7.724936,7491500
2009-02-19,12.020000,12.150000,11.390000,11.480000,7.384037,6737400
2009-02-20,11.260000,11.540000,11.170000,11.420000,7.345445,7206600
2009-02-23,11.520000,11.600000,10.980000,11.000000,7.075297,5459900
2009-02-24,11.090000,11.810000,10.980000,11.680000,7.512679,7686000
2009-02-25,11.630000,11.740000,11.160000,11.360000,7.306852,7069600
2009-02-26,11.640000,11.660000,11.180000,11.180000,7.191075,5086700
2009-02-27,10.950000,11.590000,10.940000,11.160000,7.178210,7074600
2009-03-02,10.920000,11.050000,10.050000,10.760000,6.920924,7000400
2009-03-03,10.900000,11.030000,10.500000,10.710000,6.888767,6980800
2009-03-04,10.710000,11.500000,10.660000,11.220000,7.216804,8252500
2009-03-05,10.930000,10.980000,10.560000,10.630000,6.837308,5552300
2009-03-06,10.720000,10.800000,10.150000,10.430000,6.708666,7118000
2009-03-09,10.300000,10.930000,10.290000,10.540000,6.779421,6399000
2009-03-10,10.730000,11.470000,10.550000,11.240000,7.229666,10195700
