Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,26.580000,27.629999,26.520000,27.370001,24.916998,1746900
2009-01-27,27.420000,28.250000,27.090000,27.709999,25.226524,1930900
2009-01-28,28.110001,28.719999,27.830000,28.580000,26.018553,2196800
2009-01-29,28.180000,28.500000,27.580000,27.629999,25.153698,1787600
2009-01-30,27.389999,27.680000,26.809999,26.910000,24.498219,2863000
2009-02-02,26.750000,27.500000,26.540001,27.360001,24.907896,1846300
2009-02-03,27.410000,27.670000,26.860001,27.510000,25.044451,1478100
2009-02-04,27.139999,28.340000,27.139999,27.450001,24.989830,1895200
2009-02-05,25.500000,27.469999,23.750000,26.879999,24.470907,6016500
2009-02-06,27.180000,27.340000,26.660000,27.000000,24.580151,2010300
2009-02-09,27.030001,27.150000,26.580000,26.700001,24.307039,1161800
2009-02-10,26.490000,26.719999,25.790001,25.870001,23.551430,2671600
2009-02-11,25.980000,26.299999,25.590000,25.799999,23.487705,1423200
2009-02-12,25.610001,26.330000,25.500000,26.230000,23.879168,1400300
2009-02-13,26.320000,26.620001,26.080000,26.100000,23.760820,1411100
2009-02-17,24.690001,25.690001,24.690001,25.200001,22.941479,2126200
2009-02-18,25.260000,25.840000,24.990000,25.709999,23.405775,2320600
2009-02-19,25.959999,26.540001,25.809999,26.230000,23.879168,2652300
2009-02-20,26.080000,26.240000,25.650000,25.860001,23.542328,2367900
2009-02-23,25.799999,26.350000,25.150000,25.190001,22.932379,1496700
2009-02-24,25.650000,25.920000,25.160000,25.860001,23.542328,1729500
2009-02-25,25.600000,25.740000,24.790001,24.900000,22.668362,2201200
2009-02-26,25.049999,25.230000,24.030001,24.070000,21.912758,2225500
2009-02-27,23.129999,23.660000,22.730000,23.120001,21.047897,3757600
2009-03-02,23.000000,23.270000,22.120001,22.209999,20.219463,3124200
2009-03-03,22.549999,23.040001,22.219999,22.520000,20.501669,2393000
2009-03-04,22.690001,23.629999,22.360001,23.420000,21.321012,2792200
2009-03-05,22.969999,23.070000,22.400000,22.459999,20.447046,3619400
2009-03-06,22.270000,22.930000,22.020000,22.450001,20.437948,2227000
2009-03-09,22.280001,22.809999,21.799999,21.879999,19.919031,1858400
2009-03-10,22.150000,22.940001,22.010000,22.879999,20.829405,2054300
2009-03-11,22.980000,23.299999,22.549999,22.709999,20.674639,1981800
2009-03-12,22.450001,23.350000,22.450001,23.320000,21.229971,2244900
2009-03-13,23.200001,24.020000,23.020000,23.920000,21.776203,1583500
2009-03-16,23.389999,24.180000,23.389999,23.610001,21.493977,1396600
2009-03-17,23.750000,24.549999,23.660000,24.540001,22.340639,2368500
2009-03-18,24.629999,25.290001,24.240000,24.840000,22.613743,2119600
2009-03-19,24.980000,25.129999,24.420000,24.750000,22.531809,2320800
2009-03-20,24.969999,25.410000,24.610001,24.950001,22.713892,2399600
2009-03-23,25.240000,26.070000,25.000000,26.049999,23.715292,2293900
2009-03-24,25.870001,26.500000,25.510000,25.990000,23.706175,1957600
2009-03-25,26.450001,26.820000,25.770000,26.620001,24.280819,2398500
2009-03-26,25.950001,27.500000,25.950001,27.500000,25.083488,2175900
2009-03-27,27.280001,27.780001,26.959999,27.490000,25.074373,2133200
2009-03-30,27.000000,27.070000,26.059999,26.299999,23.988937,2345000
2009-03-31,26.530001,27.389999,26.250000,26.850000,24.490616,2453100
2009-04-01,26.629999,26.629999,25.980000,26.190001,23.888609,1992700
2009-04-02,26.650000,27.370001,26.400000,26.950001,24.581823,1656800
2009-04-03,27.180000,27.270000,26.070000,26.330000,24.016298,1417000
2009-04-06,26.120001,26.570000,26.000000,26.180000,23.879488,937300
2009-04-07,26.000000,26.200001,25.740000,25.870001,23.596731,1901100
2009-04-08,26.049999,26.309999,25.200001,25.840000,23.569365,1938100
2009-04-09,26.160000,27.110001,25.900000,27.090000,24.709515,2507600
2009-04-13,26.990000,27.260000,26.780001,26.920000,24.554459,1745500
2009-04-14,26.559999,27.250000,26.520000,26.719999,24.372026,1841400
2009-04-15,26.559999,27.020000,26.290001,26.690001,24.344671,1280200
2009-04-16,26.700001,27.059999,26.350000,26.920000,24.554459,2035900
2009-04-17,26.969999,27.459999,26.620001,27.299999,24.901070,1607100
2009-04-20,26.790001,27.250000,26.200001,26.299999,23.988937,1416000
2009-04-21,26.389999,26.610001,26.000000,26.270000,23.961573,1505600
2009-04-22,26.129999,26.180000,25.709999,25.790001,23.523752,1365100
2009-04-23,25.510000,26.559999,25.400000,26.420000,24.098392,2740700
2009-04-24,26.870001,27.160000,26.400000,27.010000,24.636547,2157800
2009-04-27,26.510000,27.700001,26.510000,27.360001,24.955797,1743000
2009-04-28,27.260000,27.559999,26.850000,27.059999,24.682152,1562600
2009-04-29,27.070000,28.360001,27.010000,28.170000,25.694614,2293900
2009-04-30,28.250000,29.230000,28.020000,28.620001,26.105070,2019600
2009-05-01,28.500000,28.549999,26.340000,26.780001,24.426760,4546500
2009-05-04,26.879999,28.100000,26.540001,28.080000,25.612528,3327200
2009-05-05,27.760000,28.420000,27.469999,28.370001,25.877043,1883500
2009-05-06,28.440001,28.570000,27.980000,28.510000,26.004744,1868100
2009-05-07,28.600000,29.110001,28.490000,28.809999,26.278374,1942800
2009-05-08,29.090000,30.030001,28.790001,29.750000,27.135773,1850300
2009-05-11,29.580000,29.990000,29.190001,29.629999,27.026320,1324800
2009-05-12,29.730000,29.900000,29.240000,29.700001,27.090172,1298300
2009-05-13,29.480000,29.750000,29.250000,29.450001,26.862144,1753400
2009-05-14,29.650000,29.879999,29.330000,29.650000,27.044565,1683200
2009-05-15,29.450001,29.620001,29.000000,29.530001,26.935104,1478100
2009-05-18,29.440001,30.030001,29.020000,30.030001,27.391180,1421900
2009-05-19,29.920000,29.920000,29.440001,29.690001,27.081057,1067700
2009-05-20,29.879999,30.389999,29.430000,29.930000,27.299967,1443500
2009-05-21,29.059999,29.240000,28.389999,28.660000,26.141565,1990300
2009-05-22,28.660000,29.049999,28.540001,28.590000,26.077707,988800
2009-05-26,28.389999,29.559999,28.040001,29.450001,26.862144,971000
2009-05-27,29.370001,29.719999,29.030001,29.250000,26.679718,927400
2009-05-28,29.469999,29.770000,28.900000,29.180000,26.615866,936200
2009-05-29,29.280001,29.280001,28.660000,29.260000,26.688833,1704900
2009-06-01,29.510000,29.920000,29.250000,29.879999,27.254356,1139100
2009-06-02,29.650000,30.320000,29.629999,30.129999,27.482386,1034400
2009-06-03,29.870001,30.190001,29.830000,30.070000,27.427658,1093200
2009-06-04,30.030001,30.200001,29.360001,29.719999,27.108414,850800
2009-06-05,29.799999,29.990000,29.150000,29.510000,26.916868,635500
2009-06-08,29.129999,29.430000,28.760000,29.100000,26.542894,846600
2009-06-09,29.410000,29.410000,28.959999,29.090000,26.533779,842600
2009-06-10,29.299999,29.340000,28.500000,28.719999,26.196285,1868200
2009-06-11,28.719999,29.959999,28.709999,29.620001,27.017199,1453400
2009-06-12,29.389999,29.850000,29.330000,29.700001,27.090172,971500
2009-06-15,29.530001,29.530001,28.709999,28.900000,26.360468,1083400
2009-06-16,29.049999,29.080000,28.540001,28.580000,26.068590,900500
2009-06-17,28.860001,29.469999,28.650000,29.280001,26.707085,1031200
2009-06-18,29.160000,29.900000,29.080000,29.709999,27.099291,760200
2009-06-19,30.030001,30.490000,29.750000,30.020000,27.382051,1556500
2009-06-22,29.680000,29.719999,29.260000,29.270000,26.697954,932500
2009-06-23,29.260000,29.690001,29.080000,29.260000,26.688833,760000
2009-06-24,29.320000,29.889999,29.200001,29.700001,27.136545,1027500
2009-06-25,29.530001,30.910000,29.450001,30.870001,28.205559,1320200
2009-06-26,30.820000,30.990000,30.440001,30.930000,28.260382,1032600
2009-06-29,30.850000,30.990000,30.469999,30.889999,28.223833,719600
2009-06-30,30.889999,30.959999,30.320000,30.570000,27.931450,1432500
