Date,Open,High,Low,Close,Adj Close,Volume
2009-01-26,13.660000,13.780000,11.810000,12.190000,10.114851,5655400
2009-01-27,12.960000,15.410000,12.630000,14.080000,11.683103,9564300
2009-01-28,15.680000,18.299999,15.560000,17.959999,14.902601,9989500
2009-01-29,17.400000,17.420000,16.180000,16.430000,13.633054,4283700
2009-01-30,16.950001,17.049999,14.690000,14.920000,12.380106,3979100
2009-02-02,14.390000,14.770000,13.960000,14.460000,11.998417,3279600
2009-02-03,14.700000,14.760000,12.980000,13.110000,10.878234,6282200
2009-02-04,13.040000,14.010000,12.750000,12.840000,10.654197,4867800
2009-02-05,12.850000,13.970000,11.840000,12.960000,10.753768,8592700
2009-02-06,13.100000,15.120000,13.100000,14.340000,11.898845,7128000
2009-02-09,14.930000,15.410000,13.850000,14.840000,12.348172,7353100
2009-02-10,14.590000,14.840000,11.890000,11.950000,9.943439,10030000
2009-02-11,12.650000,13.090000,12.110000,12.610000,10.492616,4821600
2009-02-12,12.190000,12.320000,10.990000,11.680000,9.718778,7583100
2009-02-13,11.630000,11.900000,11.020000,11.420000,9.502433,6647800
2009-02-17,10.820000,11.070000,10.000000,10.010000,8.329193,6072800
2009-02-18,10.620000,10.620000,9.340000,10.110000,8.412401,6001800
2009-02-19,10.270000,10.640000,9.290000,9.300000,7.738410,3637200
2009-02-20,8.660000,9.170000,8.050000,9.000000,7.488781,6894100
2009-02-23,9.140000,9.360000,8.370000,8.670000,7.214196,5064100
2009-02-24,8.550000,10.550000,8.220000,10.160000,8.454003,9784400
2009-02-25,10.050000,10.490000,8.530000,9.620000,8.004678,9408100
2009-02-26,10.790000,12.340000,10.310000,10.910000,9.078068,9479200
2009-02-27,9.820000,10.620000,9.330000,9.370000,7.796658,6598500
2009-03-02,9.100000,9.400000,8.880000,8.920000,7.422215,5502400
2009-03-03,9.280000,9.430000,7.970000,8.310000,6.914643,5415400
2009-03-04,8.500000,9.190000,7.490000,7.980000,6.640054,5607200
2009-03-05,7.770000,7.850000,6.600000,6.770000,5.633229,4390800
2009-03-06,6.970000,7.450000,5.900000,6.480000,5.391924,5755300
2009-03-09,6.380000,7.410000,6.280000,6.840000,5.691475,4491400
2009-03-10,7.830000,7.860000,7.110000,7.650000,6.365467,6038300
2009-03-11,7.840000,8.790000,7.520000,8.470000,7.047779,8033000
2009-03-12,8.170000,9.230000,7.800000,9.180000,7.638559,8086300
2009-03-13,9.850000,9.950000,8.800000,9.420000,7.838258,5320800
2009-03-16,9.720000,11.300000,9.620000,9.980000,8.304230,6787700
2009-03-17,10.340000,10.850000,10.000000,10.850000,9.028143,4399100
2009-03-18,10.310000,11.960000,10.270000,11.730000,9.760383,6542400
2009-03-19,12.080000,12.260000,10.410000,10.470000,8.711948,5204500
2009-03-20,10.550000,10.600000,9.670000,9.920000,8.254301,4089200
2009-03-23,11.160000,11.670000,10.560000,11.660000,9.702136,4455300
2009-03-24,11.190000,11.740000,10.430000,10.450000,8.695306,4818300
2009-03-25,10.600000,11.200000,9.760000,10.520000,8.753556,4827100
2009-03-26,10.800000,10.910000,10.400000,10.880000,9.053106,4913200
2009-03-27,10.570000,11.070000,10.370000,10.460000,8.703632,3048300
2009-03-30,10.080000,10.190000,9.320000,9.380000,7.804975,2964300
2009-03-31,9.430000,10.070000,9.120000,9.830000,8.179418,4711100
2009-04-01,9.580000,10.490000,9.510000,10.380000,8.637064,3687200
2009-04-02,11.070000,11.500000,10.640000,11.170000,9.294414,6141900
2009-04-03,11.150000,11.270000,10.490000,11.250000,9.360981,3554300
2009-04-06,10.970000,11.050000,10.500000,10.990000,9.144636,4322100
2009-04-07,10.550000,10.840000,10.260000,10.260000,8.537210,2475100
2009-04-08,10.310000,10.460000,9.450000,9.780000,8.137811,3191600
2009-04-09,10.920000,12.360000,10.430000,12.360000,10.284596,6969900
2009-04-13,11.870000,13.500000,11.500000,13.440000,11.183251,7223300
2009-04-14,13.340000,14.140000,12.000000,12.030000,10.010006,7974700
2009-04-15,12.000000,12.910000,11.540000,12.830000,10.675677,4121900
2009-04-16,12.990000,14.000000,12.270000,13.700000,11.399591,7833500
2009-04-17,13.860000,15.610000,13.240000,15.020000,12.497948,8065900
2009-04-20,14.550000,14.800000,12.920000,12.930000,10.758886,8399700
2009-04-21,9.050000,11.750000,8.880000,10.940000,9.103035,20667700
2009-04-22,10.440000,11.550000,9.900000,10.400000,8.653703,9307200
2009-04-23,10.220000,10.830000,10.060000,10.740000,8.936615,6476900
2009-04-24,10.910000,12.640000,10.180000,12.080000,10.051610,10820000
2009-04-27,11.500000,11.710000,10.800000,10.910000,9.078068,4190700
2009-04-28,10.600000,11.080000,10.320000,10.540000,8.770197,5031600
2009-04-29,10.890000,11.230000,10.620000,11.210000,9.327693,3146000
2009-04-30,11.440000,11.630000,10.820000,10.930000,9.094712,3421400
2009-05-01,10.820000,11.190000,10.600000,10.710000,8.911652,2419100
2009-05-04,11.040000,12.990000,11.000000,12.850000,10.692317,5366900
2009-05-05,12.740000,13.000000,12.200000,12.770000,10.625750,3577900
2009-05-06,13.640000,16.580000,13.610000,16.100000,13.396602,12796600
2009-05-07,17.680000,18.240000,15.810000,16.020000,13.330033,11874300
2009-05-08,16.620001,20.360001,16.570000,20.360001,16.941288,10600200
2009-05-11,19.610001,20.969999,18.320000,18.420000,15.357214,9484600
2009-05-12,18.650000,19.190001,16.549999,17.309999,14.431784,7011200
2009-05-13,16.480000,16.799999,15.500000,15.640000,13.039456,6960000
2009-05-14,15.570000,16.340000,15.100000,16.120001,13.439649,4496900
2009-05-15,16.190001,16.510000,15.000000,15.050000,12.547564,4398800
2009-05-18,15.720000,17.580000,15.700000,17.520000,14.606861,6004100
2009-05-19,17.250000,17.440001,15.000000,15.020000,12.522552,9892200
2009-05-20,15.810000,15.880000,14.230000,14.460000,12.055661,10103600
2009-05-21,13.910000,14.000000,12.550000,13.120000,10.938470,10676900
2009-05-22,13.400000,13.470000,12.600000,12.710000,10.596646,4648400
2009-05-26,13.290000,14.950000,13.110000,14.490000,12.080671,8985700
2009-05-27,14.450000,15.000000,13.690000,13.780000,11.488729,6090800
2009-05-28,13.480000,13.840000,13.010000,13.740000,11.455381,6811100
2009-05-29,13.650000,14.010000,13.280000,13.680000,11.405357,8100100
2009-06-01,14.490000,14.680000,13.580000,14.210000,11.847230,9734800
2009-06-02,14.220000,14.870000,14.050000,14.650000,12.214071,6168400
